# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-a" "Peve_lncRNA_for_counts.gtf" "-t" "lncRNA" "-g" "gene_id" "-o" "lncRNA_counts_matrix.txt" "RNA-POR-71.sorted.bam" "RNA-POR-73.sorted.bam" "RNA-POR-76.sorted.bam" "RNA-POR-79.sorted.bam" "RNA-POR-82.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA-POR-71.sorted.bam	RNA-POR-73.sorted.bam	RNA-POR-76.sorted.bam	RNA-POR-79.sorted.bam	RNA-POR-82.sorted.bam
lncRNA_026	Porites_evermani_scaffold_10	1183266	1183548	+	283	0	0	28	0	5
lncRNA_027	Porites_evermani_scaffold_10	1195312	1195548	+	237	0	0	28	0	0
lncRNA_028	Porites_evermani_scaffold_100	74377	74611	+	235	12	29	32	3	19
lncRNA_029	Porites_evermani_scaffold_100	413928	414220	+	293	0	2	39	0	0
lncRNA_030	Porites_evermani_scaffold_100	465897	466521	+	625	3	0	37	24	19
lncRNA_031	Porites_evermani_scaffold_1000	166	4794	+	4629	352	206	334	244	514
lncRNA_032	Porites_evermani_scaffold_1002	115128	115779	+	652	14	2	4	12	16
lncRNA_033	Porites_evermani_scaffold_1003	61271	61535	+	265	4	0	34	14	3
lncRNA_034	Porites_evermani_scaffold_1004	128400	129079	+	680	4	34	2	0	44
lncRNA_035	Porites_evermani_scaffold_1006	53783	54468	+	686	3	0	135	2	23
lncRNA_036	Porites_evermani_scaffold_1006	55979	56257	+	279	18	6	62	4	24
lncRNA_037	Porites_evermani_scaffold_1007	68345	70415	+	2071	0	0	0	0	0
lncRNA_038	Porites_evermani_scaffold_1007	68344	83813	+	15470	0	0	0	0	0
lncRNA_039	Porites_evermani_scaffold_1007	68349	83813	+	15465	0	0	0	0	0
lncRNA_040	Porites_evermani_scaffold_1007	68368	83813	+	15446	0	0	0	0	0
lncRNA_041	Porites_evermani_scaffold_1007	160273	162216	+	1944	252	60	206	0	2
lncRNA_042	Porites_evermani_scaffold_1007	84296	84863	+	568	58	21	0	3	70
lncRNA_043	Porites_evermani_scaffold_1007	141303	141511	+	209	18	0	31	29	16
lncRNA_044	Porites_evermani_scaffold_1007	144686	146427	+	1742	40	12	144	19	263
lncRNA_045	Porites_evermani_scaffold_1009	66695	71857	+	5163	2	0	28	5	16
lncRNA_046	Porites_evermani_scaffold_1009	35935	37276	+	1342	2068	807	40	1817	543
lncRNA_047	Porites_evermani_scaffold_101	23	966	+	944	105	2	0	3	5
lncRNA_048	Porites_evermani_scaffold_101	308512	309079	+	568	48	9	1	5	31
lncRNA_049	Porites_evermani_scaffold_101	508491	511967	+	3477	412	173	480	168	399
lncRNA_050	Porites_evermani_scaffold_101	310159	310492	+	334	79	13	151	43	96
lncRNA_051	Porites_evermani_scaffold_101	488999	489315	+	317	1	0	54	0	8
lncRNA_052	Porites_evermani_scaffold_101	506816	507049	+	234	0	0	28	0	0
lncRNA_053	Porites_evermani_scaffold_1011	121753	122198	+	446	0	1	46	2	12
lncRNA_054	Porites_evermani_scaffold_1011	88196	89259	+	1064	112	20	2	8	79
lncRNA_055	Porites_evermani_scaffold_1011	155451	155947	+	497	4	0	40	5	18
lncRNA_056	Porites_evermani_scaffold_1013	148824	153034	+	4211	31	6	0	29	13
lncRNA_057	Porites_evermani_scaffold_1014	105573	106040	+	468	721	534	1731	596	669
lncRNA_058	Porites_evermani_scaffold_1014	106187	109731	+	3545	1348	542	1906	1010	992
lncRNA_059	Porites_evermani_scaffold_1014	160341	162433	+	2093	135	73	82	218	2059
lncRNA_060	Porites_evermani_scaffold_1014	1258	1727	+	470	58	25	85	64	61
lncRNA_061	Porites_evermani_scaffold_1016	8863	9109	+	247	171	43	161	295	1
lncRNA_062	Porites_evermani_scaffold_1016	60684	62066	+	1383	1	0	0	0	0
lncRNA_063	Porites_evermani_scaffold_1017	156795	161692	+	4898	65	54	80	35	21
lncRNA_064	Porites_evermani_scaffold_1018	118714	118925	+	212	28	0	2	0	0
lncRNA_065	Porites_evermani_scaffold_1019	4700	6650	+	1951	784	603	1196	519	765
lncRNA_066	Porites_evermani_scaffold_102	24900	29082	+	4183	32	6	135	55	45
lncRNA_067	Porites_evermani_scaffold_102	29597	40269	+	10673	57	14	261	36	82
lncRNA_068	Porites_evermani_scaffold_102	46085	46681	+	597	52	34	162	2	113
lncRNA_069	Porites_evermani_scaffold_102	209259	210047	+	789	7	26	10	67	9
lncRNA_070	Porites_evermani_scaffold_102	267981	268446	+	466	15	0	32	0	26
lncRNA_071	Porites_evermani_scaffold_102	315940	316192	+	253	89	70	73	48	83
lncRNA_072	Porites_evermani_scaffold_1021	34655	36616	+	1962	111	4	270	58	84
lncRNA_073	Porites_evermani_scaffold_1021	72083	75020	+	2938	15	21	53	15	22
lncRNA_074	Porites_evermani_scaffold_1021	92576	96004	+	3429	36	78	276	93	252
lncRNA_075	Porites_evermani_scaffold_1021	36874	37778	+	905	102	14	208	31	130
lncRNA_076	Porites_evermani_scaffold_1022	87825	88035	+	211	0	0	25	0	0
lncRNA_077	Porites_evermani_scaffold_1023	1514	9031	+	7518	85	1	50	2	17
lncRNA_078	Porites_evermani_scaffold_1023	3279	8032	+	4754	0	0	0	0	0
lncRNA_079	Porites_evermani_scaffold_1023	138960	139194	+	235	131	0	0	1	121
lncRNA_080	Porites_evermani_scaffold_1023	139422	139784	+	363	58	0	0	0	51
lncRNA_081	Porites_evermani_scaffold_1024	10368	10737	+	370	13	8	34	24	30
lncRNA_082	Porites_evermani_scaffold_1024	132906	133220	+	315	0	0	36	0	0
lncRNA_083	Porites_evermani_scaffold_1024	141929	142148	+	220	80	92	10	18	59
lncRNA_084	Porites_evermani_scaffold_1024	144355	144641	+	287	0	1	28	0	0
lncRNA_085	Porites_evermani_scaffold_1025	7156	7555	+	400	0	0	0	7	0
lncRNA_086	Porites_evermani_scaffold_1025	3987	7543	+	3557	103	24	20	123	507
lncRNA_087	Porites_evermani_scaffold_1025	88618	93058	+	4441	152	91	268	170	499
lncRNA_088	Porites_evermani_scaffold_1027	25567	26205	+	639	31	20	48	40	82
lncRNA_089	Porites_evermani_scaffold_1028	19715	19934	+	220	0	0	46	4	0
lncRNA_090	Porites_evermani_scaffold_103	44434	54616	+	10183	174	116	155	51	341
lncRNA_091	Porites_evermani_scaffold_103	501949	504039	+	2091	23	12	270	14	11
lncRNA_092	Porites_evermani_scaffold_103	72	291	+	220	0	15	32	3	11
lncRNA_093	Porites_evermani_scaffold_103	469873	470094	+	222	0	1	54	0	21
lncRNA_094	Porites_evermani_scaffold_103	494408	494709	+	302	0	0	40	8	2
lncRNA_095	Porites_evermani_scaffold_1030	87884	88772	+	889	4	26	32	32	14
lncRNA_096	Porites_evermani_scaffold_1032	136518	136779	+	262	0	0	24	0	0
lncRNA_097	Porites_evermani_scaffold_1032	158959	159267	+	309	4	0	39	10	6
lncRNA_098	Porites_evermani_scaffold_1033	38302	39477	+	1176	77	27	46	12	115
lncRNA_099	Porites_evermani_scaffold_1033	94323	95371	+	1049	222	3	22	45	0
lncRNA_100	Porites_evermani_scaffold_1033	95573	95889	+	317	31	1	0	5	3
lncRNA_101	Porites_evermani_scaffold_1033	105113	105459	+	347	0	0	38	5	4
lncRNA_102	Porites_evermani_scaffold_1034	130854	133821	+	2968	6	2	36	6	3
lncRNA_103	Porites_evermani_scaffold_1034	47041	47473	+	433	0	0	56	0	0
lncRNA_104	Porites_evermani_scaffold_1034	116004	116234	+	231	12	0	40	2	0
lncRNA_105	Porites_evermani_scaffold_1035	13470	13670	+	201	0	0	20	2	2
lncRNA_106	Porites_evermani_scaffold_1037	155956	159871	+	3916	475	11	37	153	784
lncRNA_107	Porites_evermani_scaffold_1038	19389	20776	+	1388	477	169	475	131	1424
lncRNA_108	Porites_evermani_scaffold_1039	33562	33777	+	216	0	0	28	0	0
lncRNA_109	Porites_evermani_scaffold_1039	105003	106573	+	1571	127	29	214	48	124
lncRNA_110	Porites_evermani_scaffold_1039	113674	113938	+	265	16	5	32	1	8
lncRNA_111	Porites_evermani_scaffold_1039	115769	116448	+	680	30	20	74	26	32
lncRNA_112	Porites_evermani_scaffold_1039	121979	122243	+	265	25	5	32	4	11
lncRNA_113	Porites_evermani_scaffold_104	291004	294212	+	3209	326	18	119	92	176
lncRNA_114	Porites_evermani_scaffold_104	291675	293189	+	1515	0	0	0	0	0
lncRNA_115	Porites_evermani_scaffold_104	291679	292910	+	1232	0	0	0	0	0
lncRNA_116	Porites_evermani_scaffold_104	291984	293189	+	1206	0	0	0	0	0
lncRNA_117	Porites_evermani_scaffold_104	333337	333701	+	365	6	8	24	19	35
lncRNA_118	Porites_evermani_scaffold_1040	85874	86425	+	552	66	42	19	9	12
lncRNA_119	Porites_evermani_scaffold_1041	107620	112502	+	4883	130	38	217	90	159
lncRNA_120	Porites_evermani_scaffold_1043	16514	16719	+	206	0	0	28	0	0
lncRNA_121	Porites_evermani_scaffold_1043	106261	106573	+	313	5	0	30	0	0
lncRNA_122	Porites_evermani_scaffold_1044	5766	6100	+	335	88	43	151	88	153
lncRNA_123	Porites_evermani_scaffold_1045	6788	7036	+	249	0	0	26	0	2
lncRNA_124	Porites_evermani_scaffold_1045	35074	35347	+	274	15	0	44	9	5
lncRNA_125	Porites_evermani_scaffold_1046	141072	141357	+	286	7	5	43	14	10
lncRNA_126	Porites_evermani_scaffold_1046	32305	32697	+	393	2	2	56	11	4
lncRNA_127	Porites_evermani_scaffold_1046	137142	139652	+	2511	105	61	683	70	168
lncRNA_128	Porites_evermani_scaffold_1047	131727	132017	+	291	2	0	26	1	0
lncRNA_129	Porites_evermani_scaffold_1048	83848	84156	+	309	0	0	0	1	44
lncRNA_130	Porites_evermani_scaffold_105	76485	76960	+	476	5	0	1	1	27
lncRNA_131	Porites_evermani_scaffold_105	371947	373080	+	1134	24	18	305	42	67
lncRNA_132	Porites_evermani_scaffold_105	404100	404355	+	256	0	0	30	0	3
lncRNA_133	Porites_evermani_scaffold_1050	53161	53457	+	297	12	17	52	0	1
lncRNA_134	Porites_evermani_scaffold_1050	71002	71300	+	299	43	12	32	22	81
lncRNA_135	Porites_evermani_scaffold_1050	76629	77019	+	391	30	1	95	7	48
lncRNA_136	Porites_evermani_scaffold_1051	97099	98408	+	1310	3	5	50	48	21
lncRNA_137	Porites_evermani_scaffold_1051	97391	98408	+	1018	0	0	0	0	0
lncRNA_138	Porites_evermani_scaffold_1052	25351	28157	+	2807	247	73	100	432	728
lncRNA_139	Porites_evermani_scaffold_1052	87087	88359	+	1273	0	3	68	13	4
lncRNA_140	Porites_evermani_scaffold_1052	94154	95454	+	1301	243	32	276	88	167
lncRNA_141	Porites_evermani_scaffold_1052	37929	38201	+	273	6	0	28	0	0
lncRNA_142	Porites_evermani_scaffold_1052	47533	47946	+	414	0	0	42	3	1
lncRNA_143	Porites_evermani_scaffold_1055	156743	158428	+	1686	61	12	349	0	48
lncRNA_144	Porites_evermani_scaffold_1056	86545	86837	+	293	0	71	169	0	1
lncRNA_145	Porites_evermani_scaffold_1057	156850	158113	+	1264	91	0	0	26	21
lncRNA_146	Porites_evermani_scaffold_1057	80649	80918	+	270	2	0	58	0	0
lncRNA_147	Porites_evermani_scaffold_1059	5390	12187	+	6798	6	65	65	9	42
lncRNA_148	Porites_evermani_scaffold_1059	1269	1570	+	302	8	1	44	2	22
lncRNA_149	Porites_evermani_scaffold_1059	18444	18792	+	349	5	4	33	2	0
lncRNA_150	Porites_evermani_scaffold_106	340316	342893	+	2578	0	0	0	0	2
lncRNA_151	Porites_evermani_scaffold_106	340411	342893	+	2483	0	0	0	0	0
lncRNA_152	Porites_evermani_scaffold_106	128445	134948	+	6504	52	2	41	9	23
lncRNA_153	Porites_evermani_scaffold_106	143306	151344	+	8039	17	4	77	0	6
lncRNA_154	Porites_evermani_scaffold_106	152434	154284	+	1851	17	3	68	3	22
lncRNA_155	Porites_evermani_scaffold_106	307961	312657	+	4697	187	41	243	127	219
lncRNA_156	Porites_evermani_scaffold_106	459704	460046	+	343	26	0	0	0	0
lncRNA_157	Porites_evermani_scaffold_106	518941	519182	+	242	16	0	74	2	4
lncRNA_158	Porites_evermani_scaffold_1061	130478	140901	+	10424	0	0	0	0	0
lncRNA_159	Porites_evermani_scaffold_1061	130486	142386	+	11901	0	0	0	0	0
lncRNA_160	Porites_evermani_scaffold_1061	150779	151235	+	457	36	4	0	7	81
lncRNA_161	Porites_evermani_scaffold_1063	110453	111590	+	1138	367	98	155	0	90
lncRNA_162	Porites_evermani_scaffold_1065	155686	156849	+	1164	0	47	0	0	285
lncRNA_163	Porites_evermani_scaffold_1069	116185	117386	+	1202	269	74	76	0	0
lncRNA_164	Porites_evermani_scaffold_1069	1030	1809	+	780	9	1762	2	225	388
lncRNA_165	Porites_evermani_scaffold_1069	60593	61542	+	950	0	0	0	0	83
lncRNA_166	Porites_evermani_scaffold_1069	117406	119734	+	2329	56559	38544	56470	155	194
lncRNA_167	Porites_evermani_scaffold_1069	76673	76875	+	203	0	0	42	0	0
lncRNA_168	Porites_evermani_scaffold_1069	142731	143001	+	271	15	22	40	2	0
lncRNA_169	Porites_evermani_scaffold_107	1	3351	+	3351	1504	187	47	2185	834
lncRNA_170	Porites_evermani_scaffold_107	496556	507485	+	10930	0	185	4	0	312
lncRNA_171	Porites_evermani_scaffold_107	495631	495974	+	344	0	14	0	0	34
lncRNA_172	Porites_evermani_scaffold_1071	154220	155308	+	1089	2	0	39	0	3
lncRNA_173	Porites_evermani_scaffold_1071	26685	27320	+	636	3045	1885	3106	1971	4473
lncRNA_174	Porites_evermani_scaffold_1072	21406	22284	+	879	0	0	0	1	30
lncRNA_175	Porites_evermani_scaffold_1072	9022	14533	+	5512	529	83	450	3	404
lncRNA_176	Porites_evermani_scaffold_1072	116899	117217	+	319	4	0	50	0	2
lncRNA_177	Porites_evermani_scaffold_1072	156220	156757	+	538	295	343	49	99	275
lncRNA_178	Porites_evermani_scaffold_1073	50808	51049	+	242	0	0	46	0	0
lncRNA_179	Porites_evermani_scaffold_1074	52502	53257	+	756	193	89	444	78	249
lncRNA_180	Porites_evermani_scaffold_1075	33348	36582	+	3235	861	19	116	179	1410
lncRNA_181	Porites_evermani_scaffold_1075	61536	62979	+	1444	0	2	0	11	166
lncRNA_182	Porites_evermani_scaffold_1076	66625	66895	+	271	0	12	0	2	21
lncRNA_183	Porites_evermani_scaffold_1077	5655	5881	+	227	50	0	1	8	0
lncRNA_184	Porites_evermani_scaffold_1079	124712	132926	+	8215	0	0	0	0	3
lncRNA_185	Porites_evermani_scaffold_1079	128305	132926	+	4622	0	0	0	0	0
lncRNA_186	Porites_evermani_scaffold_1079	124778	133614	+	8837	224	57	258	124	273
lncRNA_187	Porites_evermani_scaffold_108	64616	65120	+	505	0	2	79	2	46
lncRNA_188	Porites_evermani_scaffold_108	167687	168147	+	461	2	14	94	0	4
lncRNA_189	Porites_evermani_scaffold_1080	15081	15404	+	324	11	6	40	10	1
lncRNA_190	Porites_evermani_scaffold_1080	62843	69366	+	6524	3	0	20	2	23
lncRNA_191	Porites_evermani_scaffold_1081	631	4387	+	3757	2566	952	2650	1214	2740
lncRNA_192	Porites_evermani_scaffold_1081	71108	76859	+	5752	0	9	0	2	4
lncRNA_193	Porites_evermani_scaffold_1081	71505	84599	+	13095	37	51	178	12	73
lncRNA_194	Porites_evermani_scaffold_1081	112012	112589	+	578	32	21	75	18	17
lncRNA_195	Porites_evermani_scaffold_1083	147943	151929	+	3987	472	146	1458	1010	854
lncRNA_196	Porites_evermani_scaffold_1083	153459	154870	+	1412	525	100	454	615	533
lncRNA_197	Porites_evermani_scaffold_1083	44710	44914	+	205	14	15	0	27	30
lncRNA_198	Porites_evermani_scaffold_1085	116489	116756	+	268	0	0	24	0	2
lncRNA_199	Porites_evermani_scaffold_1086	129829	130462	+	634	2	0	0	0	64
lncRNA_200	Porites_evermani_scaffold_1087	131516	131976	+	461	31	0	54	0	58
lncRNA_201	Porites_evermani_scaffold_1088	46698	46998	+	301	0	0	42	8	8
lncRNA_202	Porites_evermani_scaffold_1088	79302	79654	+	353	0	0	79	0	0
lncRNA_203	Porites_evermani_scaffold_1088	81525	81914	+	390	13	6	102	16	56
lncRNA_204	Porites_evermani_scaffold_1088	83587	84265	+	679	15	13	79	9	64
lncRNA_205	Porites_evermani_scaffold_1088	99007	99215	+	209	0	0	34	0	6
lncRNA_206	Porites_evermani_scaffold_1088	109612	109877	+	266	0	0	28	0	0
lncRNA_207	Porites_evermani_scaffold_1088	136867	137074	+	208	0	0	28	0	0
lncRNA_208	Porites_evermani_scaffold_109	169068	186430	+	17363	3551	1462	4050	2656	4149
lncRNA_209	Porites_evermani_scaffold_109	339838	341346	+	1509	836	72	718	196	446
lncRNA_210	Porites_evermani_scaffold_109	9895	16224	+	6330	169	229	354	116	199
lncRNA_211	Porites_evermani_scaffold_109	185558	186365	+	808	0	0	0	0	0
lncRNA_212	Porites_evermani_scaffold_109	401408	401630	+	223	0	2	29	0	0
lncRNA_213	Porites_evermani_scaffold_109	500875	502125	+	1251	4	0	294	157	52
lncRNA_214	Porites_evermani_scaffold_1090	85094	85296	+	203	0	0	37	0	0
lncRNA_215	Porites_evermani_scaffold_1091	18420	19374	+	955	306	37	392	149	557
lncRNA_216	Porites_evermani_scaffold_1091	16833	18133	+	1301	537	112	350	199	959
lncRNA_217	Porites_evermani_scaffold_1092	34857	36164	+	1308	0	0	34	9	0
lncRNA_218	Porites_evermani_scaffold_1092	67272	68026	+	755	76	40	60	45	141
lncRNA_219	Porites_evermani_scaffold_1093	5797	7511	+	1715	7	0	20	34	10
lncRNA_220	Porites_evermani_scaffold_1093	135388	138703	+	3316	0	0	10	0	32
lncRNA_221	Porites_evermani_scaffold_1094	13	3253	+	3241	144	556	174	62	224
lncRNA_222	Porites_evermani_scaffold_1094	102692	102946	+	255	0	0	36	8	0
lncRNA_223	Porites_evermani_scaffold_1094	154148	154415	+	268	0	0	38	9	0
lncRNA_224	Porites_evermani_scaffold_1095	90328	92800	+	2473	105	54	291	101	55
lncRNA_225	Porites_evermani_scaffold_1095	15695	15907	+	213	0	4	34	0	3
lncRNA_226	Porites_evermani_scaffold_1096	71469	81146	+	9678	0	0	0	0	0
lncRNA_227	Porites_evermani_scaffold_1096	71479	81146	+	9668	0	0	0	0	0
lncRNA_228	Porites_evermani_scaffold_1098	25984	27276	+	1293	92	20	89	55	75
lncRNA_229	Porites_evermani_scaffold_1099	9849	10447	+	599	337	121	384	155	315
lncRNA_230	Porites_evermani_scaffold_1099	56691	56972	+	282	0	0	24	0	0
lncRNA_231	Porites_evermani_scaffold_1099	105530	105811	+	282	0	0	28	0	0
lncRNA_232	Porites_evermani_scaffold_11	306266	308167	+	1902	322	441	843	168	776
lncRNA_233	Porites_evermani_scaffold_11	221833	225040	+	3208	333	18	82	33	120
lncRNA_234	Porites_evermani_scaffold_11	642356	648546	+	6191	201	21	464	145	272
lncRNA_235	Porites_evermani_scaffold_11	518717	519171	+	455	2491	146	187	629	26
lncRNA_236	Porites_evermani_scaffold_11	584001	584690	+	690	8	5	97	2	13
lncRNA_237	Porites_evermani_scaffold_11	599547	599872	+	326	0	0	28	0	0
lncRNA_238	Porites_evermani_scaffold_11	606353	606604	+	252	8	0	36	0	24
lncRNA_239	Porites_evermani_scaffold_11	788870	789071	+	202	0	0	30	0	0
lncRNA_240	Porites_evermani_scaffold_11	859204	859490	+	287	10	2	34	0	4
lncRNA_241	Porites_evermani_scaffold_11	1044333	1044605	+	273	0	0	28	0	0
lncRNA_242	Porites_evermani_scaffold_11	1055356	1055608	+	253	0	0	32	0	0
lncRNA_243	Porites_evermani_scaffold_110	129874	135582	+	5709	0	1	0	0	0
lncRNA_244	Porites_evermani_scaffold_110	130226	138728	+	8503	387	123	32	0	25
lncRNA_245	Porites_evermani_scaffold_110	473387	475115	+	1729	32	4	0	2	2
lncRNA_246	Porites_evermani_scaffold_110	475379	475642	+	264	33	0	0	2	2
lncRNA_247	Porites_evermani_scaffold_110	305001	305288	+	288	3	0	76	0	27
lncRNA_248	Porites_evermani_scaffold_110	359358	359614	+	257	3	1	84	0	6
lncRNA_249	Porites_evermani_scaffold_1100	144332	145143	+	812	187	96	289	90	206
lncRNA_250	Porites_evermani_scaffold_1100	146151	146413	+	263	12	3	26	0	8
lncRNA_251	Porites_evermani_scaffold_1101	11728	14210	+	2483	352	529	165	126	362
lncRNA_252	Porites_evermani_scaffold_1101	12737	13837	+	1101	0	0	0	0	0
lncRNA_253	Porites_evermani_scaffold_1102	84153	86417	+	2265	1069	5	712	2	1305
lncRNA_254	Porites_evermani_scaffold_1103	323	1099	+	777	4	0	22	23	0
lncRNA_255	Porites_evermani_scaffold_1103	78522	78883	+	362	0	17	132	20	46
lncRNA_256	Porites_evermani_scaffold_1104	46122	47446	+	1325	32	9	40	22	2
lncRNA_257	Porites_evermani_scaffold_1104	55795	56853	+	1059	21	34	37	24	9
lncRNA_258	Porites_evermani_scaffold_1104	14277	14624	+	348	0	0	38	0	0
lncRNA_259	Porites_evermani_scaffold_1104	29653	29892	+	240	7	2	28	0	7
lncRNA_260	Porites_evermani_scaffold_1105	60053	64335	+	4283	73	6	889	66	242
lncRNA_261	Porites_evermani_scaffold_1105	138287	141843	+	3557	8883	886	3415	2741	11100
lncRNA_262	Porites_evermani_scaffold_1105	66271	66771	+	501	8	0	92	10	14
lncRNA_263	Porites_evermani_scaffold_1106	149851	152009	+	2159	19	2	57	6	349
lncRNA_264	Porites_evermani_scaffold_1107	51727	51993	+	267	0	2	88	0	0
lncRNA_265	Porites_evermani_scaffold_1107	55926	56212	+	287	0	2	28	0	0
lncRNA_266	Porites_evermani_scaffold_1108	151019	151615	+	597	9	0	97	2	6
lncRNA_267	Porites_evermani_scaffold_1109	126401	127649	+	1249	2	70	0	0	19
lncRNA_268	Porites_evermani_scaffold_1109	69852	70713	+	862	96	2	32	0	123
lncRNA_269	Porites_evermani_scaffold_111	73253	73642	+	390	0	0	40	4	0
lncRNA_270	Porites_evermani_scaffold_1110	146004	146366	+	363	17	0	114	4	41
lncRNA_271	Porites_evermani_scaffold_1112	145212	147006	+	1795	7588	10608	25997	460	11120
lncRNA_272	Porites_evermani_scaffold_1112	148050	149931	+	1882	113	72	29	26	165
lncRNA_273	Porites_evermani_scaffold_1112	23274	23557	+	284	9	0	30	2	0
lncRNA_274	Porites_evermani_scaffold_1115	1	836	+	836	33	118	223	21	355
lncRNA_275	Porites_evermani_scaffold_1115	19401	20138	+	738	50	56	107	11	11
lncRNA_276	Porites_evermani_scaffold_1115	24566	24955	+	390	5	22	62	10	16
lncRNA_277	Porites_evermani_scaffold_1115	85948	86183	+	236	22	18	24	2	8
lncRNA_278	Porites_evermani_scaffold_1115	88079	88360	+	282	34	24	1	0	29
lncRNA_279	Porites_evermani_scaffold_1115	96867	97135	+	269	14	3	69	2	0
lncRNA_280	Porites_evermani_scaffold_1115	123561	124253	+	693	9	311	20	811	2283
lncRNA_281	Porites_evermani_scaffold_1116	67	1921	+	1855	52	12	87	37	4
lncRNA_282	Porites_evermani_scaffold_1116	100443	100742	+	300	6	0	60	0	2
lncRNA_283	Porites_evermani_scaffold_1118	58550	58765	+	216	55	4	19	0	0
lncRNA_284	Porites_evermani_scaffold_1119	18390	19893	+	1504	1738	25	9	2	1432
lncRNA_285	Porites_evermani_scaffold_1119	1192	1458	+	267	3	1	30	2	7
lncRNA_286	Porites_evermani_scaffold_1119	9022	10129	+	1108	202	0	0	0	146
lncRNA_287	Porites_evermani_scaffold_1119	38464	38707	+	244	6	1	0	0	3
lncRNA_288	Porites_evermani_scaffold_112	52390	54262	+	1873	0	0	0	0	0
lncRNA_289	Porites_evermani_scaffold_112	52473	54262	+	1790	0	0	0	0	0
lncRNA_290	Porites_evermani_scaffold_112	434142	436337	+	2196	1	2	0	2	0
lncRNA_291	Porites_evermani_scaffold_112	434147	439197	+	5051	778	98	384	236	1049
lncRNA_292	Porites_evermani_scaffold_112	434179	436337	+	2159	0	0	0	0	0
lncRNA_293	Porites_evermani_scaffold_112	22414	24668	+	2255	409	14	384	80	221
lncRNA_294	Porites_evermani_scaffold_112	362401	362717	+	317	18	2	50	0	9
lncRNA_295	Porites_evermani_scaffold_112	363377	363610	+	234	4	0	24	1	0
lncRNA_296	Porites_evermani_scaffold_112	461565	461809	+	245	0	0	38	0	0
lncRNA_297	Porites_evermani_scaffold_112	484923	485405	+	483	67	25	58	35	45
lncRNA_298	Porites_evermani_scaffold_112	486548	487163	+	616	140	59	169	38	77
lncRNA_299	Porites_evermani_scaffold_1120	91652	93067	+	1416	31	2	26	4	5
lncRNA_300	Porites_evermani_scaffold_1120	95641	97482	+	1842	103	21	30	22	136
lncRNA_301	Porites_evermani_scaffold_1120	135366	136297	+	932	74	2	56	20	44
lncRNA_302	Porites_evermani_scaffold_1120	100737	101320	+	584	10	8	24	14	7
lncRNA_303	Porites_evermani_scaffold_1120	70693	71303	+	611	121	61	120	8	159
