Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-145-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-150-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-173-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-178-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG
NC_058066.1:2483809-2484238	Cluster_32	N	105	62	42	5	37
NC_058066.1:2512176-2512600	Cluster_33	N	3	3	531	30	1
NC_058066.1:2513563-2514164	Cluster_34	N	144	354	26	88	108
NC_058066.1:2515895-2516327	Cluster_35	N	19	0	74	0	218
NC_058066.1:2516773-2517206	Cluster_36	N	234	43	12	0	449
NC_058066.1:2535481-2536210	Cluster_37	N	124	1	367	199	25
NC_058066.1:2558113-2558538	Cluster_38	N	92	59	22	0	0
NC_058066.1:2592910-2593336	Cluster_39	N	0	0	235	140	0
NC_058066.1:2599814-2600265	Cluster_40	N	340	36	36	6	59
NC_058066.1:2619965-2620514	Cluster_41	N	104	503	53	8	0
NC_058066.1:2633169-2633593	Cluster_42	N	4	95	0	7	2
NC_058066.1:2642401-2642950	Cluster_43	N	2	3	176	0	0
NC_058066.1:2700289-2700941	Cluster_44	N	168	33	1387	67	76
NC_058066.1:2704452-2705234	Cluster_45	N	98	0	321	556	285
NC_058066.1:2712584-2713182	Cluster_46	N	141	22	107	25	15
NC_058066.1:2754739-2755166	Cluster_47	N	1	70	25	13	51
NC_058066.1:2763730-2764250	Cluster_48	N	363	5	794	3190	2217
NC_058066.1:2867902-2868316	Cluster_49	N	0	60	158	3	2
NC_058066.1:2909446-2909873	Cluster_50	N	37	42	8	14	2
NC_058066.1:3070638-3071054	Cluster_51	N	3	21	32	58	22
NC_058066.1:3093735-3094686	Cluster_52	N	250	58	2873	2022	518
NC_058066.1:3095872-3096301	Cluster_53	N	2	55	9	18	97
NC_058066.1:3194972-3195595	Cluster_54	N	43	27	1	252	15
NC_058066.1:3211850-3212419	Cluster_55	N	48	73	41	98	174
NC_058066.1:3220567-3220984	Cluster_56	N	98	167	42	102	2
NC_058066.1:3415292-3415723	Cluster_57	N	0	6	328	3	6
NC_058066.1:3462363-3462791	Cluster_58	N	18	0	2	0	77
NC_058066.1:3538069-3538486	Cluster_59	N	20	22	45	30	4
NC_058066.1:3540154-3540712	Cluster_60	N	46	20	24	344	92
NC_058066.1:3661682-3662098	Cluster_61	N	6	17	22	63	10
NC_058066.1:3743341-3743764	Cluster_62	N	0	58	25	26	0
NC_058066.1:3829803-3830231	Cluster_63	N	43	41	16	27	3
NC_058066.1:3839439-3839852	Cluster_64	N	34	30	24	31	18
NC_058066.1:3840727-3841156	Cluster_65	N	166	294	27	61	29
NC_058066.1:3841257-3841677	Cluster_66	N	117	34	25	17	3
NC_058066.1:3843560-3844638	Cluster_67	N	71	1358	85	1016	37
NC_058066.1:3844768-3845621	Cluster_68	N	21	528	12	311	12
NC_058066.1:3845637-3846046	Cluster_69	N	4	91	9	113	3
NC_058066.1:3848303-3849110	Cluster_70	N	11	974	68	414	10
NC_058066.1:3849568-3849991	Cluster_71	N	142	92	22	24	17
NC_058066.1:3851018-3851455	Cluster_72	N	89	100	141	36	15
NC_058066.1:3857089-3857518	Cluster_73	N	62	4	8	160	52
NC_058066.1:3878533-3879316	Cluster_74	N	2849	261	145	321	2858
NC_058066.1:3880315-3880735	Cluster_75	N	38	29	51	30	12
NC_058066.1:3887019-3887473	Cluster_76	N	133	88	180	123	68
NC_058066.1:3898329-3898757	Cluster_77	N	5	200	0	3	45
NC_058066.1:3915359-3915799	Cluster_78	N	1	1	5	376	1
NC_058066.1:3920681-3921108	Cluster_79	N	88	17	11	298	6
NC_058066.1:3951158-3951602	Cluster_80	N	102	245	111	749	209
NC_058066.1:4066616-4067187	Cluster_81	N	760	469	590	118	39
NC_058066.1:4069713-4070143	Cluster_82	N	184	65	89	48	32
NC_058066.1:4072639-4073183	Cluster_83	N	786	102	126	68	38
NC_058066.1:4073323-4073752	Cluster_84	N	39	60	246	120	15
NC_058066.1:4078283-4079207	Cluster_85	N	325	217	332	187	109
NC_058066.1:4079326-4079754	Cluster_86	N	139	93	135	69	58
NC_058066.1:4083305-4084017	Cluster_87	N	120	65	155	198	58
NC_058066.1:4084153-4085370	Cluster_88	N	520	1324	544	182	12032
NC_058066.1:4085813-4086243	Cluster_89	N	35	34	35	31	59
NC_058066.1:4086995-4087595	Cluster_90	N	633	444	161	668	289
NC_058066.1:4088251-4089801	Cluster_91	N	1793	1483	313	1917	1008
NC_058066.1:4089888-4090444	Cluster_92	N	225	297	53	271	381
NC_058066.1:4090624-4091323	Cluster_93	N	551	480	43	878	1349
NC_058066.1:4091492-4092049	Cluster_94	N	280	223	23	967	155
NC_058066.1:4092110-4093836	Cluster_95	N	1358	659	5086	2070	378
NC_058066.1:4094002-4094506	Cluster_96	N	169	74	179	102	36
NC_058066.1:4094648-4095656	Cluster_97	N	241	249	464	295	205
NC_058066.1:4098720-4099136	Cluster_98	N	47	25	105	23	6
NC_058066.1:4099196-4099609	Cluster_99	N	39	51	73	30	2
NC_058066.1:4105151-4105932	Cluster_100	N	418	140	348	271	111
NC_058066.1:4106066-4106527	Cluster_101	N	69	144	62	38	23
NC_058066.1:4106614-4108157	Cluster_102	N	281	5182	345	176	191
NC_058066.1:4116592-4117345	Cluster_103	N	1479	887	794	657	1173
NC_058066.1:4118026-4118892	Cluster_104	N	82	129	4826	871	57
NC_058066.1:4118903-4119324	Cluster_105	N	31	36	87	23	17
NC_058066.1:4120171-4120600	Cluster_106	N	30	27	64	24	12
NC_058066.1:4124209-4124609	Cluster_107	N	53	61	105	43	22
NC_058066.1:4125312-4126251	Cluster_108	N	17146	3572	10745	15402	12
NC_058066.1:4126549-4127551	Cluster_109	N	71	27	168	63	57
NC_058066.1:4129376-4129914	Cluster_110	N	278	180	116	30	0
NC_058066.1:4131152-4131581	Cluster_111	N	89	78	42	106	395
NC_058066.1:4131858-4132271	Cluster_112	N	63	11	51	12	1
NC_058066.1:4133051-4133478	Cluster_113	N	17	39	19	87	6
NC_058066.1:4137721-4138263	Cluster_114	N	125	34	133	122	33
NC_058066.1:4138521-4139188	Cluster_115	N	233	170	229	82	67
NC_058066.1:4140204-4142764	Cluster_116	N	1190	1271	3842	1351	5706
NC_058066.1:4143154-4143584	Cluster_117	N	15	1	8	179	132
NC_058066.1:4145938-4146359	Cluster_118	N	35	71	31	12	34
NC_058066.1:4150930-4151357	Cluster_119	N	35	13	87	48	30
NC_058066.1:4154886-4155313	Cluster_120	N	29	9	86	41	44
NC_058066.1:4155730-4156149	Cluster_121	N	19	15	62	36	9
NC_058066.1:4168339-4168766	Cluster_122	N	94	148	520	297	116
NC_058066.1:4171280-4172604	Cluster_123	N	47	3165	261	932	2226
NC_058066.1:4175545-4175962	Cluster_124	N	1	7	85	24	90
NC_058066.1:4176540-4177402	Cluster_125	N	12	61	344	2021	169
NC_058066.1:4180297-4180724	Cluster_126	N	1	1	0	1	189
NC_058066.1:4181262-4181752	Cluster_127	N	113	74	182	187	139
NC_058066.1:4195868-4196284	Cluster_128	N	5	41	45	16	45
NC_058066.1:4198382-4199171	Cluster_129	N	9297	1507	143	1407	3242
NC_058066.1:4230809-4231506	Cluster_130	N	690	2724	2281	928	3226
NC_058066.1:4233187-4233944	Cluster_131	N	661	156	1034	22	171
NC_058066.1:4235767-4236469	Cluster_132	N	108	210	90	56	64
NC_058066.1:4237239-4237668	Cluster_133	N	62	53	77	82	40
NC_058066.1:4244765-4245294	Cluster_134	N	108	180	73	63	49
NC_058066.1:4250873-4251300	Cluster_135	N	164	142	17	0	2
NC_058066.1:4258796-4259225	Cluster_136	N	55	38	29	12	9
NC_058066.1:4270389-4271093	Cluster_137	N	467	375	26	210	7
NC_058066.1:4272191-4272615	Cluster_138	N	22	29	17	35	27
NC_058066.1:4287962-4288879	Cluster_139	N	57	495	90	74	20
NC_058066.1:4297880-4298296	Cluster_140	N	31	3	18	62	104
NC_058066.1:4300516-4300940	Cluster_141	N	18	0	0	6	95
NC_058066.1:4332131-4332560	Cluster_142	N	211	3	2	0	8
NC_058066.1:4337103-4338168	Cluster_143	N	5214	6951	1477	605	1776
NC_058066.1:4347619-4348048	Cluster_144	N	14	14	16	90	53
NC_058066.1:4354672-4355099	Cluster_145	N	250	22	1	0	112
NC_058066.1:4370016-4370445	Cluster_146	N	36	112	2	1	125
NC_058066.1:4385982-4386410	Cluster_147	N	51	79	31	36	62
NC_058066.1:4395132-4395582	Cluster_148	N	87	19	0	283	0
NC_058066.1:4397148-4397587	Cluster_149	N	396	11	9	50	5
NC_058066.1:4397609-4398038	Cluster_150	N	164	0	3	1	5
NC_058066.1:4415936-4416361	Cluster_151	N	135	88	6	5	3
NC_058066.1:4416392-4416969	Cluster_152	N	162	1	79	0	54
NC_058066.1:4423092-4423522	Cluster_153	N	129	1	8	6	263
NC_058066.1:4423775-4424562	Cluster_154	N	1150	236	25	18	2239
NC_058066.1:4424580-4425010	Cluster_155	N	251	7	2	8	63
NC_058066.1:4426470-4427070	Cluster_156	N	38	426	29	9	301
NC_058066.1:4428953-4429396	Cluster_157	N	0	0	22	234	0
NC_058066.1:4436786-4437215	Cluster_158	N	3	99	0	0	61
NC_058066.1:4438120-4438548	Cluster_159	N	70	58	108	19	92
NC_058066.1:4441841-4442696	Cluster_160	N	84	30	3276	19	41
NC_058066.1:4465253-4465893	Cluster_161	N	300	105	64	65	54
NC_058066.1:4466081-4466510	Cluster_162	N	21	264	21	280	22
NC_058066.1:4466827-4467362	Cluster_163	N	1	0	7	2	812
NC_058066.1:4471991-4472693	Cluster_164	N	0	20	559	0	22
NC_058066.1:4483124-4483549	Cluster_165	N	25	13	7	64	27
NC_058066.1:4486012-4486592	Cluster_166	N	1843	2974	3541	5411	716
NC_058066.1:4487541-4487966	Cluster_167	N	11	10	16	104	8
NC_058066.1:4488258-4488857	Cluster_168	N	0	342	99	58	5
NC_058066.1:4506698-4507124	Cluster_169	N	0	173	1	21	35
NC_058066.1:4508672-4509818	Cluster_170	N	8	1824	219	1144	965
NC_058066.1:4510580-4511216	Cluster_171	N	2	1837	14	230	371
NC_058066.1:4516632-4517208	Cluster_172	N	11	3	127	160	2
NC_058066.1:4517237-4518632	Cluster_173	N	81	4316	4502	2334	354
NC_058066.1:4522465-4522881	Cluster_174	N	18	20	47	50	17
NC_058066.1:4526737-4527164	Cluster_175	N	42	78	99	16	12
NC_058066.1:4527351-4527779	Cluster_176	N	1	189	6	131	76
NC_058066.1:4529111-4529538	Cluster_177	N	8	60	20	180	1
NC_058066.1:4531090-4531633	Cluster_178	N	224	169	26	282	138
NC_058066.1:4542604-4543029	Cluster_179	N	40	22	45	13	21
NC_058066.1:4562931-4563361	Cluster_180	N	54	40	11	5	267
NC_058066.1:4570207-4570655	Cluster_181	N	4	10	6	3	1466
NC_058066.1:4571239-4571801	Cluster_182	N	0	2	2	3	894
NC_058066.1:4591107-4591717	Cluster_183	N	353	252	701	918	433
NC_058066.1:4596605-4597032	Cluster_184	N	140	23	18	0	1
NC_058066.1:5088459-5088888	Cluster_185	N	21	0	160	12	18
NC_058066.1:5097314-5097723	Cluster_186	N	81	0	5	17	0
NC_058066.1:5099329-5100112	Cluster_187	N	49	728	89	385	15
NC_058066.1:5100322-5100838	Cluster_188	N	60	117	124	49	0
NC_058066.1:5118657-5119089	Cluster_189	N	604	86	334	181	41
NC_058066.1:5142158-5142576	Cluster_190	N	0	176	10	1	8
NC_058066.1:5224792-5225215	Cluster_191	N	29	105	564	8	16
NC_058066.1:5240409-5240844	Cluster_192	N	187	424	711	433	878
NC_058066.1:5264708-5265125	Cluster_193	N	55	71	75	28	17
NC_058066.1:5314740-5315199	Cluster_194	N	152	48	59	26	205
NC_058066.1:5332228-5332691	Cluster_195	N	455	539	187	338	243
NC_058066.1:5341379-5341795	Cluster_196	N	49	47	13	34	66
NC_058066.1:5604608-5605031	Cluster_197	N	4	95	1	2	0
NC_058066.1:5703640-5704069	Cluster_198	N	5	9	10	455	4
NC_058066.1:5704323-5704753	Cluster_199	N	27	230	36	31	40
NC_058066.1:5705937-5706378	Cluster_200	N	52	48	15	79	133
NC_058066.1:5796488-5796916	Cluster_201	N	160	709	3	223	0
NC_058066.1:5844885-5845313	Cluster_202	N	9	193	75	9	0
NC_058066.1:5905312-5905827	Cluster_203	N	80	64	41	20	10
NC_058066.1:5955136-5955564	Cluster_204	N	145	0	0	0	2
NC_058066.1:6116906-6117387	Cluster_205	N	0	2	184	0	68
NC_058066.1:6219284-6219712	Cluster_206	N	471	1	0	0	185
NC_058066.1:6261806-6262258	Cluster_207	N	118	148	0	19	177
NC_058066.1:6307573-6308084	Cluster_208	N	168	193	156	143	115
NC_058066.1:6314126-6314552	Cluster_209	N	21	49	56	30	26
NC_058066.1:6332538-6332971	Cluster_210	N	91	75	65	35	23
NC_058066.1:6342434-6343313	Cluster_211	N	380	1	50	5	1
NC_058066.1:6352776-6353207	Cluster_212	N	11	4	1	585	23
NC_058066.1:6363187-6363615	Cluster_213	N	22	4	343	10	5
NC_058066.1:6392841-6393257	Cluster_214	N	55	52	3	18	56
NC_058066.1:6417595-6418138	Cluster_215	N	952	1086	24	12	0
NC_058066.1:6418159-6418840	Cluster_216	N	5446	4985	888	487	4
NC_058066.1:6443917-6444345	Cluster_217	N	203	255	3	1	4
NC_058066.1:6529310-6529883	Cluster_218	N	8	280	11	8	1
NC_058066.1:6529892-6530683	Cluster_219	N	4	974	7	12	4
NC_058066.1:6557606-6558150	Cluster_220	N	156	254	192	310	155
NC_058066.1:6589406-6589835	Cluster_221	N	22	66	41	63	95
NC_058066.1:6681986-6682414	Cluster_222	N	198	3	4	8	3
NC_058066.1:6859387-6859816	Cluster_223	N	44	0	0	0	417
NC_058066.1:6874424-6874853	Cluster_224	N	5	133	0	35	0
NC_058066.1:6928504-6928934	Cluster_225	N	25	344	619	136	428
NC_058066.1:6972447-6972863	Cluster_226	N	0	0	516	0	0
NC_058066.1:7198629-7199054	Cluster_227	N	94	0	14	0	4
NC_058066.1:7210451-7211097	Cluster_228	N	209	4	20	265	0
NC_058066.1:7240509-7240939	Cluster_229	N	9	3	6	1	120
NC_058066.1:7514685-7515163	Cluster_230	N	170	78	75	260	664
NC_058066.1:7519887-7520317	Cluster_231	N	113	32	124	98	428
NC_058066.1:7530913-7531343	Cluster_232	N	12	375	163	201	13
NC_058066.1:7532232-7532659	Cluster_233	N	66	62	34	42	12
NC_058066.1:7563377-7563797	Cluster_234	N	17	53	37	5	13
NC_058066.1:7600171-7601862	Cluster_235	N	1372	804	765	1384	1019
NC_058066.1:7602747-7603218	Cluster_236	N	158	41	14	0	322
NC_058066.1:7654651-7655079	Cluster_237	N	4	63	6	241	130
NC_058066.1:7656764-7657191	Cluster_238	N	1	0	178	1	0
NC_058066.1:7694380-7694806	Cluster_239	N	139	1	3	0	27
NC_058066.1:7714668-7715197	Cluster_240	N	0	540	104	65	0
NC_058066.1:7730071-7730508	Cluster_241	N	307	1	70	361	16
NC_058066.1:7731219-7731737	Cluster_242	N	12	75	82	23	175
NC_058066.1:7732564-7733490	Cluster_243	N	593	338	150	82	61
NC_058066.1:7793600-7794029	Cluster_244	N	5	222	0	0	2
NC_058066.1:7802726-7803147	Cluster_245	N	54	4	37	6	23
NC_058066.1:7875994-7876421	Cluster_246	N	0	0	0	0	173
NC_058066.1:7943787-7944196	Cluster_247	N	35	127	47	2	24
NC_058066.1:8171302-8171732	Cluster_248	N	251	4	263	3	24
NC_058066.1:8195271-8196320	Cluster_249	N	527	175	189	90	2
NC_058066.1:8310289-8310717	Cluster_250	N	10	180	150	34	105
NC_058066.1:8313705-8314114	Cluster_251	N	4	0	33	52	87
NC_058066.1:8319128-8319555	Cluster_252	N	0	0	27	130	0
NC_058066.1:8331008-8331437	Cluster_253	N	1	166	0	6	0
NC_058066.1:8458714-8459222	Cluster_254	N	31	423	1088	18	15
NC_058066.1:8498040-8498487	Cluster_255	N	4	74	366	145	1
NC_058066.1:8640520-8640948	Cluster_256	N	0	21	0	121	65
NC_058066.1:8850235-8850664	Cluster_257	N	4	114	19	0	0
NC_058066.1:8905083-8905484	Cluster_258	N	4	8	56	7	26
NC_058066.1:8943975-8944389	Cluster_259	N	3	8	12	12	91
NC_058066.1:9239420-9239836	Cluster_260	N	2	40	95	0	19
NC_058066.1:9249747-9250187	Cluster_261	N	1	29	5264	5	378
NC_058066.1:9320629-9321067	Cluster_262	N	95	157	99	83	81
NC_058066.1:9344067-9344497	Cluster_263	N	0	84	20	0	1
NC_058066.1:9355908-9356334	Cluster_264	N	118	0	0	0	1
NC_058066.1:9356980-9357397	Cluster_265	N	350	0	1	1	3
NC_058066.1:9373667-9374096	Cluster_266	N	87	4	99	2	30
NC_058066.1:9402467-9402894	Cluster_267	N	6	220	1	1	4
NC_058066.1:9411531-9411977	Cluster_268	N	1	114	212	369	18
NC_058066.1:9413101-9413846	Cluster_269	N	0	276	243	208	118
NC_058066.1:9414208-9414781	Cluster_270	N	5	110	160	854	26
NC_058066.1:9415436-9416057	Cluster_271	N	3	882	357	9	19
NC_058066.1:9423076-9423522	Cluster_272	N	3	107	189	358	14
NC_058066.1:9424017-9424426	Cluster_273	N	2	98	56	35	17
NC_058066.1:9424646-9425391	Cluster_274	N	0	260	242	209	102
NC_058066.1:9425756-9426307	Cluster_275	N	1	124	147	74	30
NC_058066.1:9426310-9426794	Cluster_276	N	1	359	137	9	46
NC_058066.1:9426977-9427749	Cluster_277	N	4	972	419	12	18
NC_058066.1:9431462-9431878	Cluster_278	N	61	63	107	113	186
NC_058066.1:9441135-9441664	Cluster_279	N	258	102	240	0	1
NC_058066.1:9470217-9470646	Cluster_280	N	81	8	126	1	27
NC_058066.1:9482225-9482739	Cluster_281	N	21	1	1	691	6
NC_058066.1:9483107-9483533	Cluster_282	N	199	0	0	0	1
NC_058066.1:9486844-9487271	Cluster_283	N	103	0	2	0	0
NC_058066.1:9510852-9511290	Cluster_284	N	245	186	0	1	64
NC_058066.1:9512883-9513320	Cluster_285	N	89	15	1045	0	59
NC_058066.1:9519078-9519517	Cluster_286	N	94	160	95	61	95
NC_058066.1:9750609-9751032	Cluster_287	N	11	13	0	0	62
NC_058066.1:10190368-10190782	Cluster_288	N	17	9	25	14	57
NC_058066.1:10213461-10213879	Cluster_289	N	3	1	2	15	162
NC_058066.1:10357121-10357537	Cluster_290	N	110	408	282	0	220
NC_058066.1:10491286-10491798	Cluster_291	N	12	1327	30	770	614
NC_058066.1:10513300-10513719	Cluster_292	N	30	0	1	249	1
NC_058066.1:10578372-10578801	Cluster_293	N	12	5	241	8	6
NC_058066.1:10595555-10596459	Cluster_294	N	261	472	473	595	380
NC_058066.1:10620700-10621117	Cluster_295	N	13	57	69	115	0
NC_058066.1:10849134-10849563	Cluster_296	N	3	16	1305	14	17
NC_058066.1:10865783-10866252	Cluster_297	N	116	83	157	56	114
NC_058066.1:10866399-10866816	Cluster_298	N	26	20	53	17	17
NC_058066.1:10890744-10891171	Cluster_299	N	19	35	247	31	25
NC_058066.1:10915025-10915452	Cluster_300	N	55	2	40	50	0
NC_058066.1:11055992-11056421	Cluster_301	N	43	14692	36	145	4257
NC_058066.1:11129704-11130455	Cluster_302	N	128	678	567	88	11
NC_058066.1:11201125-11202024	Cluster_303	N	3	1851	5882	9	2362
NC_058066.1:11205169-11205591	Cluster_304	N	6	24	33	32	120
NC_058066.1:11326710-11327138	Cluster_305	N	1	426	186	232	131
NC_058066.1:11363689-11364114	Cluster_306	N	0	71	104	0	0
NC_058066.1:11435738-11436245	Cluster_307	N	425	96	20	184	2
NC_058066.1:11455898-11456327	Cluster_308	N	0	6	130	23	0
NC_058066.1:11614052-11614854	Cluster_309	N	982	4	5	41	19
NC_058066.1:11708688-11709221	Cluster_310	N	49	5877	3670	102	4351
NC_058066.1:11901595-11902339	Cluster_311	N	149	35	388	238	46
NC_058066.1:11910958-11911943	Cluster_312	N	525	16	1148	2	5
NC_058066.1:11912392-11913103	Cluster_313	N	772	15	1251	6	9
NC_058066.1:11914910-11915344	Cluster_314	N	324	6	414	0	69
NC_058066.1:11938207-11938635	Cluster_315	N	2	0	0	181	0
NC_058066.1:12087833-12088263	Cluster_316	N	16	56	382	1	6
NC_058066.1:12276665-12277093	Cluster_317	N	197	21	81	94	51
NC_058066.1:12314771-12315199	Cluster_318	N	0	1	101	0	22
NC_058066.1:12369058-12369482	Cluster_319	N	0	0	0	85	0
NC_058066.1:12370247-12371188	Cluster_320	N	109	1887	842	5082	487
NC_058066.1:12457645-12458050	Cluster_321	N	26	32	11	28	12
NC_058066.1:12681649-12682072	Cluster_322	N	0	71	13	0	36
NC_058066.1:12706010-12706440	Cluster_323	N	5	1	10	1513	151
NC_058066.1:12729722-12730183	Cluster_324	N	0	1	2	1	453
NC_058066.1:12735217-12735660	Cluster_325	N	737	19	153	64	20
NC_058066.1:12757125-12757218	Cluster_326	Y	1	965	1500	0	5784
NC_058066.1:12815176-12815590	Cluster_327	N	67	0	3	17	14
NC_058066.1:12875476-12875923	Cluster_328	N	222	25	13	21	1
NC_058066.1:12908625-12909040	Cluster_329	N	1	0	15	1	88
NC_058066.1:12942952-12943789	Cluster_330	N	11	518	14	324	860
NC_058066.1:12943942-12944609	Cluster_331	N	6	87	2	73	586
NC_058066.1:12944828-12945862	Cluster_332	N	24	348	7	304	576
NC_058066.1:12945985-12946402	Cluster_333	N	1	93	2	44	25
NC_058066.1:12972144-12972633	Cluster_334	N	4317	7132	18278	2115	1610
NC_058066.1:13025923-13026353	Cluster_335	N	99	0	79	132	90
NC_058066.1:13035798-13036220	Cluster_336	N	51	8	1	0	25
NC_058066.1:13036269-13036699	Cluster_337	N	111	214	79	110	41
NC_058066.1:13128148-13128573	Cluster_338	N	1	0	382	12	112
NC_058066.1:13218673-13219102	Cluster_339	N	116	123	112	116	12
NC_058066.1:13401084-13403037	Cluster_340	N	49	3272	26	4	10
NC_058066.1:13434734-13435162	Cluster_341	N	13	196	0	139	6
NC_058066.1:13446834-13447261	Cluster_342	N	54	157	136	3	220
NC_058066.1:13572127-13572554	Cluster_343	N	19	34	39	78	68
NC_058066.1:13688302-13688729	Cluster_344	N	47	51	8	9	15
NC_058066.1:13838095-13838524	Cluster_345	N	3	18	10	6	145
NC_058066.1:14063944-14064363	Cluster_346	N	13	9	18	8	49
NC_058066.1:14073714-14075815	Cluster_347	N	725	513	541	37	58
NC_058066.1:14078616-14079155	Cluster_348	N	82	244	0	186	8
NC_058066.1:14341478-14341904	Cluster_349	N	37	145	0	0	3
NC_058066.1:14401643-14402075	Cluster_350	N	97	0	0	41	311
NC_058066.1:14416364-14416780	Cluster_351	N	0	0	191	0	0
NC_058066.1:14427184-14427601	Cluster_352	N	14	12	144	0	7
NC_058066.1:14463895-14464343	Cluster_353	N	69	51	1	465	46
NC_058066.1:14515543-14515959	Cluster_354	N	10	8	62	2	26
NC_058066.1:14591498-14591912	Cluster_355	N	40	17	132	122	0
NC_058066.1:14595260-14595689	Cluster_356	N	40	0	129	2	0
NC_058066.1:14618660-14619453	Cluster_357	N	3	314	1116	4	33
NC_058066.1:14619499-14621305	Cluster_358	N	2	1523	3692	31	19
NC_058066.1:14626228-14626650	Cluster_359	N	55	6	0	1	45
NC_058066.1:14629624-14630418	Cluster_360	N	1354	1238	78	3	19
NC_058066.1:14630906-14632040	Cluster_361	N	0	603	6230	5	2
NC_058066.1:14773924-14774349	Cluster_362	N	6	4	64	56	55
NC_058066.1:14833954-14834363	Cluster_363	N	34	126	40	4	16
NC_058066.1:14985542-14985968	Cluster_364	N	1	46	26	66	8
NC_058066.1:15046023-15046452	Cluster_365	N	7	0	424	46	0
NC_058066.1:15052782-15053205	Cluster_366	N	0	110	0	0	0
NC_058066.1:15064597-15065012	Cluster_367	N	11	115	28	43	15
NC_058066.1:15150698-15151277	Cluster_368	N	230	351	400	100	513
NC_058066.1:15153404-15153917	Cluster_369	N	220	752	1078	835	2092
NC_058066.1:15288771-15289189	Cluster_370	N	1282	1632	429	1020	13
NC_058066.1:15291682-15292274	Cluster_371	N	442	189	543	171	0
NC_058066.1:15308748-15309162	Cluster_372	N	0	63	1	31	2
NC_058066.1:15502319-15502730	Cluster_373	N	3	49	31	162	15
NC_058066.1:15503231-15503654	Cluster_374	N	9	71	1	22	22
NC_058066.1:15504762-15505258	Cluster_375	N	14	20	68	1712	1
NC_058066.1:15520732-15521148	Cluster_376	N	13	14	74	12	21
NC_058066.1:15544994-15545409	Cluster_377	N	22	6	88	7	13
NC_058066.1:15644125-15644540	Cluster_378	N	44	10	13	30	2
NC_058066.1:15670579-15671008	Cluster_379	N	90	113	0	0	52
NC_058066.1:15854619-15855047	Cluster_380	N	0	0	0	0	136
NC_058066.1:15899866-15900306	Cluster_381	N	0	39	15	0	1056
NC_058066.1:15961745-15962152	Cluster_382	N	27	60	32	9	7
NC_058066.1:16516197-16516625	Cluster_383	N	0	1	2	0	249
