qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
Cluster_9992.mature::Porites_evermani_scaffold_1159:7427-7449(+)	Cluster_6965.mature::NC_058073.1:11856173-11856195(+)	100	9	0	0	13	21	6	14	0.03	18.3
Cluster_10850.mature::Porites_evermani_scaffold_1415:72070-72092(+)	Cluster_2551.mature::NC_058068.1:3756521-3756544(-)	100	8	0	0	4	11	22	15	0.12	16.4
Cluster_10882.mature::Porites_evermani_scaffold_1429:47284-47306(-)	Cluster_10055.mature::NC_058077.1:21629096-21629118(+)	100	7	0	0	14	20	9	15	0.46	14.4
Cluster_11045.mature::Porites_evermani_scaffold_1503:47579-47601(+)	Cluster_17867.mature::NW_025323116.1:130838-130859(-)	100	5	0	0	3	7	5	9	7.2	10.4
Cluster_11046.mature::Porites_evermani_scaffold_1503:47770-47792(+)	Cluster_10675.mature::NC_058079.1:2370984-2371006(+)	100	6	0	0	15	20	6	1	1.8	12.4
Cluster_11890.mature::Porites_evermani_scaffold_1732:76503-76525(+)	Cluster_2074.mature::NC_058067.1:26890879-26890901(+)	100	7	0	0	7	13	18	12	0.46	14.4
Cluster_14130.mature::Porites_evermani_scaffold_2595:68590-68612(-)	Cluster_316.mature::NC_058066.1:12757146-12757168(-)	100	8	0	0	8	15	10	17	0.12	16.4
Cluster_14362.mature::Porites_evermani_scaffold_2738:56884-56906(+)	Cluster_9460.mature::NC_058077.1:2892707-2892729(+)	100	7	0	0	15	21	8	2	0.46	14.4
Cluster_14865.mature::Porites_evermani_scaffold_3072:29479-29501(+)	Cluster_3672.mature::NC_058069.1:21012168-21012190(-)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_15601.mature::Porites_evermani_scaffold_3707:36123-36145(-)	Cluster_4867.mature::NC_058070.1:26874026-26874048(+)	100	7	0	0	1	7	17	11	0.46	14.4
Cluster_15760.mature::Porites_evermani_scaffold_3893:3848-3870(-)	Cluster_6965.mature::NC_058073.1:11856173-11856195(+)	100	6	0	0	11	16	7	2	1.8	12.4
Cluster_16267.mature::Porites_evermani_scaffold_4805:3257-3279(-)	Cluster_3672.mature::NC_058069.1:21012168-21012190(-)	100	6	0	0	10	15	8	3	1.8	12.4
Cluster_16348.mature::Porites_evermani_scaffold_5010:12391-12413(+)	Cluster_2074.mature::NC_058067.1:26890879-26890901(+)	90.909	11	1	0	12	22	12	22	0.46	14.4
Cluster_19.mature::Pocillopora_meandrina_HIv1___Sc0000000:818048-818070(+)	Cluster_316.mature::NC_058066.1:12757146-12757168(-)	100	8	0	0	6	13	4	11	0.12	16.4
Cluster_34.mature::Pocillopora_meandrina_HIv1___Sc0000000:2872040-2872061(+)	Cluster_6958.mature::NC_058073.1:11426850-11426872(-)	100	8	0	0	4	11	4	11	0.11	16.4
Cluster_356.mature::Pocillopora_meandrina_HIv1___Sc0000000:20372468-20372490(-)	Cluster_8475.mature::NC_058075.1:15908522-15908544(+)	100	7	0	0	4	10	21	15	0.46	14.4
Cluster_751.mature::Pocillopora_meandrina_HIv1___Sc0000001:19145787-19145809(+)	Cluster_6965.mature::NC_058073.1:11856173-11856195(+)	100	7	0	0	5	11	8	14	0.46	14.4
Cluster_912.mature::Pocillopora_meandrina_HIv1___Sc0000002:3841965-3841987(-)	Cluster_3019.mature::NC_058068.1:17539511-17539533(-)	100	7	0	0	15	21	2	8	0.46	14.4
Cluster_1002.mature::Pocillopora_meandrina_HIv1___Sc0000002:10845743-10845765(-)	Cluster_17867.mature::NW_025323116.1:130838-130859(-)	100	6	0	0	1	6	10	5	1.8	12.4
Cluster_1056.mature::Pocillopora_meandrina_HIv1___Sc0000002:15749309-15749331(+)	Cluster_514.mature::NC_058066.1:20088678-20088700(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_1069.mature::Pocillopora_meandrina_HIv1___Sc0000002:16106608-16106630(+)	Cluster_8545.mature::NC_058075.1:19537877-19537901(-)	100	10	0	0	1	10	11	20	0.008	20.3
Cluster_1108.mature::Pocillopora_meandrina_HIv1___Sc0000003:495116-495138(+)	Cluster_7025.mature::NC_058073.1:15996878-15996901(-)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_1274.mature::Pocillopora_meandrina_HIv1___Sc0000003:10129533-10129556(-)	Cluster_10487.mature::NC_058078.1:13646563-13646585(+)	100	7	0	0	12	18	16	10	0.49	14.4
Cluster_1279.mature::Pocillopora_meandrina_HIv1___Sc0000003:10366054-10366076(+)	Cluster_6977.mature::NC_058073.1:12437102-12437124(+)	100	21	0	0	2	22	2	22	2.05e-09	42.1
Cluster_1783.mature::Pocillopora_meandrina_HIv1___Sc0000005:601625-601646(+)	Cluster_5241.mature::NC_058071.1:8840802-8840823(+)	100	21	0	0	1	21	1	21	1.92e-09	42.1
Cluster_1922.mature::Pocillopora_meandrina_HIv1___Sc0000005:10385518-10385541(+)	Cluster_6977.mature::NC_058073.1:12437102-12437124(+)	100	6	0	0	8	13	17	22	1.9	12.4
Cluster_1940.mature::Pocillopora_meandrina_HIv1___Sc0000005:11260781-11260803(+)	Cluster_2551.mature::NC_058068.1:3756521-3756544(-)	100	7	0	0	3	9	12	18	0.46	14.4
Cluster_1941.mature::Pocillopora_meandrina_HIv1___Sc0000005:11261377-11261399(+)	Cluster_2057.mature::NC_058067.1:25838852-25838876(+)	92.308	13	1	0	10	22	13	1	0.03	18.3
Cluster_2786.mature::Pocillopora_meandrina_HIv1___Sc0000008:1783823-1783844(+)	Cluster_6376.mature::NC_058072.1:19030617-19030639(+)	100	8	0	0	1	8	15	22	0.11	16.4
Cluster_2830.mature::Pocillopora_meandrina_HIv1___Sc0000008:3576441-3576463(+)	Cluster_6977.mature::NC_058073.1:12437102-12437124(+)	100	7	0	0	11	17	21	15	0.46	14.4
Cluster_2832.mature::Pocillopora_meandrina_HIv1___Sc0000008:3619362-3619384(-)	Cluster_1900.mature::NC_058067.1:16118269-16118291(-)	100	9	0	0	14	22	1	9	0.03	18.3
Cluster_2852.mature::Pocillopora_meandrina_HIv1___Sc0000008:5387759-5387781(-)	Cluster_10055.mature::NC_058077.1:21629096-21629118(+)	100	8	0	0	2	9	6	13	0.12	16.4
Cluster_2970.mature::Pocillopora_meandrina_HIv1___Sc0000009:3894921-3894943(-)	Cluster_3087.mature::NC_058069.1:1868155-1868177(+)	100	10	0	0	10	19	17	8	0.008	20.3
Cluster_3397.mature::Pocillopora_meandrina_HIv1___Sc0000010:8012937-8012959(+)	Cluster_2522.mature::NC_058068.1:598173-598195(+)	100	9	0	0	10	18	6	14	0.03	18.3
Cluster_3670.mature::Pocillopora_meandrina_HIv1___Sc0000012:6455204-6455226(+)	Cluster_1998.mature::NC_058067.1:21549048-21549069(+)	100	7	0	0	2	8	12	6	0.46	14.4
Cluster_4059.mature::Pocillopora_meandrina_HIv1___Sc0000014:2366059-2366081(-)	Cluster_3672.mature::NC_058069.1:21012168-21012190(-)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_4060.mature::Pocillopora_meandrina_HIv1___Sc0000014:2594791-2594813(+)	Cluster_2522.mature::NC_058068.1:598173-598195(+)	100	8	0	0	6	13	3	10	0.12	16.4
Cluster_4142.mature::Pocillopora_meandrina_HIv1___Sc0000014:9365480-9365502(-)	Cluster_10675.mature::NC_058079.1:2370984-2371006(+)	100	7	0	0	10	16	19	13	0.46	14.4
Cluster_4466.mature::Pocillopora_meandrina_HIv1___Sc0000016:7549578-7549600(+)	Cluster_4867.mature::NC_058070.1:26874026-26874048(+)	100	8	0	0	10	17	19	12	0.12	16.4
Cluster_4468.mature::Pocillopora_meandrina_HIv1___Sc0000016:7550614-7550635(+)	Cluster_10729.mature::NC_058079.1:5261442-5261463(+)	100	6	0	0	11	16	1	6	1.7	12.4
Cluster_4469.mature::Pocillopora_meandrina_HIv1___Sc0000016:7553303-7553325(+)	Cluster_9460.mature::NC_058077.1:2892707-2892729(+)	100	7	0	0	6	12	12	18	0.46	14.4
Cluster_4470.mature::Pocillopora_meandrina_HIv1___Sc0000016:7555691-7555713(+)	Cluster_8475.mature::NC_058075.1:15908522-15908544(+)	90	10	1	0	9	18	20	11	1.8	12.4
Cluster_4471.mature::Pocillopora_meandrina_HIv1___Sc0000016:7556379-7556401(+)	Cluster_8475.mature::NC_058075.1:15908522-15908544(+)	90	10	1	0	9	18	20	11	1.8	12.4
Cluster_4599.mature::Pocillopora_meandrina_HIv1___Sc0000017:5050958-5050980(-)	Cluster_6965.mature::NC_058073.1:11856173-11856195(+)	100	6	0	0	2	7	4	9	1.8	12.4
Cluster_4778.mature::Pocillopora_meandrina_HIv1___Sc0000018:4564905-4564927(+)	Cluster_2074.mature::NC_058067.1:26890879-26890901(+)	100	8	0	0	8	15	22	15	0.12	16.4
Cluster_4846.mature::Pocillopora_meandrina_HIv1___Sc0000018:6855520-6855542(+)	Cluster_4247.mature::NC_058070.1:11598966-11598988(+)	100	8	0	0	15	22	10	3	0.12	16.4
Cluster_5275.mature::Pocillopora_meandrina_HIv1___Sc0000021:4351838-4351860(+)	Cluster_2551.mature::NC_058068.1:3756521-3756544(-)	100	7	0	0	13	19	1	7	0.46	14.4
Cluster_5642.mature::Pocillopora_meandrina_HIv1___Sc0000024:4808687-4808708(+)	Cluster_3973.mature::NC_058070.1:2185007-2185030(-)	100	6	0	0	4	9	7	12	1.7	12.4
Cluster_5770.mature::Pocillopora_meandrina_HIv1___Sc0000026:1154771-1154793(-)	Cluster_6439.mature::NC_058072.1:23262867-23262889(-)	100	8	0	0	7	14	18	11	0.12	16.4
Cluster_6429.mature::Pocillopora_meandrina_HIv1___Sc0000035:1989841-1989863(+)	Cluster_7025.mature::NC_058073.1:15996878-15996901(-)	100	7	0	0	9	15	12	18	0.46	14.4
Cluster_316.mature::NC_058066.1:12757146-12757168(-)	Cluster_14130.mature::Porites_evermani_scaffold_2595:68590-68612(-)	100	8	0	0	10	17	8	15	0.14	16.4
Cluster_514.mature::NC_058066.1:20088678-20088700(+)	Cluster_6866.mature::Porites_evermani_scaffold_590:199391-199413(+)	100	7	0	0	1	7	4	10	0.55	14.4
Cluster_548.mature::NC_058066.1:20346248-20346271(-)	Cluster_6866.mature::Porites_evermani_scaffold_590:199391-199413(+)	100	6	0	0	11	16	17	22	2.3	12.4
Cluster_1506.mature::NC_058067.1:5656213-5656236(-)	Cluster_2871.mature::Porites_evermani_scaffold_148:94582-94604(-)	100	7	0	0	15	21	17	11	0.59	14.4
Cluster_1900.mature::NC_058067.1:16118269-16118291(-)	Cluster_9992.mature::Porites_evermani_scaffold_1159:7427-7449(+)	100	9	0	0	11	19	11	19	0.035	18.3
Cluster_1998.mature::NC_058067.1:21549048-21549069(+)	Cluster_2871.mature::Porites_evermani_scaffold_148:94582-94604(-)	100	7	0	0	15	21	18	12	0.52	14.4
Cluster_2057.mature::NC_058067.1:25838852-25838876(+)	Cluster_9915.mature::Porites_evermani_scaffold_1128:125547-125568(-)	100	7	0	0	4	10	14	8	0.62	14.4
Cluster_2074.mature::NC_058067.1:26890879-26890901(+)	Cluster_16348.mature::Porites_evermani_scaffold_5010:12391-12413(+)	90.909	11	1	0	12	22	12	22	0.55	14.4
Cluster_2521.mature::NC_058068.1:597877-597899(+)	Cluster_10882.mature::Porites_evermani_scaffold_1429:47284-47306(-)	100	6	0	0	15	20	17	12	2.2	12.4
Cluster_2522.mature::NC_058068.1:598173-598195(+)	Cluster_10882.mature::Porites_evermani_scaffold_1429:47284-47306(-)	100	6	0	0	15	20	17	12	2.2	12.4
Cluster_2551.mature::NC_058068.1:3756521-3756544(-)	Cluster_10850.mature::Porites_evermani_scaffold_1415:72070-72092(+)	100	8	0	0	15	22	11	4	0.15	16.4
Cluster_3019.mature::NC_058068.1:17539511-17539533(-)	Cluster_1125.mature::Porites_evermani_scaffold_47:475993-476015(-)	100	9	0	0	2	10	13	21	0.035	18.3
Cluster_3087.mature::NC_058069.1:1868155-1868177(+)	Cluster_9992.mature::Porites_evermani_scaffold_1159:7427-7449(+)	100	7	0	0	11	17	12	6	0.55	14.4
Cluster_3090.mature::NC_058069.1:2018510-2018533(-)	Cluster_8828.mature::Porites_evermani_scaffold_910:139352-139373(+)	100	6	0	0	16	21	9	4	2.3	12.4
Cluster_3672.mature::NC_058069.1:21012168-21012190(-)	Cluster_14865.mature::Porites_evermani_scaffold_3072:29479-29501(+)	100	22	0	0	1	22	1	22	6.19e-10	44.1
Cluster_3973.mature::NC_058070.1:2185007-2185030(-)	Cluster_7013.mature::Porites_evermani_scaffold_613:156504-156526(+)	100	7	0	0	14	20	14	20	0.59	14.4
Cluster_4247.mature::NC_058070.1:11598966-11598988(+)	Cluster_7605.mature::Porites_evermani_scaffold_730:82422-82444(-)	100	7	0	0	8	14	8	14	0.55	14.4
Cluster_4867.mature::NC_058070.1:26874026-26874048(+)	Cluster_15601.mature::Porites_evermani_scaffold_3707:36123-36145(-)	100	7	0	0	11	17	7	1	0.55	14.4
Cluster_5241.mature::NC_058071.1:8840802-8840823(+)	Cluster_6875.mature::Porites_evermani_scaffold_594:158229-158250(+)	100	21	0	0	1	21	1	21	2.29e-09	42.1
Cluster_6376.mature::NC_058072.1:19030617-19030639(+)	Cluster_16348.mature::Porites_evermani_scaffold_5010:12391-12413(+)	100	6	0	0	12	17	4	9	2.2	12.4
Cluster_6439.mature::NC_058072.1:23262867-23262889(-)	Cluster_7013.mature::Porites_evermani_scaffold_613:156504-156526(+)	100	7	0	0	6	12	20	14	0.55	14.4
Cluster_6958.mature::NC_058073.1:11426850-11426872(-)	Cluster_16348.mature::Porites_evermani_scaffold_5010:12391-12413(+)	100	6	0	0	9	14	13	8	2.2	12.4
Cluster_6965.mature::NC_058073.1:11856173-11856195(+)	Cluster_9992.mature::Porites_evermani_scaffold_1159:7427-7449(+)	100	9	0	0	6	14	13	21	0.035	18.3
Cluster_6977.mature::NC_058073.1:12437102-12437124(+)	Cluster_1153.mature::Porites_evermani_scaffold_49:151639-151661(-)	100	22	0	0	1	22	1	22	6.19e-10	44.1
Cluster_7025.mature::NC_058073.1:15996878-15996901(-)	Cluster_5540.mature::Porites_evermani_scaffold_430:205886-205909(-)	100	23	0	0	1	23	1	23	1.66e-10	46.1
Cluster_7077.mature::NC_058074.1:2966522-2966545(+)	Cluster_6211.mature::Porites_evermani_scaffold_502:58996-59018(-)	100	22	0	0	1	22	1	22	6.58e-10	44.1
Cluster_8475.mature::NC_058075.1:15908522-15908544(+)	Cluster_4097.mature::Porites_evermani_scaffold_257:110360-110382(-)	100	9	0	0	7	15	11	19	0.035	18.3
Cluster_8545.mature::NC_058075.1:19537877-19537901(-)	Cluster_6211.mature::Porites_evermani_scaffold_502:58996-59018(-)	100	7	0	0	10	16	11	5	0.62	14.4
Cluster_9460.mature::NC_058077.1:2892707-2892729(+)	Cluster_14362.mature::Porites_evermani_scaffold_2738:56884-56906(+)	100	7	0	0	2	8	21	15	0.55	14.4
Cluster_10055.mature::NC_058077.1:21629096-21629118(+)	Cluster_10882.mature::Porites_evermani_scaffold_1429:47284-47306(-)	100	7	0	0	9	15	14	20	0.55	14.4
Cluster_10187.mature::NC_058078.1:5700442-5700464(-)	Cluster_14130.mature::Porites_evermani_scaffold_2595:68590-68612(-)	100	7	0	0	16	22	15	21	0.55	14.4
