"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","ncrna_chrom","ncrna_start","ncrna_end","gf_chrom","gf_type","gf_start","gf_end","overlap","prop.sig.genes","Species","ncrna"
"19","LOC114967789","GO:0006268","DNA unwinding involved in DNA replication",123,3,0.15,0.00036,"Biological Processes","NW_025322620.1",178376,184506,"NW_025322620.1","mRNA",180442,182029,1587,0.024390243902439,"Acropora pulchra","piRNA"
"20","LOC122950925","GO:0006310","DNA recombination",866,9,1.09,0.00013,"Biological Processes","NW_025322648.1",715048,722637,"NW_025322648.1","mRNA",717219,721680,4461,0.0103926096997691,"Acropora pulchra","piRNA"
"21","LOC122950925","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NW_025322648.1",715048,722637,"NW_025322648.1","mRNA",717219,721680,4461,0.0116429495472186,"Acropora pulchra","piRNA"
"22","LOC122952191","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NW_025322706.1",12013,20025,"NW_025322706.1","mRNA",13473,15146,1673,0.0116429495472186,"Acropora pulchra","piRNA"
"23","LOC122956629","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NC_058067.1",14155111,14163931,"NC_058067.1","mRNA",14157497,14159293,1796,0.0116429495472186,"Acropora pulchra","piRNA"
"24","LOC122957249","GO:0000723","telomere maintenance",201,5,0.25,8e-06,"Biological Processes","NC_058067.1",30936178,30944991,"NC_058067.1","mRNA",30942775,30943688,913,0.0248756218905473,"Acropora pulchra","piRNA"
"25","LOC122957249","GO:0044806","G-quadruplex DNA unwinding",86,4,0.11,2.6e-06,"Biological Processes","NC_058067.1",30936178,30944991,"NC_058067.1","mRNA",30942775,30943688,913,0.0465116279069767,"Acropora pulchra","piRNA"
"26","LOC122959385","GO:1903108","regulation of mitochondrial transcription",7,1,0.01,0.0079,"Biological Processes","NC_058070.1",16239005,16248013,"NC_058070.1","mRNA",16243679,16244486,807,0.142857142857143,"Acropora pulchra","piRNA"
"27","LOC122960430","GO:0006310","DNA recombination",866,9,1.09,0.00013,"Biological Processes","NC_058071.1",7355630,7361347,"NC_058071.1","mRNA",7354716,7356162,532,0.0103926096997691,"Acropora pulchra","piRNA"
"28","LOC122960430","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NC_058071.1",7355630,7361347,"NC_058071.1","mRNA",7354716,7356162,532,0.0116429495472186,"Acropora pulchra","piRNA"
"29","LOC122960659","GO:0006355","regulation of DNA-templated transcription",2068,7,2.59,0.00707,"Biological Processes","NC_058072.1",16792114,16799962,"NC_058072.1","mRNA",16801758,16805105,-1796,0.00338491295938104,"Acropora pulchra","piRNA"
"30","LOC122961172","GO:0000723","telomere maintenance",201,5,0.25,8e-06,"Biological Processes","NC_058072.1",16650053,16658972,"NC_058072.1","mRNA",16649053,16654072,4019,0.0248756218905473,"Acropora pulchra","piRNA"
"31","LOC122961172","GO:0006310","DNA recombination",866,9,1.09,0.00013,"Biological Processes","NC_058072.1",16650053,16658972,"NC_058072.1","mRNA",16649053,16654072,4019,0.0103926096997691,"Acropora pulchra","piRNA"
"32","LOC122962131","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17052282,17053208,926,0.0116429495472186,"Acropora pulchra","piRNA"
"33","LOC114950214","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17053224,17055316,2092,0.0116429495472186,"Acropora pulchra","piRNA"
"34","LOC122964458","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NC_058066.1",28121256,28125982,"NC_058066.1","mRNA",28126954,28127481,-972,0.0116429495472186,"Acropora pulchra","piRNA"
"35","LOC114949708","GO:0042025","host cell nucleus",72,2,0.1,0.0037,"Cellular Components","NW_025322639.1",552725,557583,"NW_025322639.1","mRNA",553678,555304,1626,0.0277777777777778,"Acropora pulchra","piRNA"
"36","LOC114951564","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NC_058066.1",27441463,27447983,"NC_058066.1","mRNA",27462364,27464454,-14381,0.00255188839741409,"Acropora pulchra","piRNA"
"37","LOC114957702","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058069.1",2474003,2485020,"NC_058069.1","mRNA",2466391,2500565,11017,0.00207263224294854,"Acropora pulchra","piRNA"
"38","LOC114959002","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,647,0.00255188839741409,"Acropora pulchra","piRNA"
"39","LOC114961822","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NC_058076.1",1894179,1899982,"NC_058076.1","mRNA",1886532,1905239,5803,0.00255188839741409,"Acropora pulchra","piRNA"
"40","LOC114962317","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,-14692,0.00207263224294854,"Acropora pulchra","piRNA"
"41","LOC114962317","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,-14692,0.00207263224294854,"Acropora pulchra","piRNA"
"42","LOC114962317","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,-14692,0.00207263224294854,"Acropora pulchra","piRNA"
"43","LOC114962317","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,-14692,0.00207263224294854,"Acropora pulchra","piRNA"
"44","LOC114962739","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058069.1",26266482,26272980,"NC_058069.1","mRNA",26264526,26265929,-553,0.00207263224294854,"Acropora pulchra","piRNA"
"45","LOC114965810","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322899.1",60237,66025,"NW_025322899.1","mRNA",48932,49696,-10541,0.00207263224294854,"Acropora pulchra","piRNA"
"46","LOC114965810","GO:0042575","DNA polymerase complex",501,6,0.71,3.4e-05,"Cellular Components","NW_025322899.1",60237,66025,"NW_025322899.1","mRNA",48932,49696,-10541,0.0119760479041916,"Acropora pulchra","piRNA"
"47","LOC114967414","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NC_058066.1",17726050,17734960,"NC_058066.1","mRNA",17729627,17732829,3202,0.00255188839741409,"Acropora pulchra","piRNA"
"48","LOC114971199","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322899.1",33044,40027,"NW_025322899.1","mRNA",34820,38944,4124,0.00207263224294854,"Acropora pulchra","piRNA"
"49","LOC114971199","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322899.1",33044,40027,"NW_025322899.1","mRNA",34820,38944,4124,0.00207263224294854,"Acropora pulchra","piRNA"
"50","LOC114971199","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322899.1",33044,40027,"NW_025322899.1","mRNA",34820,38944,4124,0.00207263224294854,"Acropora pulchra","piRNA"
"51","LOC114971199","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322899.1",33044,40027,"NW_025322899.1","mRNA",34820,38944,4124,0.00207263224294854,"Acropora pulchra","piRNA"
"52","LOC114973961","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058067.1",30797040,30806014,"NC_058067.1","mRNA",30815166,30819212,-9152,0.00207263224294854,"Acropora pulchra","piRNA"
"53","LOC122947278","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058079.1",10942018,10952991,"NC_058079.1","mRNA",10946598,10953476,6393,0.00207263224294854,"Acropora pulchra","piRNA"
"54","LOC114948732","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NW_025322619.1",1337052,1343870,"NW_025322619.1","mRNA",1339851,1341951,2100,0.00255188839741409,"Acropora pulchra","piRNA"
"55","LOC114948732","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322619.1",1337052,1343870,"NW_025322619.1","mRNA",1339851,1341951,2100,0.00207263224294854,"Acropora pulchra","piRNA"
"56","LOC114968804","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322619.1",1085999,1094025,"NW_025322619.1","mRNA",1088815,1092182,3367,0.00207263224294854,"Acropora pulchra","piRNA"
"57","LOC122949366","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,1250,0.00255188839741409,"Acropora pulchra","piRNA"
"58","LOC122949366","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,1250,0.00207263224294854,"Acropora pulchra","piRNA"
"59","LOC114967789","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NW_025322620.1",178376,184506,"NW_025322620.1","mRNA",180442,182029,1587,0.00255188839741409,"Acropora pulchra","piRNA"
"60","LOC114967789","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322620.1",178376,184506,"NW_025322620.1","mRNA",180442,182029,1587,0.00207263224294854,"Acropora pulchra","piRNA"
"61","LOC122950733","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NW_025322643.1",73,4997,"NW_025322643.1","mRNA",88979,91474,-83982,0.00255188839741409,"Acropora pulchra","piRNA"
"62","LOC122950925","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NW_025322648.1",715048,722637,"NW_025322648.1","mRNA",717219,721680,4461,0.00255188839741409,"Acropora pulchra","piRNA"
"63","LOC122950925","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322648.1",715048,722637,"NW_025322648.1","mRNA",717219,721680,4461,0.00207263224294854,"Acropora pulchra","piRNA"
"64","LOC122952191","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322706.1",12013,20025,"NW_025322706.1","mRNA",13473,15146,1673,0.00207263224294854,"Acropora pulchra","piRNA"
"65","LOC122952191","GO:0042575","DNA polymerase complex",501,6,0.71,3.4e-05,"Cellular Components","NW_025322706.1",12013,20025,"NW_025322706.1","mRNA",13473,15146,1673,0.0119760479041916,"Acropora pulchra","piRNA"
"66","LOC122956629","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058067.1",14155111,14163931,"NC_058067.1","mRNA",14157497,14159293,1796,0.00207263224294854,"Acropora pulchra","piRNA"
"67","LOC122956629","GO:0042575","DNA polymerase complex",501,6,0.71,3.4e-05,"Cellular Components","NC_058067.1",14155111,14163931,"NC_058067.1","mRNA",14157497,14159293,1796,0.0119760479041916,"Acropora pulchra","piRNA"
"68","LOC122960659","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NC_058072.1",16792114,16799962,"NC_058072.1","mRNA",16801758,16805105,-1796,0.00255188839741409,"Acropora pulchra","piRNA"
"69","LOC122961172","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NC_058072.1",16650053,16658972,"NC_058072.1","mRNA",16649053,16654072,4019,0.00255188839741409,"Acropora pulchra","piRNA"
"70","LOC122961747","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NC_058073.1",27001,35922,"NC_058073.1","mRNA",33816,34685,869,0.00255188839741409,"Acropora pulchra","piRNA"
"71","LOC122961747","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058073.1",27001,35922,"NC_058073.1","mRNA",33816,34685,869,0.00207263224294854,"Acropora pulchra","piRNA"
"72","LOC122962131","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17052282,17053208,926,0.00207263224294854,"Acropora pulchra","piRNA"
"73","LOC122962131","GO:0042575","DNA polymerase complex",501,6,0.71,3.4e-05,"Cellular Components","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17052282,17053208,926,0.0119760479041916,"Acropora pulchra","piRNA"
"74","LOC114950214","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17053224,17055316,2092,0.00207263224294854,"Acropora pulchra","piRNA"
"75","LOC114950214","GO:0042575","DNA polymerase complex",501,6,0.71,3.4e-05,"Cellular Components","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17053224,17055316,2092,0.0119760479041916,"Acropora pulchra","piRNA"
"76","LOC122963280","GO:0042025","host cell nucleus",72,2,0.1,0.0037,"Cellular Components","NC_058075.1",12980181,12985154,"NC_058075.1","mRNA",12981953,12983830,1877,0.0277777777777778,"Acropora pulchra","piRNA"
"77","LOC122964458","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058066.1",28121256,28125982,"NC_058066.1","mRNA",28126954,28127481,-972,0.00207263224294854,"Acropora pulchra","piRNA"
"78","LOC122964458","GO:0042575","DNA polymerase complex",501,6,0.71,3.4e-05,"Cellular Components","NC_058066.1",28121256,28125982,"NC_058066.1","mRNA",28126954,28127481,-972,0.0119760479041916,"Acropora pulchra","piRNA"
"79","LOC114949344","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",583005,590782,"NW_025322620.1","mRNA",617591,639125,-26809,0.00419287211740042,"Acropora pulchra","piRNA"
"80","LOC114949344","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",595430,606981,"NW_025322620.1","mRNA",617591,639125,-10610,0.00419287211740042,"Acropora pulchra","piRNA"
"81","LOC114949708","GO:0004519","endonuclease activity",553,4,0.92,0.00949,"Molecular Functions","NW_025322639.1",552725,557583,"NW_025322639.1","mRNA",553678,555304,1626,0.00723327305605787,"Acropora pulchra","piRNA"
"82","LOC114951564","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NC_058066.1",27441463,27447983,"NC_058066.1","mRNA",27462364,27464454,-14381,0.00419287211740042,"Acropora pulchra","piRNA"
"83","LOC114959002","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,647,0.00412654745529574,"Acropora pulchra","piRNA"
"84","LOC114961822","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058076.1",1894179,1899982,"NC_058076.1","mRNA",1886532,1905239,5803,0.00759144237405107,"Acropora pulchra","piRNA"
"85","LOC114962317","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,-14692,0.00412654745529574,"Acropora pulchra","piRNA"
"86","LOC114962317","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,-14692,0.00412654745529574,"Acropora pulchra","piRNA"
"87","LOC114962317","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,-14692,0.00412654745529574,"Acropora pulchra","piRNA"
"88","LOC114962317","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,-14692,0.00412654745529574,"Acropora pulchra","piRNA"
"89","LOC114962739","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NC_058069.1",26266482,26272980,"NC_058069.1","mRNA",26264526,26265929,-553,0.00412654745529574,"Acropora pulchra","piRNA"
"90","LOC114962739","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NC_058069.1",26266482,26272980,"NC_058069.1","mRNA",26264526,26265929,-553,0.00419287211740042,"Acropora pulchra","piRNA"
"91","LOC114965810","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NW_025322899.1",60237,66025,"NW_025322899.1","mRNA",48932,49696,-10541,0.00545171339563863,"Acropora pulchra","piRNA"
"92","LOC114965810","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NW_025322899.1",60237,66025,"NW_025322899.1","mRNA",48932,49696,-10541,0.00759144237405107,"Acropora pulchra","piRNA"
"93","LOC114967414","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NC_058066.1",17726050,17734960,"NC_058066.1","mRNA",17729627,17732829,3202,0.00419287211740042,"Acropora pulchra","piRNA"
"94","LOC114969156","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NW_025322622.1",1086066,1100717,"NW_025322622.1","mRNA",1098946,1104938,1771,0.00545171339563863,"Acropora pulchra","piRNA"
"95","LOC114973961","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NC_058067.1",30797040,30806014,"NC_058067.1","mRNA",30815166,30819212,-9152,0.00545171339563863,"Acropora pulchra","piRNA"
"96","LOC122947278","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058079.1",10942018,10952991,"NC_058079.1","mRNA",10946598,10953476,6393,0.00759144237405107,"Acropora pulchra","piRNA"
"97","LOC114962268","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NC_058079.1",11855494,11867962,"NC_058079.1","mRNA",11826188,11839399,-16095,0.00412654745529574,"Acropora pulchra","piRNA"
"98","LOC114962268","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NC_058079.1",11855494,11867962,"NC_058079.1","mRNA",11826188,11839399,-16095,0.00419287211740042,"Acropora pulchra","piRNA"
"99","LOC114948732","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322619.1",1337052,1343870,"NW_025322619.1","mRNA",1339851,1341951,2100,0.00419287211740042,"Acropora pulchra","piRNA"
"100","LOC114968804","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NW_025322619.1",1085999,1094025,"NW_025322619.1","mRNA",1088815,1092182,3367,0.00545171339563863,"Acropora pulchra","piRNA"
"101","LOC114968804","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322619.1",1085999,1094025,"NW_025322619.1","mRNA",1088815,1092182,3367,0.00412654745529574,"Acropora pulchra","piRNA"
"102","LOC114949344","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",583005,590782,"NW_025322620.1","mRNA",617591,639125,-26809,0.00419287211740042,"Acropora pulchra","piRNA"
"103","LOC114949344","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",595430,606981,"NW_025322620.1","mRNA",617591,639125,-10610,0.00419287211740042,"Acropora pulchra","piRNA"
"104","LOC114949344","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",583005,590782,"NW_025322620.1","mRNA",617591,639125,-26809,0.00419287211740042,"Acropora pulchra","piRNA"
"105","LOC114949344","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",595430,606981,"NW_025322620.1","mRNA",617591,639125,-10610,0.00419287211740042,"Acropora pulchra","piRNA"
"106","LOC122949366","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,1250,0.00412654745529574,"Acropora pulchra","piRNA"
"107","LOC122949366","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,1250,0.00419287211740042,"Acropora pulchra","piRNA"
"108","LOC114967789","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322620.1",178376,184506,"NW_025322620.1","mRNA",180442,182029,1587,0.00412654745529574,"Acropora pulchra","piRNA"
"109","LOC114967789","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",178376,184506,"NW_025322620.1","mRNA",180442,182029,1587,0.00419287211740042,"Acropora pulchra","piRNA"
"110","LOC122950733","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NW_025322643.1",73,4997,"NW_025322643.1","mRNA",88979,91474,-83982,0.00759144237405107,"Acropora pulchra","piRNA"
"111","LOC122950925","GO:0004519","endonuclease activity",553,4,0.92,0.00949,"Molecular Functions","NW_025322648.1",715048,722637,"NW_025322648.1","mRNA",717219,721680,4461,0.00723327305605787,"Acropora pulchra","piRNA"
"112","LOC122950925","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322648.1",715048,722637,"NW_025322648.1","mRNA",717219,721680,4461,0.00419287211740042,"Acropora pulchra","piRNA"
"113","LOC122952191","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NW_025322706.1",12013,20025,"NW_025322706.1","mRNA",13473,15146,1673,0.00545171339563863,"Acropora pulchra","piRNA"
"114","LOC122952191","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NW_025322706.1",12013,20025,"NW_025322706.1","mRNA",13473,15146,1673,0.00759144237405107,"Acropora pulchra","piRNA"
"115","LOC122956629","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NC_058067.1",14155111,14163931,"NC_058067.1","mRNA",14157497,14159293,1796,0.00545171339563863,"Acropora pulchra","piRNA"
"116","LOC122956629","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058067.1",14155111,14163931,"NC_058067.1","mRNA",14157497,14159293,1796,0.00759144237405107,"Acropora pulchra","piRNA"
"117","LOC122957249","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NC_058067.1",30936178,30944991,"NC_058067.1","mRNA",30942775,30943688,913,0.00412654745529574,"Acropora pulchra","piRNA"
"118","LOC122959385","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058070.1",16239005,16248013,"NC_058070.1","mRNA",16243679,16244486,807,0.00759144237405107,"Acropora pulchra","piRNA"
"119","LOC122960430","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NC_058071.1",7355630,7361347,"NC_058071.1","mRNA",7354716,7356162,532,0.00419287211740042,"Acropora pulchra","piRNA"
"120","LOC122960659","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NC_058072.1",16792114,16799962,"NC_058072.1","mRNA",16801758,16805105,-1796,0.00419287211740042,"Acropora pulchra","piRNA"
"121","LOC122961168","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058072.1",16554113,16560801,"NC_058072.1","mRNA",16558110,16559576,1466,0.00759144237405107,"Acropora pulchra","piRNA"
