Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-145-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-150-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-173-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-178-S1-TP2-fastp-adapters-polyG-31bp-merged
NC_058066.1:8850235-8850664	Cluster_255	N	3	110	15	0	0
NC_058066.1:8905069-8905484	Cluster_256	N	9	9	58	5	20
NC_058066.1:9249747-9250187	Cluster_257	N	0	42	5175	5	395
NC_058066.1:9320629-9321068	Cluster_258	N	86	133	90	75	89
NC_058066.1:9344067-9344497	Cluster_259	N	0	77	19	0	3
NC_058066.1:9355908-9356334	Cluster_260	N	99	0	4	0	1
NC_058066.1:9356980-9357397	Cluster_261	N	339	0	2	1	1
NC_058066.1:9373667-9374096	Cluster_262	N	96	8	99	2	28
NC_058066.1:9402467-9402894	Cluster_263	N	6	229	2	1	0
NC_058066.1:9411533-9411977	Cluster_264	N	1	122	195	331	15
NC_058066.1:9412472-9412881	Cluster_265	N	0	101	55	31	29
NC_058066.1:9413101-9413846	Cluster_266	N	0	292	260	189	103
NC_058066.1:9414211-9414781	Cluster_267	N	2	120	392	880	29
NC_058066.1:9415436-9416057	Cluster_268	N	1	893	399	11	19
NC_058066.1:9423076-9423522	Cluster_269	N	4	106	219	379	21
NC_058066.1:9424017-9424426	Cluster_270	N	1	90	61	21	15
NC_058066.1:9424645-9425391	Cluster_271	N	1	253	250	224	108
NC_058066.1:9425756-9426794	Cluster_272	N	4	469	492	80	66
NC_058066.1:9426977-9427749	Cluster_273	N	6	955	385	8	18
NC_058066.1:9431462-9431878	Cluster_274	N	14	18	12	30	24
NC_058066.1:9441135-9441669	Cluster_275	N	254	112	256	0	0
NC_058066.1:9470217-9470646	Cluster_276	N	75	4	128	1	31
NC_058066.1:9482225-9482739	Cluster_277	N	25	2	0	740	2
NC_058066.1:9483107-9483534	Cluster_278	N	199	0	0	0	0
NC_058066.1:9486847-9487271	Cluster_279	N	99	0	2	1	1
NC_058066.1:9510852-9511290	Cluster_280	N	283	297	0	1	55
NC_058066.1:9512883-9513321	Cluster_281	N	90	20	1074	0	52
NC_058066.1:9519078-9519517	Cluster_282	N	88	161	83	52	83
NC_058066.1:9750606-9751033	Cluster_283	N	12	20	0	0	63
NC_058066.1:10213462-10213879	Cluster_284	N	1	1	0	12	116
NC_058066.1:10491276-10491798	Cluster_285	N	18	1284	31	766	626
NC_058066.1:10513300-10513719	Cluster_286	N	18	0	0	174	1
NC_058066.1:10578372-10578801	Cluster_287	N	11	5	245	8	6
NC_058066.1:10595556-10596446	Cluster_288	N	262	467	499	559	365
NC_058066.1:10620700-10621117	Cluster_289	N	3	17	34	56	0
NC_058066.1:10639970-10640393	Cluster_290	N	0	0	0	0	84
NC_058066.1:10849134-10849563	Cluster_291	N	3	9	1302	8	12
NC_058066.1:10865824-10866252	Cluster_292	N	83	41	97	33	80
NC_058066.1:10866399-10866815	Cluster_293	N	21	12	33	11	14
NC_058066.1:10890744-10891171	Cluster_294	N	20	35	282	25	26
NC_058066.1:10915025-10915452	Cluster_295	N	58	2	48	50	0
NC_058066.1:11055992-11056421	Cluster_296	N	38	14739	31	152	4259
NC_058066.1:11129704-11130455	Cluster_297	N	131	677	534	125	8
NC_058066.1:11198541-11198959	Cluster_298	N	1	12	41	1	30
NC_058066.1:11201125-11202024	Cluster_299	N	10	1886	5907	9	2402
NC_058066.1:11205169-11205591	Cluster_300	N	5	21	38	31	126
NC_058066.1:11326710-11327138	Cluster_301	N	2	428	201	222	136
NC_058066.1:11363689-11364110	Cluster_302	N	0	80	97	0	0
NC_058066.1:11435739-11436246	Cluster_303	N	390	88	21	140	2
NC_058066.1:11455898-11456327	Cluster_304	N	0	6	129	17	0
NC_058066.1:11614025-11614854	Cluster_305	N	1052	5	3	12	5
NC_058066.1:11708688-11709221	Cluster_306	N	59	5736	3719	93	4307
NC_058066.1:11901595-11902339	Cluster_307	N	141	28	404	34	45
NC_058066.1:11910958-11911945	Cluster_308	N	475	17	1176	1	9
NC_058066.1:11912392-11913103	Cluster_309	N	767	15	1274	6	7
NC_058066.1:11914910-11915344	Cluster_310	N	329	6	418	0	78
NC_058066.1:11938207-11938635	Cluster_311	N	2	0	0	190	0
NC_058066.1:12087833-12088263	Cluster_312	N	16	56	385	1	5
NC_058066.1:12276665-12277093	Cluster_313	N	130	0	88	87	44
NC_058066.1:12314770-12315199	Cluster_314	N	0	1	113	0	24
NC_058066.1:12369058-12369483	Cluster_315	N	0	0	0	86	0
NC_058066.1:12370255-12371200	Cluster_316	N	138	1901	838	5075	516
NC_058066.1:12681649-12682073	Cluster_317	N	0	81	10	0	34
NC_058066.1:12706010-12706440	Cluster_318	N	5	1	9	1512	151
NC_058066.1:12729722-12730177	Cluster_319	N	0	4	0	3	494
NC_058066.1:12735217-12735660	Cluster_320	N	767	20	158	64	14
NC_058066.1:12757125-12757218	Cluster_321	Y	1	971	1511	0	5810
NC_058066.1:12875489-12875923	Cluster_322	N	212	24	12	20	0
NC_058066.1:12942952-12943790	Cluster_323	N	15	511	10	323	875
NC_058066.1:12943942-12944610	Cluster_324	N	1	77	2	66	595
NC_058066.1:12944828-12945968	Cluster_325	N	25	382	7	310	589
NC_058066.1:12945983-12946402	Cluster_326	N	3	84	3	53	23
NC_058066.1:12972144-12972633	Cluster_327	N	4352	7203	18446	2137	1614
NC_058066.1:12996402-12996828	Cluster_328	N	20	37	4	7	46
NC_058066.1:13025923-13026353	Cluster_329	N	92	0	67	144	96
NC_058066.1:13035796-13036220	Cluster_330	N	51	8	1	0	26
NC_058066.1:13036269-13036699	Cluster_331	N	100	216	93	102	36
NC_058066.1:13128148-13128573	Cluster_332	N	1	0	457	17	100
NC_058066.1:13218673-13219102	Cluster_333	N	97	131	118	93	15
NC_058066.1:13401084-13403037	Cluster_334	N	47	3330	27	6	6
NC_058066.1:13434734-13435161	Cluster_335	N	14	58	0	118	115
NC_058066.1:13446834-13447261	Cluster_336	N	56	157	130	5	225
NC_058066.1:13572126-13572554	Cluster_337	N	19	38	44	90	74
NC_058066.1:13688302-13688729	Cluster_338	N	47	51	9	8	14
NC_058066.1:13838095-13838524	Cluster_339	N	3	18	10	4	143
NC_058066.1:14063944-14064363	Cluster_340	N	12	9	17	7	48
NC_058066.1:14073714-14075815	Cluster_341	N	735	505	527	41	66
NC_058066.1:14078616-14079155	Cluster_342	N	72	272	0	203	9
NC_058066.1:14341478-14341904	Cluster_343	N	0	137	0	0	4
NC_058066.1:14401643-14402075	Cluster_344	N	127	0	0	37	312
NC_058066.1:14427184-14427601	Cluster_345	N	14	13	137	0	10
NC_058066.1:14463895-14464343	Cluster_346	N	110	72	1	478	43
NC_058066.1:14505931-14506351	Cluster_347	N	1	1	0	81	0
NC_058066.1:14515544-14515960	Cluster_348	N	8	6	57	1	23
NC_058066.1:14595260-14595689	Cluster_349	N	51	0	143	0	1
NC_058066.1:14618660-14619453	Cluster_350	N	3	314	1137	6	35
NC_058066.1:14619499-14621305	Cluster_351	N	1	1522	3685	27	20
NC_058066.1:14626228-14626653	Cluster_352	N	76	9	0	3	40
NC_058066.1:14629624-14630420	Cluster_353	N	1394	1239	76	0	14
NC_058066.1:14630903-14632040	Cluster_354	N	0	595	6293	4	2
NC_058066.1:14773924-14774349	Cluster_355	N	7	5	65	54	53
NC_058066.1:14833954-14834363	Cluster_356	N	30	130	37	3	15
NC_058066.1:14985542-14985968	Cluster_357	N	6	48	27	58	9
NC_058066.1:15046023-15046452	Cluster_358	N	8	1	409	39	1
NC_058066.1:15052783-15053203	Cluster_359	N	0	103	1	0	0
NC_058066.1:15064597-15065001	Cluster_360	N	9	94	24	41	18
NC_058066.1:15150698-15151206	Cluster_361	N	228	337	397	99	512
NC_058066.1:15153401-15153917	Cluster_362	N	229	751	1084	846	2105
NC_058066.1:15288771-15289189	Cluster_363	N	472	627	148	367	0
NC_058066.1:15291682-15292273	Cluster_364	N	455	209	482	184	0
NC_058066.1:15502313-15502730	Cluster_365	N	4	50	37	197	11
NC_058066.1:15503231-15503649	Cluster_366	N	11	65	0	32	25
NC_058066.1:15504762-15505258	Cluster_367	N	19	58	61	1719	1
NC_058066.1:15670579-15671008	Cluster_368	N	101	115	0	0	57
NC_058066.1:15854619-15855047	Cluster_369	N	0	0	0	0	119
NC_058066.1:15899866-15900306	Cluster_370	N	0	38	19	0	1143
NC_058066.1:15961742-15962160	Cluster_371	N	37	57	39	4	6
NC_058066.1:16516197-16516625	Cluster_372	N	1	1	4	0	271
NC_058066.1:16609529-16609948	Cluster_373	N	36	59	14	1	34
NC_058066.1:16729252-16730238	Cluster_374	N	592	7	16	1482	7
NC_058066.1:16734584-16735014	Cluster_375	N	23	1677	0	0	0
NC_058066.1:16839728-16840253	Cluster_376	N	228	608	29	66	37
NC_058066.1:17245004-17245433	Cluster_377	N	105	22	41	650	299
NC_058066.1:17245936-17246383	Cluster_378	N	129	2	7	64	163
NC_058066.1:17262130-17262782	Cluster_379	N	467	516	49	52	214
NC_058066.1:17275393-17276115	Cluster_380	N	132	91	61	72	190
NC_058066.1:17400447-17400887	Cluster_381	N	51	80	5	70	0
NC_058066.1:17441895-17442339	Cluster_382	N	0	7	280	1	1
NC_058066.1:17640475-17640903	Cluster_383	N	675	2	0	0	0
NC_058066.1:17640943-17642178	Cluster_384	N	10414	440	4	3	1
NC_058066.1:17642684-17643169	Cluster_385	N	927	0	0	0	0
NC_058066.1:17643291-17643719	Cluster_386	N	173	2	0	0	0
