"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","pi_chrom","pi_start","pi_end","gf_chrom","gf_type","gf_start","gf_end","gf_attr","overlap","pi_length","gf_length","prop.sig.genes"
"33","Peve_00044672","GO:0007020","microtubule nucleation",40,1,0.03,0.0262,"Biological Processes","Porites_evermani_scaffold_957",3512,8531,"Porites_evermani_scaffold_957","mRNA",874,39140,"ID=Peve_00044672;Name=Peve_00044672;start=1;stop=1;cds_size=2877",5020,5019,38266,0.025
"34","Peve_00044672","GO:0008356","asymmetric cell division",41,1,0.03,0.0268,"Biological Processes","Porites_evermani_scaffold_957",3512,8531,"Porites_evermani_scaffold_957","mRNA",874,39140,"ID=Peve_00044672;Name=Peve_00044672;start=1;stop=1;cds_size=2877",5020,5019,38266,0.024390243902439
"35","Peve_00044672","GO:0051289","protein homotetramerization",71,1,0.05,0.046,"Biological Processes","Porites_evermani_scaffold_957",3512,8531,"Porites_evermani_scaffold_957","mRNA",874,39140,"ID=Peve_00044672;Name=Peve_00044672;start=1;stop=1;cds_size=2877",5020,5019,38266,0.0140845070422535
"36","Peve_00044672","GO:0051645","Golgi localization",12,1,0.01,0.0079,"Biological Processes","Porites_evermani_scaffold_957",3512,8531,"Porites_evermani_scaffold_957","mRNA",874,39140,"ID=Peve_00044672;Name=Peve_00044672;start=1;stop=1;cds_size=2877",5020,5019,38266,0.0833333333333333
"37","Peve_00044672","GO:0090161","Golgi ribbon formation",4,1,0,0.0026,"Biological Processes","Porites_evermani_scaffold_957",3512,8531,"Porites_evermani_scaffold_957","mRNA",874,39140,"ID=Peve_00044672;Name=Peve_00044672;start=1;stop=1;cds_size=2877",5020,5019,38266,0.25
"38","Peve_00044672","GO:0090166","Golgi disassembly",5,1,0,0.0033,"Biological Processes","Porites_evermani_scaffold_957",3512,8531,"Porites_evermani_scaffold_957","mRNA",874,39140,"ID=Peve_00044672;Name=Peve_00044672;start=1;stop=1;cds_size=2877",5020,5019,38266,0.2
"39","Peve_00044672","GO:0090306","meiotic spindle assembly",11,1,0.01,0.0073,"Biological Processes","Porites_evermani_scaffold_957",3512,8531,"Porites_evermani_scaffold_957","mRNA",874,39140,"ID=Peve_00044672;Name=Peve_00044672;start=1;stop=1;cds_size=2877",5020,5019,38266,0.0909090909090909
"40","Peve_00044672","GO:0090307","mitotic spindle assembly",58,1,0.04,0.0377,"Biological Processes","Porites_evermani_scaffold_957",3512,8531,"Porites_evermani_scaffold_957","mRNA",874,39140,"ID=Peve_00044672;Name=Peve_00044672;start=1;stop=1;cds_size=2877",5020,5019,38266,0.0172413793103448
"41","Peve_00000418","GO:0005634","nucleus",6583,10,4.72,0.0362,"Cellular Components","Porites_evermani_scaffold_1011",75258,81284,"Porites_evermani_scaffold_1011","mRNA",42046,82245,"ID=Peve_00000418;Name=Peve_00000418;start=1;stop=1;cds_size=924",6027,6026,40199,0.00151906425641805
"42","Peve_00005592","GO:0005634","nucleus",6583,10,4.72,0.0362,"Cellular Components","Porites_evermani_scaffold_1357",44019,52953,"Porites_evermani_scaffold_1357","mRNA",48062,48955,"ID=Peve_00005592;Name=Peve_00005592;start=1;stop=1;cds_size=894",894,8934,893,0.00151906425641805
"43","Peve_00008852","GO:0005634","nucleus",6583,10,4.72,0.0362,"Cellular Components","Porites_evermani_scaffold_1602",23027,34437,"Porites_evermani_scaffold_1602","mRNA",25041,25662,"ID=Peve_00008852;Name=Peve_00008852;start=1;stop=1;cds_size=513",622,11410,621,0.00151906425641805
"44","Peve_00009218","GO:0005634","nucleus",6583,10,4.72,0.0362,"Cellular Components","Porites_evermani_scaffold_1632",23071,25009,"Porites_evermani_scaffold_1632","mRNA",3214,27733,"ID=Peve_00009218;Name=Peve_00009218;start=1;stop=1;cds_size=3288",1939,1938,24519,0.00151906425641805
"45","Peve_00014408","GO:0005634","nucleus",6583,10,4.72,0.0362,"Cellular Components","Porites_evermani_scaffold_209",138010,146332,"Porites_evermani_scaffold_209","mRNA",142487,143203,"ID=Peve_00014408;Name=Peve_00014408;start=1;stop=0;cds_size=624",717,8322,716,0.00151906425641805
"46","Peve_00015625","GO:0005730","nucleolus",930,4,0.67,0.0225,"Cellular Components","Porites_evermani_scaffold_2205",31022,39613,"Porites_evermani_scaffold_2205","mRNA",33152,33766,"ID=Peve_00015625;Name=Peve_00015625;start=1;stop=1;cds_size=615",615,8591,614,0.0043010752688172
"47","Peve_00017276","GO:0005634","nucleus",6583,10,4.72,0.0362,"Cellular Components","Porites_evermani_scaffold_2383",35368,40393,"Porites_evermani_scaffold_2383","mRNA",35880,36773,"ID=Peve_00017276;Name=Peve_00017276;start=1;stop=1;cds_size=894",894,5025,893,0.00151906425641805
"48","Peve_00019489","GO:0005634","nucleus",6583,10,4.72,0.0362,"Cellular Components","Porites_evermani_scaffold_2629",16435,21713,"Porites_evermani_scaffold_2629","mRNA",18971,21113,"ID=Peve_00019489;Name=Peve_00019489;start=1;stop=1;cds_size=1002",2143,5278,2142,0.00151906425641805
"49","Peve_00019489","GO:0005730","nucleolus",930,4,0.67,0.0225,"Cellular Components","Porites_evermani_scaffold_2629",16435,21713,"Porites_evermani_scaffold_2629","mRNA",18971,21113,"ID=Peve_00019489;Name=Peve_00019489;start=1;stop=1;cds_size=1002",2143,5278,2142,0.0043010752688172
"50","Peve_00024512","GO:0033391","chromatoid body",18,1,0.01,0.0128,"Cellular Components","Porites_evermani_scaffold_3289",41504,44889,"Porites_evermani_scaffold_3289","mRNA",29384,48415,"ID=Peve_00024512;Name=Peve_00024512;start=1;stop=1;cds_size=3309",3386,3385,19031,0.0555555555555556
"51","Peve_00024512","GO:0071546","pi-body",19,1,0.01,0.0136,"Cellular Components","Porites_evermani_scaffold_3289",41504,44889,"Porites_evermani_scaffold_3289","mRNA",29384,48415,"ID=Peve_00024512;Name=Peve_00024512;start=1;stop=1;cds_size=3309",3386,3385,19031,0.0526315789473684
"52","Peve_00030349","GO:0001651","dense fibrillar component",2,1,0,0.0014,"Cellular Components","Porites_evermani_scaffold_4290",19265,20800,"Porites_evermani_scaffold_4290","mRNA",13118,22917,"ID=Peve_00030349;Name=Peve_00030349;start=0;stop=1;cds_size=867",1536,1535,9799,0.5
"53","Peve_00030349","GO:0005730","nucleolus",930,4,0.67,0.0225,"Cellular Components","Porites_evermani_scaffold_4290",19265,20800,"Porites_evermani_scaffold_4290","mRNA",13118,22917,"ID=Peve_00030349;Name=Peve_00030349;start=0;stop=1;cds_size=867",1536,1535,9799,0.0043010752688172
"54","Peve_00030349","GO:0015030","Cajal body",34,1,0.02,0.0241,"Cellular Components","Porites_evermani_scaffold_4290",19265,20800,"Porites_evermani_scaffold_4290","mRNA",13118,22917,"ID=Peve_00030349;Name=Peve_00030349;start=0;stop=1;cds_size=867",1536,1535,9799,0.0294117647058824
"55","Peve_00030349","GO:0031428","box C/D methylation guide snoRNP complex",6,1,0,0.0043,"Cellular Components","Porites_evermani_scaffold_4290",19265,20800,"Porites_evermani_scaffold_4290","mRNA",13118,22917,"ID=Peve_00030349;Name=Peve_00030349;start=0;stop=1;cds_size=867",1536,1535,9799,0.166666666666667
"56","Peve_00034707","GO:0005634","nucleus",6583,10,4.72,0.0362,"Cellular Components","Porites_evermani_scaffold_53",508011,520458,"Porites_evermani_scaffold_53","mRNA",515912,516831,"ID=Peve_00034707;Name=Peve_00034707;start=1;stop=1;cds_size=294",920,12447,919,0.00151906425641805
"57","Peve_00034707","GO:0005730","nucleolus",930,4,0.67,0.0225,"Cellular Components","Porites_evermani_scaffold_53",508011,520458,"Porites_evermani_scaffold_53","mRNA",515912,516831,"ID=Peve_00034707;Name=Peve_00034707;start=1;stop=1;cds_size=294",920,12447,919,0.0043010752688172
"58","Peve_00041449","GO:0005584","collagen type I trimer",7,1,0.01,0.005,"Cellular Components","Porites_evermani_scaffold_788",172143,174473,"Porites_evermani_scaffold_788","mRNA",113217,190147,"ID=Peve_00041449;Name=Peve_00041449;start=1;stop=1;cds_size=3813",2331,2330,76930,0.142857142857143
"59","Peve_00044672","GO:0000137","Golgi cis cisterna",13,1,0.01,0.0093,"Cellular Components","Porites_evermani_scaffold_957",3512,8531,"Porites_evermani_scaffold_957","mRNA",874,39140,"ID=Peve_00044672;Name=Peve_00044672;start=1;stop=1;cds_size=2877",5020,5019,38266,0.0769230769230769
"60","Peve_00044672","GO:0005801","cis-Golgi network",36,1,0.03,0.0255,"Cellular Components","Porites_evermani_scaffold_957",3512,8531,"Porites_evermani_scaffold_957","mRNA",874,39140,"ID=Peve_00044672;Name=Peve_00044672;start=1;stop=1;cds_size=2877",5020,5019,38266,0.0277777777777778
"61","Peve_00044672","GO:0033116","endoplasmic reticulum-Golgi intermediate compartmen...",51,1,0.04,0.036,"Cellular Components","Porites_evermani_scaffold_957",3512,8531,"Porites_evermani_scaffold_957","mRNA",874,39140,"ID=Peve_00044672;Name=Peve_00044672;start=1;stop=1;cds_size=2877",5020,5019,38266,0.0196078431372549
"62","Peve_00000418","GO:0015116","sulfate transmembrane transporter activity",7,1,0.01,0.00541,"Molecular Functions","Porites_evermani_scaffold_1011",75258,81284,"Porites_evermani_scaffold_1011","mRNA",42046,82245,"ID=Peve_00000418;Name=Peve_00000418;start=1;stop=1;cds_size=924",6027,6026,40199,0.142857142857143
"63","Peve_00000418","GO:0015117","thiosulfate transmembrane transporter activity",2,1,0,0.00155,"Molecular Functions","Porites_evermani_scaffold_1011",75258,81284,"Porites_evermani_scaffold_1011","mRNA",42046,82245,"ID=Peve_00000418;Name=Peve_00000418;start=1;stop=1;cds_size=924",6027,6026,40199,0.5
"64","Peve_00000418","GO:0015131","oxaloacetate transmembrane transporter activity",2,1,0,0.00155,"Molecular Functions","Porites_evermani_scaffold_1011",75258,81284,"Porites_evermani_scaffold_1011","mRNA",42046,82245,"ID=Peve_00000418;Name=Peve_00000418;start=1;stop=1;cds_size=924",6027,6026,40199,0.5
"65","Peve_00000418","GO:0015141","succinate transmembrane transporter activity",7,1,0.01,0.00541,"Molecular Functions","Porites_evermani_scaffold_1011",75258,81284,"Porites_evermani_scaffold_1011","mRNA",42046,82245,"ID=Peve_00000418;Name=Peve_00000418;start=1;stop=1;cds_size=924",6027,6026,40199,0.142857142857143
"66","Peve_00000418","GO:0015367","oxoglutarate:malate antiporter activity",1,1,0,0.00078,"Molecular Functions","Porites_evermani_scaffold_1011",75258,81284,"Porites_evermani_scaffold_1011","mRNA",42046,82245,"ID=Peve_00000418;Name=Peve_00000418;start=1;stop=1;cds_size=924",6027,6026,40199,1
"67","Peve_00008374","GO:0003964","RNA-directed DNA polymerase activity",24,1,0.02,0.01845,"Molecular Functions","Porites_evermani_scaffold_157",260017,273024,"Porites_evermani_scaffold_157","mRNA",259179,260874,"ID=Peve_00008374;Name=Peve_00008374;start=0;stop=1;cds_size=726",858,13007,1695,0.0416666666666667
"68","Peve_00008374","GO:0046872","metal ion binding",6616,8,5.13,0.04692,"Molecular Functions","Porites_evermani_scaffold_157",260017,273024,"Porites_evermani_scaffold_157","mRNA",259179,260874,"ID=Peve_00008374;Name=Peve_00008374;start=0;stop=1;cds_size=726",858,13007,1695,0.00120918984280532
"69","Peve_00008728","GO:0004648","O-phospho-L-serine:2-oxoglutarate aminotransferase ...",1,1,0,0.00078,"Molecular Functions","Porites_evermani_scaffold_1598",7683,11175,"Porites_evermani_scaffold_1598","mRNA",4611,17094,"ID=Peve_00008728;Name=Peve_00008728;start=1;stop=1;cds_size=1113",3493,3492,12483,1
"70","Peve_00008852","GO:0004518","nuclease activity",348,4,0.27,0.02777,"Molecular Functions","Porites_evermani_scaffold_1602",23027,34437,"Porites_evermani_scaffold_1602","mRNA",25041,25662,"ID=Peve_00008852;Name=Peve_00008852;start=1;stop=1;cds_size=513",622,11410,621,0.0114942528735632
"71","Peve_00008852","GO:0046872","metal ion binding",6616,8,5.13,0.04692,"Molecular Functions","Porites_evermani_scaffold_1602",23027,34437,"Porites_evermani_scaffold_1602","mRNA",25041,25662,"ID=Peve_00008852;Name=Peve_00008852;start=1;stop=1;cds_size=513",622,11410,621,0.00120918984280532
"72","Peve_00009218","GO:0004527","exonuclease activity",142,2,0.11,0.0359,"Molecular Functions","Porites_evermani_scaffold_1632",23071,25009,"Porites_evermani_scaffold_1632","mRNA",3214,27733,"ID=Peve_00009218;Name=Peve_00009218;start=1;stop=1;cds_size=3288",1939,1938,24519,0.0140845070422535
"73","Peve_00014408","GO:0009378","four-way junction helicase activity",112,2,0.09,0.00333,"Molecular Functions","Porites_evermani_scaffold_209",138010,146332,"Porites_evermani_scaffold_209","mRNA",142487,143203,"ID=Peve_00014408;Name=Peve_00014408;start=1;stop=0;cds_size=624",717,8322,716,0.0178571428571429
"74","Peve_00014408","GO:0016853","isomerase activity",289,2,0.22,0.0206,"Molecular Functions","Porites_evermani_scaffold_209",138010,146332,"Porites_evermani_scaffold_209","mRNA",142487,143203,"ID=Peve_00014408;Name=Peve_00014408;start=1;stop=0;cds_size=624",717,8322,716,0.0069204152249135
"75","Peve_00014408","GO:0036121","double-stranded DNA helicase activity",13,1,0.01,0.01003,"Molecular Functions","Porites_evermani_scaffold_209",138010,146332,"Porites_evermani_scaffold_209","mRNA",142487,143203,"ID=Peve_00014408;Name=Peve_00014408;start=1;stop=0;cds_size=624",717,8322,716,0.0769230769230769
"76","Peve_00014408","GO:0043138","3'-5' DNA helicase activity",129,2,0.1,0.00439,"Molecular Functions","Porites_evermani_scaffold_209",138010,146332,"Porites_evermani_scaffold_209","mRNA",142487,143203,"ID=Peve_00014408;Name=Peve_00014408;start=1;stop=0;cds_size=624",717,8322,716,0.0155038759689922
"77","Peve_00014408","GO:0046872","metal ion binding",6616,8,5.13,0.04692,"Molecular Functions","Porites_evermani_scaffold_209",138010,146332,"Porites_evermani_scaffold_209","mRNA",142487,143203,"ID=Peve_00014408;Name=Peve_00014408;start=1;stop=0;cds_size=624",717,8322,716,0.00120918984280532
"78","Peve_00014408","GO:1990814","DNA/DNA annealing activity",21,1,0.02,0.01616,"Molecular Functions","Porites_evermani_scaffold_209",138010,146332,"Porites_evermani_scaffold_209","mRNA",142487,143203,"ID=Peve_00014408;Name=Peve_00014408;start=1;stop=0;cds_size=624",717,8322,716,0.0476190476190476
"79","Peve_00015625","GO:0009378","four-way junction helicase activity",112,2,0.09,0.00333,"Molecular Functions","Porites_evermani_scaffold_2205",31022,39613,"Porites_evermani_scaffold_2205","mRNA",33152,33766,"ID=Peve_00015625;Name=Peve_00015625;start=1;stop=1;cds_size=615",615,8591,614,0.0178571428571429
"80","Peve_00015625","GO:0016853","isomerase activity",289,2,0.22,0.0206,"Molecular Functions","Porites_evermani_scaffold_2205",31022,39613,"Porites_evermani_scaffold_2205","mRNA",33152,33766,"ID=Peve_00015625;Name=Peve_00015625;start=1;stop=1;cds_size=615",615,8591,614,0.0069204152249135
"81","Peve_00015625","GO:0043138","3'-5' DNA helicase activity",129,2,0.1,0.00439,"Molecular Functions","Porites_evermani_scaffold_2205",31022,39613,"Porites_evermani_scaffold_2205","mRNA",33152,33766,"ID=Peve_00015625;Name=Peve_00015625;start=1;stop=1;cds_size=615",615,8591,614,0.0155038759689922
"82","Peve_00019489","GO:0046872","metal ion binding",6616,8,5.13,0.04692,"Molecular Functions","Porites_evermani_scaffold_2629",16435,21713,"Porites_evermani_scaffold_2629","mRNA",18971,21113,"ID=Peve_00019489;Name=Peve_00019489;start=1;stop=1;cds_size=1002",2143,5278,2142,0.00120918984280532
"83","Peve_00028786","GO:0002950","ceramide phosphoethanolamine synthase activity",2,1,0,0.00155,"Molecular Functions","Porites_evermani_scaffold_40",420234,428017,"Porites_evermani_scaffold_40","mRNA",397638,420502,"ID=Peve_00028786;Name=Peve_00028786;start=1;stop=1;cds_size=999",269,7783,22864,0.5
"84","Peve_00030349","GO:0008649","rRNA methyltransferase activity",26,1,0.02,0.01997,"Molecular Functions","Porites_evermani_scaffold_4290",19265,20800,"Porites_evermani_scaffold_4290","mRNA",13118,22917,"ID=Peve_00030349;Name=Peve_00030349;start=0;stop=1;cds_size=867",1536,1535,9799,0.0384615384615385
"85","Peve_00030349","GO:1990259","histone H2AQ104 methyltransferase activity",2,1,0,0.00155,"Molecular Functions","Porites_evermani_scaffold_4290",19265,20800,"Porites_evermani_scaffold_4290","mRNA",13118,22917,"ID=Peve_00030349;Name=Peve_00030349;start=0;stop=1;cds_size=867",1536,1535,9799,0.5
"86","Peve_00034707","GO:0017018","myosin phosphatase activity",50,1,0.04,0.03808,"Molecular Functions","Porites_evermani_scaffold_53",508011,520458,"Porites_evermani_scaffold_53","mRNA",515912,516831,"ID=Peve_00034707;Name=Peve_00034707;start=1;stop=1;cds_size=294",920,12447,919,0.02
"87","Peve_00034707","GO:0046872","metal ion binding",6616,8,5.13,0.04692,"Molecular Functions","Porites_evermani_scaffold_53",508011,520458,"Porites_evermani_scaffold_53","mRNA",515912,516831,"ID=Peve_00034707;Name=Peve_00034707;start=1;stop=1;cds_size=294",920,12447,919,0.00120918984280532
"88","Peve_00034707","GO:0051019","mitogen-activated protein kinase binding",35,1,0.03,0.0268,"Molecular Functions","Porites_evermani_scaffold_53",508011,520458,"Porites_evermani_scaffold_53","mRNA",515912,516831,"ID=Peve_00034707;Name=Peve_00034707;start=1;stop=1;cds_size=294",920,12447,919,0.0285714285714286
"89","Peve_00041449","GO:0046872","metal ion binding",6616,8,5.13,0.04692,"Molecular Functions","Porites_evermani_scaffold_788",172143,174473,"Porites_evermani_scaffold_788","mRNA",113217,190147,"ID=Peve_00041449;Name=Peve_00041449;start=1;stop=1;cds_size=3813",2331,2330,76930,0.00120918984280532
