"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","l_chrom","l_start","l_end","V4","gf_chrom","gf_type","gf_start","gf_end","gf_attr","overlap","is_overlapping","prop.sig.genes"
"11","Peve_00000539","GO:0042552","myelination",212,18,12.05,0.03,"Biological Processes","Porites_evermani_scaffold_102",209258,210047,"transcript::Porites_evermani_scaffold_102:209258-210047","Porites_evermani_scaffold_102","mRNA",202216,202887,"ID=Peve_00000539;Name=Peve_00000539;start=1;stop=1;cds_size=672",6371,FALSE,0.0849056603773585
"12","Peve_00000728","GO:0002062","chondrocyte differentiation",111,10,6.31,0.02448,"Biological Processes","Porites_evermani_scaffold_1033",38301,39477,"transcript::Porites_evermani_scaffold_1033:38301-39477","Porites_evermani_scaffold_1033","mRNA",43400,76740,"ID=Peve_00000728;Name=Peve_00000728;start=1;stop=1;cds_size=3657",3923,FALSE,0.0900900900900901
"13","Peve_00000728","GO:0060038","cardiac muscle cell proliferation",46,6,2.61,0.00824,"Biological Processes","Porites_evermani_scaffold_1033",38301,39477,"transcript::Porites_evermani_scaffold_1033:38301-39477","Porites_evermani_scaffold_1033","mRNA",43400,76740,"ID=Peve_00000728;Name=Peve_00000728;start=1;stop=1;cds_size=3657",3923,FALSE,0.130434782608696
"14","Peve_00000787","GO:0035855","megakaryocyte development",11,3,0.63,0.02141,"Biological Processes","Porites_evermani_scaffold_1038",19388,20776,"transcript::Porites_evermani_scaffold_1038:19388-20776","Porites_evermani_scaffold_1038","mRNA",11838,16092,"ID=Peve_00000787;Name=Peve_00000787;start=1;stop=1;cds_size=1218",3296,FALSE,0.272727272727273
"15","Peve_00001125","GO:0051301","cell division",1085,74,61.65,0.03087,"Biological Processes","Porites_evermani_scaffold_106",307960,312657,"transcript::Porites_evermani_scaffold_106:307960-312657","Porites_evermani_scaffold_106","mRNA",310139,312215,"ID=Peve_00001125;Name=Peve_00001125;start=1;stop=1;cds_size=234",0,TRUE,0.0682027649769585
"16","Peve_00001266","GO:0071140","resolution of mitotic recombination intermediates",12,3,0.68,0.02736,"Biological Processes","Porites_evermani_scaffold_1069",116184,117386,"transcript::Porites_evermani_scaffold_1069:116184-117386","Porites_evermani_scaffold_1069","mRNA",129460,129912,"ID=Peve_00001266;Name=Peve_00001266;start=1;stop=1;cds_size=453",12074,FALSE,0.25
"17","Peve_00001341","GO:0007346","regulation of mitotic cell cycle",729,62,41.42,0.0075,"Biological Processes","Porites_evermani_scaffold_1072",156219,156757,"transcript::Porites_evermani_scaffold_1072:156219-156757","Porites_evermani_scaffold_1072","mRNA",147123,151163,"ID=Peve_00001341;Name=Peve_00001341;start=0;stop=0;cds_size=2367",5056,FALSE,0.0850480109739369
"18","Peve_00001341","GO:0051301","cell division",1085,74,61.65,0.03087,"Biological Processes","Porites_evermani_scaffold_1072",156219,156757,"transcript::Porites_evermani_scaffold_1072:156219-156757","Porites_evermani_scaffold_1072","mRNA",147123,151163,"ID=Peve_00001341;Name=Peve_00001341;start=0;stop=0;cds_size=2367",5056,FALSE,0.0682027649769585
"19","Peve_00001506","GO:0045766","positive regulation of angiogenesis",151,17,8.58,0.00559,"Biological Processes","Porites_evermani_scaffold_1083",44709,44914,"transcript::Porites_evermani_scaffold_1083:44709-44914","Porites_evermani_scaffold_1083","mRNA",47255,56951,"ID=Peve_00001506;Name=Peve_00001506;start=1;stop=1;cds_size=900",2341,FALSE,0.112582781456954
"20","Peve_00001506","GO:0050930","induction of positive chemotaxis",4,2,0.23,0.01792,"Biological Processes","Porites_evermani_scaffold_1083",44709,44914,"transcript::Porites_evermani_scaffold_1083:44709-44914","Porites_evermani_scaffold_1083","mRNA",47255,56951,"ID=Peve_00001506;Name=Peve_00001506;start=1;stop=1;cds_size=900",2341,FALSE,0.5
"21","Peve_00001547","GO:0021612","facial nerve structural organization",13,3,0.74,0.0341,"Biological Processes","Porites_evermani_scaffold_1087",131515,131976,"transcript::Porites_evermani_scaffold_1087:131515-131976","Porites_evermani_scaffold_1087","mRNA",132874,136909,"ID=Peve_00001547;Name=Peve_00001547;start=1;stop=1;cds_size=954",898,FALSE,0.230769230769231
"22","Peve_00001547","GO:0021637","trigeminal nerve structural organization",12,3,0.68,0.02736,"Biological Processes","Porites_evermani_scaffold_1087",131515,131976,"transcript::Porites_evermani_scaffold_1087:131515-131976","Porites_evermani_scaffold_1087","mRNA",132874,136909,"ID=Peve_00001547;Name=Peve_00001547;start=1;stop=1;cds_size=954",898,FALSE,0.25
"23","Peve_00001547","GO:0021785","branchiomotor neuron axon guidance",12,3,0.68,0.02736,"Biological Processes","Porites_evermani_scaffold_1087",131515,131976,"transcript::Porites_evermani_scaffold_1087:131515-131976","Porites_evermani_scaffold_1087","mRNA",132874,136909,"ID=Peve_00001547;Name=Peve_00001547;start=1;stop=1;cds_size=954",898,FALSE,0.25
"24","Peve_00001547","GO:0021828","gonadotrophin-releasing hormone neuronal migration ...",12,3,0.68,0.02736,"Biological Processes","Porites_evermani_scaffold_1087",131515,131976,"transcript::Porites_evermani_scaffold_1087:131515-131976","Porites_evermani_scaffold_1087","mRNA",132874,136909,"ID=Peve_00001547;Name=Peve_00001547;start=1;stop=1;cds_size=954",898,FALSE,0.25
"25","Peve_00001547","GO:0071526","semaphorin-plexin signaling pathway",29,5,1.65,0.02233,"Biological Processes","Porites_evermani_scaffold_1087",131515,131976,"transcript::Porites_evermani_scaffold_1087:131515-131976","Porites_evermani_scaffold_1087","mRNA",132874,136909,"ID=Peve_00001547;Name=Peve_00001547;start=1;stop=1;cds_size=954",898,FALSE,0.172413793103448
"26","Peve_00001547","GO:1990830","cellular response to leukemia inhibitory factor",69,9,3.92,0.01578,"Biological Processes","Porites_evermani_scaffold_1087",131515,131976,"transcript::Porites_evermani_scaffold_1087:131515-131976","Porites_evermani_scaffold_1087","mRNA",132874,136909,"ID=Peve_00001547;Name=Peve_00001547;start=1;stop=1;cds_size=954",898,FALSE,0.130434782608696
"27","Peve_00001735","GO:0002218","activation of innate immune response",437,33,24.83,0.0323,"Biological Processes","Porites_evermani_scaffold_11",606352,606604,"transcript::Porites_evermani_scaffold_11:606352-606604","Porites_evermani_scaffold_11","mRNA",609105,637271,"ID=Peve_00001735;Name=Peve_00001735;start=1;stop=1;cds_size=8400",2501,FALSE,0.0755148741418764
"28","Peve_00001898","GO:0044314","protein K27-linked ubiquitination",7,3,0.4,0.00539,"Biological Processes","Porites_evermani_scaffold_1102",84152,86417,"transcript::Porites_evermani_scaffold_1102:84152-86417","Porites_evermani_scaffold_1102","mRNA",72110,83539,"ID=Peve_00001898;Name=Peve_00001898;start=1;stop=1;cds_size=561",613,FALSE,0.428571428571429
"29","Peve_00001913","GO:0008015","blood circulation",916,41,52.05,0.00465,"Biological Processes","Porites_evermani_scaffold_1103",78521,78883,"transcript::Porites_evermani_scaffold_1103:78521-78883","Porites_evermani_scaffold_1103","mRNA",60132,73107,"ID=Peve_00001913;Name=Peve_00001913;start=0;stop=1;cds_size=2403",5414,FALSE,0.0447598253275109
"30","Peve_00001923","GO:0045842","positive regulation of mitotic metaphase/anaphase t...",20,4,1.14,0.02421,"Biological Processes","Porites_evermani_scaffold_1104",46121,47446,"transcript::Porites_evermani_scaffold_1104:46121-47446","Porites_evermani_scaffold_1104","mRNA",35578,39385,"ID=Peve_00001923;Name=Peve_00001923;start=1;stop=1;cds_size=1992",6736,FALSE,0.2
"31","Peve_00001923","GO:0045842","positive regulation of mitotic metaphase/anaphase t...",20,4,1.14,0.02421,"Biological Processes","Porites_evermani_scaffold_1104",55794,56853,"transcript::Porites_evermani_scaffold_1104:55794-56853","Porites_evermani_scaffold_1104","mRNA",35578,39385,"ID=Peve_00001923;Name=Peve_00001923;start=1;stop=1;cds_size=1992",16409,FALSE,0.2
"32","Peve_00001923","GO:0051301","cell division",1085,74,61.65,0.03087,"Biological Processes","Porites_evermani_scaffold_1104",46121,47446,"transcript::Porites_evermani_scaffold_1104:46121-47446","Porites_evermani_scaffold_1104","mRNA",35578,39385,"ID=Peve_00001923;Name=Peve_00001923;start=1;stop=1;cds_size=1992",6736,FALSE,0.0682027649769585
"33","Peve_00001923","GO:0051301","cell division",1085,74,61.65,0.03087,"Biological Processes","Porites_evermani_scaffold_1104",55794,56853,"transcript::Porites_evermani_scaffold_1104:55794-56853","Porites_evermani_scaffold_1104","mRNA",35578,39385,"ID=Peve_00001923;Name=Peve_00001923;start=1;stop=1;cds_size=1992",16409,FALSE,0.0682027649769585
"34","Peve_00002127","GO:0055085","transmembrane transport",1391,72,79.04,0.0319,"Biological Processes","Porites_evermani_scaffold_1119",18389,19893,"transcript::Porites_evermani_scaffold_1119:18389-19893","Porites_evermani_scaffold_1119","mRNA",21157,29868,"ID=Peve_00002127;Name=Peve_00002127;start=1;stop=1;cds_size=3870",1264,FALSE,0.0517613227893602
"35","Peve_00002127","GO:0055085","transmembrane transport",1391,72,79.04,0.0319,"Biological Processes","Porites_evermani_scaffold_1119",18389,19893,"transcript::Porites_evermani_scaffold_1119:18389-19893","Porites_evermani_scaffold_1119","mRNA",21157,29868,"ID=Peve_00002127;Name=Peve_00002127;start=1;stop=1;cds_size=3870",1264,FALSE,0.0517613227893602
"36","Peve_00002127","GO:0055085","transmembrane transport",1391,72,79.04,0.0319,"Biological Processes","Porites_evermani_scaffold_1119",18389,19893,"transcript::Porites_evermani_scaffold_1119:18389-19893","Porites_evermani_scaffold_1119","mRNA",21157,29868,"ID=Peve_00002127;Name=Peve_00002127;start=1;stop=1;cds_size=3870",1264,FALSE,0.0517613227893602
"37","Peve_00002127","GO:0055085","transmembrane transport",1391,72,79.04,0.0319,"Biological Processes","Porites_evermani_scaffold_1119",18389,19893,"transcript::Porites_evermani_scaffold_1119:18389-19893","Porites_evermani_scaffold_1119","mRNA",21157,29868,"ID=Peve_00002127;Name=Peve_00002127;start=1;stop=1;cds_size=3870",1264,FALSE,0.0517613227893602
"38","Peve_00002171","GO:0035194","regulatory ncRNA-mediated post-transcriptional gene...",205,12,11.65,0.00495,"Biological Processes","Porites_evermani_scaffold_1120",70692,71303,"transcript::Porites_evermani_scaffold_1120:70692-71303","Porites_evermani_scaffold_1120","mRNA",15311,65261,"ID=Peve_00002171;Name=Peve_00002171;start=0;stop=0;cds_size=7521",5431,FALSE,0.0585365853658537
"39","Peve_00002243","GO:0035194","regulatory ncRNA-mediated post-transcriptional gene...",205,12,11.65,0.00495,"Biological Processes","Porites_evermani_scaffold_1127",117184,117509,"transcript::Porites_evermani_scaffold_1127:117184-117509","Porites_evermani_scaffold_1127","mRNA",41923,108280,"ID=Peve_00002243;Name=Peve_00002243;start=1;stop=0;cds_size=9954",8904,FALSE,0.0585365853658537
"40","Peve_00002243","GO:0035194","regulatory ncRNA-mediated post-transcriptional gene...",205,12,11.65,0.00495,"Biological Processes","Porites_evermani_scaffold_1127",117997,118628,"transcript::Porites_evermani_scaffold_1127:117997-118628","Porites_evermani_scaffold_1127","mRNA",41923,108280,"ID=Peve_00002243;Name=Peve_00002243;start=1;stop=0;cds_size=9954",9717,FALSE,0.0585365853658537
"41","Peve_00002442","GO:0007346","regulation of mitotic cell cycle",729,62,41.42,0.0075,"Biological Processes","Porites_evermani_scaffold_1140",21274,21481,"transcript::Porites_evermani_scaffold_1140:21274-21481","Porites_evermani_scaffold_1140","mRNA",19733,20311,"ID=Peve_00002442;Name=Peve_00002442;start=1;stop=1;cds_size=579",963,FALSE,0.0850480109739369
"42","Peve_00002442","GO:0007346","regulation of mitotic cell cycle",729,62,41.42,0.0075,"Biological Processes","Porites_evermani_scaffold_1140",22634,23720,"transcript::Porites_evermani_scaffold_1140:22634-23720","Porites_evermani_scaffold_1140","mRNA",19733,20311,"ID=Peve_00002442;Name=Peve_00002442;start=1;stop=1;cds_size=579",2323,FALSE,0.0850480109739369
"43","Peve_00002442","GO:0051301","cell division",1085,74,61.65,0.03087,"Biological Processes","Porites_evermani_scaffold_1140",21274,21481,"transcript::Porites_evermani_scaffold_1140:21274-21481","Porites_evermani_scaffold_1140","mRNA",19733,20311,"ID=Peve_00002442;Name=Peve_00002442;start=1;stop=1;cds_size=579",963,FALSE,0.0682027649769585
"44","Peve_00002442","GO:0051301","cell division",1085,74,61.65,0.03087,"Biological Processes","Porites_evermani_scaffold_1140",22634,23720,"transcript::Porites_evermani_scaffold_1140:22634-23720","Porites_evermani_scaffold_1140","mRNA",19733,20311,"ID=Peve_00002442;Name=Peve_00002442;start=1;stop=1;cds_size=579",2323,FALSE,0.0682027649769585
"45","Peve_00002522","GO:0045766","positive regulation of angiogenesis",151,17,8.58,0.00559,"Biological Processes","Porites_evermani_scaffold_1149",48108,48392,"transcript::Porites_evermani_scaffold_1149:48108-48392","Porites_evermani_scaffold_1149","mRNA",42579,44308,"ID=Peve_00002522;Name=Peve_00002522;start=0;stop=1;cds_size=615",3800,FALSE,0.112582781456954
"46","Peve_00002522","GO:0050679","positive regulation of epithelial cell proliferatio...",194,25,11.02,0.00297,"Biological Processes","Porites_evermani_scaffold_1149",48108,48392,"transcript::Porites_evermani_scaffold_1149:48108-48392","Porites_evermani_scaffold_1149","mRNA",42579,44308,"ID=Peve_00002522;Name=Peve_00002522;start=0;stop=1;cds_size=615",3800,FALSE,0.128865979381443
"47","Peve_00002749","GO:0051301","cell division",1085,74,61.65,0.03087,"Biological Processes","Porites_evermani_scaffold_1160",27203,27621,"transcript::Porites_evermani_scaffold_1160:27203-27621","Porites_evermani_scaffold_1160","mRNA",6989,9550,"ID=Peve_00002749;Name=Peve_00002749;start=0;stop=1;cds_size=2562",17653,FALSE,0.0682027649769585
"48","Peve_00002918","GO:0002931","response to ischemia",69,9,3.92,0.01578,"Biological Processes","Porites_evermani_scaffold_1173",28771,29045,"transcript::Porites_evermani_scaffold_1173:28771-29045","Porites_evermani_scaffold_1173","mRNA",17472,27064,"ID=Peve_00002918;Name=Peve_00002918;start=1;stop=1;cds_size=456",1707,FALSE,0.130434782608696
"49","Peve_00002952","GO:0002227","innate immune response in mucosa",11,4,0.63,0.00248,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.363636363636364
"50","Peve_00002952","GO:0002606","positive regulation of dendritic cell antigen proce...",11,3,0.63,0.02141,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.272727272727273
"51","Peve_00002952","GO:0002830","positive regulation of type 2 immune response",15,4,0.85,0.01185,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.266666666666667
"52","Peve_00002952","GO:0002862","negative regulation of inflammatory response to ant...",12,4,0.68,0.00355,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.333333333333333
"53","Peve_00002952","GO:0002925","positive regulation of humoral immune response medi...",28,5,1.59,0.01936,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.178571428571429
"54","Peve_00002952","GO:0006965","positive regulation of biosynthetic process of anti...",9,3,0.51,0.01187,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.333333333333333
"55","Peve_00002952","GO:0007254","JNK cascade",209,17,11.88,0.0294,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.0813397129186603
"56","Peve_00002952","GO:0010936","negative regulation of macrophage cytokine producti...",12,3,0.68,0.02736,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.25
"57","Peve_00002952","GO:0016045","detection of bacterium",76,10,4.32,0.0353,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.131578947368421
"58","Peve_00002952","GO:0032498","detection of muramyl dipeptide",9,3,0.51,0.01187,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.333333333333333
"59","Peve_00002952","GO:0032689","negative regulation of type II interferon productio...",12,3,0.68,0.02736,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.25
"60","Peve_00002952","GO:0032701","negative regulation of interleukin-18 production",9,3,0.51,0.01187,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.333333333333333
"61","Peve_00002952","GO:0032703","negative regulation of interleukin-2 production",12,3,0.68,0.02736,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.25
"62","Peve_00002952","GO:0032735","positive regulation of interleukin-12 production",34,6,1.93,0.01137,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.176470588235294
"63","Peve_00002952","GO:0034136","negative regulation of toll-like receptor 2 signali...",17,4,0.97,0.01361,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.235294117647059
"64","Peve_00002952","GO:0034976","response to endoplasmic reticulum stress",293,21,16.65,0.03343,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.0716723549488055
"65","Peve_00002952","GO:0043123","positive regulation of canonical NF-kappaB signal t...",172,20,9.77,0.00187,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.116279069767442
"66","Peve_00002952","GO:0048874","host-mediated regulation of intestinal microbiota c...",13,3,0.74,0.0341,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.230769230769231
"67","Peve_00002952","GO:0050679","positive regulation of epithelial cell proliferatio...",194,25,11.02,0.00297,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.128865979381443
"68","Peve_00002952","GO:0051092","positive regulation of NF-kappaB transcription fact...",113,13,6.42,0.01185,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.115044247787611
"69","Peve_00002952","GO:0071222","cellular response to lipopolysaccharide",152,18,8.64,0.03505,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.118421052631579
"70","Peve_00002952","GO:0071224","cellular response to peptidoglycan",10,3,0.57,0.01625,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.3
"71","Peve_00002952","GO:0071225","cellular response to muramyl dipeptide",11,3,0.63,0.02141,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.272727272727273
"72","Peve_00002952","GO:1900017","positive regulation of cytokine production involved...",18,5,1.02,0.0027,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.277777777777778
"73","Peve_00002952","GO:1902523","positive regulation of protein K63-linked ubiquitin...",11,3,0.63,0.02141,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.272727272727273
"74","Peve_00002952","GO:1904417","positive regulation of xenophagy",13,4,0.74,0.0049,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.307692307692308
"75","Peve_00002952","GO:2000110","negative regulation of macrophage apoptotic process",13,3,0.74,0.0341,"Biological Processes","Porites_evermani_scaffold_1176",6705,7459,"transcript::Porites_evermani_scaffold_1176:6705-7459","Porites_evermani_scaffold_1176","mRNA",14347,26534,"ID=Peve_00002952;Name=Peve_00002952;start=0;stop=1;cds_size=3456",6888,FALSE,0.230769230769231
