"","X","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","pi_chrom","pi_start","pi_end","gf_chrom","gf_type","gf_start","gf_end","gf_attr","overlap","prop.sig.genes","Species"
"18",44,"LOC114967789","GO:0000724","double-strand break repair via homologous recombina...",256,3,0.32,0.00297,"Biological Processes","NW_025322620.1",178376,184506,"NW_025322620.1","mRNA",180442,182029,"ID=rna-XM_044309487.1;Parent=gene-LOC114967789;Dbxref=GeneID:114967789,Genbank:XM_044309487.1;Name=XM_044309487.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: inserted 2 bases in 1 codon;exception=unclassified transcription discrepancy;gbkey=mRNA;gene=LOC114967789;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 84%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase Q1-like;transcript_id=XM_044309487.1",1587,0.01171875,"Acropora pulchra"
"19",45,"LOC114967789","GO:0006268","DNA unwinding involved in DNA replication",123,3,0.15,0.00036,"Biological Processes","NW_025322620.1",178376,184506,"NW_025322620.1","mRNA",180442,182029,"ID=rna-XM_044309487.1;Parent=gene-LOC114967789;Dbxref=GeneID:114967789,Genbank:XM_044309487.1;Name=XM_044309487.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: inserted 2 bases in 1 codon;exception=unclassified transcription discrepancy;gbkey=mRNA;gene=LOC114967789;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 84%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase Q1-like;transcript_id=XM_044309487.1",1587,0.024390243902439,"Acropora pulchra"
"20",46,"LOC122950925","GO:0006310","DNA recombination",866,9,1.09,0.00013,"Biological Processes","NW_025322648.1",715048,722637,"NW_025322648.1","mRNA",717219,721680,"ID=rna-XM_044310944.1;Parent=gene-LOC122950925;Dbxref=GeneID:122950925,Genbank:XM_044310944.1;Name=XM_044310944.1;gbkey=mRNA;gene=LOC122950925;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044310944.1",4461,0.0103926096997691,"Acropora pulchra"
"21",47,"LOC122950925","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NW_025322648.1",715048,722637,"NW_025322648.1","mRNA",717219,721680,"ID=rna-XM_044310944.1;Parent=gene-LOC122950925;Dbxref=GeneID:122950925,Genbank:XM_044310944.1;Name=XM_044310944.1;gbkey=mRNA;gene=LOC122950925;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044310944.1",4461,0.0116429495472186,"Acropora pulchra"
"22",48,"LOC122952191","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NW_025322706.1",12013,20025,"NW_025322706.1","mRNA",13473,15146,"ID=rna-XM_044312236.1;Parent=gene-LOC122952191;Dbxref=GeneID:122952191,Genbank:XM_044312236.1;Name=XM_044312236.1;gbkey=mRNA;gene=LOC122952191;model_evidence=Supporting evidence includes similarity to: 5 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044312236.1",1673,0.0116429495472186,"Acropora pulchra"
"23",49,"LOC122956629","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NC_058067.1",14155111,14163931,"NC_058067.1","mRNA",14157497,14159293,"ID=rna-XM_044316312.1;Parent=gene-LOC122956629;Dbxref=GeneID:122956629,Genbank:XM_044316312.1;Name=XM_044316312.1;gbkey=mRNA;gene=LOC122956629;model_evidence=Supporting evidence includes similarity to: 4 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044316312.1",1796,0.0116429495472186,"Acropora pulchra"
"24",51,"LOC122957249","GO:0000723","telomere maintenance",201,5,0.25,8e-06,"Biological Processes","NC_058067.1",30936178,30944991,"NC_058067.1","mRNA",30942775,30943688,"ID=rna-XM_044317251.1;Parent=gene-LOC122957249;Dbxref=GeneID:122957249,Genbank:XM_044317251.1;Name=XM_044317251.1;gbkey=mRNA;gene=LOC122957249;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 1 Protein%2C and 66%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC122957249;transcript_id=XM_044317251.1",913,0.0248756218905473,"Acropora pulchra"
"25",55,"LOC122957249","GO:0044806","G-quadruplex DNA unwinding",86,4,0.11,2.6e-06,"Biological Processes","NC_058067.1",30936178,30944991,"NC_058067.1","mRNA",30942775,30943688,"ID=rna-XM_044317251.1;Parent=gene-LOC122957249;Dbxref=GeneID:122957249,Genbank:XM_044317251.1;Name=XM_044317251.1;gbkey=mRNA;gene=LOC122957249;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 1 Protein%2C and 66%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC122957249;transcript_id=XM_044317251.1",913,0.0465116279069767,"Acropora pulchra"
"26",58,"LOC122959385","GO:1903108","regulation of mitochondrial transcription",7,1,0.01,0.0079,"Biological Processes","NC_058070.1",16239005,16248013,"NC_058070.1","mRNA",16243679,16244486,"ID=rna-XM_044320708.1;Parent=gene-LOC122959385;Dbxref=GeneID:122959385,Genbank:XM_044320708.1;Name=XM_044320708.1;gbkey=mRNA;gene=LOC122959385;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C and 99%25 coverage of the annotated genomic feature by RNAseq alignments;product=THAP domain-containing protein 11-like;transcript_id=XM_044320708.1",807,0.142857142857143,"Acropora pulchra"
"27",59,"LOC122960430","GO:0006310","DNA recombination",866,9,1.09,0.00013,"Biological Processes","NC_058071.1",7355630,7361347,"NC_058071.1","mRNA",7354716,7356162,"ID=rna-XM_044322631.1;Parent=gene-LOC122960430;Dbxref=GeneID:122960430,Genbank:XM_044322631.1;Name=XM_044322631.1;gbkey=mRNA;gene=LOC122960430;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C and 98%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC122960430;transcript_id=XM_044322631.1",532,0.0103926096997691,"Acropora pulchra"
"28",60,"LOC122960430","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NC_058071.1",7355630,7361347,"NC_058071.1","mRNA",7354716,7356162,"ID=rna-XM_044322631.1;Parent=gene-LOC122960430;Dbxref=GeneID:122960430,Genbank:XM_044322631.1;Name=XM_044322631.1;gbkey=mRNA;gene=LOC122960430;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C and 98%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC122960430;transcript_id=XM_044322631.1",532,0.0116429495472186,"Acropora pulchra"
"29",61,"LOC122960659","GO:0006355","regulation of DNA-templated transcription",2068,7,2.59,0.00707,"Biological Processes","NC_058072.1",16792114,16799962,"NC_058072.1","mRNA",16801758,16805105,"ID=rna-XM_044323091.1;Parent=gene-LOC122960659;Dbxref=GeneID:122960659,Genbank:XM_044323091.1;Name=XM_044323091.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC122960659;model_evidence=Supporting evidence includes similarity to: 3 mRNAs%2C 1 EST%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 81 samples with support for all annotated introns;product=zinc finger protein 862-like;transcript_id=XM_044323091.1",-1796,0.00338491295938104,"Acropora pulchra"
"30",63,"LOC122961172","GO:0000723","telomere maintenance",201,5,0.25,8e-06,"Biological Processes","NC_058072.1",16650053,16658972,"NC_058072.1","mRNA",16649053,16654072,"ID=rna-XM_044323762.1;Parent=gene-LOC122961172;Dbxref=GeneID:122961172,Genbank:XM_044323762.1;Name=XM_044323762.1;gbkey=mRNA;gene=LOC122961172;model_evidence=Supporting evidence includes similarity to: 4 mRNAs%2C and 91%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC122961172;transcript_id=XM_044323762.1",4019,0.0248756218905473,"Acropora pulchra"
"31",66,"LOC122961172","GO:0006310","DNA recombination",866,9,1.09,0.00013,"Biological Processes","NC_058072.1",16650053,16658972,"NC_058072.1","mRNA",16649053,16654072,"ID=rna-XM_044323762.1;Parent=gene-LOC122961172;Dbxref=GeneID:122961172,Genbank:XM_044323762.1;Name=XM_044323762.1;gbkey=mRNA;gene=LOC122961172;model_evidence=Supporting evidence includes similarity to: 4 mRNAs%2C and 91%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC122961172;transcript_id=XM_044323762.1",4019,0.0103926096997691,"Acropora pulchra"
"32",69,"LOC122962131","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17052282,17053208,"ID=rna-XM_044325046.1;Parent=gene-LOC122962131;Dbxref=GeneID:122962131,Genbank:XM_044325046.1;Name=XM_044325046.1;gbkey=mRNA;gene=LOC122962131;model_evidence=Supporting evidence includes similarity to: 2 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044325046.1",926,0.0116429495472186,"Acropora pulchra"
"33",70,"LOC114950214","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17053224,17055316,"ID=rna-XM_044325047.1;Parent=gene-LOC114950214;Dbxref=GeneID:114950214,Genbank:XM_044325047.1;Name=XM_044325047.1;gbkey=mRNA;gene=LOC114950214;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C and 79%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044325047.1",2092,0.0116429495472186,"Acropora pulchra"
"34",71,"LOC122964458","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NC_058066.1",28121256,28125982,"NC_058066.1","mRNA",28126954,28127481,"ID=rna-XM_044328014.1;Parent=gene-LOC122964458;Dbxref=GeneID:122964458,Genbank:XM_044328014.1;Name=XM_044328014.1;gbkey=mRNA;gene=LOC122964458;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044328014.1",-972,0.0116429495472186,"Acropora pulchra"
"35",72,"LOC114949708","GO:0042025","host cell nucleus",72,2,0.1,0.0037,"Cellular Components","NW_025322639.1",552725,557583,"NW_025322639.1","mRNA",553678,555304,"ID=rna-XM_029326050.2;Parent=gene-LOC114949708;Dbxref=GeneID:114949708,Genbank:XM_029326050.2;Name=XM_029326050.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114949708;model_evidence=Supporting evidence includes similarity to: 4 mRNAs%2C 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns;product=uncharacterized LOC114949708;transcript_id=XM_029326050.2",1626,0.0277777777777778,"Acropora pulchra"
"36",73,"LOC114951564","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NC_058066.1",27441463,27447983,"NC_058066.1","mRNA",27462364,27464454,"ID=rna-XM_029327730.2;Parent=gene-LOC114951564;Dbxref=GeneID:114951564,Genbank:XM_029327730.2;Name=XM_029327730.2;gbkey=mRNA;gene=LOC114951564;model_evidence=Supporting evidence includes similarity to: 3 Proteins;product=zinc finger protein 862-like;transcript_id=XM_029327730.2",-14381,0.00255188839741409,"Acropora pulchra"
"37",74,"LOC114957702","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058069.1",2474003,2485020,"NC_058069.1","mRNA",2466391,2500565,"ID=rna-XM_029335202.2;Parent=gene-LOC114957702;Dbxref=GeneID:114957702,Genbank:XM_029335202.2;Name=XM_029335202.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114957702;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C 8 ESTs%2C 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 49 samples with support for all annotated introns;product=ER membrane protein complex subunit 8-like;transcript_id=XM_029335202.2",11017,0.00207263224294854,"Acropora pulchra"
"38",77,"LOC114959002","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,"ID=rna-XM_029336885.2;Parent=gene-LOC114959002;Dbxref=GeneID:114959002,Genbank:XM_029336885.2;Name=XM_029336885.2;gbkey=mRNA;gene=LOC114959002;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 60%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase pfh1-like;transcript_id=XM_029336885.2",647,0.00255188839741409,"Acropora pulchra"
"39",84,"LOC114961822","GO:0005634","nucleus",5878,15,8.32,0.0042,"Cellular Components","NC_058076.1",1894179,1899982,"NC_058076.1","mRNA",1886532,1905239,"ID=rna-XM_029340673.2;Parent=gene-LOC114961822;Dbxref=GeneID:114961822,Genbank:XM_029340673.2;Name=XM_029340673.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114961822;model_evidence=Supporting evidence includes similarity to: 6 mRNAs%2C 8 Proteins%2C and 96%25 coverage of the annotated genomic feature by RNAseq alignments;product=DNA repair protein complementing XP-A cells homolog;transcript_id=XM_029340673.2",5803,0.00255188839741409,"Acropora pulchra"
"40",87,"LOC114962317","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,"ID=rna-XM_029341272.2;Parent=gene-LOC114962317;Dbxref=GeneID:114962317,Genbank:XM_029341272.2;Name=XM_029341272.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114962317;model_evidence=Supporting evidence includes similarity to: 13 mRNAs%2C 1 EST%2C 9 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 48 samples with support for all annotated introns;product=NACHT%2C LRR and PYD domains-containing protein 14-like%2C transcript variant X1;transcript_id=XM_029341272.2",-14692,0.00207263224294854,"Acropora pulchra"
"41",88,"LOC114962317","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,"ID=rna-XM_029341274.2;Parent=gene-LOC114962317;Dbxref=GeneID:114962317,Genbank:XM_029341274.2;Name=XM_029341274.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114962317;model_evidence=Supporting evidence includes similarity to: 14 mRNAs%2C 1 EST%2C 9 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 56 samples with support for all annotated introns;product=NACHT%2C LRR and PYD domains-containing protein 14-like%2C transcript variant X2;transcript_id=XM_029341274.2",-14692,0.00207263224294854,"Acropora pulchra"
"42",89,"LOC114962317","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,"ID=rna-XM_029341272.2;Parent=gene-LOC114962317;Dbxref=GeneID:114962317,Genbank:XM_029341272.2;Name=XM_029341272.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114962317;model_evidence=Supporting evidence includes similarity to: 13 mRNAs%2C 1 EST%2C 9 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 48 samples with support for all annotated introns;product=NACHT%2C LRR and PYD domains-containing protein 14-like%2C transcript variant X1;transcript_id=XM_029341272.2",-14692,0.00207263224294854,"Acropora pulchra"
"43",90,"LOC114962317","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NW_025322615.1",2056110,2070937,"NW_025322615.1","mRNA",2028118,2041418,"ID=rna-XM_029341274.2;Parent=gene-LOC114962317;Dbxref=GeneID:114962317,Genbank:XM_029341274.2;Name=XM_029341274.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114962317;model_evidence=Supporting evidence includes similarity to: 14 mRNAs%2C 1 EST%2C 9 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 56 samples with support for all annotated introns;product=NACHT%2C LRR and PYD domains-containing protein 14-like%2C transcript variant X2;transcript_id=XM_029341274.2",-14692,0.00207263224294854,"Acropora pulchra"
"44",92,"LOC114962739","GO:0005737","cytoplasm",11097,23,15.7,7e-05,"Cellular Components","NC_058069.1",26266482,26272980,"NC_058069.1","mRNA",26264526,26265929,"ID=rna-XM_029341779.2;Parent=gene-LOC114962739;Dbxref=GeneID:114962739,Genbank:XM_029341779.2;Name=XM_029341779.2;gbkey=mRNA;gene=LOC114962739;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C and 52%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC114962739;transcript_id=XM_029341779.2",-553,0.00207263224294854,"Acropora pulchra"
