Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-145-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-150-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-173-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-178-S1-TP2-fastp-adapters-polyG-31bp-merged
NC_058066.1:2642401-2642967	Cluster_41	N	0	3	197	2	0
NC_058066.1:2700289-2700941	Cluster_42	N	137	32	1413	74	79
NC_058066.1:2704452-2705234	Cluster_43	N	97	2	326	537	265
NC_058066.1:2712584-2713182	Cluster_44	N	143	24	102	32	15
NC_058066.1:2754739-2755167	Cluster_45	N	1	68	23	11	54
NC_058066.1:2763730-2764250	Cluster_46	N	356	2	822	3190	2303
NC_058066.1:2909446-2909875	Cluster_47	N	62	69	24	35	1
NC_058066.1:3093735-3094686	Cluster_48	N	273	54	2837	1956	564
NC_058066.1:3095872-3096301	Cluster_49	N	1	48	10	30	83
NC_058066.1:3194972-3195595	Cluster_50	N	64	22	4	258	21
NC_058066.1:3211850-3212757	Cluster_51	N	49	63	107	108	132
NC_058066.1:3220567-3220984	Cluster_52	N	61	117	27	55	1
NC_058066.1:3415292-3415723	Cluster_53	N	2	8	320	1	4
NC_058066.1:3538069-3538486	Cluster_54	N	20	22	48	28	4
NC_058066.1:3540154-3540712	Cluster_55	N	46	20	32	348	81
NC_058066.1:3743341-3743764	Cluster_56	N	0	59	25	23	0
NC_058066.1:3829802-3830231	Cluster_57	N	64	85	24	35	6
NC_058066.1:3839436-3839860	Cluster_58	N	40	50	19	32	16
NC_058066.1:3840727-3841156	Cluster_59	N	178	272	30	65	13
NC_058066.1:3841257-3841679	Cluster_60	N	116	41	22	14	7
NC_058066.1:3843560-3844638	Cluster_61	N	68	1366	88	1022	35
NC_058066.1:3844768-3845622	Cluster_62	N	19	532	10	313	11
NC_058066.1:3845637-3846046	Cluster_63	N	4	90	8	112	0
NC_058066.1:3848303-3849112	Cluster_64	N	12	968	68	403	10
NC_058066.1:3849568-3849991	Cluster_65	N	141	91	22	24	15
NC_058066.1:3851014-3851455	Cluster_66	N	87	96	147	35	14
NC_058066.1:3857089-3857518	Cluster_67	N	62	2	6	163	53
NC_058066.1:3878533-3879316	Cluster_68	N	172	250	145	316	2857
NC_058066.1:3880315-3880736	Cluster_69	N	38	30	53	31	17
NC_058066.1:3887019-3887473	Cluster_70	N	130	85	172	124	65
NC_058066.1:3898329-3898757	Cluster_71	N	3	193	1	2	47
NC_058066.1:3915359-3915799	Cluster_72	N	0	1	2	385	1
NC_058066.1:3920681-3921108	Cluster_73	N	90	22	16	293	5
NC_058066.1:3951158-3951602	Cluster_74	N	97	251	107	756	208
NC_058066.1:4066616-4067187	Cluster_75	N	757	468	600	117	46
NC_058066.1:4069713-4070143	Cluster_76	N	182	59	84	46	31
NC_058066.1:4072639-4073183	Cluster_77	N	793	103	133	69	39
NC_058066.1:4073323-4073752	Cluster_78	N	30	60	260	104	12
NC_058066.1:4078283-4079207	Cluster_79	N	320	219	335	186	108
NC_058066.1:4079326-4079754	Cluster_80	N	143	93	137	69	57
NC_058066.1:4083305-4084017	Cluster_81	N	117	64	153	201	57
NC_058066.1:4084153-4085370	Cluster_82	N	534	1333	545	173	12100
NC_058066.1:4085813-4086243	Cluster_83	N	37	35	37	31	59
NC_058066.1:4086995-4087595	Cluster_84	N	642	446	159	671	299
NC_058066.1:4088251-4089801	Cluster_85	N	1824	1477	314	1968	1035
NC_058066.1:4089888-4090463	Cluster_86	N	222	297	54	264	379
NC_058066.1:4090624-4091323	Cluster_87	N	576	497	41	848	1442
NC_058066.1:4091492-4092049	Cluster_88	N	263	255	21	985	140
NC_058066.1:4092110-4093839	Cluster_89	N	1364	652	5109	2074	371
NC_058066.1:4094002-4094506	Cluster_90	N	171	75	179	103	36
NC_058066.1:4094648-4095656	Cluster_91	N	236	249	425	155	177
NC_058066.1:4098719-4099138	Cluster_92	N	50	25	105	26	6
NC_058066.1:4099196-4099609	Cluster_93	N	38	50	72	26	2
NC_058066.1:4105151-4105932	Cluster_94	N	407	143	353	276	108
NC_058066.1:4106066-4106589	Cluster_95	N	76	144	62	40	24
NC_058066.1:4106614-4108157	Cluster_96	N	286	5218	340	178	189
NC_058066.1:4116592-4117345	Cluster_97	N	1493	886	804	660	1177
NC_058066.1:4118026-4118892	Cluster_98	N	81	126	4844	876	56
NC_058066.1:4118903-4119325	Cluster_99	N	32	36	90	23	17
NC_058066.1:4120171-4120600	Cluster_100	N	29	25	64	24	12
NC_058066.1:4124209-4124609	Cluster_101	N	52	62	106	44	23
NC_058066.1:4125316-4126251	Cluster_102	N	17290	3606	10848	15537	11
NC_058066.1:4126549-4127917	Cluster_103	N	75	87	185	68	90
NC_058066.1:4129371-4129914	Cluster_104	N	285	187	114	27	2
NC_058066.1:4131152-4131581	Cluster_105	N	90	70	42	108	399
NC_058066.1:4133051-4133479	Cluster_106	N	17	36	15	89	6
NC_058066.1:4137721-4138263	Cluster_107	N	132	32	131	123	32
NC_058066.1:4138521-4139196	Cluster_108	N	222	162	221	99	75
NC_058066.1:4140204-4142764	Cluster_109	N	1186	1256	3947	1334	5787
NC_058066.1:4143154-4143584	Cluster_110	N	8	1	10	186	145
NC_058066.1:4145938-4146359	Cluster_111	N	33	70	31	14	35
NC_058066.1:4150930-4151357	Cluster_112	N	32	21	74	52	30
NC_058066.1:4154886-4155313	Cluster_113	N	44	6	96	53	33
NC_058066.1:4168339-4168766	Cluster_114	N	103	141	518	297	114
NC_058066.1:4171280-4172604	Cluster_115	N	51	3167	259	947	2227
NC_058066.1:4175545-4175969	Cluster_116	N	1	4	83	31	85
NC_058066.1:4176540-4177402	Cluster_117	N	13	61	333	1985	153
NC_058066.1:4180297-4180724	Cluster_118	N	1	1	0	0	192
NC_058066.1:4181255-4181752	Cluster_119	N	124	83	184	201	156
NC_058066.1:4195868-4196285	Cluster_120	N	9	40	44	16	45
NC_058066.1:4198382-4199175	Cluster_121	N	9360	1502	145	1409	3287
NC_058066.1:4230809-4231506	Cluster_122	N	686	2783	2306	961	3250
NC_058066.1:4233187-4233944	Cluster_123	N	663	167	1053	20	161
NC_058066.1:4235767-4236469	Cluster_124	N	110	210	91	58	64
NC_058066.1:4237239-4237668	Cluster_125	N	65	53	81	93	49
NC_058066.1:4244761-4245294	Cluster_126	N	107	179	72	66	42
NC_058066.1:4250873-4251300	Cluster_127	N	166	148	23	1	2
NC_058066.1:4258796-4259225	Cluster_128	N	55	26	33	10	5
NC_058066.1:4270389-4271093	Cluster_129	N	493	360	22	207	7
NC_058066.1:4272191-4272615	Cluster_130	N	23	29	16	36	27
NC_058066.1:4287869-4288876	Cluster_131	N	56	486	83	72	20
NC_058066.1:4297879-4298296	Cluster_132	N	30	3	18	61	104
NC_058066.1:4300516-4300940	Cluster_133	N	20	0	0	4	87
NC_058066.1:4332131-4332560	Cluster_134	N	208	4	1	0	10
NC_058066.1:4337103-4338168	Cluster_135	N	5239	6965	1489	608	1791
NC_058066.1:4347619-4348048	Cluster_136	N	14	18	24	114	45
NC_058066.1:4354672-4355099	Cluster_137	N	261	20	1	1	126
NC_058066.1:4370016-4370445	Cluster_138	N	35	105	2	0	133
NC_058066.1:4385982-4386415	Cluster_139	N	51	85	26	44	63
NC_058066.1:4395132-4395582	Cluster_140	N	74	20	0	285	0
NC_058066.1:4397148-4397587	Cluster_141	N	395	12	9	50	6
NC_058066.1:4397609-4398038	Cluster_142	N	164	3	2	3	4
NC_058066.1:4415937-4416362	Cluster_143	N	124	85	3	4	2
NC_058066.1:4416390-4416967	Cluster_144	N	149	0	53	2	43
NC_058066.1:4423092-4423522	Cluster_145	N	130	0	8	6	264
NC_058066.1:4423775-4424562	Cluster_146	N	1145	241	24	22	2267
NC_058066.1:4424580-4425010	Cluster_147	N	268	7	2	7	62
NC_058066.1:4426470-4427070	Cluster_148	N	37	405	29	8	320
NC_058066.1:4428952-4429396	Cluster_149	N	0	0	17	321	0
NC_058066.1:4436786-4437215	Cluster_150	N	1	101	0	0	53
NC_058066.1:4438120-4438549	Cluster_151	N	72	58	107	18	95
NC_058066.1:4441841-4442696	Cluster_152	N	81	30	3319	20	39
NC_058066.1:4465253-4465893	Cluster_153	N	312	92	63	63	55
NC_058066.1:4466081-4466510	Cluster_154	N	47	264	15	298	28
NC_058066.1:4466827-4467363	Cluster_155	N	0	1	5	1	742
NC_058066.1:4471991-4472693	Cluster_156	N	0	26	584	1	22
NC_058066.1:4483124-4483550	Cluster_157	N	26	13	7	69	29
NC_058066.1:4486012-4486591	Cluster_158	N	1875	3008	3532	5513	759
NC_058066.1:4487541-4487966	Cluster_159	N	13	9	10	115	8
NC_058066.1:4488258-4488857	Cluster_160	N	2	339	113	72	6
NC_058066.1:4506697-4507125	Cluster_161	N	0	181	0	20	42
NC_058066.1:4508672-4509818	Cluster_162	N	7	1859	216	1154	966
NC_058066.1:4510580-4511216	Cluster_163	N	3	1782	11	245	346
NC_058066.1:4516632-4517208	Cluster_164	N	15	4	124	162	2
NC_058066.1:4517237-4518632	Cluster_165	N	89	4316	4494	2324	343
NC_058066.1:4522462-4522882	Cluster_166	N	20	16	45	53	16
NC_058066.1:4526737-4527164	Cluster_167	N	42	81	106	18	12
NC_058066.1:4527351-4527779	Cluster_168	N	0	192	2	128	78
NC_058066.1:4529111-4529538	Cluster_169	N	4	71	18	168	1
NC_058066.1:4531090-4531633	Cluster_170	N	218	181	39	278	151
NC_058066.1:4542604-4543029	Cluster_171	N	39	24	45	13	21
NC_058066.1:4562931-4563361	Cluster_172	N	53	36	10	2	270
NC_058066.1:4570207-4570655	Cluster_173	N	4	9	7	4	1480
NC_058066.1:4571239-4571801	Cluster_174	N	0	2	1	3	951
NC_058066.1:4591107-4591717	Cluster_175	N	323	210	679	898	403
NC_058066.1:4596608-4597030	Cluster_176	N	137	39	17	0	0
NC_058066.1:5088459-5088888	Cluster_177	N	21	0	158	12	16
NC_058066.1:5097314-5097723	Cluster_178	N	78	0	5	17	0
NC_058066.1:5099329-5100112	Cluster_179	N	73	739	59	389	13
NC_058066.1:5100324-5100738	Cluster_180	N	51	106	111	46	2
NC_058066.1:5105882-5106303	Cluster_181	N	0	9	0	78	1
NC_058066.1:5118657-5119089	Cluster_182	N	610	84	340	183	39
NC_058066.1:5142156-5142576	Cluster_183	N	0	178	12	0	11
NC_058066.1:5224792-5225215	Cluster_184	N	58	247	921	11	27
NC_058066.1:5240409-5240844	Cluster_185	N	164	401	816	427	918
NC_058066.1:5264708-5265125	Cluster_186	N	45	52	61	29	0
NC_058066.1:5314740-5315199	Cluster_187	N	141	48	62	25	206
NC_058066.1:5332228-5332691	Cluster_188	N	408	433	164	280	213
NC_058066.1:5341387-5341795	Cluster_189	N	29	46	10	26	68
NC_058066.1:5604608-5605031	Cluster_190	N	1	94	3	4	1
NC_058066.1:5703640-5704069	Cluster_191	N	4	17	15	474	5
NC_058066.1:5704323-5704753	Cluster_192	N	20	258	57	31	36
NC_058066.1:5705937-5706375	Cluster_193	N	41	61	15	83	120
NC_058066.1:5796488-5796916	Cluster_194	N	149	733	1	154	0
NC_058066.1:5844885-5845313	Cluster_195	N	8	173	78	14	0
NC_058066.1:5905310-5905827	Cluster_196	N	86	64	42	20	11
NC_058066.1:5955136-5955564	Cluster_197	N	142	0	2	0	0
NC_058066.1:6116958-6117387	Cluster_198	N	0	5	191	0	0
NC_058066.1:6219284-6219712	Cluster_199	N	502	1	2	0	170
NC_058066.1:6261806-6262258	Cluster_200	N	126	195	0	26	197
NC_058066.1:6307573-6308288	Cluster_201	N	177	184	160	160	115
NC_058066.1:6314126-6314552	Cluster_202	N	13	43	57	29	33
NC_058066.1:6332538-6332971	Cluster_203	N	92	72	63	45	17
NC_058066.1:6342427-6343313	Cluster_204	N	382	0	54	8	1
NC_058066.1:6352776-6353208	Cluster_205	N	4	6	3	603	29
NC_058066.1:6363187-6363615	Cluster_206	N	24	4	346	8	6
NC_058066.1:6417595-6418138	Cluster_207	N	923	1073	19	9	0
NC_058066.1:6418159-6418838	Cluster_208	N	5413	4995	887	501	4
NC_058066.1:6425688-6426092	Cluster_209	N	23	99	23	2	14
NC_058066.1:6443917-6444345	Cluster_210	N	204	255	3	1	4
NC_058066.1:6529310-6530683	Cluster_211	N	14	1272	17	22	7
NC_058066.1:6557606-6558150	Cluster_212	N	132	232	185	331	172
NC_058066.1:6589407-6589835	Cluster_213	N	19	64	43	60	89
NC_058066.1:6681986-6682414	Cluster_214	N	232	1	3	6	1
NC_058066.1:6859387-6859816	Cluster_215	N	43	0	0	0	441
NC_058066.1:6874442-6874852	Cluster_216	N	8	96	0	24	1
NC_058066.1:6928504-6928934	Cluster_217	N	34	347	626	135	421
NC_058066.1:7198629-7199054	Cluster_218	N	90	0	12	0	4
NC_058066.1:7210451-7211097	Cluster_219	N	226	2	27	298	0
NC_058066.1:7240509-7240939	Cluster_220	N	9	3	6	1	127
NC_058066.1:7514685-7515164	Cluster_221	N	190	76	66	301	663
NC_058066.1:7519887-7520317	Cluster_222	N	146	34	150	103	441
NC_058066.1:7530913-7531343	Cluster_223	N	14	390	167	194	9
NC_058066.1:7532232-7532659	Cluster_224	N	67	57	32	47	9
NC_058066.1:7563377-7563797	Cluster_225	N	17	45	38	5	13
NC_058066.1:7600171-7601866	Cluster_226	N	1363	813	777	1371	1029
NC_058066.1:7602747-7603218	Cluster_227	N	158	41	9	0	322
NC_058066.1:7654651-7655079	Cluster_228	N	1	56	9	246	152
NC_058066.1:7656764-7657191	Cluster_229	N	0	0	169	0	0
NC_058066.1:7694380-7694806	Cluster_230	N	132	2	4	0	30
NC_058066.1:7714668-7715198	Cluster_231	N	0	587	118	0	0
NC_058066.1:7730071-7730508	Cluster_232	N	309	2	65	358	21
NC_058066.1:7731217-7731737	Cluster_233	N	19	77	84	21	207
NC_058066.1:7732564-7733490	Cluster_234	N	637	332	155	101	52
NC_058066.1:7793600-7794029	Cluster_235	N	1	237	2	0	1
NC_058066.1:7802726-7803149	Cluster_236	N	54	4	39	7	22
NC_058066.1:7875994-7876421	Cluster_237	N	0	1	0	0	175
NC_058066.1:7943787-7944206	Cluster_238	N	38	127	39	3	30
NC_058066.1:8171302-8171732	Cluster_239	N	250	4	264	3	24
NC_058066.1:8195271-8196320	Cluster_240	N	523	159	195	97	6
NC_058066.1:8310289-8310825	Cluster_241	N	8	173	190	57	103
NC_058066.1:8313705-8314114	Cluster_242	N	3	1	33	54	82
NC_058066.1:8319128-8319555	Cluster_243	N	0	0	22	121	0
NC_058066.1:8324010-8324433	Cluster_244	N	0	61	45	70	0
NC_058066.1:8331008-8331433	Cluster_245	N	0	100	0	7	1
NC_058066.1:8356135-8356543	Cluster_246	N	10	30	15	4	26
NC_058066.1:8458714-8459222	Cluster_247	N	25	422	1126	18	14
NC_058066.1:8498040-8498487	Cluster_248	N	3	72	370	138	0
NC_058066.1:8640520-8640948	Cluster_249	N	0	23	0	122	72
NC_058066.1:8850245-8850664	Cluster_250	N	3	113	10	0	0
NC_058066.1:8905068-8905484	Cluster_251	N	10	9	58	5	20
NC_058066.1:9249747-9250187	Cluster_252	N	2	44	5210	3	432
NC_058066.1:9320629-9321068	Cluster_253	N	107	153	82	70	88
NC_058066.1:9344067-9344497	Cluster_254	N	0	78	26	0	3
NC_058066.1:9355908-9356335	Cluster_255	N	112	0	1	0	3
NC_058066.1:9356980-9357397	Cluster_256	N	347	0	0	0	0
NC_058066.1:9373667-9374096	Cluster_257	N	87	5	112	1	24
NC_058066.1:9402467-9402894	Cluster_258	N	6	226	1	0	1
NC_058066.1:9411531-9411977	Cluster_259	N	1	111	215	378	15
NC_058066.1:9412472-9412884	Cluster_260	N	0	105	51	32	19
NC_058066.1:9412953-9413848	Cluster_261	N	1	282	301	226	126
NC_058066.1:9414212-9414781	Cluster_262	N	0	121	378	882	22
NC_058066.1:9415436-9416057	Cluster_263	N	3	868	400	10	20
NC_058066.1:9423076-9423522	Cluster_264	N	2	110	206	361	18
NC_058066.1:9424661-9425391	Cluster_265	N	0	283	243	195	96
NC_058066.1:9425750-9426794	Cluster_266	N	6	467	509	93	84
NC_058066.1:9426977-9427598	Cluster_267	N	4	975	365	8	16
NC_058066.1:9431462-9431878	Cluster_268	N	14	17	13	34	27
NC_058066.1:9441135-9441668	Cluster_269	N	237	112	249	0	1
NC_058066.1:9470217-9470646	Cluster_270	N	84	7	114	2	35
NC_058066.1:9482225-9482739	Cluster_271	N	20	0	1	780	5
NC_058066.1:9483107-9483534	Cluster_272	N	200	0	0	0	0
NC_058066.1:9486843-9487271	Cluster_273	N	122	0	2	0	1
NC_058066.1:9510852-9511290	Cluster_274	N	277	311	0	1	57
NC_058066.1:9512883-9513321	Cluster_275	N	86	19	1107	0	58
NC_058066.1:9519078-9519517	Cluster_276	N	108	156	92	64	76
NC_058066.1:9750606-9751032	Cluster_277	N	12	19	0	0	58
NC_058066.1:10213462-10213879	Cluster_278	N	1	1	3	12	116
NC_058066.1:10491270-10491798	Cluster_279	N	17	1252	24	764	648
NC_058066.1:10513300-10513719	Cluster_280	N	18	1	0	173	1
NC_058066.1:10578372-10578801	Cluster_281	N	11	5	245	8	6
NC_058066.1:10595555-10596457	Cluster_282	N	321	468	539	559	395
NC_058066.1:10620700-10621117	Cluster_283	N	3	17	34	56	0
NC_058066.1:10639970-10640393	Cluster_284	N	0	0	0	0	82
NC_058066.1:10849134-10849563	Cluster_285	N	3	9	1302	8	12
NC_058066.1:10865824-10866252	Cluster_286	N	83	40	96	35	83
NC_058066.1:10866399-10866815	Cluster_287	N	21	12	34	9	12
NC_058066.1:10890744-10891171	Cluster_288	N	20	35	278	40	25
NC_058066.1:10915025-10915452	Cluster_289	N	58	2	55	53	0
NC_058066.1:11055992-11056421	Cluster_290	N	46	14737	31	148	4258
NC_058066.1:11129704-11130455	Cluster_291	N	141	694	549	128	15
NC_058066.1:11198540-11198957	Cluster_292	N	2	16	39	0	30
NC_058066.1:11201125-11202024	Cluster_293	N	4	1893	5935	9	2387
NC_058066.1:11205169-11205591	Cluster_294	N	6	23	35	31	121
NC_058066.1:11326710-11327138	Cluster_295	N	2	425	202	221	138
NC_058066.1:11363689-11364109	Cluster_296	N	0	74	105	0	0
NC_058066.1:11435740-11436246	Cluster_297	N	346	74	31	139	2
NC_058066.1:11455898-11456327	Cluster_298	N	0	5	129	24	0
NC_058066.1:11614003-11614854	Cluster_299	N	1055	3	4	18	3
NC_058066.1:11708688-11709221	Cluster_300	N	56	5812	3700	106	4338
NC_058066.1:11880468-11880886	Cluster_301	N	3	51	25	9	5
NC_058066.1:11901595-11902339	Cluster_302	N	134	40	396	40	61
NC_058066.1:11910958-11911943	Cluster_303	N	535	16	1158	2	4
NC_058066.1:11912392-11913103	Cluster_304	N	780	15	1280	6	7
NC_058066.1:11914910-11915344	Cluster_305	N	327	8	421	0	77
NC_058066.1:11938207-11938635	Cluster_306	N	1	1	0	180	0
NC_058066.1:12087833-12088263	Cluster_307	N	16	56	385	1	5
NC_058066.1:12276665-12277093	Cluster_308	N	128	0	84	98	51
NC_058066.1:12314770-12315199	Cluster_309	N	0	3	103	0	27
NC_058066.1:12369058-12369483	Cluster_310	N	2	0	0	85	0
NC_058066.1:12370247-12371201	Cluster_311	N	146	1845	860	5109	498
NC_058066.1:12681649-12682074	Cluster_312	N	0	80	9	0	33
NC_058066.1:12706010-12706440	Cluster_313	N	5	1	9	1512	151
NC_058066.1:12729722-12730183	Cluster_314	N	0	1	1	1	491
NC_058066.1:12735217-12735660	Cluster_315	N	732	21	145	60	15
NC_058066.1:12757125-12757218	Cluster_316	Y	1	971	1511	0	5810
NC_058066.1:12875477-12875923	Cluster_317	N	212	24	12	20	0
NC_058066.1:12942952-12943790	Cluster_318	N	12	521	20	333	878
NC_058066.1:12943937-12944610	Cluster_319	N	2	100	2	77	616
NC_058066.1:12944828-12945862	Cluster_320	N	29	380	5	310	569
NC_058066.1:12945988-12946402	Cluster_321	N	2	88	3	39	28
NC_058066.1:12972144-12972633	Cluster_322	N	4351	7204	18454	2131	1612
NC_058066.1:13025923-13026353	Cluster_323	N	100	0	58	141	73
NC_058066.1:13035796-13036220	Cluster_324	N	51	8	1	0	26
NC_058066.1:13036269-13036699	Cluster_325	N	104	209	102	105	58
NC_058066.1:13128148-13128573	Cluster_326	N	0	1	474	17	127
NC_058066.1:13218673-13219102	Cluster_327	N	94	134	120	107	19
NC_058066.1:13401084-13403037	Cluster_328	N	41	3332	20	8	6
NC_058066.1:13434490-13435161	Cluster_329	N	20	95	0	111	186
NC_058066.1:13446834-13447261	Cluster_330	N	59	154	136	2	225
NC_058066.1:13572125-13572554	Cluster_331	N	18	36	46	84	74
NC_058066.1:13688302-13688729	Cluster_332	N	47	51	9	8	14
NC_058066.1:13838095-13838524	Cluster_333	N	3	18	10	4	143
NC_058066.1:14063944-14064363	Cluster_334	N	12	9	17	7	48
NC_058066.1:14073711-14075816	Cluster_335	N	808	533	537	48	63
NC_058066.1:14078616-14079155	Cluster_336	N	76	272	0	217	6
NC_058066.1:14341479-14341904	Cluster_337	N	1	131	0	0	1
NC_058066.1:14401643-14402075	Cluster_338	N	115	3	0	36	324
NC_058066.1:14427184-14427601	Cluster_339	N	14	14	136	0	8
NC_058066.1:14463895-14464344	Cluster_340	N	95	64	0	467	43
NC_058066.1:14505932-14506350	Cluster_341	N	0	1	0	80	0
NC_058066.1:14515544-14515960	Cluster_342	N	8	6	57	1	23
NC_058066.1:14595260-14595689	Cluster_343	N	43	0	134	2	0
NC_058066.1:14618660-14619453	Cluster_344	N	3	321	1108	5	35
NC_058066.1:14619499-14621305	Cluster_345	N	3	1516	3694	27	20
NC_058066.1:14626228-14626653	Cluster_346	N	73	6	0	3	45
NC_058066.1:14629624-14630418	Cluster_347	N	1332	1168	84	1	23
NC_058066.1:14630906-14632040	Cluster_348	N	0	596	6342	4	2
NC_058066.1:14773924-14774349	Cluster_349	N	9	4	65	53	51
NC_058066.1:14833954-14834363	Cluster_350	N	26	104	35	4	15
NC_058066.1:14985542-14985968	Cluster_351	N	3	45	29	64	9
NC_058066.1:15046023-15046452	Cluster_352	N	7	2	417	33	0
NC_058066.1:15052783-15053203	Cluster_353	N	0	102	1	0	1
NC_058066.1:15064597-15065009	Cluster_354	N	8	92	22	34	19
NC_058066.1:15150698-15151276	Cluster_355	N	231	342	405	100	510
NC_058066.1:15153403-15153917	Cluster_356	N	226	750	1083	844	2106
NC_058066.1:15288771-15289189	Cluster_357	N	472	627	148	367	1
NC_058066.1:15291682-15292275	Cluster_358	N	452	194	493	190	0
NC_058066.1:15502313-15502735	Cluster_359	N	3	57	44	184	7
NC_058066.1:15503231-15503656	Cluster_360	N	12	79	0	29	26
NC_058066.1:15504762-15505258	Cluster_361	N	14	62	69	1752	1
NC_058066.1:15670579-15671008	Cluster_362	N	101	115	0	0	56
NC_058066.1:15854619-15855047	Cluster_363	N	0	0	1	1	105
NC_058066.1:15899866-15900306	Cluster_364	N	0	43	19	0	1163
NC_058066.1:15961742-15962160	Cluster_365	N	29	61	35	8	8
NC_058066.1:16516197-16516625	Cluster_366	N	0	0	2	1	258
NC_058066.1:16609526-16609949	Cluster_367	N	36	63	17	1	37
NC_058066.1:16728520-16728925	Cluster_368	N	126	39	19	62	2
NC_058066.1:16729252-16730238	Cluster_369	N	572	3	15	1454	6
NC_058066.1:16734584-16735014	Cluster_370	N	16	1670	0	0	0
NC_058066.1:16839728-16840255	Cluster_371	N	226	585	41	65	26
NC_058066.1:17245004-17245433	Cluster_372	N	105	22	41	650	299
NC_058066.1:17245936-17246383	Cluster_373	N	128	3	7	64	163
NC_058066.1:17262130-17262782	Cluster_374	N	475	515	33	46	209
NC_058066.1:17269428-17269856	Cluster_375	N	86	1	2	1	3
NC_058066.1:17275392-17276115	Cluster_376	N	133	98	61	65	188
NC_058066.1:17400448-17400874	Cluster_377	N	35	86	9	47	0
NC_058066.1:17441895-17442339	Cluster_378	N	0	7	287	0	1
NC_058066.1:17640475-17640903	Cluster_379	N	675	2	0	0	0
NC_058066.1:17640943-17642178	Cluster_380	N	10425	445	4	3	0
NC_058066.1:17642684-17643169	Cluster_381	N	927	0	0	0	0
NC_058066.1:17643291-17643719	Cluster_382	N	173	2	0	0	0
NC_058066.1:17643970-17644914	Cluster_383	N	11515	5	2	2	1
NC_058066.1:17652105-17652791	Cluster_384	N	310	1335	297	421	892
NC_058066.1:17659927-17660648	Cluster_385	N	696	3414	3	705	892
NC_058066.1:17664480-17664908	Cluster_386	N	52	60	98	22	6
