# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-a" "Pmea_lncRNA_for_counts.gtf" "-t" "lncRNA" "-g" "gene_id" "-o" "Pmea_lncRNA_counts_matrix.txt" "RNA-POC-47.sorted.bam" "RNA-POC-48.sorted.bam" "RNA-POC-50.sorted.bam" "RNA-POC-53.sorted.bam" "RNA-POC-57.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA-POC-47.sorted.bam	RNA-POC-48.sorted.bam	RNA-POC-50.sorted.bam	RNA-POC-53.sorted.bam	RNA-POC-57.sorted.bam
lncRNA_082	Pocillopora_meandrina_HIv1___Sc0000000	13545781	13552957	+	7177	38	112	24	204	30
lncRNA_083	Pocillopora_meandrina_HIv1___Sc0000000	13559485	13560172	+	688	101	13	2	77	2
lncRNA_084	Pocillopora_meandrina_HIv1___Sc0000000	13563201	13564908	+	1708	179	14	7	150	1
lncRNA_085	Pocillopora_meandrina_HIv1___Sc0000000	13637799	13638562	+	764	0	0	0	0	0
lncRNA_086	Pocillopora_meandrina_HIv1___Sc0000000	13637977	13638562	+	586	0	0	0	0	0
lncRNA_087	Pocillopora_meandrina_HIv1___Sc0000000	13670818	13672111	+	1294	13	24	19	182	266
lncRNA_088	Pocillopora_meandrina_HIv1___Sc0000000	13795538	13800922	+	5385	12	1	0	18	9
lncRNA_089	Pocillopora_meandrina_HIv1___Sc0000000	13796578	13800922	+	4345	0	0	0	0	0
lncRNA_090	Pocillopora_meandrina_HIv1___Sc0000000	13797551	13800922	+	3372	0	0	0	0	0
lncRNA_091	Pocillopora_meandrina_HIv1___Sc0000000	13797893	13800922	+	3030	0	0	0	0	0
lncRNA_092	Pocillopora_meandrina_HIv1___Sc0000000	13798657	13800922	+	2266	0	0	0	0	0
lncRNA_093	Pocillopora_meandrina_HIv1___Sc0000000	13896915	13897167	+	253	2	19	21	2	0
lncRNA_094	Pocillopora_meandrina_HIv1___Sc0000000	14130935	14132750	+	1816	14	14	30	13	6
lncRNA_095	Pocillopora_meandrina_HIv1___Sc0000000	14197857	14201066	+	3210	2	8	4	5	41
lncRNA_096	Pocillopora_meandrina_HIv1___Sc0000000	14263665	14266992	+	3328	0	0	0	0	0
lncRNA_097	Pocillopora_meandrina_HIv1___Sc0000000	14311522	14312472	+	951	0	0	0	0	76
lncRNA_098	Pocillopora_meandrina_HIv1___Sc0000000	14360477	14360800	+	324	0	0	17	8	0
lncRNA_099	Pocillopora_meandrina_HIv1___Sc0000000	14963300	14965792	+	2493	23	39	13	10	8
lncRNA_100	Pocillopora_meandrina_HIv1___Sc0000000	14472358	14473475	+	1118	9	33	17	10	0
lncRNA_101	Pocillopora_meandrina_HIv1___Sc0000000	14599479	14600432	+	954	14	62	174	78	102
lncRNA_102	Pocillopora_meandrina_HIv1___Sc0000000	14632848	14635002	+	2155	12	83	0	3	26
lncRNA_103	Pocillopora_meandrina_HIv1___Sc0000000	14787868	14789001	+	1134	26	40	6	11	0
lncRNA_104	Pocillopora_meandrina_HIv1___Sc0000000	14846044	14847993	+	1950	33	6	8	20	24
lncRNA_105	Pocillopora_meandrina_HIv1___Sc0000000	15370976	15371965	+	990	0	0	0	0	0
lncRNA_106	Pocillopora_meandrina_HIv1___Sc0000000	15370991	15371965	+	975	0	0	0	0	0
lncRNA_107	Pocillopora_meandrina_HIv1___Sc0000000	15386327	15392287	+	5961	64	99	73	46	31
lncRNA_108	Pocillopora_meandrina_HIv1___Sc0000000	15389160	15392287	+	3128	0	0	0	0	0
lncRNA_109	Pocillopora_meandrina_HIv1___Sc0000000	15479087	15479418	+	332	54	33	0	0	0
lncRNA_110	Pocillopora_meandrina_HIv1___Sc0000000	15970947	15992481	+	21535	462	714	144	116	327
lncRNA_111	Pocillopora_meandrina_HIv1___Sc0000000	15992002	16009739	+	17738	128	126	125	191	84
lncRNA_112	Pocillopora_meandrina_HIv1___Sc0000000	16255298	16255555	+	258	0	5	37	2	27
lncRNA_113	Pocillopora_meandrina_HIv1___Sc0000000	16313102	16314201	+	1100	171	14	186	152	71
lncRNA_114	Pocillopora_meandrina_HIv1___Sc0000000	16329092	16337624	+	8533	1420	82	394	75	196
lncRNA_115	Pocillopora_meandrina_HIv1___Sc0000000	16310323	16311297	+	975	41	24	20	39	0
lncRNA_116	Pocillopora_meandrina_HIv1___Sc0000000	16811030	16817926	+	6897	0	26	40	29	15
lncRNA_117	Pocillopora_meandrina_HIv1___Sc0000000	16890244	16893298	+	3055	10	33	92	33	40
lncRNA_118	Pocillopora_meandrina_HIv1___Sc0000000	17405133	17409115	+	3983	106	9	255	38	28
lncRNA_119	Pocillopora_meandrina_HIv1___Sc0000000	17407395	17409115	+	1721	0	0	0	0	0
lncRNA_120	Pocillopora_meandrina_HIv1___Sc0000000	17663470	17664151	+	682	38	61	65	68	97
lncRNA_121	Pocillopora_meandrina_HIv1___Sc0000000	17709116	17712468	+	3353	1	12	6	6	7
lncRNA_122	Pocillopora_meandrina_HIv1___Sc0000000	17710753	17712468	+	1716	0	0	0	0	0
lncRNA_123	Pocillopora_meandrina_HIv1___Sc0000000	18584295	18584584	+	290	0	22	0	0	34
lncRNA_124	Pocillopora_meandrina_HIv1___Sc0000000	18584751	18585578	+	828	10	132	10	41	27
lncRNA_125	Pocillopora_meandrina_HIv1___Sc0000000	18589549	18589849	+	301	5	3	0	1	6
lncRNA_126	Pocillopora_meandrina_HIv1___Sc0000000	18917960	18919836	+	1877	0	12	16	31	0
lncRNA_127	Pocillopora_meandrina_HIv1___Sc0000000	18946014	18946268	+	255	0	0	0	0	0
lncRNA_128	Pocillopora_meandrina_HIv1___Sc0000000	19038956	19041628	+	2673	32	38	17	182	14
lncRNA_129	Pocillopora_meandrina_HIv1___Sc0000000	19039000	19040720	+	1721	0	0	0	0	0
lncRNA_130	Pocillopora_meandrina_HIv1___Sc0000000	19054460	19055325	+	866	7	9	7	18	49
lncRNA_131	Pocillopora_meandrina_HIv1___Sc0000000	19409985	19410212	+	228	0	0	0	0	0
lncRNA_132	Pocillopora_meandrina_HIv1___Sc0000000	19420109	19439985	+	19877	0	0	0	0	0
lncRNA_133	Pocillopora_meandrina_HIv1___Sc0000000	19553223	19554405	+	1183	0	0	0	0	0
lncRNA_134	Pocillopora_meandrina_HIv1___Sc0000000	19553223	19554405	+	1183	0	0	0	0	0
lncRNA_135	Pocillopora_meandrina_HIv1___Sc0000000	19624731	19625016	+	286	0	0	0	0	0
lncRNA_136	Pocillopora_meandrina_HIv1___Sc0000000	19667167	19672593	+	5427	0	0	0	0	0
lncRNA_137	Pocillopora_meandrina_HIv1___Sc0000000	19743092	19744530	+	1439	1	22	14	24	29
lncRNA_138	Pocillopora_meandrina_HIv1___Sc0000000	19920804	19922088	+	1285	0	7	27	5	10
lncRNA_139	Pocillopora_meandrina_HIv1___Sc0000000	20928098	20930578	+	2481	35	53	79	95	31
lncRNA_140	Pocillopora_meandrina_HIv1___Sc0000000	549663	564638	+	14976	73	55	135	72	76
lncRNA_141	Pocillopora_meandrina_HIv1___Sc0000000	671189	674663	+	3475	923	1255	1421	1241	1067
lncRNA_142	Pocillopora_meandrina_HIv1___Sc0000000	850060	852046	+	1987	0	0	0	0	0
lncRNA_143	Pocillopora_meandrina_HIv1___Sc0000000	850210	852046	+	1837	0	0	0	0	0
lncRNA_144	Pocillopora_meandrina_HIv1___Sc0000000	961099	961556	+	458	6	17	28	2	21
lncRNA_145	Pocillopora_meandrina_HIv1___Sc0000000	1081098	1082004	+	907	1271	251	1291	538	518
lncRNA_146	Pocillopora_meandrina_HIv1___Sc0000000	1829312	1830588	+	1277	6	27	13	11	29
lncRNA_147	Pocillopora_meandrina_HIv1___Sc0000000	2294580	2296164	+	1585	843	176	1013	207	404
lncRNA_148	Pocillopora_meandrina_HIv1___Sc0000000	2336579	2343196	+	6618	33	10	36	35	76
lncRNA_149	Pocillopora_meandrina_HIv1___Sc0000000	3005958	3006834	+	877	0	0	0	0	0
lncRNA_150	Pocillopora_meandrina_HIv1___Sc0000000	3047929	3049275	+	1347	55	0	29	14	24
lncRNA_151	Pocillopora_meandrina_HIv1___Sc0000000	3276197	3283202	+	7006	306	1001	1277	1800	200
lncRNA_152	Pocillopora_meandrina_HIv1___Sc0000000	3557141	3557928	+	788	121	314	68	263	105
lncRNA_153	Pocillopora_meandrina_HIv1___Sc0000000	3600592	3601884	+	1293	31	21	31	10	5
lncRNA_154	Pocillopora_meandrina_HIv1___Sc0000000	3579675	3582309	+	2635	0	0	0	0	0
lncRNA_155	Pocillopora_meandrina_HIv1___Sc0000000	3579705	3582309	+	2605	0	0	0	0	0
lncRNA_156	Pocillopora_meandrina_HIv1___Sc0000000	4457404	4458487	+	1084	7519	1901	8354	3134	4126
lncRNA_157	Pocillopora_meandrina_HIv1___Sc0000000	4631057	4632119	+	1063	7	41	39	55	12
lncRNA_158	Pocillopora_meandrina_HIv1___Sc0000000	5636584	5721131	+	84548	10	15	6	5	10
lncRNA_159	Pocillopora_meandrina_HIv1___Sc0000000	5636739	5638849	+	2111	0	0	0	0	0
lncRNA_160	Pocillopora_meandrina_HIv1___Sc0000000	5643477	5659049	+	15573	0	0	0	0	0
lncRNA_161	Pocillopora_meandrina_HIv1___Sc0000000	5643649	5651551	+	7903	0	0	0	0	0
lncRNA_162	Pocillopora_meandrina_HIv1___Sc0000000	5665724	5690078	+	24355	0	0	0	0	0
lncRNA_163	Pocillopora_meandrina_HIv1___Sc0000000	5672935	5697281	+	24347	0	0	0	0	0
lncRNA_164	Pocillopora_meandrina_HIv1___Sc0000000	5672968	5709682	+	36715	0	0	0	0	0
lncRNA_165	Pocillopora_meandrina_HIv1___Sc0000000	5673030	5688498	+	15469	0	0	0	0	0
lncRNA_166	Pocillopora_meandrina_HIv1___Sc0000000	5680652	5710455	+	29804	0	0	0	0	0
lncRNA_167	Pocillopora_meandrina_HIv1___Sc0000000	5688094	5714967	+	26874	0	0	0	0	0
lncRNA_168	Pocillopora_meandrina_HIv1___Sc0000000	5688661	5690078	+	1418	0	0	0	0	0
lncRNA_169	Pocillopora_meandrina_HIv1___Sc0000000	5695470	5715926	+	20457	0	0	0	0	0
lncRNA_170	Pocillopora_meandrina_HIv1___Sc0000000	5713722	5720652	+	6931	0	0	0	0	0
lncRNA_171	Pocillopora_meandrina_HIv1___Sc0000000	5713722	5721055	+	7334	0	0	0	0	0
lncRNA_172	Pocillopora_meandrina_HIv1___Sc0000000	5702194	5709502	+	7309	0	0	0	0	0
lncRNA_173	Pocillopora_meandrina_HIv1___Sc0000000	5733211	5735235	+	2025	0	0	0	0	0
lncRNA_174	Pocillopora_meandrina_HIv1___Sc0000000	6048126	6049920	+	1795	191	125	336	195	256
lncRNA_175	Pocillopora_meandrina_HIv1___Sc0000000	6170996	6176973	+	5978	0	0	0	0	1
lncRNA_176	Pocillopora_meandrina_HIv1___Sc0000000	6171037	6176973	+	5937	0	0	0	0	0
lncRNA_177	Pocillopora_meandrina_HIv1___Sc0000000	6435043	6442210	+	7168	53	53	65	91	93
lncRNA_178	Pocillopora_meandrina_HIv1___Sc0000000	6436173	6443412	+	7240	0	0	14	2	0
lncRNA_179	Pocillopora_meandrina_HIv1___Sc0000000	6644581	6648458	+	3878	287	28	350	179	121
lncRNA_180	Pocillopora_meandrina_HIv1___Sc0000000	6904314	6906915	+	2602	76	98	76	237	211
lncRNA_181	Pocillopora_meandrina_HIv1___Sc0000000	6937600	6938478	+	879	0	48	0	53	0
lncRNA_182	Pocillopora_meandrina_HIv1___Sc0000000	7037685	7041274	+	3590	0	5	0	10	0
lncRNA_183	Pocillopora_meandrina_HIv1___Sc0000000	7037734	7041274	+	3541	0	0	0	0	0
lncRNA_184	Pocillopora_meandrina_HIv1___Sc0000000	7037837	7038729	+	893	0	0	0	0	0
lncRNA_185	Pocillopora_meandrina_HIv1___Sc0000000	7239635	7241120	+	1486	0	0	3	0	0
lncRNA_186	Pocillopora_meandrina_HIv1___Sc0000000	7239702	7241120	+	1419	0	0	0	0	0
lncRNA_187	Pocillopora_meandrina_HIv1___Sc0000000	7324147	7324920	+	774	0	0	0	15	34
lncRNA_188	Pocillopora_meandrina_HIv1___Sc0000000	7499415	7499762	+	348	0	2	6	4	0
lncRNA_189	Pocillopora_meandrina_HIv1___Sc0000000	7558778	7559696	+	919	12	8	6	23	5
lncRNA_190	Pocillopora_meandrina_HIv1___Sc0000000	7559857	7560531	+	675	3	17	6	27	7
lncRNA_191	Pocillopora_meandrina_HIv1___Sc0000000	7629755	7630170	+	416	6	5	14	34	0
lncRNA_192	Pocillopora_meandrina_HIv1___Sc0000000	7639023	7640883	+	1861	55	34	89	49	27
lncRNA_193	Pocillopora_meandrina_HIv1___Sc0000000	7668453	7677942	+	9490	18	20	28	15	61
lncRNA_194	Pocillopora_meandrina_HIv1___Sc0000000	7737421	7737721	+	301	0	3	15	5	0
lncRNA_195	Pocillopora_meandrina_HIv1___Sc0000000	7754443	7756486	+	2044	0	0	0	0	0
lncRNA_196	Pocillopora_meandrina_HIv1___Sc0000000	7806766	7814975	+	8210	34	47	29	7	26
lncRNA_197	Pocillopora_meandrina_HIv1___Sc0000000	8032100	8034498	+	2399	195	84	382	210	117
lncRNA_198	Pocillopora_meandrina_HIv1___Sc0000000	8311160	8314859	+	3700	477	635	1239	833	2
lncRNA_199	Pocillopora_meandrina_HIv1___Sc0000000	8634505	8635137	+	633	0	0	0	28	0
lncRNA_200	Pocillopora_meandrina_HIv1___Sc0000000	8927553	8945136	+	17584	224	292	138	247	280
lncRNA_201	Pocillopora_meandrina_HIv1___Sc0000000	9180195	9184336	+	4142	46	58	76	55	70
lncRNA_202	Pocillopora_meandrina_HIv1___Sc0000000	9180689	9183604	+	2916	0	0	0	0	0
lncRNA_203	Pocillopora_meandrina_HIv1___Sc0000000	9213943	9219492	+	5550	0	0	0	0	0
lncRNA_204	Pocillopora_meandrina_HIv1___Sc0000000	9213943	9219492	+	5550	0	0	0	0	0
lncRNA_205	Pocillopora_meandrina_HIv1___Sc0000000	9216320	9216859	+	540	0	0	0	0	0
lncRNA_206	Pocillopora_meandrina_HIv1___Sc0000000	9243645	9244514	+	870	11	0	53	7	0
lncRNA_207	Pocillopora_meandrina_HIv1___Sc0000000	9697259	9699645	+	2387	575	2077	860	1724	1698
lncRNA_208	Pocillopora_meandrina_HIv1___Sc0000000	9697557	9698922	+	1366	0	0	0	0	0
lncRNA_209	Pocillopora_meandrina_HIv1___Sc0000000	9698437	9698922	+	486	0	0	0	0	0
lncRNA_210	Pocillopora_meandrina_HIv1___Sc0000000	9898281	9898717	+	437	0	5	24	1	51
lncRNA_211	Pocillopora_meandrina_HIv1___Sc0000000	11305039	11305751	+	713	0	0	14	1	16
lncRNA_212	Pocillopora_meandrina_HIv1___Sc0000000	11713934	11716195	+	2262	8	36	9	1	2
lncRNA_213	Pocillopora_meandrina_HIv1___Sc0000000	11745154	11746602	+	1449	10	2	19	46	0
lncRNA_214	Pocillopora_meandrina_HIv1___Sc0000000	11960344	11966366	+	6023	0	0	0	0	0
lncRNA_215	Pocillopora_meandrina_HIv1___Sc0000000	11960360	11966366	+	6007	0	0	0	0	0
lncRNA_216	Pocillopora_meandrina_HIv1___Sc0000000	11968894	11971031	+	2138	0	0	0	0	0
lncRNA_217	Pocillopora_meandrina_HIv1___Sc0000000	11968903	11971031	+	2129	0	0	0	0	0
lncRNA_218	Pocillopora_meandrina_HIv1___Sc0000000	12436321	12462388	+	26068	589	589	823	395	317
lncRNA_219	Pocillopora_meandrina_HIv1___Sc0000000	12448230	12472068	+	23839	43	61	53	108	41
lncRNA_220	Pocillopora_meandrina_HIv1___Sc0000000	12902302	12914384	+	12083	100	135	89	139	64
lncRNA_221	Pocillopora_meandrina_HIv1___Sc0000000	12902928	12923454	+	20527	0	0	0	0	0
lncRNA_222	Pocillopora_meandrina_HIv1___Sc0000000	12903016	12913504	+	10489	0	0	0	0	0
lncRNA_223	Pocillopora_meandrina_HIv1___Sc0000000	13106879	13108190	+	1312	54	67	52	73	54
lncRNA_224	Pocillopora_meandrina_HIv1___Sc0000000	13188157	13190860	+	2704	14	3	12	26	8
lncRNA_225	Pocillopora_meandrina_HIv1___Sc0000000	13189355	13190062	+	708	0	0	0	0	0
lncRNA_226	Pocillopora_meandrina_HIv1___Sc0000000	13213347	13215966	+	2620	4	0	5	144	15
lncRNA_227	Pocillopora_meandrina_HIv1___Sc0000000	13213969	13215966	+	1998	0	0	0	0	0
lncRNA_228	Pocillopora_meandrina_HIv1___Sc0000000	13216978	13220314	+	3337	8	0	0	112	0
lncRNA_229	Pocillopora_meandrina_HIv1___Sc0000000	13248782	13249229	+	448	6	5	5	7	0
lncRNA_230	Pocillopora_meandrina_HIv1___Sc0000000	13367937	13374294	+	6358	172	533	223	279	308
lncRNA_231	Pocillopora_meandrina_HIv1___Sc0000000	13884193	13885852	+	1660	47	57	45	54	40
lncRNA_232	Pocillopora_meandrina_HIv1___Sc0000000	14091276	14091594	+	319	1	20	0	24	0
lncRNA_233	Pocillopora_meandrina_HIv1___Sc0000000	14112237	14115212	+	2976	0	0	0	0	0
lncRNA_234	Pocillopora_meandrina_HIv1___Sc0000000	14112237	14115212	+	2976	0	0	0	0	0
lncRNA_235	Pocillopora_meandrina_HIv1___Sc0000000	14193314	14195334	+	2021	12	4	16	7	7
lncRNA_236	Pocillopora_meandrina_HIv1___Sc0000000	14263260	14266719	+	3460	0	0	0	0	0
lncRNA_237	Pocillopora_meandrina_HIv1___Sc0000000	14265380	14266719	+	1340	0	0	0	0	0
lncRNA_238	Pocillopora_meandrina_HIv1___Sc0000000	14199438	14201455	+	2018	2	1	1	2	0
lncRNA_239	Pocillopora_meandrina_HIv1___Sc0000000	14262659	14265025	+	2367	4	0	0	1	0
lncRNA_240	Pocillopora_meandrina_HIv1___Sc0000000	14266119	14270120	+	4002	22	16	11	14	25
lncRNA_241	Pocillopora_meandrina_HIv1___Sc0000000	14266804	14268764	+	1961	0	0	0	0	0
lncRNA_242	Pocillopora_meandrina_HIv1___Sc0000000	14285270	14285585	+	316	17	10	22	30	7
lncRNA_243	Pocillopora_meandrina_HIv1___Sc0000000	14558187	14560207	+	2021	0	0	0	0	1
lncRNA_244	Pocillopora_meandrina_HIv1___Sc0000000	14559008	14563184	+	4177	1	2	2	2	3
lncRNA_245	Pocillopora_meandrina_HIv1___Sc0000000	14560767	14563184	+	2418	0	0	0	0	0
