readfile	mapping_type	read_length	count
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	N	21	60191
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	N	22	52988
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	N	23	59083
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	N	24	76366
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	N	>24	4045322
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	U	<21	119464
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	U	21	43050
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	U	22	105043
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	U	23	64565
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	U	24	83928
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	U	>24	3657627
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	P	<21	193843
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	P	21	61088
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	P	22	73662
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	P	23	68059
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	P	24	72338
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	P	>24	6246712
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	R	<21	26563
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	R	21	11171
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	R	22	11913
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	R	23	14961
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	R	24	19819
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	R	>24	1419983
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	H	<21	7615
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	H	21	2683
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	H	22	3241
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	H	23	3153
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	H	24	4360
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	H	>24	302605
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	N	<21	103890
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	N	21	59977
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	N	22	52909
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	N	23	58976
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	N	24	75841
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_2.bam	N	>24	4582923
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	U	<21	260511
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	U	21	90968
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	U	22	229109
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	U	23	95173
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	U	24	97457
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	U	>24	3374628
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	P	<21	257881
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	P	21	75750
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	P	22	80027
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	P	23	72276
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	P	24	83902
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	P	>24	7684419
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	R	<21	49485
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	R	21	20701
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	R	22	17976
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	R	23	21046
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	R	24	27230
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	R	>24	1811326
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	H	<21	20128
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	H	21	6871
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	H	22	5472
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	H	23	4479
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	H	24	5909
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	H	>24	454470
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	N	<21	143570
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	N	21	67684
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	N	22	68721
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	N	23	74842
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	N	24	92665
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_1.bam	N	>24	4598296
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	U	<21	258917
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	U	21	90197
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	U	22	227887
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	U	23	94368
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	U	24	96965
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	U	>24	3508589
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	P	<21	255623
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	P	21	75661
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	P	22	80600
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	P	23	73762
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	P	24	86002
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	P	>24	7434282
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	R	<21	48882
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	R	21	19761
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	R	22	16749
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	R	23	18875
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	R	24	23978
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	R	>24	1434114
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	H	<21	19929
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	H	21	6810
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	H	22	5416
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	H	23	4420
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	H	24	5873
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	H	>24	404502
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	N	<21	142851
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	N	21	67429
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	N	22	68378
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	N	23	74679
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	N	24	91745
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-145-S1-TP2.flexbar_trim.25bp_2.bam	N	>24	5155728
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-150-S1-TP2.flexbar_trim.25bp_1.bam	U	<21	410457
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-150-S1-TP2.flexbar_trim.25bp_1.bam	U	21	103846
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-150-S1-TP2.flexbar_trim.25bp_1.bam	U	22	290202
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-150-S1-TP2.flexbar_trim.25bp_1.bam	U	23	103970
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-150-S1-TP2.flexbar_trim.25bp_1.bam	U	24	137422
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-150-S1-TP2.flexbar_trim.25bp_1.bam	U	>24	3767781
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-150-S1-TP2.flexbar_trim.25bp_1.bam	P	<21	312584
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-150-S1-TP2.flexbar_trim.25bp_1.bam	P	21	121513
