Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-145-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-150-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-173-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-178-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG
NC_058066.1:2599813-2600265	Cluster_40	N	342	30	40	4	62
NC_058066.1:2619723-2620514	Cluster_41	N	108	585	81	24	0
NC_058066.1:2642541-2642965	Cluster_42	N	1	1	162	1	0
NC_058066.1:2700193-2700941	Cluster_43	N	167	43	1463	85	86
NC_058066.1:2704452-2705234	Cluster_44	N	103	2	334	525	287
NC_058066.1:2712584-2713172	Cluster_45	N	140	19	104	25	14
NC_058066.1:2754739-2755166	Cluster_46	N	1	69	23	12	49
NC_058066.1:2763730-2764250	Cluster_47	N	346	3	807	3002	2160
NC_058066.1:2867902-2868316	Cluster_48	N	0	48	156	5	2
NC_058066.1:2909446-2909873	Cluster_49	N	44	39	13	14	4
NC_058066.1:3070638-3071054	Cluster_50	N	5	18	30	58	20
NC_058066.1:3093736-3094686	Cluster_51	N	228	68	2858	1994	526
NC_058066.1:3095872-3096301	Cluster_52	N	3	55	14	18	92
NC_058066.1:3194972-3195595	Cluster_53	N	60	27	4	239	10
NC_058066.1:3211850-3212420	Cluster_54	N	64	58	38	100	153
NC_058066.1:3220567-3220984	Cluster_55	N	99	168	42	103	2
NC_058066.1:3415292-3415723	Cluster_56	N	0	12	321	5	7
NC_058066.1:3462371-3462781	Cluster_57	N	17	0	0	0	74
NC_058066.1:3538069-3538486	Cluster_58	N	21	22	48	30	4
NC_058066.1:3540154-3540713	Cluster_59	N	42	24	27	368	95
NC_058066.1:3661682-3662098	Cluster_60	N	4	20	25	58	12
NC_058066.1:3743341-3743757	Cluster_61	N	0	59	23	22	0
NC_058066.1:3829803-3830231	Cluster_62	N	36	44	11	27	1
NC_058066.1:3839436-3839861	Cluster_63	N	37	40	28	33	16
NC_058066.1:3840727-3841156	Cluster_64	N	160	285	32	73	28
NC_058066.1:3841257-3841679	Cluster_65	N	119	34	25	17	9
NC_058066.1:3843560-3844638	Cluster_66	N	70	1356	85	1016	36
NC_058066.1:3844768-3845621	Cluster_67	N	21	528	12	311	12
NC_058066.1:3845637-3846046	Cluster_68	N	4	91	8	113	3
NC_058066.1:3848303-3849110	Cluster_69	N	11	974	68	414	10
NC_058066.1:3849568-3849991	Cluster_70	N	142	92	22	24	17
NC_058066.1:3851018-3851455	Cluster_71	N	85	101	141	36	15
NC_058066.1:3857089-3857518	Cluster_72	N	62	2	7	162	53
NC_058066.1:3878533-3879316	Cluster_73	N	2879	218	144	306	2851
NC_058066.1:3880315-3880735	Cluster_74	N	40	29	53	30	13
NC_058066.1:3887019-3887473	Cluster_75	N	131	91	174	114	65
NC_058066.1:3898329-3898757	Cluster_76	N	3	184	0	2	59
NC_058066.1:3915359-3915799	Cluster_77	N	0	2	5	389	0
NC_058066.1:3920681-3921108	Cluster_78	N	89	19	12	300	5
NC_058066.1:3951158-3951602	Cluster_79	N	99	232	115	749	207
NC_058066.1:4066616-4067187	Cluster_80	N	761	467	589	118	42
NC_058066.1:4069713-4070143	Cluster_81	N	182	64	88	47	31
NC_058066.1:4072639-4073183	Cluster_82	N	786	96	134	68	37
NC_058066.1:4073323-4073752	Cluster_83	N	28	61	262	122	14
NC_058066.1:4078283-4079207	Cluster_84	N	325	216	332	188	109
NC_058066.1:4079326-4079754	Cluster_85	N	140	93	135	69	58
NC_058066.1:4083305-4084017	Cluster_86	N	119	64	157	201	59
NC_058066.1:4084153-4085370	Cluster_87	N	517	1328	544	185	12031
NC_058066.1:4085813-4086243	Cluster_88	N	36	31	35	30	57
NC_058066.1:4086995-4087596	Cluster_89	N	638	446	150	682	289
NC_058066.1:4088251-4089801	Cluster_90	N	1834	1487	312	1936	1013
NC_058066.1:4089888-4090444	Cluster_91	N	219	299	53	259	377
NC_058066.1:4090623-4091323	Cluster_92	N	581	484	37	845	1343
NC_058066.1:4091492-4092049	Cluster_93	N	275	256	26	959	151
NC_058066.1:4092110-4093836	Cluster_94	N	1358	659	5087	2071	378
NC_058066.1:4094002-4094506	Cluster_95	N	169	75	179	103	36
NC_058066.1:4094655-4095656	Cluster_96	N	233	245	449	296	206
NC_058066.1:4098720-4099136	Cluster_97	N	47	25	105	23	6
NC_058066.1:4099196-4099609	Cluster_98	N	40	51	73	29	2
NC_058066.1:4105151-4105932	Cluster_99	N	417	140	338	273	114
NC_058066.1:4106066-4106527	Cluster_100	N	69	144	62	38	23
NC_058066.1:4106614-4108157	Cluster_101	N	281	5182	344	176	191
NC_058066.1:4116592-4117345	Cluster_102	N	1480	887	796	658	1171
NC_058066.1:4118026-4118892	Cluster_103	N	82	129	4826	873	57
NC_058066.1:4118903-4119324	Cluster_104	N	31	35	87	23	17
NC_058066.1:4120171-4120600	Cluster_105	N	29	26	63	25	12
NC_058066.1:4124209-4124609	Cluster_106	N	53	60	105	43	22
NC_058066.1:4125312-4126251	Cluster_107	N	17148	3561	10741	15396	11
NC_058066.1:4126549-4127551	Cluster_108	N	68	27	163	63	58
NC_058066.1:4129434-4129914	Cluster_109	N	275	185	109	20	0
NC_058066.1:4131152-4131581	Cluster_110	N	84	79	46	105	400
NC_058066.1:4133051-4133478	Cluster_111	N	19	35	14	88	9
NC_058066.1:4137721-4138263	Cluster_112	N	126	34	133	123	35
NC_058066.1:4138521-4139188	Cluster_113	N	233	158	222	92	83
NC_058066.1:4140204-4142764	Cluster_114	N	1199	1269	3852	1328	5782
NC_058066.1:4143154-4143584	Cluster_115	N	7	0	8	182	126
NC_058066.1:4145938-4146359	Cluster_116	N	35	72	30	13	36
NC_058066.1:4150930-4151357	Cluster_117	N	39	5	65	51	30
NC_058066.1:4154886-4155313	Cluster_118	N	35	15	102	60	38
NC_058066.1:4168339-4168766	Cluster_119	N	94	157	514	299	114
NC_058066.1:4171280-4172604	Cluster_120	N	48	3157	261	931	2219
NC_058066.1:4176540-4177402	Cluster_121	N	13	60	345	2027	154
NC_058066.1:4180297-4180724	Cluster_122	N	2	2	0	1	189
NC_058066.1:4181262-4181985	Cluster_123	N	119	76	250	157	160
NC_058066.1:4195868-4196284	Cluster_124	N	6	42	46	16	45
NC_058066.1:4198382-4199175	Cluster_125	N	9295	1507	144	1412	3242
NC_058066.1:4230809-4231506	Cluster_126	N	693	2748	2295	939	3192
NC_058066.1:4233187-4233944	Cluster_127	N	665	158	1033	22	170
NC_058066.1:4235767-4236469	Cluster_128	N	109	207	89	56	64
NC_058066.1:4237239-4237668	Cluster_129	N	66	55	88	83	45
NC_058066.1:4244765-4245294	Cluster_130	N	108	181	73	64	48
NC_058066.1:4250873-4251300	Cluster_131	N	170	148	20	0	1
NC_058066.1:4258796-4259225	Cluster_132	N	57	33	26	17	11
NC_058066.1:4270389-4271093	Cluster_133	N	451	348	26	215	11
NC_058066.1:4272191-4272615	Cluster_134	N	23	29	18	35	27
NC_058066.1:4287869-4288885	Cluster_135	N	67	473	96	70	25
NC_058066.1:4297880-4298296	Cluster_136	N	31	3	18	62	105
NC_058066.1:4300516-4300940	Cluster_137	N	21	1	0	3	89
NC_058066.1:4332131-4332560	Cluster_138	N	225	5	2	0	9
NC_058066.1:4337103-4338168	Cluster_139	N	5214	6951	1476	607	1777
NC_058066.1:4347619-4348048	Cluster_140	N	14	17	22	102	59
NC_058066.1:4354672-4355099	Cluster_141	N	268	22	0	0	117
NC_058066.1:4370016-4370445	Cluster_142	N	36	120	3	2	131
NC_058066.1:4385983-4386413	Cluster_143	N	49	76	25	39	66
NC_058066.1:4395132-4395582	Cluster_144	N	84	19	0	280	0
NC_058066.1:4397148-4397587	Cluster_145	N	395	13	9	50	5
NC_058066.1:4397609-4398038	Cluster_146	N	164	3	1	0	3
NC_058066.1:4415938-4416361	Cluster_147	N	120	92	5	4	4
NC_058066.1:4416394-4416967	Cluster_148	N	139	0	67	0	63
NC_058066.1:4423092-4423522	Cluster_149	N	121	3	8	6	261
NC_058066.1:4423775-4424562	Cluster_150	N	1152	239	24	18	2247
NC_058066.1:4424580-4425010	Cluster_151	N	259	8	2	8	62
NC_058066.1:4426470-4427070	Cluster_152	N	35	415	29	8	308
NC_058066.1:4428958-4429396	Cluster_153	N	0	0	24	226	0
NC_058066.1:4436786-4437215	Cluster_154	N	2	90	0	0	71
NC_058066.1:4438120-4438548	Cluster_155	N	70	57	109	22	95
NC_058066.1:4441841-4442696	Cluster_156	N	80	31	3278	19	40
NC_058066.1:4465249-4465893	Cluster_157	N	322	105	69	61	56
NC_058066.1:4466081-4466510	Cluster_158	N	22	269	20	291	25
NC_058066.1:4466827-4467259	Cluster_159	N	1	0	4	3	807
NC_058066.1:4471991-4472693	Cluster_160	N	0	25	604	1	26
NC_058066.1:4483124-4483549	Cluster_161	N	24	14	6	67	27
NC_058066.1:4486012-4486591	Cluster_162	N	1865	2980	3516	5464	749
NC_058066.1:4487541-4487966	Cluster_163	N	15	4	19	114	11
NC_058066.1:4488258-4488857	Cluster_164	N	0	347	85	50	8
NC_058066.1:4506698-4507125	Cluster_165	N	0	177	1	22	40
NC_058066.1:4508672-4509818	Cluster_166	N	7	1823	216	1139	965
NC_058066.1:4510580-4511216	Cluster_167	N	2	1797	15	235	359
NC_058066.1:4516632-4517208	Cluster_168	N	15	6	108	168	3
NC_058066.1:4517237-4518631	Cluster_169	N	83	4288	4487	2318	359
NC_058066.1:4522465-4522881	Cluster_170	N	16	18	46	52	18
NC_058066.1:4526737-4527164	Cluster_171	N	43	85	98	17	13
NC_058066.1:4527351-4527779	Cluster_172	N	1	188	7	130	78
NC_058066.1:4529111-4529538	Cluster_173	N	1	65	19	173	0
NC_058066.1:4531090-4531632	Cluster_174	N	243	166	36	294	124
NC_058066.1:4542604-4543029	Cluster_175	N	41	22	45	11	21
NC_058066.1:4562931-4563361	Cluster_176	N	52	40	14	3	278
NC_058066.1:4570207-4570655	Cluster_177	N	6	10	7	3	1471
NC_058066.1:4571239-4571801	Cluster_178	N	0	0	0	5	948
NC_058066.1:4591107-4591717	Cluster_179	N	352	213	670	924	426
NC_058066.1:4596605-4597032	Cluster_180	N	150	25	21	1	0
NC_058066.1:5088459-5088888	Cluster_181	N	21	0	161	14	23
NC_058066.1:5097314-5097723	Cluster_182	N	77	0	5	17	0
NC_058066.1:5099329-5100112	Cluster_183	N	61	732	82	382	13
NC_058066.1:5100324-5100734	Cluster_184	N	53	100	111	47	1
NC_058066.1:5118657-5119089	Cluster_185	N	608	86	336	185	39
NC_058066.1:5142156-5142576	Cluster_186	N	0	178	13	0	11
NC_058066.1:5224792-5225215	Cluster_187	N	29	116	591	8	21
NC_058066.1:5240409-5240844	Cluster_188	N	185	432	722	430	874
NC_058066.1:5264708-5265125	Cluster_189	N	52	81	84	16	19
NC_058066.1:5314740-5315199	Cluster_190	N	150	48	60	26	209
NC_058066.1:5332228-5332691	Cluster_191	N	456	540	188	338	246
NC_058066.1:5341381-5341795	Cluster_192	N	46	51	12	34	64
NC_058066.1:5604608-5605031	Cluster_193	N	3	97	2	2	3
NC_058066.1:5703640-5704069	Cluster_194	N	3	15	11	440	3
NC_058066.1:5704324-5704754	Cluster_195	N	26	237	54	32	42
NC_058066.1:5705937-5706376	Cluster_196	N	61	54	14	102	119
NC_058066.1:5796488-5796916	Cluster_197	N	148	730	2	210	0
NC_058066.1:5844885-5845313	Cluster_198	N	9	196	59	11	0
NC_058066.1:5905312-5905827	Cluster_199	N	80	65	42	20	11
NC_058066.1:5955136-5955564	Cluster_200	N	152	0	3	0	2
NC_058066.1:6116958-6117387	Cluster_201	N	0	2	179	0	62
NC_058066.1:6219284-6219712	Cluster_202	N	491	0	1	0	171
NC_058066.1:6261806-6262257	Cluster_203	N	126	156	0	34	162
NC_058066.1:6307573-6308288	Cluster_204	N	172	193	160	147	125
NC_058066.1:6314126-6314552	Cluster_205	N	12	47	52	31	34
NC_058066.1:6332538-6332971	Cluster_206	N	93	78	64	40	22
NC_058066.1:6342434-6343313	Cluster_207	N	369	3	56	9	1
NC_058066.1:6352776-6353207	Cluster_208	N	8	6	3	581	20
NC_058066.1:6363187-6363615	Cluster_209	N	26	3	344	7	4
NC_058066.1:6392841-6393257	Cluster_210	N	60	45	3	12	45
NC_058066.1:6417595-6418138	Cluster_211	N	971	1073	23	9	0
NC_058066.1:6418159-6418841	Cluster_212	N	5415	4949	869	499	1
NC_058066.1:6425688-6426090	Cluster_213	N	25	98	10	8	10
NC_058066.1:6443917-6444346	Cluster_214	N	203	257	3	2	3
NC_058066.1:6529311-6530683	Cluster_215	N	12	1211	21	17	2
NC_058066.1:6557606-6558150	Cluster_216	N	131	242	181	315	157
NC_058066.1:6589407-6589835	Cluster_217	N	16	65	46	57	95
NC_058066.1:6681986-6682414	Cluster_218	N	201	4	4	9	6
NC_058066.1:6859387-6859816	Cluster_219	N	35	0	0	0	418
NC_058066.1:6874424-6874853	Cluster_220	N	4	126	1	43	4
NC_058066.1:6928504-6928934	Cluster_221	N	46	345	619	136	434
NC_058066.1:6972447-6972863	Cluster_222	N	0	0	515	0	0
NC_058066.1:7198629-7199055	Cluster_223	N	94	0	11	0	4
NC_058066.1:7210451-7211097	Cluster_224	N	210	1	19	274	0
NC_058066.1:7240509-7240939	Cluster_225	N	9	3	6	1	120
NC_058066.1:7514685-7515162	Cluster_226	N	167	79	66	276	666
NC_058066.1:7519887-7520317	Cluster_227	N	126	27	149	75	425
NC_058066.1:7530913-7531343	Cluster_228	N	12	399	164	208	10
NC_058066.1:7532232-7532659	Cluster_229	N	67	57	34	44	13
NC_058066.1:7563377-7563797	Cluster_230	N	16	52	37	5	13
NC_058066.1:7600171-7601862	Cluster_231	N	1375	801	782	1371	1022
NC_058066.1:7602747-7603218	Cluster_232	N	158	41	10	0	322
NC_058066.1:7654651-7655079	Cluster_233	N	5	59	11	243	152
NC_058066.1:7656764-7657191	Cluster_234	N	0	0	144	0	0
NC_058066.1:7694380-7694806	Cluster_235	N	131	0	4	0	29
NC_058066.1:7714668-7715197	Cluster_236	N	0	610	122	68	0
NC_058066.1:7730071-7730508	Cluster_237	N	258	1	67	324	11
NC_058066.1:7731217-7731737	Cluster_238	N	17	87	75	20	189
NC_058066.1:7732564-7733490	Cluster_239	N	612	319	155	100	70
NC_058066.1:7793600-7794029	Cluster_240	N	2	245	2	1	2
NC_058066.1:7802726-7803147	Cluster_241	N	55	5	38	10	21
NC_058066.1:7875994-7876421	Cluster_242	N	0	3	0	0	179
NC_058066.1:7943787-7944196	Cluster_243	N	34	129	37	1	13
NC_058066.1:8171302-8171732	Cluster_244	N	251	4	263	3	24
NC_058066.1:8195271-8195700	Cluster_245	N	142	73	59	14	2
NC_058066.1:8195855-8196320	Cluster_246	N	349	104	69	66	4
NC_058066.1:8310289-8310825	Cluster_247	N	11	189	177	37	96
NC_058066.1:8313705-8314114	Cluster_248	N	2	0	31	51	83
NC_058066.1:8319128-8319555	Cluster_249	N	0	0	31	128	0
NC_058066.1:8331008-8331437	Cluster_250	N	0	165	0	6	2
NC_058066.1:8356125-8356543	Cluster_251	N	12	39	16	4	28
NC_058066.1:8458714-8459222	Cluster_252	N	34	415	1095	16	15
NC_058066.1:8498040-8498487	Cluster_253	N	3	76	389	147	1
NC_058066.1:8640520-8640948	Cluster_254	N	0	14	0	122	66
NC_058066.1:8850235-8850664	Cluster_255	N	3	108	22	0	0
NC_058066.1:8905079-8905484	Cluster_256	N	3	7	58	6	24
NC_058066.1:8943975-8944389	Cluster_257	N	1	7	12	14	94
NC_058066.1:9239420-9239836	Cluster_258	N	2	43	95	0	16
NC_058066.1:9249747-9250187	Cluster_259	N	2	39	5154	3	397
NC_058066.1:9320629-9321068	Cluster_260	N	106	148	85	70	82
NC_058066.1:9344067-9344497	Cluster_261	N	0	78	26	1	7
NC_058066.1:9355908-9356333	Cluster_262	N	101	0	2	0	1
NC_058066.1:9356980-9357397	Cluster_263	N	336	0	2	0	2
NC_058066.1:9373667-9374096	Cluster_264	N	75	5	113	2	21
NC_058066.1:9402467-9402894	Cluster_265	N	7	215	2	0	1
NC_058066.1:9411531-9411977	Cluster_266	N	2	107	197	369	20
NC_058066.1:9412472-9412881	Cluster_267	N	1	101	49	35	19
NC_058066.1:9413099-9413846	Cluster_268	N	1	300	250	213	110
NC_058066.1:9414211-9414780	Cluster_269	N	1	115	155	853	24
NC_058066.1:9415436-9416057	Cluster_270	N	3	928	373	9	18
NC_058066.1:9423076-9423522	Cluster_271	N	2	113	215	348	21
NC_058066.1:9424017-9424426	Cluster_272	N	0	100	58	29	21
NC_058066.1:9424859-9425391	Cluster_273	N	0	225	231	167	66
NC_058066.1:9425756-9426307	Cluster_274	N	2	109	158	83	22
NC_058066.1:9426310-9426794	Cluster_275	N	2	360	142	8	45
NC_058066.1:9426977-9427598	Cluster_276	N	3	923	390	12	19
NC_058066.1:9431462-9431878	Cluster_277	N	64	65	114	115	183
NC_058066.1:9441135-9441663	Cluster_278	N	251	110	234	0	0
NC_058066.1:9470217-9470646	Cluster_279	N	93	7	113	1	36
NC_058066.1:9482225-9482739	Cluster_280	N	25	0	2	751	3
NC_058066.1:9483107-9483533	Cluster_281	N	200	0	0	0	0
NC_058066.1:9486848-9487271	Cluster_282	N	96	0	0	0	0
NC_058066.1:9510852-9511290	Cluster_283	N	261	168	0	0	66
NC_058066.1:9512883-9513320	Cluster_284	N	88	17	1057	0	58
NC_058066.1:9519078-9519517	Cluster_285	N	102	164	76	77	86
NC_058066.1:9750606-9751032	Cluster_286	N	11	10	0	0	66
NC_058066.1:10190369-10190782	Cluster_287	N	14	9	18	14	49
NC_058066.1:10213461-10213879	Cluster_288	N	1	1	2	17	174
NC_058066.1:10357121-10357537	Cluster_289	N	104	419	293	0	215
NC_058066.1:10491266-10491798	Cluster_290	N	17	1347	30	717	631
NC_058066.1:10513300-10513719	Cluster_291	N	29	0	1	249	1
NC_058066.1:10578372-10578801	Cluster_292	N	12	5	241	8	6
NC_058066.1:10595555-10596457	Cluster_293	N	275	482	506	592	372
NC_058066.1:10620700-10621117	Cluster_294	N	13	57	69	116	0
NC_058066.1:10639969-10640395	Cluster_295	N	0	0	0	0	91
NC_058066.1:10849134-10849563	Cluster_296	N	3	16	1305	14	17
NC_058066.1:10865782-10866252	Cluster_297	N	110	80	151	50	112
NC_058066.1:10866399-10866816	Cluster_298	N	31	24	59	23	19
NC_058066.1:10890744-10891171	Cluster_299	N	20	36	275	28	22
NC_058066.1:10915026-10915452	Cluster_300	N	51	3	32	53	0
NC_058066.1:11055992-11056421	Cluster_301	N	40	14689	32	152	4265
NC_058066.1:11129704-11130455	Cluster_302	N	141	682	582	85	10
NC_058066.1:11198538-11198959	Cluster_303	N	0	10	46	1	41
NC_058066.1:11201125-11202024	Cluster_304	N	11	1883	5868	9	2385
NC_058066.1:11205169-11205591	Cluster_305	N	9	20	31	29	129
NC_058066.1:11326710-11327138	Cluster_306	N	1	423	199	232	154
NC_058066.1:11363689-11364115	Cluster_307	N	0	78	109	0	0
NC_058066.1:11435737-11436245	Cluster_308	N	423	103	19	199	2
NC_058066.1:11455898-11456327	Cluster_309	N	0	5	131	23	0
NC_058066.1:11614052-11614854	Cluster_310	N	947	3	5	43	20
NC_058066.1:11708688-11709221	Cluster_311	N	55	5808	3682	91	4347
NC_058066.1:11880125-11880889	Cluster_312	N	3	145	32	11	24
NC_058066.1:11901595-11902339	Cluster_313	N	155	29	386	236	50
NC_058066.1:11910958-11911943	Cluster_314	N	516	15	1192	1	4
NC_058066.1:11912392-11913103	Cluster_315	N	794	14	1259	6	8
NC_058066.1:11914910-11915344	Cluster_316	N	322	6	413	0	78
NC_058066.1:11938207-11938635	Cluster_317	N	2	1	0	191	0
NC_058066.1:12087833-12088263	Cluster_318	N	16	56	382	1	6
NC_058066.1:12276665-12277093	Cluster_319	N	194	26	77	99	48
NC_058066.1:12314771-12315199	Cluster_320	N	0	0	100	0	26
NC_058066.1:12369058-12369482	Cluster_321	N	0	1	0	86	1
NC_058066.1:12370246-12371196	Cluster_322	N	99	1914	853	5109	514
NC_058066.1:12457645-12458049	Cluster_323	N	24	26	12	33	11
NC_058066.1:12681649-12682074	Cluster_324	N	0	88	8	0	38
NC_058066.1:12706010-12706440	Cluster_325	N	5	1	10	1513	151
NC_058066.1:12729722-12730178	Cluster_326	N	0	0	1	1	506
NC_058066.1:12735217-12735660	Cluster_327	N	734	24	155	58	17
NC_058066.1:12757125-12757218	Cluster_328	Y	1	965	1500	0	5784
NC_058066.1:12815176-12815590	Cluster_329	N	67	0	3	16	19
NC_058066.1:12875494-12875923	Cluster_330	N	213	24	14	18	1
NC_058066.1:12908625-12909040	Cluster_331	N	0	0	13	2	91
NC_058066.1:12942952-12943790	Cluster_332	N	8	520	13	350	887
NC_058066.1:12943942-12944610	Cluster_333	N	1	71	4	76	585
NC_058066.1:12944686-12945862	Cluster_334	N	31	391	6	302	577
NC_058066.1:12945997-12946398	Cluster_335	N	3	71	4	36	20
NC_058066.1:12972144-12972633	Cluster_336	N	4322	7131	18277	2112	1612
NC_058066.1:12996402-12996828	Cluster_337	N	21	37	3	6	46
NC_058066.1:13025923-13026353	Cluster_338	N	104	0	73	145	81
NC_058066.1:13035798-13036220	Cluster_339	N	51	8	1	0	25
NC_058066.1:13036269-13036699	Cluster_340	N	102	217	85	98	52
NC_058066.1:13128148-13128573	Cluster_341	N	0	0	365	12	115
NC_058066.1:13218673-13219102	Cluster_342	N	101	134	105	104	19
NC_058066.1:13401084-13403037	Cluster_343	N	39	3285	28	3	13
NC_058066.1:13434734-13435216	Cluster_344	N	13	203	1	120	6
NC_058066.1:13446834-13447261	Cluster_345	N	59	155	141	5	217
NC_058066.1:13572125-13572554	Cluster_346	N	19	33	32	84	64
NC_058066.1:13688302-13688729	Cluster_347	N	47	52	8	9	15
NC_058066.1:13838095-13838524	Cluster_348	N	3	18	10	7	144
NC_058066.1:14063944-14064363	Cluster_349	N	13	9	19	8	49
NC_058066.1:14073711-14075815	Cluster_350	N	714	552	553	35	49
NC_058066.1:14078616-14079155	Cluster_351	N	74	238	1	212	9
NC_058066.1:14341478-14341904	Cluster_352	N	42	133	0	0	3
NC_058066.1:14401643-14402075	Cluster_353	N	107	0	0	39	331
NC_058066.1:14416364-14416780	Cluster_354	N	0	0	193	0	0
NC_058066.1:14427184-14427601	Cluster_355	N	14	12	141	0	6
NC_058066.1:14463895-14464343	Cluster_356	N	79	64	0	451	44
NC_058066.1:14505931-14506350	Cluster_357	N	0	1	1	81	1
NC_058066.1:14515544-14515959	Cluster_358	N	10	7	59	1	26
NC_058066.1:14591498-14591912	Cluster_359	N	40	17	132	119	1
NC_058066.1:14595260-14595689	Cluster_360	N	52	1	131	3	0
NC_058066.1:14618660-14619453	Cluster_361	N	3	311	1094	6	30
NC_058066.1:14619499-14621305	Cluster_362	N	2	1507	3675	32	19
NC_058066.1:14626228-14626653	Cluster_363	N	79	5	0	1	45
NC_058066.1:14629624-14630418	Cluster_364	N	1371	1186	77	2	16
NC_058066.1:14630906-14632040	Cluster_365	N	0	607	6224	4	2
NC_058066.1:14773924-14774349	Cluster_366	N	9	4	68	56	53
NC_058066.1:14833954-14834363	Cluster_367	N	27	117	42	3	20
NC_058066.1:14985542-14985968	Cluster_368	N	2	46	29	83	8
NC_058066.1:15046023-15046452	Cluster_369	N	8	1	396	35	0
NC_058066.1:15052782-15053209	Cluster_370	N	0	128	1	0	0
NC_058066.1:15064597-15065012	Cluster_371	N	13	108	21	41	18
NC_058066.1:15150698-15151275	Cluster_372	N	227	352	405	98	512
NC_058066.1:15153404-15153917	Cluster_373	N	221	750	1079	835	2091
NC_058066.1:15288771-15289189	Cluster_374	N	1283	1632	429	1019	13
NC_058066.1:15291682-15292274	Cluster_375	N	438	181	492	191	0
NC_058066.1:15502316-15502729	Cluster_376	N	4	51	33	167	8
NC_058066.1:15503231-15503656	Cluster_377	N	16	82	1	33	30
NC_058066.1:15504762-15505258	Cluster_378	N	18	11	59	1733	0
NC_058066.1:15520732-15521148	Cluster_379	N	13	13	71	11	23
NC_058066.1:15544993-15545409	Cluster_380	N	20	8	89	7	14
NC_058066.1:15644125-15644540	Cluster_381	N	45	6	12	24	4
NC_058066.1:15670579-15671008	Cluster_382	N	90	113	0	0	51
NC_058066.1:15854619-15855047	Cluster_383	N	0	0	0	2	159
