Coords	Name	MIRNA	sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-48-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-50-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-53-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-57-S1-TP2-fastp-adapters-polyG-31bp-merged
Pocillopora_meandrina_HIv1___Sc0000000:3603652-3604077	Cluster_43	N	216	0	1	13	0
Pocillopora_meandrina_HIv1___Sc0000000:3628199-3628623	Cluster_44	N	1	28	0	37	4
Pocillopora_meandrina_HIv1___Sc0000000:3691324-3691932	Cluster_45	N	544	936	556	1820	4112
Pocillopora_meandrina_HIv1___Sc0000000:3821021-3821448	Cluster_46	N	11	42	14	25	61
Pocillopora_meandrina_HIv1___Sc0000000:3822573-3823003	Cluster_47	N	10	61	24	30	48
Pocillopora_meandrina_HIv1___Sc0000000:3848323-3848809	Cluster_48	N	984	1732	1452	2995	2353
Pocillopora_meandrina_HIv1___Sc0000000:3848821-3849297	Cluster_49	N	14	37	25	60	120
Pocillopora_meandrina_HIv1___Sc0000000:3849327-3849741	Cluster_50	N	11	34	14	49	76
Pocillopora_meandrina_HIv1___Sc0000000:4241544-4242078	Cluster_51	N	559	900	117	199	789
Pocillopora_meandrina_HIv1___Sc0000000:4422256-4423231	Cluster_52	N	302	45	112	265	203
Pocillopora_meandrina_HIv1___Sc0000000:4423698-4424118	Cluster_53	N	0	23	42	66	16
Pocillopora_meandrina_HIv1___Sc0000000:4429481-4429904	Cluster_54	N	26	139	18	13	10
Pocillopora_meandrina_HIv1___Sc0000000:4430717-4431143	Cluster_55	N	55	350	5	6	7
Pocillopora_meandrina_HIv1___Sc0000000:4431213-4432144	Cluster_56	N	314	415	109	60	116
Pocillopora_meandrina_HIv1___Sc0000000:4528179-4528608	Cluster_57	N	8	0	120	6	3
Pocillopora_meandrina_HIv1___Sc0000000:4531785-4532259	Cluster_58	N	82	160	124	336	374
Pocillopora_meandrina_HIv1___Sc0000000:4532302-4532705	Cluster_59	N	7	28	4	35	66
Pocillopora_meandrina_HIv1___Sc0000000:4534325-4534799	Cluster_60	N	431	658	499	2027	688
Pocillopora_meandrina_HIv1___Sc0000000:4561521-4561940	Cluster_61	N	2	35	0	32	57
Pocillopora_meandrina_HIv1___Sc0000000:4565452-4566337	Cluster_62	N	151	9	344	33	150
Pocillopora_meandrina_HIv1___Sc0000000:4595759-4596188	Cluster_63	N	156	26	1	6	6
Pocillopora_meandrina_HIv1___Sc0000000:4616213-4616640	Cluster_64	N	37	0	12	132	3
Pocillopora_meandrina_HIv1___Sc0000000:4754952-4755436	Cluster_65	N	4085	4858	4095	5783	2384
Pocillopora_meandrina_HIv1___Sc0000000:4905177-4905809	Cluster_66	N	3	127	78	0	35
Pocillopora_meandrina_HIv1___Sc0000000:5011888-5012317	Cluster_67	N	1	1	219	0	1
Pocillopora_meandrina_HIv1___Sc0000000:5114513-5115279	Cluster_68	N	190	96	74	68	33
Pocillopora_meandrina_HIv1___Sc0000000:5115363-5116268	Cluster_69	N	1228	22	47	1004	19
Pocillopora_meandrina_HIv1___Sc0000000:5116660-5117931	Cluster_70	N	492	130	220	305	85
Pocillopora_meandrina_HIv1___Sc0000000:5237977-5238405	Cluster_71	N	3	28	324	16	3
Pocillopora_meandrina_HIv1___Sc0000000:5304149-5304689	Cluster_72	N	151	141	111	325	574
Pocillopora_meandrina_HIv1___Sc0000000:5624826-5625249	Cluster_73	N	74	13	28	1	9
Pocillopora_meandrina_HIv1___Sc0000000:5723081-5723491	Cluster_74	N	18	5	1	52	0
Pocillopora_meandrina_HIv1___Sc0000000:5724791-5725218	Cluster_75	N	92	52	44	6	1
Pocillopora_meandrina_HIv1___Sc0000000:6035690-6037529	Cluster_76	N	6374	2338	2624	4799	2227
Pocillopora_meandrina_HIv1___Sc0000000:6038529-6040210	Cluster_77	N	775	252	477	422	121
Pocillopora_meandrina_HIv1___Sc0000000:6054442-6055284	Cluster_78	N	2149	42	167	19	7
Pocillopora_meandrina_HIv1___Sc0000000:6072276-6072713	Cluster_79	N	1172	714	2332	700	2595
Pocillopora_meandrina_HIv1___Sc0000000:6175141-6175559	Cluster_80	N	0	0	0	0	153
Pocillopora_meandrina_HIv1___Sc0000000:6300017-6300447	Cluster_81	N	128	84	23	1	39
Pocillopora_meandrina_HIv1___Sc0000000:6432068-6432496	Cluster_82	N	845	89	220	3	11
Pocillopora_meandrina_HIv1___Sc0000000:6432523-6433169	Cluster_83	N	350	18	14	253	139
Pocillopora_meandrina_HIv1___Sc0000000:6523200-6523627	Cluster_84	N	0	48	32	0	0
Pocillopora_meandrina_HIv1___Sc0000000:6781587-6782077	Cluster_85	N	27	150	48	116	157
Pocillopora_meandrina_HIv1___Sc0000000:6784342-6785024	Cluster_86	N	142	335	197	370	413
Pocillopora_meandrina_HIv1___Sc0000000:6785838-6786298	Cluster_87	N	17	96	23	68	66
Pocillopora_meandrina_HIv1___Sc0000000:6786579-6787211	Cluster_88	N	51	252	92	293	314
Pocillopora_meandrina_HIv1___Sc0000000:6820857-6821266	Cluster_89	N	8	22	15	36	73
Pocillopora_meandrina_HIv1___Sc0000000:6863950-6864369	Cluster_90	N	4	24	7	46	102
Pocillopora_meandrina_HIv1___Sc0000000:6905074-6905503	Cluster_91	N	0	98	20	296	32
Pocillopora_meandrina_HIv1___Sc0000000:6905904-6906371	Cluster_92	N	3124	119	0	55	167
Pocillopora_meandrina_HIv1___Sc0000000:7029852-7030270	Cluster_93	N	446	328	408	454	292
Pocillopora_meandrina_HIv1___Sc0000000:7039343-7040274	Cluster_94	N	316	657	413	652	1360
Pocillopora_meandrina_HIv1___Sc0000000:7040841-7041266	Cluster_95	N	24	40	27	44	60
Pocillopora_meandrina_HIv1___Sc0000000:7041283-7041776	Cluster_96	N	170	664	262	633	1090
Pocillopora_meandrina_HIv1___Sc0000000:7041807-7042290	Cluster_97	N	458	494	450	545	1039
Pocillopora_meandrina_HIv1___Sc0000000:7042332-7042805	Cluster_98	N	67	118	88	135	108
Pocillopora_meandrina_HIv1___Sc0000000:7100067-7100478	Cluster_99	N	16	92	20	54	110
Pocillopora_meandrina_HIv1___Sc0000000:7205683-7206107	Cluster_100	N	432	151	173	168	97
Pocillopora_meandrina_HIv1___Sc0000000:7584506-7585242	Cluster_101	N	808	352	1386	1381	45
Pocillopora_meandrina_HIv1___Sc0000000:7586366-7586860	Cluster_102	N	158	55	142	174	29
Pocillopora_meandrina_HIv1___Sc0000000:7587040-7588109	Cluster_103	N	237	93	74	125	25
Pocillopora_meandrina_HIv1___Sc0000000:7588431-7588910	Cluster_104	N	150	55	43	37	27
Pocillopora_meandrina_HIv1___Sc0000000:7588994-7589421	Cluster_105	N	104	12	21	5	11
Pocillopora_meandrina_HIv1___Sc0000000:7589910-7592205	Cluster_106	N	1169	370	873	1093	214
Pocillopora_meandrina_HIv1___Sc0000000:7592666-7593548	Cluster_107	N	1211	407	1468	1318	176
Pocillopora_meandrina_HIv1___Sc0000000:7593750-7594800	Cluster_108	N	714	382	1938	1685	159
Pocillopora_meandrina_HIv1___Sc0000000:7594848-7595397	Cluster_109	N	1266	307	1373	1207	148
Pocillopora_meandrina_HIv1___Sc0000000:7596727-7597157	Cluster_110	N	884	20	0	2	64
Pocillopora_meandrina_HIv1___Sc0000000:7598683-7600443	Cluster_111	N	1501	420	6	5	272
Pocillopora_meandrina_HIv1___Sc0000000:7600922-7601349	Cluster_112	N	102	34	0	0	17
Pocillopora_meandrina_HIv1___Sc0000000:7601405-7602137	Cluster_113	N	449	513	1	3	125
Pocillopora_meandrina_HIv1___Sc0000000:7609392-7609809	Cluster_114	N	37	5	28	33	7
Pocillopora_meandrina_HIv1___Sc0000000:7656753-7658490	Cluster_115	N	708	458	793	638	253
Pocillopora_meandrina_HIv1___Sc0000000:7697508-7697937	Cluster_116	N	3	0	0	1	349
Pocillopora_meandrina_HIv1___Sc0000000:8103238-8103666	Cluster_117	N	59	10	95	56	49
Pocillopora_meandrina_HIv1___Sc0000000:8155944-8156372	Cluster_118	N	0	1	93	1	0
Pocillopora_meandrina_HIv1___Sc0000000:8246882-8247297	Cluster_119	N	1	22	110	1	0
Pocillopora_meandrina_HIv1___Sc0000000:8310086-8310514	Cluster_120	N	174	14	1	16	0
Pocillopora_meandrina_HIv1___Sc0000000:8311015-8312237	Cluster_121	N	486	19	139	924	53
Pocillopora_meandrina_HIv1___Sc0000000:8426708-8427191	Cluster_122	N	20	31	20	61	214
Pocillopora_meandrina_HIv1___Sc0000000:8427562-8428099	Cluster_123	N	163	116	142	191	205
Pocillopora_meandrina_HIv1___Sc0000000:8608677-8609097	Cluster_124	N	3	23	57	311	3
Pocillopora_meandrina_HIv1___Sc0000000:8734505-8734915	Cluster_125	N	9	24	14	56	102
Pocillopora_meandrina_HIv1___Sc0000000:8743606-8744021	Cluster_126	N	14	44	25	66	127
Pocillopora_meandrina_HIv1___Sc0000000:8940693-8941187	Cluster_127	N	869	182	506	235	214
Pocillopora_meandrina_HIv1___Sc0000000:9256539-9256969	Cluster_128	N	305	104	106	25	72
Pocillopora_meandrina_HIv1___Sc0000000:9257153-9257838	Cluster_129	N	2829	303	183	44	430
Pocillopora_meandrina_HIv1___Sc0000000:9265055-9265482	Cluster_130	N	11	1	0	311	0
Pocillopora_meandrina_HIv1___Sc0000000:9279901-9280374	Cluster_131	N	69	127	61	120	132
Pocillopora_meandrina_HIv1___Sc0000000:9284299-9284771	Cluster_132	N	85	129	96	72	164
Pocillopora_meandrina_HIv1___Sc0000000:9285767-9286194	Cluster_133	N	5	5	4	149	90
Pocillopora_meandrina_HIv1___Sc0000000:9286598-9287030	Cluster_134	N	64	209	120	145	223
Pocillopora_meandrina_HIv1___Sc0000000:9440859-9441685	Cluster_135	N	7208	16477	5742	11200	45933
Pocillopora_meandrina_HIv1___Sc0000000:9460512-9460942	Cluster_136	N	288	1	8	599	0
Pocillopora_meandrina_HIv1___Sc0000000:9465183-9465611	Cluster_137	N	173	78	148	122	64
Pocillopora_meandrina_HIv1___Sc0000000:9797403-9798674	Cluster_138	N	7	254	2774	212	216
Pocillopora_meandrina_HIv1___Sc0000000:9799673-9800082	Cluster_139	N	0	0	58	0	43
Pocillopora_meandrina_HIv1___Sc0000000:9800096-9800630	Cluster_140	N	1	58	60	36	3
Pocillopora_meandrina_HIv1___Sc0000000:9800682-9801089	Cluster_141	N	1	2	39	45	2
Pocillopora_meandrina_HIv1___Sc0000000:9803051-9803772	Cluster_142	N	28	0	316	0	31
Pocillopora_meandrina_HIv1___Sc0000000:9828155-9828582	Cluster_143	N	4	2	3	157	1
Pocillopora_meandrina_HIv1___Sc0000000:9842835-9843262	Cluster_144	N	4	0	116	0	1
Pocillopora_meandrina_HIv1___Sc0000000:9853254-9853662	Cluster_145	N	84	9	6	30	17
Pocillopora_meandrina_HIv1___Sc0000000:9853689-9856016	Cluster_146	N	4984	2244	2959	5168	1130
Pocillopora_meandrina_HIv1___Sc0000000:9856063-9856639	Cluster_147	N	318	334	201	236	67
Pocillopora_meandrina_HIv1___Sc0000000:9857383-9857809	Cluster_148	N	13	64	26	5	1
Pocillopora_meandrina_HIv1___Sc0000000:9878202-9878692	Cluster_149	N	129	6	973	33	52
Pocillopora_meandrina_HIv1___Sc0000000:9884246-9884668	Cluster_150	N	64	27	48	16	0
Pocillopora_meandrina_HIv1___Sc0000000:9887131-9887548	Cluster_151	N	73	8	98	25	19
Pocillopora_meandrina_HIv1___Sc0000000:9889894-9890324	Cluster_152	N	2	0	117	1	0
Pocillopora_meandrina_HIv1___Sc0000000:9898243-9898662	Cluster_153	N	16	45	0	100	14
Pocillopora_meandrina_HIv1___Sc0000000:9903956-9904712	Cluster_154	N	185	31	330	24	56
Pocillopora_meandrina_HIv1___Sc0000000:9912448-9913768	Cluster_155	N	250	184	74	912	55
Pocillopora_meandrina_HIv1___Sc0000000:9913980-9914383	Cluster_156	N	10	11	1	132	10
Pocillopora_meandrina_HIv1___Sc0000000:9920126-9920554	Cluster_157	N	81	0	11	2	5
Pocillopora_meandrina_HIv1___Sc0000000:9924478-9924909	Cluster_158	N	2	10	1	105	279
Pocillopora_meandrina_HIv1___Sc0000000:9931069-9932752	Cluster_159	N	744	240	472	420	123
Pocillopora_meandrina_HIv1___Sc0000000:9933750-9935597	Cluster_160	N	6732	2450	2509	5030	2101
Pocillopora_meandrina_HIv1___Sc0000000:10052622-10053049	Cluster_161	N	4	40	68	97	177
Pocillopora_meandrina_HIv1___Sc0000000:10181668-10182095	Cluster_162	N	33	117	0	21	3
Pocillopora_meandrina_HIv1___Sc0000000:10361747-10362173	Cluster_163	N	2	11	7	123	29
Pocillopora_meandrina_HIv1___Sc0000000:10377192-10381489	Cluster_164	N	1188	2248	4171	4305	592
Pocillopora_meandrina_HIv1___Sc0000000:10424158-10424581	Cluster_165	N	0	119	0	0	1
Pocillopora_meandrina_HIv1___Sc0000000:10531083-10531491	Cluster_166	N	60	25	12	38	12
Pocillopora_meandrina_HIv1___Sc0000000:10531934-10532626	Cluster_167	N	155	22	33	257	8
Pocillopora_meandrina_HIv1___Sc0000000:10532826-10533247	Cluster_168	N	30	12	9	49	13
Pocillopora_meandrina_HIv1___Sc0000000:10534042-10534763	Cluster_169	N	53	44	145	35	4
Pocillopora_meandrina_HIv1___Sc0000000:10540694-10541121	Cluster_170	N	0	0	0	79	0
Pocillopora_meandrina_HIv1___Sc0000000:10543779-10544201	Cluster_171	N	57	85	85	2	2
Pocillopora_meandrina_HIv1___Sc0000000:10544222-10544652	Cluster_172	N	39	134	135	6	7
Pocillopora_meandrina_HIv1___Sc0000000:10553046-10553473	Cluster_173	N	0	0	155	15	4
Pocillopora_meandrina_HIv1___Sc0000000:10685159-10685850	Cluster_174	N	393	68	111	259	28
Pocillopora_meandrina_HIv1___Sc0000000:10686623-10687051	Cluster_175	N	71	0	0	297	0
Pocillopora_meandrina_HIv1___Sc0000000:10707707-10708135	Cluster_176	N	5	22	178	65	0
Pocillopora_meandrina_HIv1___Sc0000000:10714522-10714951	Cluster_177	N	77	5	6	162	12
Pocillopora_meandrina_HIv1___Sc0000000:10734393-10734822	Cluster_178	N	0	0	0	80	0
Pocillopora_meandrina_HIv1___Sc0000000:10786268-10788448	Cluster_179	N	1018	89	1355	489	202
Pocillopora_meandrina_HIv1___Sc0000000:10789452-10790495	Cluster_180	N	215	39	268	230	86
Pocillopora_meandrina_HIv1___Sc0000000:10790631-10792234	Cluster_181	N	435	145	417	442	154
Pocillopora_meandrina_HIv1___Sc0000000:10804971-10805394	Cluster_182	N	50	6	28	32	3
Pocillopora_meandrina_HIv1___Sc0000000:10806850-10808466	Cluster_183	N	3328	132	10	1001	124
Pocillopora_meandrina_HIv1___Sc0000000:10811914-10812388	Cluster_184	N	230	59	5	0	46
Pocillopora_meandrina_HIv1___Sc0000000:10812967-10813462	Cluster_185	N	726	18	5399	13	9
Pocillopora_meandrina_HIv1___Sc0000000:10856559-10857208	Cluster_186	N	685	15	562	0	3
Pocillopora_meandrina_HIv1___Sc0000000:10906504-10906978	Cluster_187	N	28	425	205	0	2
Pocillopora_meandrina_HIv1___Sc0000000:11008650-11009079	Cluster_188	N	169	31	64	34	25
Pocillopora_meandrina_HIv1___Sc0000000:11039301-11039720	Cluster_189	N	0	102	2	69	0
Pocillopora_meandrina_HIv1___Sc0000000:11041565-11042974	Cluster_190	N	262	93	191	495	61
Pocillopora_meandrina_HIv1___Sc0000000:11043025-11043456	Cluster_191	N	98	21	75	276	20
Pocillopora_meandrina_HIv1___Sc0000000:11043472-11043898	Cluster_192	N	39	19	49	70	11
Pocillopora_meandrina_HIv1___Sc0000000:11044016-11044443	Cluster_193	N	146	44	63	104	14
Pocillopora_meandrina_HIv1___Sc0000000:11044450-11046447	Cluster_194	N	987	506	1199	1074	461
Pocillopora_meandrina_HIv1___Sc0000000:11056292-11056718	Cluster_195	N	81	0	0	2	0
Pocillopora_meandrina_HIv1___Sc0000000:11067348-11068009	Cluster_196	N	2	0	6	214	0
Pocillopora_meandrina_HIv1___Sc0000000:11068926-11069353	Cluster_197	N	181	1	16	50	4
Pocillopora_meandrina_HIv1___Sc0000000:11070468-11070894	Cluster_198	N	28	8	2	114	6
Pocillopora_meandrina_HIv1___Sc0000000:11071238-11071734	Cluster_199	N	124	374	1	0	7
Pocillopora_meandrina_HIv1___Sc0000000:11077717-11078147	Cluster_200	N	111	0	86	15	20
Pocillopora_meandrina_HIv1___Sc0000000:11489850-11490268	Cluster_201	N	3	28	10	36	3
Pocillopora_meandrina_HIv1___Sc0000000:11542819-11543245	Cluster_202	N	62	3	70	68	25
Pocillopora_meandrina_HIv1___Sc0000000:11543483-11544140	Cluster_203	N	402	64	220	204	169
Pocillopora_meandrina_HIv1___Sc0000000:11544360-11545816	Cluster_204	N	224	172	165	716	317
Pocillopora_meandrina_HIv1___Sc0000000:11552655-11555295	Cluster_205	N	1479	556	1906	4981	137
Pocillopora_meandrina_HIv1___Sc0000000:11557735-11558203	Cluster_206	N	12	51	18	147	6
Pocillopora_meandrina_HIv1___Sc0000000:11558690-11559293	Cluster_207	N	215	31	107	150	33
Pocillopora_meandrina_HIv1___Sc0000000:11559941-11560372	Cluster_208	N	210	16	84	62	133
Pocillopora_meandrina_HIv1___Sc0000000:11561257-11561733	Cluster_209	N	245	34	86	92	83
Pocillopora_meandrina_HIv1___Sc0000000:11566070-11566661	Cluster_210	N	192	57	151	183	32
Pocillopora_meandrina_HIv1___Sc0000000:11566680-11567858	Cluster_211	N	737	332	438	1238	262
Pocillopora_meandrina_HIv1___Sc0000000:11568056-11570378	Cluster_212	N	7407	10165	10415	11178	4756
Pocillopora_meandrina_HIv1___Sc0000000:11574178-11574789	Cluster_213	N	204	9	43	483	39
Pocillopora_meandrina_HIv1___Sc0000000:11576454-11577454	Cluster_214	N	417	27	68	496	318
Pocillopora_meandrina_HIv1___Sc0000000:11580662-11581090	Cluster_215	N	0	179	0	0	0
Pocillopora_meandrina_HIv1___Sc0000000:11583909-11584334	Cluster_216	N	5	11	24	29	14
Pocillopora_meandrina_HIv1___Sc0000000:11584630-11585077	Cluster_217	N	70	22	265	22	5
Pocillopora_meandrina_HIv1___Sc0000000:11587332-11587855	Cluster_218	N	445	11	42	46	12
Pocillopora_meandrina_HIv1___Sc0000000:11588495-11588921	Cluster_219	N	120	9	43	144	21
Pocillopora_meandrina_HIv1___Sc0000000:11589851-11590275	Cluster_220	N	179	2	5	23	1
Pocillopora_meandrina_HIv1___Sc0000000:11590462-11591142	Cluster_221	N	1055	30	68	59	40
Pocillopora_meandrina_HIv1___Sc0000000:11594639-11595518	Cluster_222	N	1418	437	1365	897	120
Pocillopora_meandrina_HIv1___Sc0000000:11597439-11597857	Cluster_223	N	109	27	23	60	5
Pocillopora_meandrina_HIv1___Sc0000000:11610279-11610705	Cluster_224	N	36	51	28	103	7
Pocillopora_meandrina_HIv1___Sc0000000:11611076-11611579	Cluster_225	N	168	45	150	154	132
Pocillopora_meandrina_HIv1___Sc0000000:11612226-11612654	Cluster_226	N	30	228	1	11	1
Pocillopora_meandrina_HIv1___Sc0000000:11615894-11616321	Cluster_227	N	52	49	36	93	42
Pocillopora_meandrina_HIv1___Sc0000000:11619880-11620712	Cluster_228	N	749	387	2664	1736	4
Pocillopora_meandrina_HIv1___Sc0000000:11630399-11631232	Cluster_229	N	210	125	70	125	252
Pocillopora_meandrina_HIv1___Sc0000000:11635028-11636324	Cluster_230	N	1755	2693	2	1770	95
Pocillopora_meandrina_HIv1___Sc0000000:11790561-11790980	Cluster_231	N	50	21	51	32	13
Pocillopora_meandrina_HIv1___Sc0000000:11794308-11794869	Cluster_232	N	120	360	459	2	5
Pocillopora_meandrina_HIv1___Sc0000000:11798273-11798686	Cluster_233	N	51	12	12	25	24
Pocillopora_meandrina_HIv1___Sc0000000:11804184-11804611	Cluster_234	N	74	17	58	17	19
Pocillopora_meandrina_HIv1___Sc0000000:11812161-11812603	Cluster_235	N	121	18	60	19	17
Pocillopora_meandrina_HIv1___Sc0000000:11813263-11815282	Cluster_236	N	202	1668	1737	7	562
Pocillopora_meandrina_HIv1___Sc0000000:11816999-11818264	Cluster_237	N	36	35	854	225	189
Pocillopora_meandrina_HIv1___Sc0000000:11818269-11818788	Cluster_238	N	32	14	642	17	182
Pocillopora_meandrina_HIv1___Sc0000000:11819696-11820119	Cluster_239	N	75	9	65	29	29
Pocillopora_meandrina_HIv1___Sc0000000:11820158-11820585	Cluster_240	N	79	12	31	29	20
Pocillopora_meandrina_HIv1___Sc0000000:11822371-11824222	Cluster_241	N	6213	2250	2640	4911	2131
Pocillopora_meandrina_HIv1___Sc0000000:11825210-11826891	Cluster_242	N	799	238	488	407	108
Pocillopora_meandrina_HIv1___Sc0000000:11828733-11829527	Cluster_243	N	116	23	70	50	318
Pocillopora_meandrina_HIv1___Sc0000000:11851345-11852170	Cluster_244	N	564	432	9	774	205
Pocillopora_meandrina_HIv1___Sc0000000:11859861-11860838	Cluster_245	N	1411	23	720	46	716
Pocillopora_meandrina_HIv1___Sc0000000:11860889-11861894	Cluster_246	N	1683	25	1618	191	894
Pocillopora_meandrina_HIv1___Sc0000000:11862228-11862803	Cluster_247	N	211	12	389	3	364
Pocillopora_meandrina_HIv1___Sc0000000:11864343-11866061	Cluster_248	N	523	224	1397	4937	205
Pocillopora_meandrina_HIv1___Sc0000000:11866698-11867901	Cluster_249	N	25542	603	27756	5877	8227
Pocillopora_meandrina_HIv1___Sc0000000:11869195-11869664	Cluster_250	N	366	24	71	2	48
Pocillopora_meandrina_HIv1___Sc0000000:11870111-11871162	Cluster_251	N	1302	59	248	23	236
Pocillopora_meandrina_HIv1___Sc0000000:11871339-11872211	Cluster_252	N	521	90	193	18	127
Pocillopora_meandrina_HIv1___Sc0000000:11872475-11873076	Cluster_253	N	572	65	269	13	66
Pocillopora_meandrina_HIv1___Sc0000000:11879278-11880568	Cluster_254	N	13199	8597	7266	9287	1320
Pocillopora_meandrina_HIv1___Sc0000000:11880663-11881090	Cluster_255	N	86	12	923	112	103
Pocillopora_meandrina_HIv1___Sc0000000:11882086-11882516	Cluster_256	N	157	26	95	55	33
Pocillopora_meandrina_HIv1___Sc0000000:11882808-11883388	Cluster_257	N	168	28	232	101	22
Pocillopora_meandrina_HIv1___Sc0000000:11884724-11885487	Cluster_258	N	635	2	8	23	1
Pocillopora_meandrina_HIv1___Sc0000000:11887649-11888834	Cluster_259	N	691	13	510	1497	18
Pocillopora_meandrina_HIv1___Sc0000000:11894481-11895204	Cluster_260	N	40	162	533	1005	62
Pocillopora_meandrina_HIv1___Sc0000000:11895337-11896747	Cluster_261	N	270	492	1061	564	241
Pocillopora_meandrina_HIv1___Sc0000000:11896756-11897212	Cluster_262	N	75	17	35	188	104
Pocillopora_meandrina_HIv1___Sc0000000:11897487-11898265	Cluster_263	N	64	51	46	320	195
Pocillopora_meandrina_HIv1___Sc0000000:11902264-11902850	Cluster_264	N	202	350	684	10	154
Pocillopora_meandrina_HIv1___Sc0000000:12107513-12108090	Cluster_265	N	73	9	80	62	9
