Orthogroup	GCF_013753865.1_Amil_v2.1.protein	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep
OG0000010	XP_029183144.2, XP_029183145.2, XP_029183146.2, XP_029183151.1, XP_029183160.2, XP_029209244.2, XP_029210026.2, XP_029210031.2, XP_029210393.2, XP_029210394.2, XP_029210396.2, XP_029210900.2, XP_029211022.2, XP_029211027.2, XP_029213912.2, XP_029213936.1, XP_029213937.2, XP_044168325.1, XP_044168326.1, XP_044168328.1, XP_044168330.1, XP_044168331.1, XP_044168333.1, XP_044168334.1, XP_044168335.1, XP_044169342.1, XP_044169344.1, XP_044169345.1, XP_044169358.1, XP_044169359.1, XP_044169364.1, XP_044169365.1, XP_044169367.1, XP_044169368.1, XP_044169369.1, XP_044169371.1, XP_044169375.1, XP_044169376.1, XP_044169896.1, XP_044169897.1, XP_044169898.1, XP_044169900.1, XP_044169901.1, XP_044169902.1, XP_044169903.1, XP_044169904.1, XP_044169907.1, XP_044169908.1, XP_044169909.1, XP_044169910.1, XP_044169911.1, XP_044169912.1, XP_044172028.1, XP_044180122.1, XP_044180136.1, XP_044180306.1, XP_044180549.1, XP_044180572.1, XP_044180652.1, XP_044180749.1		Peve_00002779
OG0000011	XP_029209772.2, XP_029210742.2, XP_044163703.1, XP_044165199.1, XP_044165478.1, XP_044165694.1, XP_044167513.1, XP_044170818.1, XP_044171530.1, XP_044176888.1, XP_044180138.1, XP_044182589.1, XP_044182795.1	Pocillopora_meandrina_HIv1___RNAseq.g12945.t1, Pocillopora_meandrina_HIv1___RNAseq.g25207.t1, Pocillopora_meandrina_HIv1___RNAseq.g6222.t1, Pocillopora_meandrina_HIv1___TS.g23490.t1	Peve_00000299, Peve_00001836, Peve_00002318, Peve_00004093, Peve_00005546, Peve_00006354, Peve_00007748, Peve_00008258, Peve_00012167, Peve_00014919, Peve_00014962, Peve_00015673, Peve_00015707, Peve_00017179, Peve_00018511, Peve_00018659, Peve_00021361, Peve_00023879, Peve_00024519, Peve_00025238, Peve_00025529, Peve_00025561, Peve_00026047, Peve_00026095, Peve_00027911, Peve_00028057, Peve_00029552, Peve_00030659, Peve_00031075, Peve_00033000, Peve_00033176, Peve_00035586, Peve_00037273, Peve_00038236, Peve_00039318, Peve_00040894, Peve_00041594, Peve_00041846, Peve_00042540, Peve_00042547, Peve_00043647, Peve_00044330
OG0000012	XP_029190448.2, XP_029190589.2, XP_029207927.2, XP_029210640.2, XP_044162945.1, XP_044162946.1, XP_044163326.1, XP_044168841.1, XP_044168848.1, XP_044168849.1, XP_044168859.1, XP_044168870.1, XP_044168872.1, XP_044168873.1, XP_044168886.1, XP_044168887.1, XP_044168888.1, XP_044168890.1, XP_044168892.1, XP_044168893.1, XP_044168895.1, XP_044168900.1, XP_044168901.1, XP_044170376.1, XP_044170388.1, XP_044176766.1, XP_044176768.1, XP_044176770.1, XP_044176778.1, XP_044177546.1, XP_044177547.1, XP_044177548.1, XP_044177550.1, XP_044177551.1, XP_044177555.1, XP_044177582.1, XP_044177584.1, XP_044177585.1, XP_044177592.1, XP_044177593.1, XP_044177595.1, XP_044177597.1, XP_044177598.1, XP_044177603.1, XP_044177604.1, XP_044177893.1, XP_044177895.1, XP_044178826.1, XP_044179766.1, XP_044179781.1, XP_044179794.1, XP_044179826.1, XP_044179827.1, XP_044181711.1, XP_044181713.1, XP_044181714.1, XP_044181717.1, XP_044181876.1		
OG0000013	XP_029207270.2, XP_044164923.1, XP_044164924.1, XP_044164925.1, XP_044164926.1, XP_044164927.1, XP_044164928.1, XP_044164929.1, XP_044164930.1, XP_044164931.1, XP_044164932.1, XP_044164934.1, XP_044164935.1, XP_044164936.1, XP_044164937.1, XP_044164938.1, XP_044164939.1, XP_044164940.1, XP_044164942.1, XP_044164943.1, XP_044164944.1, XP_044164945.1, XP_044164946.1, XP_044164947.1, XP_044164948.1, XP_044164949.1, XP_044164966.1, XP_044164967.1, XP_044164968.1, XP_044164976.1, XP_044164977.1, XP_044164978.1, XP_044164979.1, XP_044164985.1, XP_044165003.1, XP_044165007.1, XP_044165009.1, XP_044165010.1, XP_044169857.1, XP_044169859.1, XP_044170345.1, XP_044170346.1, XP_044170354.1, XP_044170702.1, XP_044170708.1, XP_044171089.1, XP_044171092.1, XP_044171093.1, XP_044171112.1, XP_044171113.1, XP_044171114.1, XP_044171115.1, XP_044171116.1, XP_044171117.1, XP_044171496.1, XP_044173533.1, XP_044184302.1, XP_044185241.1		
OG0000014			Peve_00002887, Peve_00002888, Peve_00004559, Peve_00004562, Peve_00004563, Peve_00008731, Peve_00008736, Peve_00008737, Peve_00008738, Peve_00010800, Peve_00010801, Peve_00010805, Peve_00010806, Peve_00010807, Peve_00010808, Peve_00010809, Peve_00011363, Peve_00011370, Peve_00011371, Peve_00015206, Peve_00015208, Peve_00019297, Peve_00019299, Peve_00019301, Peve_00019302, Peve_00021951, Peve_00021953, Peve_00021954, Peve_00022018, Peve_00022019, Peve_00024044, Peve_00024045, Peve_00024790, Peve_00024793, Peve_00025020, Peve_00025022, Peve_00025116, Peve_00025117, Peve_00027648, Peve_00027649, Peve_00030015, Peve_00034302, Peve_00034307, Peve_00034313, Peve_00035419, Peve_00035954, Peve_00036250, Peve_00036262, Peve_00036911, Peve_00039770, Peve_00039771, Peve_00042669, Peve_00042671, Peve_00042672, Peve_00042674, Peve_00042675, Peve_00042676, Peve_00042677
OG0000015	XP_029179466.2, XP_029189699.2, XP_029197710.2, XP_029204510.2, XP_029213017.2, XP_044163446.1, XP_044164535.1, XP_044167796.1, XP_044169179.1, XP_044169682.1, XP_044170440.1, XP_044172717.1, XP_044173345.1, XP_044174044.1, XP_044174928.1, XP_044175530.1, XP_044176031.1, XP_044177858.1, XP_044180752.1	Pocillopora_meandrina_HIv1___RNAseq.g6516.t1	Peve_00001648, Peve_00002756, Peve_00005171, Peve_00005320, Peve_00006497, Peve_00010802, Peve_00011571, Peve_00011895, Peve_00013187, Peve_00015118, Peve_00015597, Peve_00016694, Peve_00017479, Peve_00017774, Peve_00017836, Peve_00018357, Peve_00019737, Peve_00020628, Peve_00021440, Peve_00021459, Peve_00023168, Peve_00025121, Peve_00025161, Peve_00026651, Peve_00029272, Peve_00029456, Peve_00033784, Peve_00034254, Peve_00036104, Peve_00039656, Peve_00041809, Peve_00042395, Peve_00043277, Peve_00044624, Peve_00045040, Peve_00045189
OG0000016	XP_029184062.2, XP_029198231.2, XP_029201166.2, XP_029201172.2, XP_029201189.2, XP_029203736.2, XP_029206879.2, XP_029206886.2, XP_029208970.2, XP_044163819.1, XP_044163994.1, XP_044164143.1, XP_044164212.1, XP_044164278.1, XP_044164280.1, XP_044164321.1, XP_044164352.1, XP_044164353.1, XP_044164391.1, XP_044164435.1, XP_044164437.1, XP_044164441.1, XP_044164478.1, XP_044164565.1, XP_044164587.1, XP_044164606.1, XP_044170499.1, XP_044170500.1, XP_044172601.1	Pocillopora_meandrina_HIv1___RNAseq.g2270.t1a, Pocillopora_meandrina_HIv1___RNAseq.g26191.t1, Pocillopora_meandrina_HIv1___TS.g4783.t1, Pocillopora_meandrina_HIv1___TS.g4784.t1, Pocillopora_meandrina_HIv1___TS.g4785.t1	Peve_00012798, Peve_00012799, Peve_00012800, Peve_00012803, Peve_00012804, Peve_00013205, Peve_00013206, Peve_00013211, Peve_00023391, Peve_00023396, Peve_00023400, Peve_00023403, Peve_00028929, Peve_00028932, Peve_00028933, Peve_00028935, Peve_00028940, Peve_00028944, Peve_00028945, Peve_00028950, Peve_00028951
OG0000017	XP_029181573.2, XP_029181959.2, XP_029187818.2, XP_029192985.2, XP_029206339.2, XP_029209684.2, XP_044167604.1, XP_044167610.1, XP_044167617.1, XP_044169582.1, XP_044169583.1, XP_044169599.1, XP_044169600.1, XP_044169601.1, XP_044169602.1, XP_044169603.1, XP_044169604.1, XP_044169609.1, XP_044173452.1, XP_044173454.1, XP_044173456.1, XP_044173457.1, XP_044175185.1, XP_044175192.1, XP_044175193.1, XP_044175194.1, XP_044175195.1, XP_044175196.1, XP_044175197.1, XP_044175198.1, XP_044175211.1, XP_044176776.1, XP_044177611.1, XP_044177612.1, XP_044178889.1, XP_044179050.1, XP_044179053.1, XP_044179252.1, XP_044179253.1, XP_044179255.1, XP_044179383.1, XP_044179384.1, XP_044179385.1, XP_044179750.1, XP_044179818.1, XP_044179819.1, XP_044179820.1, XP_044179821.1, XP_044179822.1, XP_044179823.1, XP_044179824.1, XP_044179825.1, XP_044179828.1		
OG0000018	XP_029181954.2, XP_029186736.2, XP_029186781.1, XP_029186862.2, XP_029201820.2, XP_029209233.2, XP_029209235.2, XP_029209237.2, XP_029209239.2, XP_029209243.2, XP_029209246.2, XP_029209247.2, XP_029209251.1, XP_029209252.2, XP_029212673.2, XP_029212677.2, XP_029212710.2, XP_029212723.2, XP_029212730.2, XP_044167991.1, XP_044167992.1, XP_044167993.1, XP_044167994.1, XP_044167995.1, XP_044167996.1, XP_044167997.1, XP_044167998.1, XP_044168006.1, XP_044168507.1, XP_044168508.1, XP_044168510.1, XP_044168516.1, XP_044168517.1, XP_044168520.1, XP_044168523.1, XP_044168526.1, XP_044168528.1, XP_044168531.1, XP_044168532.1, XP_044168566.1, XP_044168575.1, XP_044168582.1, XP_044168584.1, XP_044168588.1, XP_044168601.1, XP_044169107.1, XP_044169108.1, XP_044169120.1, XP_044169131.1, XP_044169133.1, XP_044169136.1, XP_044169138.1, XP_044180651.1		
OG0000019			Peve_00002048, Peve_00004464, Peve_00011331, Peve_00011334, Peve_00011335, Peve_00013914, Peve_00013915, Peve_00013919, Peve_00013920, Peve_00014076, Peve_00015100, Peve_00017253, Peve_00018731, Peve_00020797, Peve_00023033, Peve_00023034, Peve_00023553, Peve_00023555, Peve_00023921, Peve_00023922, Peve_00026436, Peve_00026438, Peve_00028261, Peve_00028262, Peve_00028670, Peve_00030317, Peve_00033252, Peve_00033255, Peve_00035056, Peve_00035288, Peve_00035317, Peve_00035957, Peve_00035959, Peve_00035961, Peve_00035962, Peve_00035964, Peve_00035965, Peve_00035966, Peve_00035968, Peve_00036408, Peve_00038301, Peve_00040462, Peve_00040463, Peve_00040464, Peve_00040466, Peve_00040469, Peve_00042371, Peve_00042373, Peve_00042376, Peve_00042402, Peve_00043423, Peve_00044918, Peve_00045233
