Orthogroup	GCF_013753865.1_Amil_v2.1.protein	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep	Total
OG0000066	35	0	0	35
OG0000067	35	0	0	35
OG0000068	5	26	4	35
OG0000069	5	2	28	35
OG0000070	1	0	34	35
OG0000071	0	1	34	35
OG0000072	0	0	35	35
OG0000073	0	0	35	35
OG0000074	34	0	0	34
OG0000075	33	0	1	34
OG0000076	34	0	0	34
OG0000077	34	0	0	34
OG0000078	34	0	0	34
OG0000079	22	0	12	34
OG0000080	0	0	34	34
OG0000081	0	0	34	34
OG0000082	33	0	0	33
OG0000083	33	0	0	33
OG0000084	26	0	7	33
OG0000085	33	0	0	33
OG0000086	1	32	0	33
OG0000087	0	32	1	33
OG0000088	0	0	33	33
OG0000089	1	29	2	32
OG0000090	5	3	24	32
OG0000091	1	19	12	32
OG0000092	32	0	0	32
OG0000093	0	2	30	32
OG0000094	0	32	0	32
OG0000095	0	32	0	32
OG0000096	0	32	0	32
OG0000097	0	0	32	32
OG0000098	0	0	32	32
OG0000099	1	1	29	31
OG0000100	2	28	1	31
OG0000101	0	31	0	31
OG0000102	0	1	30	31
OG0000103	30	0	0	30
OG0000104	30	0	0	30
OG0000105	28	1	1	30
OG0000106	2	9	19	30
OG0000107	0	29	1	30
OG0000108	0	1	29	30
OG0000109	0	0	30	30
OG0000110	0	0	30	30
OG0000111	15	13	1	29
OG0000112	29	0	0	29
OG0000113	2	0	27	29
OG0000114	29	0	0	29
OG0000115	3	24	2	29
OG0000116	0	29	0	29
OG0000117	0	25	4	29
OG0000118	0	0	29	29
OG0000119	0	0	29	29
OG0000120	27	0	1	28
OG0000121	26	1	1	28
OG0000122	24	0	4	28
OG0000123	28	0	0	28
OG0000124	2	26	0	28
OG0000125	6	21	1	28
OG0000126	1	0	27	28
OG0000127	1	0	27	28
OG0000128	0	21	7	28
OG0000129	0	4	24	28
OG0000130	0	2	26	28
OG0000131	0	0	28	28
OG0000132	23	1	3	27
OG0000133	25	2	0	27
OG0000134	26	0	1	27
OG0000135	2	1	24	27
OG0000136	1	26	0	27
OG0000137	26	1	0	27
OG0000138	23	1	3	27
OG0000139	26	0	1	27
OG0000140	27	0	0	27
OG0000141	0	27	0	27
OG0000142	0	1	26	27
OG0000143	0	0	27	27
OG0000144	5	2	19	26
OG0000145	20	5	1	26
OG0000146	26	0	0	26
OG0000147	1	0	25	26
OG0000148	1	14	11	26
OG0000149	26	0	0	26
OG0000150	1	0	25	26
OG0000151	1	0	25	26
OG0000152	0	26	0	26
OG0000153	0	26	0	26
OG0000154	19	1	5	25
OG0000155	25	0	0	25
OG0000156	17	8	0	25
OG0000157	25	0	0	25
OG0000158	10	13	2	25
OG0000159	25	0	0	25
OG0000160	24	0	1	25
OG0000161	2	21	2	25
OG0000162	22	1	2	25
OG0000163	0	25	0	25
OG0000164	0	25	0	25
OG0000165	0	25	0	25
OG0000166	0	0	25	25
OG0000167	0	0	25	25
OG0000168	24	0	0	24
OG0000169	2	7	15	24
OG0000170	24	0	0	24
OG0000171	23	0	1	24
OG0000172	2	1	21	24
OG0000173	24	0	0	24
OG0000174	21	2	1	24
OG0000175	10	13	1	24
OG0000176	10	11	3	24
OG0000177	18	3	3	24
OG0000178	22	1	1	24
OG0000179	23	1	0	24
OG0000180	23	0	1	24
OG0000181	1	22	1	24
OG0000182	24	0	0	24
OG0000183	0	24	0	24
OG0000184	0	22	2	24
OG0000185	0	0	24	24
OG0000186	0	0	24	24
OG0000187	23	0	0	23
OG0000188	5	16	2	23
OG0000189	3	18	2	23
OG0000190	2	1	20	23
OG0000191	6	1	16	23
OG0000192	13	0	10	23
OG0000193	20	2	1	23
OG0000194	3	2	18	23
OG0000195	2	4	17	23
OG0000196	23	0	0	23
OG0000197	23	0	0	23
OG0000198	4	6	13	23
OG0000199	20	0	3	23
OG0000200	0	23	0	23
OG0000201	0	23	0	23
OG0000202	0	23	0	23
OG0000203	0	23	0	23
OG0000204	0	1	22	23
OG0000205	0	0	23	23
OG0000206	18	1	3	22
OG0000207	3	12	7	22
OG0000208	8	1	13	22
OG0000209	22	0	0	22
OG0000210	22	0	0	22
OG0000211	19	2	1	22
OG0000212	22	0	0	22
OG0000213	22	0	0	22
OG0000214	21	0	1	22
OG0000215	22	0	0	22
OG0000216	3	1	18	22
OG0000217	4	6	12	22
OG0000218	22	0	0	22
OG0000219	18	3	1	22
OG0000220	21	0	1	22
OG0000221	22	0	0	22
OG0000222	4	16	2	22
OG0000223	20	1	1	22
OG0000224	19	1	2	22
OG0000225	22	0	0	22
OG0000226	1	21	0	22
OG0000227	0	21	1	22
OG0000228	0	16	6	22
OG0000229	0	22	0	22
OG0000230	0	21	1	22
OG0000231	0	0	22	22
OG0000232	0	0	22	22
OG0000233	21	0	0	21
OG0000234	19	2	0	21
OG0000235	21	0	0	21
OG0000236	21	0	0	21
OG0000237	1	1	19	21
OG0000238	21	0	0	21
OG0000239	7	12	2	21
OG0000240	21	0	0	21
OG0000241	5	1	15	21
OG0000242	3	9	9	21
OG0000243	4	2	15	21
OG0000244	21	0	0	21
OG0000245	17	0	4	21
OG0000246	1	20	0	21
OG0000247	2	0	19	21
OG0000248	0	21	0	21
OG0000249	0	21	0	21
OG0000250	0	21	0	21
OG0000251	0	2	19	21
OG0000252	0	0	21	21
OG0000253	0	0	21	21
OG0000254	0	0	21	21
OG0000255	0	0	21	21
OG0000256	0	0	21	21
OG0000257	16	2	2	20
OG0000258	20	0	0	20
OG0000259	16	1	3	20
OG0000260	20	0	0	20
OG0000261	11	2	7	20
OG0000262	1	0	19	20
OG0000263	18	0	2	20
OG0000264	18	0	2	20
OG0000265	1	0	19	20
OG0000266	1	18	1	20
OG0000267	18	1	1	20
OG0000268	1	1	18	20
OG0000269	15	1	4	20
OG0000270	4	5	11	20
OG0000271	9	7	4	20
OG0000272	2	14	4	20
OG0000273	17	0	3	20
OG0000274	5	12	3	20
OG0000275	19	0	1	20
OG0000276	20	0	0	20
OG0000277	15	3	2	20
OG0000278	2	17	1	20
OG0000279	1	14	5	20
OG0000280	1	0	19	20
OG0000281	1	19	0	20
OG0000282	0	20	0	20
OG0000283	0	20	0	20
OG0000284	0	20	0	20
OG0000285	0	20	0	20
OG0000286	0	19	1	20
OG0000287	0	1	19	20
OG0000288	0	0	20	20
OG0000289	0	0	20	20
OG0000290	0	0	20	20
OG0000291	17	1	1	19
OG0000292	19	0	0	19
OG0000293	19	0	0	19
OG0000294	3	9	7	19
OG0000295	13	1	5	19
OG0000296	1	18	0	19
OG0000297	11	1	7	19
OG0000298	19	0	0	19
OG0000299	19	0	0	19
OG0000300	2	16	1	19
OG0000301	19	0	0	19
OG0000302	17	1	1	19
OG0000303	3	14	2	19
OG0000304	6	2	11	19
OG0000305	15	1	3	19
OG0000306	2	15	2	19
OG0000307	18	0	1	19
OG0000308	4	14	1	19
OG0000309	1	16	2	19
OG0000310	2	0	17	19
OG0000311	17	1	1	19
OG0000312	1	1	17	19
OG0000313	19	0	0	19
OG0000314	16	2	1	19
OG0000315	1	0	18	19
OG0000316	0	19	0	19
OG0000317	0	17	2	19
OG0000318	0	2	17	19
OG0000319	0	0	19	19
OG0000320	17	1	0	18
OG0000321	16	0	2	18
OG0000322	18	0	0	18
OG0000323	4	13	1	18
OG0000324	13	1	4	18
OG0000325	8	10	0	18
OG0000326	18	0	0	18
OG0000327	13	3	2	18
OG0000328	2	1	15	18
OG0000329	3	0	15	18
OG0000330	15	2	1	18
OG0000331	16	1	1	18
OG0000332	18	0	0	18
OG0000333	18	0	0	18
OG0000334	9	3	6	18
OG0000335	16	0	2	18
OG0000336	18	0	0	18
OG0000337	18	0	0	18
OG0000338	17	1	0	18
OG0000339	14	0	4	18
OG0000340	1	15	2	18
OG0000341	13	4	1	18
OG0000342	18	0	0	18
OG0000343	16	1	1	18
OG0000344	4	1	13	18
OG0000345	3	14	1	18
OG0000346	5	0	13	18
OG0000347	15	1	2	18
OG0000348	2	9	7	18
OG0000349	18	0	0	18
OG0000350	1	16	1	18
OG0000351	1	0	17	18
OG0000352	1	0	17	18
OG0000353	4	5	9	18
OG0000354	1	16	1	18
OG0000355	0	4	14	18
OG0000356	0	18	0	18
OG0000357	0	18	0	18
OG0000358	0	16	2	18
OG0000359	0	17	1	18
OG0000360	0	18	0	18
OG0000361	0	18	0	18
OG0000362	0	2	16	18
OG0000363	0	17	1	18
OG0000364	0	1	17	18
OG0000365	0	0	18	18
OG0000366	0	0	18	18
OG0000367	0	0	18	18
OG0000368	0	0	18	18
OG0000369	3	11	3	17
OG0000370	3	12	2	17
OG0000371	17	0	0	17
OG0000372	10	0	7	17
OG0000373	17	0	0	17
OG0000374	4	0	13	17
OG0000375	2	1	14	17
OG0000376	6	1	10	17
OG0000377	1	14	2	17
OG0000378	4	1	12	17
OG0000379	1	16	0	17
OG0000380	17	0	0	17
OG0000381	16	1	0	17
OG0000382	9	6	2	17
OG0000383	17	0	0	17
OG0000384	3	3	11	17
OG0000385	16	0	1	17
OG0000386	15	1	1	17
OG0000387	2	14	1	17
OG0000388	17	0	0	17
OG0000389	17	0	0	17
OG0000390	17	0	0	17
OG0000391	10	4	3	17
OG0000392	1	14	2	17
OG0000393	6	4	7	17
OG0000394	17	0	0	17
OG0000395	17	0	0	17
OG0000396	4	2	11	17
OG0000397	6	8	3	17
OG0000398	1	8	8	17
OG0000399	16	1	0	17
OG0000400	11	2	4	17
OG0000401	1	16	0	17
OG0000402	0	17	0	17
OG0000403	0	17	0	17
OG0000404	0	16	1	17
OG0000405	0	5	12	17
OG0000406	0	2	15	17
OG0000407	0	1	16	17
OG0000408	0	0	17	17
OG0000409	0	0	17	17
OG0000410	0	0	17	17
OG0000411	0	0	17	17
OG0000412	0	0	17	17
OG0000413	0	0	17	17
OG0000414	0	0	17	17
OG0000415	6	8	2	16
OG0000416	14	1	1	16
OG0000417	14	1	1	16
OG0000418	16	0	0	16
OG0000419	5	10	1	16
OG0000420	16	0	0	16
OG0000421	8	2	6	16
OG0000422	11	4	1	16
OG0000423	3	6	7	16
OG0000424	2	8	6	16
OG0000425	14	1	1	16
OG0000426	15	0	1	16
OG0000427	14	1	1	16
OG0000428	14	0	2	16
OG0000429	14	1	1	16
OG0000430	8	2	6	16
OG0000431	16	0	0	16
OG0000432	16	0	0	16
OG0000433	4	11	1	16
OG0000434	14	0	2	16
OG0000435	2	13	1	16
OG0000436	1	15	0	16
OG0000437	10	5	1	16
OG0000438	13	1	2	16
OG0000439	1	3	12	16
OG0000440	15	0	1	16
OG0000441	16	0	0	16
OG0000442	15	0	1	16
OG0000443	13	2	1	16
OG0000444	7	8	1	16
OG0000445	16	0	0	16
OG0000446	2	0	14	16
OG0000447	9	1	6	16
OG0000448	6	2	8	16
OG0000449	16	0	0	16
OG0000450	2	3	11	16
OG0000451	15	0	1	16
OG0000452	1	14	1	16
OG0000453	2	2	12	16
OG0000454	9	2	5	16
OG0000455	16	0	0	16
OG0000456	1	12	3	16
OG0000457	0	16	0	16
OG0000458	0	16	0	16
OG0000459	0	12	4	16
OG0000460	0	16	0	16
OG0000461	0	15	1	16
OG0000462	0	16	0	16
OG0000463	0	16	0	16
OG0000464	0	16	0	16
OG0000465	0	16	0	16
OG0000466	0	1	15	16
OG0000467	0	13	3	16
OG0000468	0	1	15	16
OG0000469	0	0	16	16
OG0000470	0	0	16	16
OG0000471	0	0	16	16
OG0000472	0	0	16	16
OG0000473	0	0	16	16
OG0000474	0	0	16	16
OG0000475	0	0	16	16
OG0000476	5	0	10	15
OG0000477	15	0	0	15
OG0000478	15	0	0	15
OG0000479	15	0	0	15
OG0000480	4	8	3	15
OG0000481	15	0	0	15
OG0000482	12	1	2	15
OG0000483	15	0	0	15
OG0000484	5	9	1	15
OG0000485	3	6	6	15
OG0000486	15	0	0	15
OG0000487	1	9	5	15
OG0000488	11	0	4	15
OG0000489	13	1	1	15
OG0000490	1	3	11	15
OG0000491	15	0	0	15
OG0000492	8	1	6	15
OG0000493	5	1	9	15
OG0000494	15	0	0	15
OG0000495	15	0	0	15
OG0000496	15	0	0	15
OG0000497	12	1	2	15
OG0000498	13	1	1	15
OG0000499	14	1	0	15
OG0000500	12	1	2	15
OG0000501	4	10	1	15
OG0000502	13	1	1	15
OG0000503	1	5	9	15
OG0000504	15	0	0	15
OG0000505	7	7	1	15
OG0000506	1	0	14	15
OG0000507	15	0	0	15
OG0000508	1	2	12	15
OG0000509	6	7	2	15
OG0000510	12	1	2	15
OG0000511	3	0	12	15
OG0000512	5	8	2	15
OG0000513	4	2	9	15
OG0000514	15	0	0	15
OG0000515	2	11	2	15
OG0000516	15	0	0	15
OG0000517	10	3	2	15
OG0000518	15	0	0	15
OG0000519	13	1	1	15
OG0000520	3	10	2	15
OG0000521	7	5	3	15
OG0000522	8	2	5	15
OG0000523	2	12	1	15
OG0000524	7	6	2	15
OG0000525	2	12	1	15
OG0000526	1	14	0	15
OG0000527	1	12	2	15
OG0000528	3	5	7	15
OG0000529	1	13	1	15
OG0000530	4	3	8	15
OG0000531	10	1	4	15
OG0000532	5	0	10	15
OG0000533	15	0	0	15
OG0000534	2	1	12	15
OG0000535	11	0	4	15
OG0000536	0	15	0	15
OG0000537	0	15	0	15
OG0000538	0	15	0	15
OG0000539	0	15	0	15
OG0000540	0	15	0	15
OG0000541	0	1	14	15
OG0000542	0	13	2	15
OG0000543	0	13	2	15
OG0000544	0	15	0	15
OG0000545	0	15	0	15
OG0000546	0	6	9	15
OG0000547	0	4	11	15
OG0000548	0	1	14	15
OG0000549	0	0	15	15
OG0000550	0	0	15	15
OG0000551	0	0	15	15
OG0000552	0	0	15	15
OG0000553	0	0	15	15
OG0000554	0	0	15	15
OG0000555	0	0	15	15
OG0000556	0	0	15	15
OG0000557	0	0	15	15
OG0000558	12	0	2	14
OG0000559	14	0	0	14
OG0000560	14	0	0	14
OG0000561	14	0	0	14
OG0000562	8	5	1	14
OG0000563	11	1	2	14
OG0000564	13	1	0	14
OG0000565	11	0	3	14
OG0000566	7	5	2	14
OG0000567	4	5	5	14
OG0000568	14	0	0	14
OG0000569	2	1	11	14
OG0000570	6	0	8	14
OG0000571	9	2	3	14
OG0000572	2	2	10	14
OG0000573	4	1	9	14
OG0000574	2	10	2	14
OG0000575	3	10	1	14
OG0000576	2	4	8	14
OG0000577	4	0	10	14
OG0000578	4	6	4	14
OG0000579	9	3	2	14
OG0000580	8	4	2	14
OG0000581	14	0	0	14
OG0000582	14	0	0	14
OG0000583	3	8	3	14
OG0000584	2	1	11	14
OG0000585	1	0	13	14
OG0000586	12	1	1	14
OG0000587	13	0	1	14
OG0000588	12	0	2	14
OG0000589	13	1	0	14
OG0000590	11	1	2	14
OG0000591	14	0	0	14
OG0000592	12	1	1	14
OG0000593	12	0	2	14
OG0000594	13	1	0	14
OG0000595	4	7	3	14
OG0000596	1	2	11	14
OG0000597	8	1	5	14
OG0000598	2	0	12	14
OG0000599	6	8	0	14
OG0000600	11	0	3	14
OG0000601	13	1	0	14
OG0000602	13	1	0	14
OG0000603	1	1	12	14
OG0000604	14	0	0	14
OG0000605	5	7	2	14
OG0000606	14	0	0	14
OG0000607	12	1	1	14
OG0000608	2	3	9	14
OG0000609	14	0	0	14
OG0000610	14	0	0	14
OG0000611	14	0	0	14
OG0000612	1	3	10	14
OG0000613	1	0	13	14
OG0000614	3	3	8	14
OG0000615	2	11	1	14
OG0000616	1	5	8	14
OG0000617	1	12	1	14
OG0000618	1	12	1	14
OG0000619	1	13	0	14
OG0000620	8	4	2	14
OG0000621	14	0	0	14
OG0000622	1	3	10	14
OG0000623	11	1	2	14
OG0000624	3	0	11	14
OG0000625	2	1	11	14
OG0000626	6	6	2	14
OG0000627	9	4	1	14
OG0000628	3	1	10	14
OG0000629	14	0	0	14
OG0000630	0	14	0	14
OG0000631	0	12	2	14
OG0000632	0	14	0	14
OG0000633	0	13	1	14
OG0000634	0	14	0	14
OG0000635	0	14	0	14
OG0000636	0	9	5	14
OG0000637	0	2	12	14
OG0000638	0	14	0	14
OG0000639	0	10	4	14
OG0000640	0	14	0	14
OG0000641	0	14	0	14
OG0000642	0	13	1	14
OG0000643	0	14	0	14
OG0000644	0	8	6	14
OG0000645	0	14	0	14
OG0000646	0	1	13	14
OG0000647	0	2	12	14
OG0000648	0	3	11	14
OG0000649	0	0	14	14
OG0000650	0	0	14	14
OG0000651	0	0	14	14
OG0000652	0	0	14	14
OG0000653	0	0	14	14
OG0000654	0	0	14	14
OG0000655	0	0	14	14
OG0000656	0	0	14	14
OG0000657	0	0	14	14
OG0000658	10	2	1	13
OG0000659	11	1	1	13
OG0000660	11	0	2	13
OG0000661	11	1	1	13
OG0000662	2	1	10	13
OG0000663	12	1	0	13
OG0000664	13	0	0	13
OG0000665	10	1	2	13
OG0000666	3	8	2	13
OG0000667	9	2	2	13
OG0000668	1	11	1	13
OG0000669	5	7	1	13
OG0000670	8	1	4	13
OG0000671	13	0	0	13
OG0000672	13	0	0	13
OG0000673	7	1	5	13
OG0000674	7	2	4	13
OG0000675	10	1	2	13
OG0000676	3	1	9	13
OG0000677	11	1	1	13
OG0000678	4	4	5	13
OG0000679	13	0	0	13
OG0000680	13	0	0	13
OG0000681	12	0	1	13
OG0000682	2	2	9	13
OG0000683	2	8	3	13
OG0000684	4	4	5	13
OG0000685	11	1	1	13
OG0000686	4	1	8	13
OG0000687	11	1	1	13
OG0000688	10	1	2	13
OG0000689	13	0	0	13
OG0000690	4	7	2	13
OG0000691	4	8	1	13
OG0000692	13	0	0	13
OG0000693	7	4	2	13
OG0000694	11	1	1	13
OG0000695	13	0	0	13
OG0000696	11	0	2	13
OG0000697	12	1	0	13
OG0000698	1	11	1	13
OG0000699	11	1	1	13
OG0000700	11	1	1	13
OG0000701	1	12	0	13
OG0000702	3	6	4	13
OG0000703	11	1	1	13
OG0000704	1	8	4	13
OG0000705	3	2	8	13
OG0000706	13	0	0	13
OG0000707	1	1	11	13
OG0000708	2	3	8	13
OG0000709	9	1	3	13
OG0000710	13	0	0	13
OG0000711	13	0	0	13
OG0000712	13	0	0	13
OG0000713	1	1	11	13
OG0000714	11	0	2	13
OG0000715	2	1	10	13
OG0000716	5	7	1	13
OG0000717	1	1	11	13
OG0000718	13	0	0	13
OG0000719	4	2	7	13
OG0000720	3	1	9	13
OG0000721	3	10	0	13
OG0000722	1	0	12	13
OG0000723	1	5	7	13
OG0000724	1	0	12	13
OG0000725	12	0	1	13
OG0000726	6	4	3	13
OG0000727	9	4	0	13
OG0000728	13	0	0	13
OG0000729	8	3	2	13
OG0000730	10	1	2	13
OG0000731	1	4	8	13
OG0000732	3	2	8	13
OG0000733	12	0	1	13
OG0000734	2	1	10	13
OG0000735	1	10	2	13
OG0000736	11	1	1	13
OG0000737	2	10	1	13
OG0000738	4	8	1	13
OG0000739	2	7	4	13
OG0000740	3	2	8	13
OG0000741	10	1	2	13
OG0000742	9	1	3	13
OG0000743	2	10	1	13
OG0000744	0	13	0	13
OG0000745	0	13	0	13
OG0000746	0	13	0	13
OG0000747	0	13	0	13
OG0000748	0	13	0	13
OG0000749	0	11	2	13
OG0000750	0	13	0	13
OG0000751	0	13	0	13
OG0000752	0	13	0	13
OG0000753	0	13	0	13
OG0000754	0	13	0	13
OG0000755	0	12	1	13
OG0000756	0	13	0	13
OG0000757	0	12	1	13
OG0000758	0	13	0	13
OG0000759	0	13	0	13
OG0000760	0	12	1	13
OG0000761	0	13	0	13
OG0000762	0	9	4	13
OG0000763	0	1	12	13
OG0000764	0	0	13	13
OG0000765	0	0	13	13
OG0000766	0	0	13	13
OG0000767	0	0	13	13
OG0000768	0	0	13	13
OG0000769	0	0	13	13
OG0000770	0	0	13	13
OG0000771	10	0	2	12
OG0000772	6	4	2	12
OG0000773	9	2	1	12
OG0000774	6	5	1	12
OG0000775	11	0	1	12
OG0000776	3	3	6	12
OG0000777	10	1	1	12
OG0000778	12	0	0	12
OG0000779	11	0	1	12
OG0000780	10	2	0	12
OG0000781	7	4	1	12
OG0000782	4	1	7	12
OG0000783	12	0	0	12
OG0000784	12	0	0	12
OG0000785	9	1	2	12
OG0000786	6	5	1	12
OG0000787	12	0	0	12
OG0000788	7	4	1	12
OG0000789	5	6	1	12
OG0000790	8	1	3	12
OG0000791	7	2	3	12
OG0000792	8	1	3	12
OG0000793	2	9	1	12
OG0000794	2	2	8	12
OG0000795	2	6	4	12
OG0000796	10	0	2	12
OG0000797	10	1	1	12
OG0000798	9	2	1	12
OG0000799	7	3	2	12
OG0000800	10	1	1	12
OG0000801	4	1	7	12
OG0000802	9	1	2	12
OG0000803	8	2	2	12
OG0000804	8	3	1	12
OG0000805	10	1	1	12
OG0000806	8	0	4	12
OG0000807	3	2	7	12
OG0000808	6	3	3	12
OG0000809	12	0	0	12
OG0000810	10	0	2	12
OG0000811	1	10	1	12
OG0000812	5	5	2	12
OG0000813	12	0	0	12
OG0000814	7	2	3	12
OG0000815	2	3	7	12
OG0000816	12	0	0	12
OG0000817	8	0	4	12
OG0000818	10	1	1	12
OG0000819	2	4	6	12
OG0000820	1	10	1	12
OG0000821	4	2	6	12
OG0000822	9	1	2	12
OG0000823	10	1	1	12
OG0000824	5	2	5	12
OG0000825	1	6	5	12
OG0000826	10	1	1	12
OG0000827	9	1	2	12
OG0000828	2	1	9	12
OG0000829	4	3	5	12
OG0000830	9	1	2	12
OG0000831	1	11	0	12
OG0000832	4	2	6	12
OG0000833	7	2	3	12
OG0000834	9	1	2	12
OG0000835	2	8	2	12
OG0000836	5	6	1	12
OG0000837	4	6	2	12
OG0000838	6	2	4	12
OG0000839	10	1	1	12
OG0000840	5	3	4	12
OG0000841	12	0	0	12
OG0000842	5	3	4	12
OG0000843	2	6	4	12
OG0000844	12	0	0	12
OG0000845	4	2	6	12
OG0000846	2	8	2	12
OG0000847	11	0	1	12
OG0000848	6	2	4	12
OG0000849	9	0	3	12
OG0000850	4	2	6	12
OG0000851	7	2	3	12
OG0000852	12	0	0	12
OG0000853	11	1	0	12
OG0000854	8	2	2	12
OG0000855	2	1	9	12
OG0000856	9	1	2	12
OG0000857	6	3	3	12
OG0000858	9	3	0	12
OG0000859	4	1	7	12
OG0000860	7	1	4	12
OG0000861	9	0	3	12
OG0000862	12	0	0	12
OG0000863	6	3	3	12
OG0000864	1	1	10	12
OG0000865	11	0	1	12
OG0000866	10	0	2	12
OG0000867	4	7	1	12
OG0000868	5	1	6	12
OG0000869	12	0	0	12
OG0000870	2	2	8	12
OG0000871	1	11	0	12
OG0000872	9	2	1	12
OG0000873	10	1	1	12
OG0000874	2	2	8	12
OG0000875	2	6	4	12
OG0000876	12	0	0	12
OG0000877	9	1	2	12
OG0000878	2	1	9	12
OG0000879	2	9	1	12
OG0000880	4	4	4	12
OG0000881	12	0	0	12
OG0000882	2	6	4	12
OG0000883	3	8	1	12
OG0000884	10	1	1	12
OG0000885	2	6	4	12
OG0000886	3	8	1	12
OG0000887	11	1	0	12
OG0000888	1	2	9	12
OG0000889	8	1	3	12
OG0000890	8	2	2	12
OG0000891	9	1	2	12
OG0000892	10	0	2	12
OG0000893	10	1	1	12
OG0000894	12	0	0	12
OG0000895	2	7	3	12
OG0000896	2	0	10	12
OG0000897	10	1	1	12
OG0000898	1	11	0	12
OG0000899	12	0	0	12
OG0000900	5	2	5	12
OG0000901	6	1	5	12
OG0000902	1	0	11	12
OG0000903	1	0	11	12
OG0000904	0	9	3	12
OG0000905	0	12	0	12
OG0000906	0	12	0	12
OG0000907	0	12	0	12
OG0000908	0	1	11	12
OG0000909	0	8	4	12
OG0000910	0	12	0	12
OG0000911	0	12	0	12
OG0000912	0	6	6	12
OG0000913	0	2	10	12
OG0000914	0	12	0	12
OG0000915	0	9	3	12
OG0000916	0	4	8	12
OG0000917	0	9	3	12
OG0000918	0	12	0	12
OG0000919	0	1	11	12
OG0000920	0	12	0	12
OG0000921	0	12	0	12
OG0000922	0	12	0	12
OG0000923	0	12	0	12
OG0000924	0	1	11	12
OG0000925	0	12	0	12
OG0000926	0	12	0	12
OG0000927	0	11	1	12
OG0000928	0	10	2	12
OG0000929	0	12	0	12
OG0000930	0	12	0	12
OG0000931	0	1	11	12
OG0000932	0	6	6	12
OG0000933	0	0	12	12
OG0000934	0	0	12	12
OG0000935	0	0	12	12
OG0000936	0	0	12	12
OG0000937	0	0	12	12
OG0000938	0	0	12	12
OG0000939	0	0	12	12
OG0000940	0	0	12	12
OG0000941	2	3	6	11
OG0000942	4	1	6	11
OG0000943	10	0	1	11
OG0000944	3	2	6	11
OG0000945	6	3	2	11
OG0000946	3	2	6	11
OG0000947	5	5	1	11
OG0000948	11	0	0	11
OG0000949	11	0	0	11
OG0000950	9	1	1	11
OG0000951	11	0	0	11
OG0000952	11	0	0	11
OG0000953	9	1	1	11
OG0000954	2	9	0	11
OG0000955	1	0	10	11
OG0000956	9	1	1	11
OG0000957	3	1	7	11
OG0000958	2	7	2	11
OG0000959	2	3	6	11
OG0000960	2	6	3	11
OG0000961	9	1	1	11
OG0000962	9	0	2	11
OG0000963	5	3	3	11
OG0000964	8	1	2	11
OG0000965	4	3	4	11
OG0000966	8	1	2	11
OG0000967	3	3	5	11
OG0000968	6	2	3	11
OG0000969	2	7	2	11
OG0000970	8	2	1	11
OG0000971	9	1	1	11
OG0000972	1	10	0	11
OG0000973	4	5	2	11
OG0000974	9	1	1	11
OG0000975	2	7	2	11
OG0000976	1	0	10	11
OG0000977	3	2	6	11
OG0000978	9	1	1	11
OG0000979	9	1	1	11
OG0000980	7	1	3	11
OG0000981	9	1	1	11
OG0000982	10	1	0	11
OG0000983	11	0	0	11
OG0000984	11	0	0	11
OG0000985	11	0	0	11
OG0000986	2	0	9	11
OG0000987	10	0	1	11
OG0000988	9	1	1	11
