Coords	Name	MIRNA	sRNA-POC-47-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-48-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-50-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-53-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-57-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG
Pocillopora_meandrina_HIv1___Sc0000000:6786580-6787211	Cluster_103	N	52	267	94	307	369
Pocillopora_meandrina_HIv1___Sc0000000:6820854-6821271	Cluster_104	N	9	28	16	43	101
Pocillopora_meandrina_HIv1___Sc0000000:6863950-6864369	Cluster_105	N	4	28	6	51	118
Pocillopora_meandrina_HIv1___Sc0000000:6905074-6905503	Cluster_106	N	0	91	27	288	29
Pocillopora_meandrina_HIv1___Sc0000000:6905904-6906371	Cluster_107	N	3059	144	0	53	178
Pocillopora_meandrina_HIv1___Sc0000000:7028932-7029345	Cluster_108	N	2	9	4	71	21
Pocillopora_meandrina_HIv1___Sc0000000:7029852-7030270	Cluster_109	N	808	1152	880	749	1078
Pocillopora_meandrina_HIv1___Sc0000000:7039343-7040274	Cluster_110	N	390	745	486	731	1522
Pocillopora_meandrina_HIv1___Sc0000000:7040841-7041265	Cluster_111	N	27	54	37	51	75
Pocillopora_meandrina_HIv1___Sc0000000:7041283-7041776	Cluster_112	N	616	1128	782	1725	2495
Pocillopora_meandrina_HIv1___Sc0000000:7041807-7042290	Cluster_113	N	510	542	526	558	1174
Pocillopora_meandrina_HIv1___Sc0000000:7042332-7042805	Cluster_114	N	79	154	121	160	131
Pocillopora_meandrina_HIv1___Sc0000000:7045245-7045661	Cluster_115	N	10	6	15	97	307
Pocillopora_meandrina_HIv1___Sc0000000:7100067-7100477	Cluster_116	N	17	95	23	53	127
Pocillopora_meandrina_HIv1___Sc0000000:7205683-7206107	Cluster_117	N	421	150	170	165	98
Pocillopora_meandrina_HIv1___Sc0000000:7584506-7585242	Cluster_118	N	763	339	1356	1374	63
Pocillopora_meandrina_HIv1___Sc0000000:7586368-7586860	Cluster_119	N	183	53	132	161	13
Pocillopora_meandrina_HIv1___Sc0000000:7587279-7588109	Cluster_120	N	196	44	77	58	14
Pocillopora_meandrina_HIv1___Sc0000000:7588431-7588910	Cluster_121	N	146	68	35	33	31
Pocillopora_meandrina_HIv1___Sc0000000:7588994-7589421	Cluster_122	N	104	12	21	9	4
Pocillopora_meandrina_HIv1___Sc0000000:7590291-7592205	Cluster_123	N	1108	296	862	931	195
Pocillopora_meandrina_HIv1___Sc0000000:7592666-7593548	Cluster_124	N	1184	396	1565	1272	202
Pocillopora_meandrina_HIv1___Sc0000000:7593750-7594799	Cluster_125	N	710	383	1975	1647	117
Pocillopora_meandrina_HIv1___Sc0000000:7594848-7595397	Cluster_126	N	1231	292	1342	1230	149
Pocillopora_meandrina_HIv1___Sc0000000:7596727-7597157	Cluster_127	N	819	22	0	2	62
Pocillopora_meandrina_HIv1___Sc0000000:7598683-7600443	Cluster_128	N	1512	405	2	1	269
Pocillopora_meandrina_HIv1___Sc0000000:7600923-7601349	Cluster_129	N	95	32	0	1	19
Pocillopora_meandrina_HIv1___Sc0000000:7601404-7602137	Cluster_130	N	506	545	0	0	126
Pocillopora_meandrina_HIv1___Sc0000000:7609392-7609807	Cluster_131	N	21	3	30	47	8
Pocillopora_meandrina_HIv1___Sc0000000:7656753-7658490	Cluster_132	N	682	454	720	635	278
Pocillopora_meandrina_HIv1___Sc0000000:7697508-7697937	Cluster_133	N	0	0	0	1	345
Pocillopora_meandrina_HIv1___Sc0000000:7920515-7920932	Cluster_134	N	37	251	198	162	1080
Pocillopora_meandrina_HIv1___Sc0000000:8103238-8103666	Cluster_135	N	57	12	93	55	51
Pocillopora_meandrina_HIv1___Sc0000000:8155944-8156371	Cluster_136	N	1	1	89	1	1
Pocillopora_meandrina_HIv1___Sc0000000:8310086-8310514	Cluster_137	N	163	20	0	17	1
Pocillopora_meandrina_HIv1___Sc0000000:8311015-8312237	Cluster_138	N	492	23	153	807	62
Pocillopora_meandrina_HIv1___Sc0000000:8426708-8427191	Cluster_139	N	28	31	26	64	248
Pocillopora_meandrina_HIv1___Sc0000000:8427562-8428099	Cluster_140	N	158	123	142	185	240
Pocillopora_meandrina_HIv1___Sc0000000:8453408-8453822	Cluster_141	N	2	0	4	4	108
Pocillopora_meandrina_HIv1___Sc0000000:8499615-8500030	Cluster_142	N	8	0	2	65	22
Pocillopora_meandrina_HIv1___Sc0000000:8608677-8609097	Cluster_143	N	6	22	62	306	4
Pocillopora_meandrina_HIv1___Sc0000000:8611591-8612003	Cluster_144	N	6	14	11	24	65
Pocillopora_meandrina_HIv1___Sc0000000:8734505-8734916	Cluster_145	N	7	31	13	59	127
Pocillopora_meandrina_HIv1___Sc0000000:8743608-8744021	Cluster_146	N	17	46	26	72	141
Pocillopora_meandrina_HIv1___Sc0000000:8940693-8941183	Cluster_147	N	825	167	547	222	212
Pocillopora_meandrina_HIv1___Sc0000000:9094812-9095227	Cluster_148	N	8	36	17	69	383
Pocillopora_meandrina_HIv1___Sc0000000:9171916-9172332	Cluster_149	N	15	32	16	13	45
Pocillopora_meandrina_HIv1___Sc0000000:9256539-9256969	Cluster_150	N	290	102	112	37	71
Pocillopora_meandrina_HIv1___Sc0000000:9257154-9257837	Cluster_151	N	3851	317	172	67	437
Pocillopora_meandrina_HIv1___Sc0000000:9265055-9265482	Cluster_152	N	13	3	0	267	1
Pocillopora_meandrina_HIv1___Sc0000000:9273662-9274078	Cluster_153	N	1	0	0	95	0
Pocillopora_meandrina_HIv1___Sc0000000:9279901-9280374	Cluster_154	N	69	139	62	121	142
Pocillopora_meandrina_HIv1___Sc0000000:9284299-9284771	Cluster_155	N	87	133	100	73	171
Pocillopora_meandrina_HIv1___Sc0000000:9285767-9286194	Cluster_156	N	8	9	6	162	120
Pocillopora_meandrina_HIv1___Sc0000000:9286599-9287030	Cluster_157	N	67	236	136	174	283
Pocillopora_meandrina_HIv1___Sc0000000:9425068-9425482	Cluster_158	N	8	42	10	36	23
Pocillopora_meandrina_HIv1___Sc0000000:9440858-9441690	Cluster_159	N	11002	29385	10471	19939	82168
Pocillopora_meandrina_HIv1___Sc0000000:9460512-9460942	Cluster_160	N	272	1	7	593	0
Pocillopora_meandrina_HIv1___Sc0000000:9465183-9465611	Cluster_161	N	174	86	152	108	82
Pocillopora_meandrina_HIv1___Sc0000000:9797403-9798674	Cluster_162	N	9	241	2747	203	222
Pocillopora_meandrina_HIv1___Sc0000000:9799659-9800082	Cluster_163	N	0	0	61	0	54
Pocillopora_meandrina_HIv1___Sc0000000:9800682-9801089	Cluster_164	N	1	5	46	44	4
Pocillopora_meandrina_HIv1___Sc0000000:9803050-9803772	Cluster_165	N	20	0	309	1	31
Pocillopora_meandrina_HIv1___Sc0000000:9828155-9828582	Cluster_166	N	4	0	4	133	0
Pocillopora_meandrina_HIv1___Sc0000000:9842833-9843262	Cluster_167	N	3	0	139	1	0
Pocillopora_meandrina_HIv1___Sc0000000:9853689-9855999	Cluster_168	N	4817	2218	2941	5120	1177
Pocillopora_meandrina_HIv1___Sc0000000:9856063-9856639	Cluster_169	N	305	341	222	261	72
Pocillopora_meandrina_HIv1___Sc0000000:9857383-9857809	Cluster_170	N	14	65	22	10	1
Pocillopora_meandrina_HIv1___Sc0000000:9878202-9878692	Cluster_171	N	125	8	966	33	55
Pocillopora_meandrina_HIv1___Sc0000000:9884241-9884668	Cluster_172	N	64	30	49	16	0
Pocillopora_meandrina_HIv1___Sc0000000:9887131-9887541	Cluster_173	N	68	11	93	19	22
Pocillopora_meandrina_HIv1___Sc0000000:9889894-9890324	Cluster_174	N	2	1	131	0	0
Pocillopora_meandrina_HIv1___Sc0000000:9898243-9898662	Cluster_175	N	18	36	1	105	12
Pocillopora_meandrina_HIv1___Sc0000000:9904284-9904712	Cluster_176	N	7	27	330	22	13
Pocillopora_meandrina_HIv1___Sc0000000:9912312-9913768	Cluster_177	N	254	219	73	867	57
Pocillopora_meandrina_HIv1___Sc0000000:9920127-9920554	Cluster_178	N	62	0	18	3	7
Pocillopora_meandrina_HIv1___Sc0000000:9924478-9924909	Cluster_179	N	1	16	1	93	278
Pocillopora_meandrina_HIv1___Sc0000000:9931068-9932750	Cluster_180	N	791	254	450	421	120
Pocillopora_meandrina_HIv1___Sc0000000:9933750-9935597	Cluster_181	N	6532	2498	2580	4760	2126
Pocillopora_meandrina_HIv1___Sc0000000:10012374-10012789	Cluster_182	N	43	21	21	5	4
Pocillopora_meandrina_HIv1___Sc0000000:10052622-10053049	Cluster_183	N	4	36	72	99	172
Pocillopora_meandrina_HIv1___Sc0000000:10128424-10128839	Cluster_184	N	6	5	1	7	62
Pocillopora_meandrina_HIv1___Sc0000000:10181669-10182095	Cluster_185	N	31	107	0	15	5
Pocillopora_meandrina_HIv1___Sc0000000:10361747-10362173	Cluster_186	N	1	9	6	126	37
Pocillopora_meandrina_HIv1___Sc0000000:10377202-10381486	Cluster_187	N	1179	2270	4156	4298	608
Pocillopora_meandrina_HIv1___Sc0000000:10424158-10424581	Cluster_188	N	0	129	0	0	1
Pocillopora_meandrina_HIv1___Sc0000000:10531083-10531491	Cluster_189	N	46	23	26	32	14
Pocillopora_meandrina_HIv1___Sc0000000:10531934-10532625	Cluster_190	N	146	18	37	248	9
Pocillopora_meandrina_HIv1___Sc0000000:10532826-10533252	Cluster_191	N	40	12	11	59	8
Pocillopora_meandrina_HIv1___Sc0000000:10534042-10534763	Cluster_192	N	82	47	147	28	7
Pocillopora_meandrina_HIv1___Sc0000000:10540694-10541121	Cluster_193	N	0	1	0	83	0
Pocillopora_meandrina_HIv1___Sc0000000:10543779-10544200	Cluster_194	N	56	81	89	1	1
Pocillopora_meandrina_HIv1___Sc0000000:10544222-10544652	Cluster_195	N	43	142	124	9	6
Pocillopora_meandrina_HIv1___Sc0000000:10553046-10553473	Cluster_196	N	3	0	151	11	2
Pocillopora_meandrina_HIv1___Sc0000000:10685159-10685840	Cluster_197	N	337	60	95	234	24
Pocillopora_meandrina_HIv1___Sc0000000:10686623-10687051	Cluster_198	N	71	2	0	290	0
Pocillopora_meandrina_HIv1___Sc0000000:10700190-10700605	Cluster_199	N	8	19	11	145	605
Pocillopora_meandrina_HIv1___Sc0000000:10707707-10708135	Cluster_200	N	5	18	177	70	0
Pocillopora_meandrina_HIv1___Sc0000000:10714506-10714951	Cluster_201	N	153	40	94	219	52
Pocillopora_meandrina_HIv1___Sc0000000:10734393-10734815	Cluster_202	N	0	0	1	76	0
Pocillopora_meandrina_HIv1___Sc0000000:10786268-10787808	Cluster_203	N	365	78	1202	572	910
Pocillopora_meandrina_HIv1___Sc0000000:10788018-10788448	Cluster_204	N	530	8	74	65	31
Pocillopora_meandrina_HIv1___Sc0000000:10789452-10790491	Cluster_205	N	192	42	241	233	100
Pocillopora_meandrina_HIv1___Sc0000000:10790631-10791624	Cluster_206	N	324	113	236	365	119
Pocillopora_meandrina_HIv1___Sc0000000:10791743-10792235	Cluster_207	N	139	34	173	75	67
Pocillopora_meandrina_HIv1___Sc0000000:10804971-10805394	Cluster_208	N	51	6	28	32	2
Pocillopora_meandrina_HIv1___Sc0000000:10806848-10808466	Cluster_209	N	3163	149	15	740	108
Pocillopora_meandrina_HIv1___Sc0000000:10811915-10812348	Cluster_210	N	227	63	7	2	39
Pocillopora_meandrina_HIv1___Sc0000000:10812968-10813461	Cluster_211	N	535	19	5274	13	4
Pocillopora_meandrina_HIv1___Sc0000000:10856559-10857207	Cluster_212	N	652	14	590	0	2
Pocillopora_meandrina_HIv1___Sc0000000:10906504-10906934	Cluster_213	N	15	423	200	1	3
Pocillopora_meandrina_HIv1___Sc0000000:10929261-10929684	Cluster_214	N	4	154	0	1	0
Pocillopora_meandrina_HIv1___Sc0000000:10986267-10986682	Cluster_215	N	43	22	14	13	11
Pocillopora_meandrina_HIv1___Sc0000000:11008650-11009079	Cluster_216	N	166	34	63	34	25
Pocillopora_meandrina_HIv1___Sc0000000:11039301-11039720	Cluster_217	N	0	100	1	70	0
Pocillopora_meandrina_HIv1___Sc0000000:11041565-11042739	Cluster_218	N	229	87	167	413	42
Pocillopora_meandrina_HIv1___Sc0000000:11043025-11043455	Cluster_219	N	94	28	70	264	17
Pocillopora_meandrina_HIv1___Sc0000000:11043472-11043898	Cluster_220	N	11	16	62	74	8
Pocillopora_meandrina_HIv1___Sc0000000:11043908-11044443	Cluster_221	N	165	56	80	107	20
Pocillopora_meandrina_HIv1___Sc0000000:11044450-11046447	Cluster_222	N	1598	531	1205	1061	487
Pocillopora_meandrina_HIv1___Sc0000000:11062624-11063039	Cluster_223	N	21	60	3	77	97
Pocillopora_meandrina_HIv1___Sc0000000:11067582-11068009	Cluster_224	N	1	0	3	152	2
Pocillopora_meandrina_HIv1___Sc0000000:11068926-11069353	Cluster_225	N	168	3	11	7	6
Pocillopora_meandrina_HIv1___Sc0000000:11070468-11070893	Cluster_226	N	34	8	1	107	4
Pocillopora_meandrina_HIv1___Sc0000000:11071238-11071733	Cluster_227	N	120	369	1	0	9
Pocillopora_meandrina_HIv1___Sc0000000:11077717-11078147	Cluster_228	N	109	0	81	16	19
Pocillopora_meandrina_HIv1___Sc0000000:11489850-11490268	Cluster_229	N	3	29	13	36	3
Pocillopora_meandrina_HIv1___Sc0000000:11542819-11543245	Cluster_230	N	54	4	83	72	20
Pocillopora_meandrina_HIv1___Sc0000000:11543483-11544140	Cluster_231	N	429	56	245	197	158
Pocillopora_meandrina_HIv1___Sc0000000:11544360-11545805	Cluster_232	N	209	216	149	735	296
Pocillopora_meandrina_HIv1___Sc0000000:11552655-11555295	Cluster_233	N	1479	541	1867	4776	139
Pocillopora_meandrina_HIv1___Sc0000000:11557735-11558202	Cluster_234	N	12	50	18	143	6
Pocillopora_meandrina_HIv1___Sc0000000:11558690-11559293	Cluster_235	N	215	30	116	162	48
Pocillopora_meandrina_HIv1___Sc0000000:11559941-11560371	Cluster_236	N	199	18	85	57	133
Pocillopora_meandrina_HIv1___Sc0000000:11561261-11561727	Cluster_237	N	228	36	88	88	85
Pocillopora_meandrina_HIv1___Sc0000000:11566072-11566658	Cluster_238	N	190	57	148	177	36
Pocillopora_meandrina_HIv1___Sc0000000:11566681-11567857	Cluster_239	N	699	329	437	1396	266
Pocillopora_meandrina_HIv1___Sc0000000:11568059-11570378	Cluster_240	N	7227	10424	10731	10606	4878
Pocillopora_meandrina_HIv1___Sc0000000:11574178-11574789	Cluster_241	N	204	6	56	452	44
Pocillopora_meandrina_HIv1___Sc0000000:11576455-11577454	Cluster_242	N	429	33	65	495	281
Pocillopora_meandrina_HIv1___Sc0000000:11580662-11581090	Cluster_243	N	0	186	0	1	0
Pocillopora_meandrina_HIv1___Sc0000000:11583911-11584333	Cluster_244	N	5	11	24	31	18
Pocillopora_meandrina_HIv1___Sc0000000:11584630-11585077	Cluster_245	N	69	23	263	22	5
Pocillopora_meandrina_HIv1___Sc0000000:11587332-11587855	Cluster_246	N	438	11	46	44	6
Pocillopora_meandrina_HIv1___Sc0000000:11588495-11588920	Cluster_247	N	113	4	53	139	23
Pocillopora_meandrina_HIv1___Sc0000000:11589851-11590275	Cluster_248	N	172	3	3	22	0
Pocillopora_meandrina_HIv1___Sc0000000:11590462-11591138	Cluster_249	N	981	19	85	59	43
Pocillopora_meandrina_HIv1___Sc0000000:11594639-11595517	Cluster_250	N	1374	440	1362	882	119
Pocillopora_meandrina_HIv1___Sc0000000:11597441-11597856	Cluster_251	N	111	29	22	60	6
Pocillopora_meandrina_HIv1___Sc0000000:11610279-11610705	Cluster_252	N	36	51	28	101	7
Pocillopora_meandrina_HIv1___Sc0000000:11611076-11611579	Cluster_253	N	161	45	155	145	135
Pocillopora_meandrina_HIv1___Sc0000000:11612226-11612654	Cluster_254	N	28	228	2	9	1
Pocillopora_meandrina_HIv1___Sc0000000:11615894-11616321	Cluster_255	N	50	61	31	83	43
Pocillopora_meandrina_HIv1___Sc0000000:11619882-11620712	Cluster_256	N	684	429	2652	1788	4
Pocillopora_meandrina_HIv1___Sc0000000:11630400-11631221	Cluster_257	N	170	116	65	128	258
Pocillopora_meandrina_HIv1___Sc0000000:11635028-11636324	Cluster_258	N	1725	2711	4	1734	100
Pocillopora_meandrina_HIv1___Sc0000000:11790564-11790980	Cluster_259	N	53	21	53	36	14
Pocillopora_meandrina_HIv1___Sc0000000:11794310-11794869	Cluster_260	N	109	361	466	2	9
Pocillopora_meandrina_HIv1___Sc0000000:11798273-11798686	Cluster_261	N	49	10	12	25	24
Pocillopora_meandrina_HIv1___Sc0000000:11804184-11804611	Cluster_262	N	67	18	57	16	22
Pocillopora_meandrina_HIv1___Sc0000000:11812161-11812593	Cluster_263	N	115	20	55	17	20
Pocillopora_meandrina_HIv1___Sc0000000:11813263-11815282	Cluster_264	N	187	1679	1605	9	533
