# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-a" "Apul_lncRNA_for_counts.gtf" "-t" "lncRNA" "-g" "gene_id" "-o" "Apul_lncRNA_counts_matrix.txt" "RNA-ACR-140-S1-TP2.bam" "RNA-ACR-145-S1-TP2.bam" "RNA-ACR-150-S1-TP2.bam" "RNA-ACR-173-S1-TP2.bam" "RNA-ACR-178-S1-TP2.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA-ACR-140-S1-TP2.bam	RNA-ACR-145-S1-TP2.bam	RNA-ACR-150-S1-TP2.bam	RNA-ACR-173-S1-TP2.bam	RNA-ACR-178-S1-TP2.bam
lncRNA_030	NC_058066.1	4570608	4571319	+	712	0	6	0	16	5
lncRNA_031	NC_058066.1	4596732	4597711	+	980	12	8	1	5	5
lncRNA_032	NC_058066.1	6071438	6071890	+	453	191	205	233	294	301
lncRNA_033	NC_058066.1	6456389	6463708	+	7320	0	0	0	0	0
lncRNA_034	NC_058066.1	6459579	6473989	+	14411	0	0	0	0	0
lncRNA_035	NC_058066.1	6466327	6473989	+	7663	0	0	0	0	0
lncRNA_036	NC_058066.1	6489464	6490243	+	780	6	0	4	1	7
lncRNA_037	NC_058066.1	6494385	6502436	+	8052	0	0	4	0	34
lncRNA_038	NC_058066.1	6494906	6502436	+	7531	0	0	0	0	0
lncRNA_039	NC_058066.1	6494927	6502436	+	7510	0	0	0	0	0
lncRNA_040	NC_058066.1	6513667	6518424	+	4758	0	0	0	0	0
lncRNA_041	NC_058066.1	6513667	6521112	+	7446	0	0	10	0	13
lncRNA_042	NC_058066.1	6513724	6518424	+	4701	0	0	0	0	0
lncRNA_043	NC_058066.1	7007322	7014761	+	7440	0	6	10	85	59
lncRNA_044	NC_058066.1	7120544	7125915	+	5372	0	0	8	0	45
lncRNA_045	NC_058066.1	7180784	7182040	+	1257	33	14	24	63	122
lncRNA_046	NC_058066.1	7765329	7765996	+	668	4	2	13	4	44
lncRNA_047	NC_058066.1	8335399	8341977	+	6579	50	46	63	39	33
lncRNA_048	NC_058066.1	8532417	8533774	+	1358	274	402	127	548	434
lncRNA_049	NC_058066.1	8961785	8962115	+	331	0	8	1	2	4
lncRNA_050	NC_058066.1	10403251	10404798	+	1548	348	236	341	92	143
lncRNA_051	NC_058066.1	11164998	11165474	+	477	29	0	18	0	22
lncRNA_052	NC_058066.1	11321636	11321966	+	331	0	0	27	6	5
lncRNA_053	NC_058066.1	11905017	11905287	+	271	23	3	12	20	15
lncRNA_054	NC_058066.1	12368411	12371669	+	3259	5	1	46	65	8
lncRNA_055	NC_058066.1	13883117	13883715	+	599	1	20	7	47	0
lncRNA_056	NC_058066.1	14629765	14630854	+	1090	0	2	0	0	0
lncRNA_057	NC_058066.1	15424083	15425180	+	1098	708	670	288	257	361
lncRNA_058	NC_058066.1	16615155	16616171	+	1017	188	276	172	143	77
lncRNA_059	NC_058066.1	16815881	16816170	+	290	24	12	28	27	16
lncRNA_060	NC_058066.1	16829807	16830415	+	609	18	13	6	16	3
lncRNA_061	NC_058066.1	16830671	16831094	+	424	4	15	17	71	0
lncRNA_062	NC_058066.1	16917949	16922069	+	4121	2	0	0	0	1
lncRNA_063	NC_058066.1	16918193	16922950	+	4758	37	0	21	1	78
lncRNA_064	NC_058066.1	16923801	16924207	+	407	1	0	12	0	27
lncRNA_065	NC_058066.1	16924570	16925567	+	998	0	0	0	1	44
lncRNA_066	NC_058066.1	16924957	16925567	+	611	0	0	0	0	0
lncRNA_067	NC_058066.1	17109220	17117165	+	7946	2	1	0	1	20
lncRNA_068	NC_058066.1	17113008	17131036	+	18029	0	0	0	0	0
lncRNA_069	NC_058066.1	17110303	17132713	+	22411	0	0	0	0	0
lncRNA_070	NC_058066.1	17122383	17124972	+	2590	0	0	0	0	0
lncRNA_071	NC_058066.1	17125998	17130270	+	4273	0	0	0	0	0
lncRNA_072	NC_058066.1	17402839	17403777	+	939	0	0	0	0	0
lncRNA_073	NC_058066.1	17402847	17403777	+	931	0	0	0	0	0
lncRNA_074	NC_058066.1	17749074	17749807	+	734	44	0	11	0	61
lncRNA_075	NC_058066.1	17749965	17750560	+	596	0	0	0	0	0
lncRNA_076	NC_058066.1	17749975	17751229	+	1255	0	23	10	28	40
lncRNA_077	NC_058066.1	17994435	17995394	+	960	36	65	126	236	97
lncRNA_078	NC_058066.1	18204633	18205994	+	1362	0	0	0	0	0
lncRNA_079	NC_058066.1	18204633	18205994	+	1362	0	0	0	0	0
lncRNA_080	NC_058066.1	18707841	18717906	+	10066	0	0	0	0	0
lncRNA_081	NC_058066.1	18707855	18711503	+	3649	0	0	0	0	0
lncRNA_082	NC_058066.1	18707862	18711985	+	4124	0	0	0	0	0
lncRNA_083	NC_058066.1	18707870	18727186	+	19317	191	188	194	305	269
lncRNA_084	NC_058066.1	18780483	18780757	+	275	2	0	0	0	41
lncRNA_085	NC_058066.1	18803234	18803633	+	400	19	36	0	18	36
lncRNA_086	NC_058066.1	19857404	19860837	+	3434	47	11	10	82	35
lncRNA_087	NC_058066.1	19904646	19905909	+	1264	1	2	0	0	25
lncRNA_088	NC_058066.1	19946067	19947102	+	1036	40	9	27	11	183
lncRNA_089	NC_058066.1	20101091	20101942	+	852	0	0	0	0	0
lncRNA_090	NC_058066.1	20101091	20101942	+	852	0	0	0	0	0
lncRNA_091	NC_058066.1	21402776	21405941	+	3166	0	0	0	0	0
lncRNA_092	NC_058066.1	21402776	21405941	+	3166	0	0	0	0	0
lncRNA_093	NC_058066.1	21402776	21407974	+	5199	0	0	0	0	0
lncRNA_094	NC_058066.1	21402776	21410385	+	7610	0	0	0	0	0
lncRNA_095	NC_058066.1	21402776	21410385	+	7610	0	0	0	0	0
lncRNA_096	NC_058066.1	21402776	21410385	+	7610	0	0	0	0	0
lncRNA_097	NC_058066.1	21402776	21410385	+	7610	0	0	0	0	0
lncRNA_098	NC_058066.1	21404013	21405941	+	1929	0	0	0	0	0
lncRNA_099	NC_058066.1	21404013	21405941	+	1929	0	0	0	0	0
lncRNA_100	NC_058066.1	21404013	21407974	+	3962	0	0	0	0	0
lncRNA_101	NC_058066.1	21404013	21407974	+	3962	0	0	0	0	0
lncRNA_102	NC_058066.1	21404013	21407974	+	3962	0	0	0	0	0
lncRNA_103	NC_058066.1	21404013	21407974	+	3962	0	0	0	0	0
lncRNA_104	NC_058066.1	21404013	21407974	+	3962	0	0	0	0	0
lncRNA_105	NC_058066.1	21404013	21407974	+	3962	0	0	0	0	0
lncRNA_106	NC_058066.1	21404013	21407974	+	3962	0	0	0	0	0
lncRNA_107	NC_058066.1	21404013	21407974	+	3962	0	0	0	0	0
lncRNA_108	NC_058066.1	21404013	21407974	+	3962	0	0	0	0	0
lncRNA_109	NC_058066.1	21404013	21407974	+	3962	0	0	0	0	0
lncRNA_110	NC_058066.1	21404013	21407974	+	3962	0	0	0	0	0
lncRNA_111	NC_058066.1	21404013	21407974	+	3962	0	0	0	0	0
lncRNA_112	NC_058066.1	21794252	21797435	+	3184	19	68	38	160	155
lncRNA_113	NC_058066.1	21959130	21960018	+	889	5	15	4	0	0
lncRNA_114	NC_058066.1	21960068	21961993	+	1926	23	6	24	22	15
lncRNA_115	NC_058066.1	22012346	22016185	+	3840	38	5	76	21	0
lncRNA_116	NC_058066.1	23817259	23817707	+	449	38	1	0	0	21
lncRNA_117	NC_058066.1	23936629	23938670	+	2042	0	0	0	0	0
lncRNA_118	NC_058066.1	23936633	23938670	+	2038	0	0	0	0	0
lncRNA_119	NC_058066.1	25316573	25317076	+	504	0	14	12	3	7
lncRNA_120	NC_058066.1	25622023	25626089	+	4067	0	0	0	0	0
lncRNA_121	NC_058066.1	26703035	26705087	+	2053	1	6	39	4	133
lncRNA_122	NC_058066.1	26849394	26849878	+	485	21	0	12	2	101
lncRNA_123	NC_058066.1	26853503	26854220	+	718	6	10	0	0	41
lncRNA_124	NC_058066.1	27222145	27223004	+	860	10	103	3	186	249
lncRNA_125	NC_058066.1	27223091	27223508	+	418	0	0	0	1	0
lncRNA_126	NC_058066.1	27466619	27467508	+	890	2	5	0	2	61
lncRNA_127	NC_058066.1	28249820	28250800	+	981	10	0	24	32	49
lncRNA_128	NC_058066.1	28787613	28788545	+	933	101	25	3	25	10
lncRNA_129	NC_058066.1	28971051	28971847	+	797	460	42	26	125	10
lncRNA_130	NC_058066.1	29122814	29124331	+	1518	68	25	16	27	8
lncRNA_131	NC_058066.1	29248879	29249349	+	471	37	0	0	0	0
lncRNA_132	NC_058066.1	29637946	29638735	+	790	105	15	43	141	85
lncRNA_133	NC_058066.1	29673282	29674278	+	997	74	0	96	2	195
lncRNA_134	NC_058066.1	30785770	30787125	+	1356	29	78	27	6	14
lncRNA_135	NC_058066.1	31835518	31835845	+	328	28	49	3	5	29
lncRNA_136	NC_058066.1	32268933	32269152	+	220	7	67	6	0	13
lncRNA_137	NC_058066.1	32416988	32417345	+	358	0	0	0	0	0
lncRNA_138	NC_058066.1	32417051	32417345	+	295	0	0	0	0	0
lncRNA_139	NC_058066.1	33417928	33420127	+	2200	1139	969	816	1034	654
lncRNA_140	NC_058066.1	33460873	33466095	+	5223	0	0	0	0	0
lncRNA_141	NC_058066.1	33464497	33466095	+	1599	0	0	0	0	0
lncRNA_142	NC_058066.1	33655946	33657156	+	1211	30	7	11	0	35
lncRNA_143	NC_058066.1	33840548	33840812	+	265	49	36	4	0	4
lncRNA_144	NC_058066.1	33860799	33865968	+	5170	0	0	0	0	0
lncRNA_145	NC_058066.1	33860817	33866300	+	5484	6	0	0	0	0
lncRNA_146	NC_058066.1	34228743	34231102	+	2360	1312	572	534	791	584
lncRNA_147	NC_058066.1	34877276	34879169	+	1894	142	54	60	61	2
lncRNA_148	NC_058066.1	35556069	35556654	+	586	11	0	11	6	89
lncRNA_149	NC_058066.1	36554490	36554962	+	473	8	0	17	0	82
lncRNA_150	NC_058066.1	36557297	36559153	+	1857	0	0	0	0	0
lncRNA_151	NC_058066.1	36557353	36559153	+	1801	0	0	0	0	0
lncRNA_152	NC_058066.1	37707409	37709169	+	1761	53	31	20	51	50
lncRNA_153	NC_058066.1	38689905	38690127	+	223	0	1	3	18	7
lncRNA_154	NC_058066.1	38779085	38786760	+	7676	151	49	45	95	109
lncRNA_155	NC_058066.1	39005954	39006855	+	902	75	24	10	29	56
lncRNA_156	NC_058066.1	39242907	39243760	+	854	11	14	55	0	0
lncRNA_157	NC_058066.1	39244100	39244355	+	256	33	12	4	18	6
lncRNA_158	NC_058066.1	39277468	39279487	+	2020	79	747	194	14	279
lncRNA_159	NC_058066.1	1132236	1134678	+	2443	79	135	65	187	304
lncRNA_160	NC_058066.1	1425689	1426961	+	1273	0	0	0	0	4
lncRNA_161	NC_058066.1	2381566	2385046	+	3481	2	363	210	1	21
lncRNA_162	NC_058066.1	2592051	2593137	+	1087	18	37	31	91	87
lncRNA_163	NC_058066.1	3289300	3291773	+	2474	50	27	13	145	30
lncRNA_164	NC_058066.1	3289318	3291152	+	1835	0	0	0	0	0
lncRNA_165	NC_058066.1	3843080	3843529	+	450	2	21	0	35	6
lncRNA_166	NC_058066.1	3843999	3844491	+	493	8	53	12	104	68
lncRNA_167	NC_058066.1	3848152	3848628	+	477	0	60	1	99	0
lncRNA_168	NC_058066.1	4608759	4609250	+	492	38	100	23	62	25
lncRNA_169	NC_058066.1	4740783	4741461	+	679	25	13	22	15	26
lncRNA_170	NC_058066.1	5081800	5085716	+	3917	34	2	0	2	4
lncRNA_171	NC_058066.1	6454470	6461618	+	7149	8	0	5	3	8
lncRNA_172	NC_058066.1	6457586	6472895	+	15310	0	0	0	0	0
lncRNA_173	NC_058066.1	6457955	6472895	+	14941	0	0	0	0	0
lncRNA_174	NC_058066.1	6457955	6472895	+	14941	0	0	0	0	0
lncRNA_175	NC_058066.1	6457955	6472895	+	14941	0	0	0	0	0
lncRNA_176	NC_058066.1	6457955	6474622	+	16668	7	0	16	0	36
lncRNA_177	NC_058066.1	6457957	6472895	+	14939	0	0	0	0	0
lncRNA_178	NC_058066.1	6464853	6472460	+	7608	0	0	0	0	0
lncRNA_179	NC_058066.1	6490495	6491502	+	1008	10	0	1	12	4
lncRNA_180	NC_058066.1	6496996	6504378	+	7383	0	0	3	0	3
lncRNA_181	NC_058066.1	6555682	6558669	+	2988	19	49	53	26	107
lncRNA_182	NC_058066.1	6588736	6590948	+	2213	0	0	0	0	0
lncRNA_183	NC_058066.1	6588736	6591488	+	2753	1	5	0	1	6
lncRNA_184	NC_058066.1	6835863	6837209	+	1347	16	30	3	63	21
lncRNA_185	NC_058066.1	7039407	7040832	+	1426	67	30	34	71	76
lncRNA_186	NC_058066.1	7062476	7066057	+	3582	56	0	17	0	22
lncRNA_187	NC_058066.1	7787487	7787949	+	463	0	0	0	0	17
lncRNA_188	NC_058066.1	7798579	7800406	+	1828	0	2	44	10	85
lncRNA_189	NC_058066.1	7807859	7808061	+	203	3	3	10	0	13
lncRNA_190	NC_058066.1	7816566	7823741	+	7176	10	6	21	0	81
lncRNA_191	NC_058066.1	7826058	7826271	+	214	0	0	3	0	16
lncRNA_192	NC_058066.1	8301059	8302253	+	1195	0	12	22	91	0
lncRNA_193	NC_058066.1	8319551	8324236	+	4686	67	53	41	33	31
lncRNA_194	NC_058066.1	8515059	8528299	+	13241	64	8	189	16	108
lncRNA_195	NC_058066.1	8515069	8516636	+	1568	0	0	0	0	0
lncRNA_196	NC_058066.1	8522671	8528519	+	5849	0	0	0	0	0
lncRNA_197	NC_058066.1	8522686	8528519	+	5834	0	0	0	0	0
lncRNA_198	NC_058066.1	8523273	8524992	+	1720	0	0	0	0	0
lncRNA_199	NC_058066.1	8523273	8528299	+	5027	0	0	0	0	0
lncRNA_200	NC_058066.1	8523273	8528299	+	5027	0	0	0	0	0
lncRNA_201	NC_058066.1	8523273	8528299	+	5027	0	0	0	0	0
lncRNA_202	NC_058066.1	8524992	8527049	+	2058	0	0	0	0	0
lncRNA_203	NC_058066.1	8524992	8528299	+	3308	0	0	0	0	0
lncRNA_204	NC_058066.1	8771947	8780792	+	8846	2595	2670	1162	1354	634
lncRNA_205	NC_058066.1	8973103	8977686	+	4584	67	10	17	18	103
lncRNA_206	NC_058066.1	10191950	10192162	+	213	0	0	6	0	0
lncRNA_207	NC_058066.1	10298303	10300412	+	2110	92	52	18	35	141
lncRNA_208	NC_058066.1	10608759	10609807	+	1049	2	2	16	15	50
lncRNA_209	NC_058066.1	10875146	10876335	+	1190	317	174	149	208	307
lncRNA_210	NC_058066.1	11326910	11327288	+	379	9	8	5	11	6
lncRNA_211	NC_058066.1	11937211	11938150	+	940	4	0	5	9	63
lncRNA_212	NC_058066.1	13015611	13016583	+	973	56	55	67	3	11
lncRNA_213	NC_058066.1	14341584	14343282	+	1699	25	0	2	697	19
lncRNA_214	NC_058066.1	14590933	14604976	+	14044	30	53	114	121	240
lncRNA_215	NC_058066.1	16924956	16925814	+	859	0	0	0	0	7
lncRNA_216	NC_058066.1	17125870	17133840	+	7971	5	0	0	0	3
lncRNA_217	NC_058066.1	17128346	17132713	+	4368	0	0	0	0	0
lncRNA_218	NC_058066.1	17128457	17132713	+	4257	0	0	0	0	0
lncRNA_219	NC_058066.1	17736195	17737359	+	1165	56	2	16	12	0
lncRNA_220	NC_058066.1	17749975	17750546	+	572	0	0	0	0	0
lncRNA_221	NC_058066.1	18201514	18202346	+	833	22	8	1	123	67
lncRNA_222	NC_058066.1	18280315	18282170	+	1856	18	2	25	2	64
lncRNA_223	NC_058066.1	18417753	18419389	+	1637	60	2	0	41	0
lncRNA_224	NC_058066.1	18703537	18705068	+	1532	5	0	1	7	18
lncRNA_225	NC_058066.1	18703963	18705068	+	1106	0	0	0	0	0
lncRNA_226	NC_058066.1	18802151	18803273	+	1123	14	2	3	19	7
lncRNA_227	NC_058066.1	18953787	18954544	+	758	59	30	4	75	3
lncRNA_228	NC_058066.1	20213677	20217251	+	3575	1	0	0	0	0
lncRNA_229	NC_058066.1	20213850	20217251	+	3402	0	0	0	0	0
lncRNA_230	NC_058066.1	20217935	20218964	+	1030	6	0	8	4	0
lncRNA_231	NC_058066.1	20656303	20656732	+	430	10	0	15	0	76
lncRNA_232	NC_058066.1	21185449	21185724	+	276	0	0	21	1	17
lncRNA_233	NC_058066.1	21404158	21405778	+	1621	0	0	0	0	0
lncRNA_234	NC_058066.1	21404486	21405778	+	1293	0	0	0	0	0
lncRNA_235	NC_058066.1	21404486	21405778	+	1293	0	0	0	0	0
lncRNA_236	NC_058066.1	21404486	21408020	+	3535	0	0	0	0	0
lncRNA_237	NC_058066.1	21577001	21584356	+	7356	67	16	60	10	22
lncRNA_238	NC_058066.1	21869071	21872163	+	3093	2	1	3	8	2
lncRNA_239	NC_058066.1	21869683	21874563	+	4881	0	5	3	84	2
lncRNA_240	NC_058066.1	21873540	21876620	+	3081	0	0	0	0	0
lncRNA_241	NC_058066.1	21873540	21877622	+	4083	0	0	0	0	0
lncRNA_242	NC_058066.1	21873540	21877748	+	4209	0	0	0	0	0
lncRNA_243	NC_058066.1	21873846	21876620	+	2775	0	0	0	0	0
lncRNA_244	NC_058066.1	22016524	22017861	+	1338	61	0	85	12	0
lncRNA_245	NC_058066.1	22559813	22560113	+	301	4	14	0	16	4
lncRNA_246	NC_058066.1	23112569	23113099	+	531	0	9	3	5	6
lncRNA_247	NC_058066.1	24330461	24330777	+	317	2	0	2	0	33
lncRNA_248	NC_058066.1	24957293	24958651	+	1359	9	55	4	43	36
lncRNA_249	NC_058066.1	25266788	25270372	+	3585	31	30	7	38	7
lncRNA_250	NC_058066.1	25622014	25626089	+	4076	0	0	0	0	0
lncRNA_251	NC_058066.1	25888530	25890928	+	2399	445	320	49	375	128
lncRNA_252	NC_058066.1	25952371	25960018	+	7648	18	0	0	0	75
lncRNA_253	NC_058066.1	26417612	26417973	+	362	21	0	60	6	123
lncRNA_254	NC_058066.1	26639417	26645074	+	5658	0	0	8	7	97
lncRNA_255	NC_058066.1	26800783	26801011	+	229	9	0	6	0	31
lncRNA_256	NC_058066.1	26803406	26803819	+	414	4	0	3	0	22
lncRNA_257	NC_058066.1	26861741	26882196	+	20456	31	20	86	27	430
lncRNA_258	NC_058066.1	26928792	26930249	+	1458	9	0	22	0	209
lncRNA_259	NC_058066.1	27027092	27032888	+	5797	6	9	21	12	78
lncRNA_260	NC_058066.1	27215150	27215578	+	429	0	2	0	37	0
lncRNA_261	NC_058066.1	27508690	27509358	+	669	0	0	3	0	63
lncRNA_262	NC_058066.1	27526212	27526875	+	664	0	0	0	0	0
lncRNA_263	NC_058066.1	27526256	27526875	+	620	0	0	0	0	0
lncRNA_264	NC_058066.1	27730636	27731147	+	512	19	0	48	8	177
lncRNA_265	NC_058066.1	28439027	28439501	+	475	0	0	0	0	31
lncRNA_266	NC_058066.1	28992411	28994384	+	1974	147	7	33	96	111
lncRNA_267	NC_058066.1	29038745	29039041	+	297	31	0	1	3	0
lncRNA_268	NC_058066.1	29716068	29717755	+	1688	56	10	22	4	15
lncRNA_269	NC_058066.1	29848060	29850362	+	2303	5	170	1	82	80
lncRNA_270	NC_058066.1	29854062	29855337	+	1276	78	52	27	57	97
lncRNA_271	NC_058066.1	30110234	30111346	+	1113	15	2	32	6	197
lncRNA_272	NC_058066.1	30294826	30295598	+	773	0	0	3	3	2
lncRNA_273	NC_058066.1	30631670	30631878	+	209	0	0	0	0	0
lncRNA_274	NC_058066.1	31887255	31890064	+	2810	19	3	60	250	108
lncRNA_275	NC_058066.1	32507963	32508589	+	627	0	0	56	0	119
lncRNA_276	NC_058066.1	32590702	32592640	+	1939	59	49	23	21	1
lncRNA_277	NC_058066.1	32617408	32619132	+	1725	8	14	6	120	12
lncRNA_278	NC_058066.1	32693947	32695517	+	1571	10	2	50	0	81
lncRNA_279	NC_058066.1	32695106	32695517	+	412	0	0	0	0	0
lncRNA_280	NC_058066.1	32714800	32720650	+	5851	151	9	25	776	70
lncRNA_281	NC_058066.1	32748389	32748648	+	260	1	2	1	26	0
lncRNA_282	NC_058066.1	32768143	32783060	+	14918	1373	1981	1015	2506	1607
lncRNA_283	NC_058066.1	33460873	33466095	+	5223	0	0	0	0	0
lncRNA_284	NC_058066.1	33460877	33466095	+	5219	0	0	0	0	0
lncRNA_285	NC_058066.1	33815557	33816048	+	492	117	2	0	55	14
lncRNA_286	NC_058066.1	33859804	33865185	+	5382	0	0	1	0	0
lncRNA_287	NC_058066.1	33879628	33881434	+	1807	145	17	5	43	24
lncRNA_288	NC_058066.1	33902252	33905629	+	3378	109	53	0	63	87
lncRNA_289	NC_058066.1	33927097	33930255	+	3159	24	21	84	9	17
lncRNA_290	NC_058066.1	34379469	34381549	+	2081	593	13	2	439	4
lncRNA_291	NC_058066.1	35587803	35590241	+	2439	1818	675	741	601	529
lncRNA_292	NC_058066.1	35902346	35907340	+	4995	4	2	6	0	47
lncRNA_293	NC_058066.1	36066014	36069217	+	3204	13	4	7	17	30
lncRNA_294	NC_058066.1	36415596	36416555	+	960	17	43	11	24	32
lncRNA_295	NC_058066.1	36559046	36560292	+	1247	22	0	20	0	46
lncRNA_296	NC_058066.1	36560668	36562589	+	1922	9	0	13	4	46
lncRNA_297	NC_058066.1	37060873	37081473	+	20601	242	1	90	29	157
lncRNA_298	NC_058066.1	37725645	37725996	+	352	61	0	19	1	69
lncRNA_299	NC_058066.1	38386961	38387620	+	660	3	17	5	37	5
lncRNA_300	NC_058066.1	38407257	38408300	+	1044	17	26	0	52	20
lncRNA_301	NC_058066.1	393117	393357	+	241	9	11	0	6	15
lncRNA_302	NC_058066.1	574075	574816	+	742	2	0	0	0	42
lncRNA_303	NC_058066.1	852087	852315	+	229	0	0	10	0	0
lncRNA_304	NC_058066.1	853115	853820	+	706	6	0	3	0	50
lncRNA_305	NC_058066.1	946277	946580	+	304	0	0	0	0	18
lncRNA_306	NC_058066.1	1150406	1150996	+	591	40	8	20	18	63
lncRNA_307	NC_058066.1	1216365	1217158	+	794	68	25	72	16	267
lncRNA_308	NC_058066.1	1222776	1223915	+	1140	0	0	0	0	0
lncRNA_309	NC_058066.1	1244954	1246096	+	1143	0	8	0	5	116
lncRNA_310	NC_058066.1	1246861	1247214	+	354	0	0	1	0	260
lncRNA_311	NC_058066.1	1248962	1249794	+	833	0	0	0	0	59
lncRNA_312	NC_058066.1	1250568	1250871	+	304	0	0	4	0	24
lncRNA_313	NC_058066.1	1479681	1479929	+	249	8	2	0	3	5
lncRNA_314	NC_058066.1	1491264	1492268	+	1005	10	18	22	20	125
lncRNA_315	NC_058066.1	1509587	1509845	+	259	0	0	0	24	0
lncRNA_316	NC_058066.1	1536984	1538473	+	1490	18	3	78	0	161
lncRNA_317	NC_058066.1	1600036	1600496	+	461	5	0	26	0	29
lncRNA_318	NC_058066.1	1694975	1695236	+	262	18	15	15	11	7
lncRNA_319	NC_058066.1	1916540	1917065	+	526	9	0	7	0	27
lncRNA_320	NC_058066.1	2284930	2285224	+	295	22	0	4	0	8
lncRNA_321	NC_058066.1	2285575	2285779	+	205	0	0	12	0	1
lncRNA_322	NC_058066.1	2362797	2363712	+	916	0	26	44	2	0
lncRNA_323	NC_058066.1	2366592	2367605	+	1014	63	59	92	22	150
lncRNA_324	NC_058066.1	2373170	2373524	+	355	0	8	19	0	0
lncRNA_325	NC_058066.1	2376741	2377016	+	276	0	6	14	0	0
lncRNA_326	NC_058066.1	2377383	2377690	+	308	2	9	3	6	13
lncRNA_327	NC_058066.1	2380109	2380321	+	213	42	0	2	2	4
lncRNA_328	NC_058066.1	2438841	2439089	+	249	16	0	0	5	1
lncRNA_329	NC_058066.1	2480260	2480496	+	237	0	0	13	0	0
lncRNA_330	NC_058066.1	2682603	2682815	+	213	49	0	16	32	12
lncRNA_331	NC_058066.1	2833775	2834542	+	768	62	0	78	4	164
lncRNA_332	NC_058066.1	3111997	3112267	+	271	13	3	6	6	0
lncRNA_333	NC_058066.1	3162445	3163011	+	567	11	0	0	0	0
lncRNA_334	NC_058066.1	3238529	3238788	+	260	6	0	4	1	88
lncRNA_335	NC_058066.1	3424300	3424990	+	691	64	2	16	3	121
lncRNA_336	NC_058066.1	3438827	3439223	+	397	27	8	0	0	5
lncRNA_337	NC_058066.1	3443002	3443457	+	456	8	0	10	0	53
lncRNA_338	NC_058066.1	3536738	3537065	+	328	34	2	0	0	1
lncRNA_339	NC_058066.1	3542605	3542844	+	240	0	0	20	0	0
lncRNA_340	NC_058066.1	3575164	3575615	+	452	2	0	0	0	0
lncRNA_341	NC_058066.1	3620141	3620478	+	338	3	1	20	4	25
lncRNA_342	NC_058066.1	3710381	3711033	+	653	3	0	0	2	104
lncRNA_343	NC_058066.1	3743299	3745562	+	2264	96	19	46	44	68
lncRNA_344	NC_058066.1	3812298	3812566	+	269	7	0	0	2	13
lncRNA_345	NC_058066.1	3845796	3846026	+	231	0	9	0	42	0
