"14","LOC114953318","GO:0002121","inter-male aggressive behavior",20,1,0.04,0.01765,"Biological Processes","NC_058075.1","ShortStack","mature_miRNA",15908523,15908544,"+","ID=Cluster_8475.mature;Parent=Cluster_8475","NC_058075.1","Gnomon","mRNA",15909001,15929810,"-","ID=rna-XM_029329537.2;Parent=gene-LOC114953318;Dbxref=GeneID:114953318,Genbank:XM_029329537.2;Name=XM_029329537.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953318;model_evidence=Supporting evidence includes similarity to: 16 mRNAs%2C 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=substance-P receptor-like%2C transcript variant X1;transcript_id=XM_029329537.2",-457,0.05
"15","LOC114953318","GO:0007217","tachykinin receptor signaling pathway",36,1,0.06,0.03156,"Biological Processes","NC_058075.1","ShortStack","mature_miRNA",15908523,15908544,"+","ID=Cluster_8475.mature;Parent=Cluster_8475","NC_058075.1","Gnomon","mRNA",15909001,15929810,"-","ID=rna-XM_029329537.2;Parent=gene-LOC114953318;Dbxref=GeneID:114953318,Genbank:XM_029329537.2;Name=XM_029329537.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953318;model_evidence=Supporting evidence includes similarity to: 16 mRNAs%2C 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=substance-P receptor-like%2C transcript variant X1;transcript_id=XM_029329537.2",-457,0.0277777777777778
"16","LOC114953318","GO:0002121","inter-male aggressive behavior",20,1,0.04,0.01765,"Biological Processes","NC_058075.1","ShortStack","mature_miRNA",15908523,15908544,"+","ID=Cluster_8475.mature;Parent=Cluster_8475","NC_058075.1","Gnomon","mRNA",15909001,15929810,"-","ID=rna-XM_029329537.2;Parent=gene-LOC114953318;Dbxref=GeneID:114953318,Genbank:XM_029329537.2;Name=XM_029329537.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953318;model_evidence=Supporting evidence includes similarity to: 16 mRNAs%2C 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=substance-P receptor-like%2C transcript variant X1;transcript_id=XM_029329537.2",-457,0.05
"17","LOC114953318","GO:0007217","tachykinin receptor signaling pathway",36,1,0.06,0.03156,"Biological Processes","NC_058075.1","ShortStack","mature_miRNA",15908523,15908544,"+","ID=Cluster_8475.mature;Parent=Cluster_8475","NC_058075.1","Gnomon","mRNA",15909001,15929810,"-","ID=rna-XM_029329537.2;Parent=gene-LOC114953318;Dbxref=GeneID:114953318,Genbank:XM_029329537.2;Name=XM_029329537.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953318;model_evidence=Supporting evidence includes similarity to: 16 mRNAs%2C 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=substance-P receptor-like%2C transcript variant X1;transcript_id=XM_029329537.2",-457,0.0277777777777778
"18","LOC114953912","GO:0016562","protein import into peroxisome matrix, receptor rec...",7,1,0.01,0.00621,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",11856174,11856195,"+","ID=Cluster_6965.mature;Parent=Cluster_6965","NC_058073.1","Gnomon","mRNA",11846683,11872035,"+","ID=rna-XM_029330328.2;Parent=gene-LOC114953912;Dbxref=GeneID:114953912,Genbank:XM_029330328.2;Name=XM_029330328.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953912;model_evidence=Supporting evidence includes similarity to: 9 mRNAs%2C 13 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 78 samples with support for all annotated introns;product=peroxisome biogenesis factor 1-like%2C transcript variant X1;transcript_id=XM_029330328.2",21,0.142857142857143
"19","LOC114953912","GO:0016562","protein import into peroxisome matrix, receptor rec...",7,1,0.01,0.00621,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",11856174,11856195,"+","ID=Cluster_6965.mature;Parent=Cluster_6965","NC_058073.1","Gnomon","mRNA",11847842,11872035,"+","ID=rna-XM_029330329.2;Parent=gene-LOC114953912;Dbxref=GeneID:114953912,Genbank:XM_029330329.2;Name=XM_029330329.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953912;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns;product=peroxisome biogenesis factor 1-like%2C transcript variant X2;transcript_id=XM_029330329.2",21,0.142857142857143
"20","LOC114953912","GO:0043335","protein unfolding",2,1,0,0.00178,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",11856174,11856195,"+","ID=Cluster_6965.mature;Parent=Cluster_6965","NC_058073.1","Gnomon","mRNA",11846683,11872035,"+","ID=rna-XM_029330328.2;Parent=gene-LOC114953912;Dbxref=GeneID:114953912,Genbank:XM_029330328.2;Name=XM_029330328.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953912;model_evidence=Supporting evidence includes similarity to: 9 mRNAs%2C 13 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 78 samples with support for all annotated introns;product=peroxisome biogenesis factor 1-like%2C transcript variant X1;transcript_id=XM_029330328.2",21,0.5
"21","LOC114953912","GO:0043335","protein unfolding",2,1,0,0.00178,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",11856174,11856195,"+","ID=Cluster_6965.mature;Parent=Cluster_6965","NC_058073.1","Gnomon","mRNA",11847842,11872035,"+","ID=rna-XM_029330329.2;Parent=gene-LOC114953912;Dbxref=GeneID:114953912,Genbank:XM_029330329.2;Name=XM_029330329.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953912;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns;product=peroxisome biogenesis factor 1-like%2C transcript variant X2;transcript_id=XM_029330329.2",21,0.5
"22","LOC114953912","GO:0060152","microtubule-based peroxisome localization",3,1,0.01,0.00267,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",11856174,11856195,"+","ID=Cluster_6965.mature;Parent=Cluster_6965","NC_058073.1","Gnomon","mRNA",11846683,11872035,"+","ID=rna-XM_029330328.2;Parent=gene-LOC114953912;Dbxref=GeneID:114953912,Genbank:XM_029330328.2;Name=XM_029330328.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953912;model_evidence=Supporting evidence includes similarity to: 9 mRNAs%2C 13 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 78 samples with support for all annotated introns;product=peroxisome biogenesis factor 1-like%2C transcript variant X1;transcript_id=XM_029330328.2",21,0.333333333333333
"23","LOC114953912","GO:0060152","microtubule-based peroxisome localization",3,1,0.01,0.00267,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",11856174,11856195,"+","ID=Cluster_6965.mature;Parent=Cluster_6965","NC_058073.1","Gnomon","mRNA",11847842,11872035,"+","ID=rna-XM_029330329.2;Parent=gene-LOC114953912;Dbxref=GeneID:114953912,Genbank:XM_029330329.2;Name=XM_029330329.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953912;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns;product=peroxisome biogenesis factor 1-like%2C transcript variant X2;transcript_id=XM_029330329.2",21,0.333333333333333
"24","LOC114953912","GO:0016562","protein import into peroxisome matrix, receptor rec...",7,1,0.01,0.00621,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",11856174,11856195,"+","ID=Cluster_6965.mature;Parent=Cluster_6965","NC_058073.1","Gnomon","mRNA",11846683,11872035,"+","ID=rna-XM_029330328.2;Parent=gene-LOC114953912;Dbxref=GeneID:114953912,Genbank:XM_029330328.2;Name=XM_029330328.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953912;model_evidence=Supporting evidence includes similarity to: 9 mRNAs%2C 13 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 78 samples with support for all annotated introns;product=peroxisome biogenesis factor 1-like%2C transcript variant X1;transcript_id=XM_029330328.2",21,0.142857142857143
"25","LOC114953912","GO:0016562","protein import into peroxisome matrix, receptor rec...",7,1,0.01,0.00621,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",11856174,11856195,"+","ID=Cluster_6965.mature;Parent=Cluster_6965","NC_058073.1","Gnomon","mRNA",11847842,11872035,"+","ID=rna-XM_029330329.2;Parent=gene-LOC114953912;Dbxref=GeneID:114953912,Genbank:XM_029330329.2;Name=XM_029330329.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953912;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns;product=peroxisome biogenesis factor 1-like%2C transcript variant X2;transcript_id=XM_029330329.2",21,0.142857142857143
"26","LOC114953912","GO:0043335","protein unfolding",2,1,0,0.00178,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",11856174,11856195,"+","ID=Cluster_6965.mature;Parent=Cluster_6965","NC_058073.1","Gnomon","mRNA",11846683,11872035,"+","ID=rna-XM_029330328.2;Parent=gene-LOC114953912;Dbxref=GeneID:114953912,Genbank:XM_029330328.2;Name=XM_029330328.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953912;model_evidence=Supporting evidence includes similarity to: 9 mRNAs%2C 13 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 78 samples with support for all annotated introns;product=peroxisome biogenesis factor 1-like%2C transcript variant X1;transcript_id=XM_029330328.2",21,0.5
"27","LOC114953912","GO:0043335","protein unfolding",2,1,0,0.00178,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",11856174,11856195,"+","ID=Cluster_6965.mature;Parent=Cluster_6965","NC_058073.1","Gnomon","mRNA",11847842,11872035,"+","ID=rna-XM_029330329.2;Parent=gene-LOC114953912;Dbxref=GeneID:114953912,Genbank:XM_029330329.2;Name=XM_029330329.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953912;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns;product=peroxisome biogenesis factor 1-like%2C transcript variant X2;transcript_id=XM_029330329.2",21,0.5
"28","LOC114953912","GO:0060152","microtubule-based peroxisome localization",3,1,0.01,0.00267,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",11856174,11856195,"+","ID=Cluster_6965.mature;Parent=Cluster_6965","NC_058073.1","Gnomon","mRNA",11846683,11872035,"+","ID=rna-XM_029330328.2;Parent=gene-LOC114953912;Dbxref=GeneID:114953912,Genbank:XM_029330328.2;Name=XM_029330328.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953912;model_evidence=Supporting evidence includes similarity to: 9 mRNAs%2C 13 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 78 samples with support for all annotated introns;product=peroxisome biogenesis factor 1-like%2C transcript variant X1;transcript_id=XM_029330328.2",21,0.333333333333333
"29","LOC114953912","GO:0060152","microtubule-based peroxisome localization",3,1,0.01,0.00267,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",11856174,11856195,"+","ID=Cluster_6965.mature;Parent=Cluster_6965","NC_058073.1","Gnomon","mRNA",11847842,11872035,"+","ID=rna-XM_029330329.2;Parent=gene-LOC114953912;Dbxref=GeneID:114953912,Genbank:XM_029330329.2;Name=XM_029330329.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953912;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns;product=peroxisome biogenesis factor 1-like%2C transcript variant X2;transcript_id=XM_029330329.2",21,0.333333333333333
"30","LOC114953921","GO:0035176","social behavior",53,1,0.09,0.04612,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",12437103,12437124,"+","ID=Cluster_6977.mature;Parent=Cluster_6977","NC_058073.1","Gnomon","mRNA",12442447,12459108,"-","ID=rna-XM_029330345.2;Parent=gene-LOC114953921;Dbxref=GeneID:114953921,Genbank:XM_029330345.2;Name=XM_029330345.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953921;model_evidence=Supporting evidence includes similarity to: 11 mRNAs%2C 5 Proteins%2C and 97%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns;product=protein capicua homolog%2C transcript variant X5;transcript_id=XM_029330345.2",-5323,0.0188679245283019
"31","LOC114953921","GO:0035176","social behavior",53,1,0.09,0.04612,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",12437103,12437124,"+","ID=Cluster_6977.mature;Parent=Cluster_6977","NC_058073.1","Gnomon","mRNA",12442447,12461396,"-","ID=rna-XM_029330341.2;Parent=gene-LOC114953921;Dbxref=GeneID:114953921,Genbank:XM_029330341.2;Name=XM_029330341.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953921;model_evidence=Supporting evidence includes similarity to: 12 mRNAs%2C 5 Proteins%2C and 97%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 4 samples with support for all annotated introns;product=protein capicua homolog%2C transcript variant X1;transcript_id=XM_029330341.2",-5323,0.0188679245283019
"32","LOC114953921","GO:0035176","social behavior",53,1,0.09,0.04612,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",12437103,12437124,"+","ID=Cluster_6977.mature;Parent=Cluster_6977","NC_058073.1","Gnomon","mRNA",12442447,12461396,"-","ID=rna-XM_029330342.2;Parent=gene-LOC114953921;Dbxref=GeneID:114953921,Genbank:XM_029330342.2;Name=XM_029330342.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953921;model_evidence=Supporting evidence includes similarity to: 12 mRNAs%2C 5 Proteins%2C and 97%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=protein capicua homolog%2C transcript variant X3;transcript_id=XM_029330342.2",-5323,0.0188679245283019
"33","LOC114953921","GO:0035176","social behavior",53,1,0.09,0.04612,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",12437103,12437124,"+","ID=Cluster_6977.mature;Parent=Cluster_6977","NC_058073.1","Gnomon","mRNA",12442447,12461396,"-","ID=rna-XM_029330343.2;Parent=gene-LOC114953921;Dbxref=GeneID:114953921,Genbank:XM_029330343.2;Name=XM_029330343.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953921;model_evidence=Supporting evidence includes similarity to: 12 mRNAs%2C 5 Proteins%2C and 97%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns;product=protein capicua homolog%2C transcript variant X2;transcript_id=XM_029330343.2",-5323,0.0188679245283019
"34","LOC114953921","GO:0035176","social behavior",53,1,0.09,0.04612,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",12437103,12437124,"+","ID=Cluster_6977.mature;Parent=Cluster_6977","NC_058073.1","Gnomon","mRNA",12442447,12461396,"-","ID=rna-XM_029330344.2;Parent=gene-LOC114953921;Dbxref=GeneID:114953921,Genbank:XM_029330344.2;Name=XM_029330344.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953921;model_evidence=Supporting evidence includes similarity to: 11 mRNAs%2C 5 Proteins%2C and 97%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 32 samples with support for all annotated introns;product=protein capicua homolog%2C transcript variant X4;transcript_id=XM_029330344.2",-5323,0.0188679245283019
