Coords	Name	MIRNA	sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-48-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-50-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-53-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-57-S1-TP2-fastp-adapters-polyG-31bp-merged
Pocillopora_meandrina_HIv1___Sc0000000:987729-988269	Cluster_21	N	87	199	257	3	8
Pocillopora_meandrina_HIv1___Sc0000000:1215326-1215757	Cluster_22	N	177	176	184	248	221
Pocillopora_meandrina_HIv1___Sc0000000:1276027-1276447	Cluster_23	N	122	0	0	1	13
Pocillopora_meandrina_HIv1___Sc0000000:1276611-1277082	Cluster_24	N	260	1044	172	306	209
Pocillopora_meandrina_HIv1___Sc0000000:1336780-1337291	Cluster_25	N	330	472	352	531	364
Pocillopora_meandrina_HIv1___Sc0000000:1378697-1379231	Cluster_26	N	143	263	99	351	505
Pocillopora_meandrina_HIv1___Sc0000000:1688897-1689413	Cluster_27	N	0	72	132	131	96
Pocillopora_meandrina_HIv1___Sc0000000:1750814-1751515	Cluster_28	N	91	65	55	41	22
Pocillopora_meandrina_HIv1___Sc0000000:1752746-1753172	Cluster_29	N	93	43	25	77	8
Pocillopora_meandrina_HIv1___Sc0000000:2007021-2007452	Cluster_30	N	54	48	139	46	0
Pocillopora_meandrina_HIv1___Sc0000000:2063456-2063972	Cluster_31	N	938	800	998	772	696
Pocillopora_meandrina_HIv1___Sc0000000:2159721-2161042	Cluster_32	N	528	65	308	340	207
Pocillopora_meandrina_HIv1___Sc0000000:2750560-2752027	Cluster_33	N	597	335	347	286	192
Pocillopora_meandrina_HIv1___Sc0000000:2872019-2872110	Cluster_34	Y	39	44	20	41	32
Pocillopora_meandrina_HIv1___Sc0000000:2959037-2959445	Cluster_35	N	12	2	23	54	16
Pocillopora_meandrina_HIv1___Sc0000000:2959658-2960409	Cluster_36	N	395	193	303	259	246
Pocillopora_meandrina_HIv1___Sc0000000:3005020-3005445	Cluster_37	N	15	61	8	2	0
Pocillopora_meandrina_HIv1___Sc0000000:3005892-3006331	Cluster_38	N	349	0	169	242	164
Pocillopora_meandrina_HIv1___Sc0000000:3006339-3006751	Cluster_39	N	40	0	51	47	1
Pocillopora_meandrina_HIv1___Sc0000000:3563547-3563966	Cluster_40	N	0	0	0	0	77
Pocillopora_meandrina_HIv1___Sc0000000:3581968-3582415	Cluster_41	N	51	45	98	117	47
Pocillopora_meandrina_HIv1___Sc0000000:3603652-3604077	Cluster_42	N	213	0	0	10	0
Pocillopora_meandrina_HIv1___Sc0000000:3628199-3628623	Cluster_43	N	0	32	0	33	4
Pocillopora_meandrina_HIv1___Sc0000000:3691324-3691932	Cluster_44	N	544	936	556	1820	4112
Pocillopora_meandrina_HIv1___Sc0000000:3821021-3821448	Cluster_45	N	10	41	12	20	59
Pocillopora_meandrina_HIv1___Sc0000000:3822574-3823003	Cluster_46	N	10	63	26	31	54
Pocillopora_meandrina_HIv1___Sc0000000:3848323-3848809	Cluster_47	N	985	1732	1453	2996	2353
Pocillopora_meandrina_HIv1___Sc0000000:3848821-3849297	Cluster_48	N	14	37	25	60	120
Pocillopora_meandrina_HIv1___Sc0000000:3849327-3849741	Cluster_49	N	11	34	14	49	74
Pocillopora_meandrina_HIv1___Sc0000000:4241544-4242078	Cluster_50	N	559	900	117	199	789
Pocillopora_meandrina_HIv1___Sc0000000:4422273-4423231	Cluster_51	N	298	48	112	275	209
Pocillopora_meandrina_HIv1___Sc0000000:4423706-4424118	Cluster_52	N	0	15	33	65	15
Pocillopora_meandrina_HIv1___Sc0000000:4429481-4429904	Cluster_53	N	39	126	18	12	5
Pocillopora_meandrina_HIv1___Sc0000000:4429917-4430343	Cluster_54	N	54	69	12	7	5
Pocillopora_meandrina_HIv1___Sc0000000:4430717-4431144	Cluster_55	N	51	349	5	1	2
Pocillopora_meandrina_HIv1___Sc0000000:4431213-4432144	Cluster_56	N	329	397	92	55	121
Pocillopora_meandrina_HIv1___Sc0000000:4528179-4528608	Cluster_57	N	8	0	120	9	3
Pocillopora_meandrina_HIv1___Sc0000000:4531785-4532259	Cluster_58	N	82	160	124	337	374
Pocillopora_meandrina_HIv1___Sc0000000:4532302-4532705	Cluster_59	N	7	28	4	35	66
Pocillopora_meandrina_HIv1___Sc0000000:4534325-4534799	Cluster_60	N	431	658	499	2027	688
Pocillopora_meandrina_HIv1___Sc0000000:4561521-4561940	Cluster_61	N	0	36	0	32	56
Pocillopora_meandrina_HIv1___Sc0000000:4565452-4566337	Cluster_62	N	160	11	341	30	139
Pocillopora_meandrina_HIv1___Sc0000000:4595761-4596189	Cluster_63	N	165	43	5	13	4
Pocillopora_meandrina_HIv1___Sc0000000:4616213-4616640	Cluster_64	N	36	0	16	134	1
Pocillopora_meandrina_HIv1___Sc0000000:4754952-4755436	Cluster_65	N	4077	4843	4189	5807	2488
Pocillopora_meandrina_HIv1___Sc0000000:4905179-4905815	Cluster_66	N	2	124	76	1	45
Pocillopora_meandrina_HIv1___Sc0000000:5011888-5012317	Cluster_67	N	0	2	243	2	1
Pocillopora_meandrina_HIv1___Sc0000000:5113409-5113821	Cluster_68	N	71	22	1	74	5
Pocillopora_meandrina_HIv1___Sc0000000:5114051-5114478	Cluster_69	N	100	50	62	26	10
Pocillopora_meandrina_HIv1___Sc0000000:5114800-5115279	Cluster_70	N	152	71	53	32	30
Pocillopora_meandrina_HIv1___Sc0000000:5115363-5116638	Cluster_71	N	1254	76	77	1110	30
Pocillopora_meandrina_HIv1___Sc0000000:5116660-5117931	Cluster_72	N	457	149	222	338	75
Pocillopora_meandrina_HIv1___Sc0000000:5237977-5238405	Cluster_73	N	6	27	326	17	2
Pocillopora_meandrina_HIv1___Sc0000000:5304149-5304689	Cluster_74	N	151	141	111	325	574
Pocillopora_meandrina_HIv1___Sc0000000:5624826-5625249	Cluster_75	N	72	12	29	2	7
Pocillopora_meandrina_HIv1___Sc0000000:5723088-5723491	Cluster_76	N	26	5	1	45	0
Pocillopora_meandrina_HIv1___Sc0000000:5724791-5725218	Cluster_77	N	106	60	33	11	1
Pocillopora_meandrina_HIv1___Sc0000000:6035687-6037539	Cluster_78	N	6373	2235	2590	4959	2151
Pocillopora_meandrina_HIv1___Sc0000000:6038529-6040210	Cluster_79	N	797	254	510	431	114
Pocillopora_meandrina_HIv1___Sc0000000:6054442-6055284	Cluster_80	N	2149	43	172	14	7
Pocillopora_meandrina_HIv1___Sc0000000:6072276-6072713	Cluster_81	N	1192	712	2340	751	2617
Pocillopora_meandrina_HIv1___Sc0000000:6175141-6175559	Cluster_82	N	0	0	0	0	161
Pocillopora_meandrina_HIv1___Sc0000000:6300017-6300437	Cluster_83	N	118	87	23	1	40
Pocillopora_meandrina_HIv1___Sc0000000:6432068-6432496	Cluster_84	N	836	92	222	3	12
Pocillopora_meandrina_HIv1___Sc0000000:6432523-6433169	Cluster_85	N	334	11	17	251	134
Pocillopora_meandrina_HIv1___Sc0000000:6523200-6523626	Cluster_86	N	0	47	33	0	0
Pocillopora_meandrina_HIv1___Sc0000000:6781587-6782077	Cluster_87	N	27	150	48	116	157
Pocillopora_meandrina_HIv1___Sc0000000:6784342-6785024	Cluster_88	N	139	332	196	369	410
Pocillopora_meandrina_HIv1___Sc0000000:6785838-6786298	Cluster_89	N	17	96	23	68	66
Pocillopora_meandrina_HIv1___Sc0000000:6786579-6787211	Cluster_90	N	51	252	92	293	315
Pocillopora_meandrina_HIv1___Sc0000000:6820857-6821266	Cluster_91	N	8	22	15	36	73
Pocillopora_meandrina_HIv1___Sc0000000:6863950-6864369	Cluster_92	N	4	24	7	46	102
Pocillopora_meandrina_HIv1___Sc0000000:6905074-6905503	Cluster_93	N	0	100	23	320	33
Pocillopora_meandrina_HIv1___Sc0000000:6905904-6906371	Cluster_94	N	3160	134	0	54	179
Pocillopora_meandrina_HIv1___Sc0000000:7029852-7030270	Cluster_95	N	445	324	410	453	296
Pocillopora_meandrina_HIv1___Sc0000000:7039343-7040274	Cluster_96	N	316	658	414	653	1360
Pocillopora_meandrina_HIv1___Sc0000000:7040841-7041266	Cluster_97	N	24	40	27	44	60
Pocillopora_meandrina_HIv1___Sc0000000:7041283-7041776	Cluster_98	N	171	664	262	633	1090
Pocillopora_meandrina_HIv1___Sc0000000:7041807-7042290	Cluster_99	N	458	494	450	545	1039
Pocillopora_meandrina_HIv1___Sc0000000:7042332-7042805	Cluster_100	N	67	117	88	135	108
Pocillopora_meandrina_HIv1___Sc0000000:7100067-7100478	Cluster_101	N	16	92	20	54	110
Pocillopora_meandrina_HIv1___Sc0000000:7205683-7206107	Cluster_102	N	432	151	173	168	97
Pocillopora_meandrina_HIv1___Sc0000000:7584506-7585242	Cluster_103	N	760	306	1320	1347	68
Pocillopora_meandrina_HIv1___Sc0000000:7586366-7586860	Cluster_104	N	172	57	124	169	20
Pocillopora_meandrina_HIv1___Sc0000000:7587279-7588109	Cluster_105	N	171	52	83	84	21
Pocillopora_meandrina_HIv1___Sc0000000:7588484-7588910	Cluster_106	N	120	57	50	31	31
Pocillopora_meandrina_HIv1___Sc0000000:7588994-7589421	Cluster_107	N	71	17	23	8	7
Pocillopora_meandrina_HIv1___Sc0000000:7590291-7590718	Cluster_108	N	103	15	48	71	13
Pocillopora_meandrina_HIv1___Sc0000000:7590805-7592205	Cluster_109	N	1004	275	767	841	180
Pocillopora_meandrina_HIv1___Sc0000000:7592666-7593548	Cluster_110	N	1167	382	1447	1366	194
Pocillopora_meandrina_HIv1___Sc0000000:7593750-7594802	Cluster_111	N	764	381	1915	1745	150
Pocillopora_meandrina_HIv1___Sc0000000:7594848-7595397	Cluster_112	N	1245	325	1355	1183	155
Pocillopora_meandrina_HIv1___Sc0000000:7596727-7597157	Cluster_113	N	863	25	0	1	63
Pocillopora_meandrina_HIv1___Sc0000000:7597814-7598223	Cluster_114	N	73	4	0	1	12
Pocillopora_meandrina_HIv1___Sc0000000:7598683-7600443	Cluster_115	N	1557	400	3	5	263
Pocillopora_meandrina_HIv1___Sc0000000:7600922-7601349	Cluster_116	N	110	24	0	1	16
Pocillopora_meandrina_HIv1___Sc0000000:7601404-7602141	Cluster_117	N	466	575	1	1	155
Pocillopora_meandrina_HIv1___Sc0000000:7609392-7609809	Cluster_118	N	24	7	29	36	3
Pocillopora_meandrina_HIv1___Sc0000000:7656753-7658490	Cluster_119	N	712	419	761	617	259
Pocillopora_meandrina_HIv1___Sc0000000:7697508-7697937	Cluster_120	N	3	0	0	1	347
Pocillopora_meandrina_HIv1___Sc0000000:8103238-8103666	Cluster_121	N	59	10	95	56	49
Pocillopora_meandrina_HIv1___Sc0000000:8155944-8156371	Cluster_122	N	0	1	83	0	1
Pocillopora_meandrina_HIv1___Sc0000000:8246882-8247297	Cluster_123	N	1	23	108	1	0
Pocillopora_meandrina_HIv1___Sc0000000:8310086-8310514	Cluster_124	N	165	26	0	14	1
Pocillopora_meandrina_HIv1___Sc0000000:8311015-8312237	Cluster_125	N	469	21	154	924	62
Pocillopora_meandrina_HIv1___Sc0000000:8426708-8427191	Cluster_126	N	20	31	20	61	214
Pocillopora_meandrina_HIv1___Sc0000000:8427562-8428099	Cluster_127	N	163	116	142	191	204
Pocillopora_meandrina_HIv1___Sc0000000:8608677-8609097	Cluster_128	N	3	22	57	313	4
Pocillopora_meandrina_HIv1___Sc0000000:8734505-8734915	Cluster_129	N	8	24	14	55	102
Pocillopora_meandrina_HIv1___Sc0000000:8743606-8744021	Cluster_130	N	14	44	25	66	127
Pocillopora_meandrina_HIv1___Sc0000000:8940693-8941187	Cluster_131	N	839	172	532	239	210
Pocillopora_meandrina_HIv1___Sc0000000:9256539-9256969	Cluster_132	N	297	105	112	39	71
Pocillopora_meandrina_HIv1___Sc0000000:9257154-9257837	Cluster_133	N	2816	302	145	55	419
Pocillopora_meandrina_HIv1___Sc0000000:9265055-9265482	Cluster_134	N	8	1	0	307	0
Pocillopora_meandrina_HIv1___Sc0000000:9279901-9280374	Cluster_135	N	69	127	61	120	132
Pocillopora_meandrina_HIv1___Sc0000000:9284299-9284771	Cluster_136	N	85	129	97	72	164
Pocillopora_meandrina_HIv1___Sc0000000:9285767-9286194	Cluster_137	N	5	5	4	149	90
Pocillopora_meandrina_HIv1___Sc0000000:9286598-9287030	Cluster_138	N	64	209	120	146	223
Pocillopora_meandrina_HIv1___Sc0000000:9440859-9441685	Cluster_139	N	7246	16516	5597	11206	45929
Pocillopora_meandrina_HIv1___Sc0000000:9460512-9460942	Cluster_140	N	287	1	8	599	0
Pocillopora_meandrina_HIv1___Sc0000000:9465183-9465611	Cluster_141	N	173	79	149	122	65
Pocillopora_meandrina_HIv1___Sc0000000:9797403-9798671	Cluster_142	N	7	247	2748	208	241
Pocillopora_meandrina_HIv1___Sc0000000:9799673-9800082	Cluster_143	N	0	0	44	0	44
Pocillopora_meandrina_HIv1___Sc0000000:9800095-9800630	Cluster_144	N	0	69	66	37	6
Pocillopora_meandrina_HIv1___Sc0000000:9800682-9801089	Cluster_145	N	1	2	42	42	0
Pocillopora_meandrina_HIv1___Sc0000000:9803046-9803772	Cluster_146	N	18	0	323	0	30
Pocillopora_meandrina_HIv1___Sc0000000:9828155-9828582	Cluster_147	N	4	0	4	152	0
Pocillopora_meandrina_HIv1___Sc0000000:9842834-9843262	Cluster_148	N	7	0	109	0	0
Pocillopora_meandrina_HIv1___Sc0000000:9853254-9853662	Cluster_149	N	85	9	3	32	17
Pocillopora_meandrina_HIv1___Sc0000000:9853689-9856016	Cluster_150	N	4955	2222	2997	5223	1131
Pocillopora_meandrina_HIv1___Sc0000000:9856063-9856639	Cluster_151	N	321	334	212	233	65
Pocillopora_meandrina_HIv1___Sc0000000:9857383-9857809	Cluster_152	N	13	65	23	7	1
Pocillopora_meandrina_HIv1___Sc0000000:9878202-9878692	Cluster_153	N	138	6	960	34	51
Pocillopora_meandrina_HIv1___Sc0000000:9884246-9884668	Cluster_154	N	64	27	48	16	0
Pocillopora_meandrina_HIv1___Sc0000000:9887131-9887541	Cluster_155	N	60	8	93	24	21
Pocillopora_meandrina_HIv1___Sc0000000:9889894-9890324	Cluster_156	N	2	1	124	1	0
Pocillopora_meandrina_HIv1___Sc0000000:9898243-9898662	Cluster_157	N	21	41	0	105	15
Pocillopora_meandrina_HIv1___Sc0000000:9903956-9904712	Cluster_158	N	178	31	338	22	54
Pocillopora_meandrina_HIv1___Sc0000000:9912035-9912444	Cluster_159	N	37	64	6	11	19
Pocillopora_meandrina_HIv1___Sc0000000:9912448-9913768	Cluster_160	N	246	190	68	884	54
Pocillopora_meandrina_HIv1___Sc0000000:9913963-9914384	Cluster_161	N	11	15	3	130	10
Pocillopora_meandrina_HIv1___Sc0000000:9920126-9920554	Cluster_162	N	72	2	6	3	10
Pocillopora_meandrina_HIv1___Sc0000000:9924478-9924909	Cluster_163	N	4	12	0	97	270
Pocillopora_meandrina_HIv1___Sc0000000:9931069-9932750	Cluster_164	N	736	267	465	438	114
Pocillopora_meandrina_HIv1___Sc0000000:9933736-9935597	Cluster_165	N	6760	2494	2568	4973	2155
Pocillopora_meandrina_HIv1___Sc0000000:10052622-10053049	Cluster_166	N	4	32	61	123	175
Pocillopora_meandrina_HIv1___Sc0000000:10181669-10182095	Cluster_167	N	34	117	3	20	3
Pocillopora_meandrina_HIv1___Sc0000000:10361747-10362173	Cluster_168	N	0	10	6	143	29
Pocillopora_meandrina_HIv1___Sc0000000:10377199-10381489	Cluster_169	N	1245	2245	3985	4336	624
Pocillopora_meandrina_HIv1___Sc0000000:10424158-10424581	Cluster_170	N	0	117	0	0	2
Pocillopora_meandrina_HIv1___Sc0000000:10531079-10531491	Cluster_171	N	60	13	21	29	17
Pocillopora_meandrina_HIv1___Sc0000000:10531934-10532626	Cluster_172	N	144	24	35	264	6
Pocillopora_meandrina_HIv1___Sc0000000:10532826-10533250	Cluster_173	N	47	16	8	48	10
Pocillopora_meandrina_HIv1___Sc0000000:10534041-10534763	Cluster_174	N	84	42	140	31	5
Pocillopora_meandrina_HIv1___Sc0000000:10540694-10541121	Cluster_175	N	1	2	0	80	1
Pocillopora_meandrina_HIv1___Sc0000000:10543779-10544200	Cluster_176	N	43	71	85	1	2
Pocillopora_meandrina_HIv1___Sc0000000:10544222-10544652	Cluster_177	N	43	144	149	6	9
Pocillopora_meandrina_HIv1___Sc0000000:10553046-10553473	Cluster_178	N	2	0	154	9	2
Pocillopora_meandrina_HIv1___Sc0000000:10685159-10685850	Cluster_179	N	386	81	105	245	25
Pocillopora_meandrina_HIv1___Sc0000000:10686623-10687051	Cluster_180	N	72	0	0	295	0
Pocillopora_meandrina_HIv1___Sc0000000:10707707-10708135	Cluster_181	N	5	22	179	65	1
Pocillopora_meandrina_HIv1___Sc0000000:10714524-10714951	Cluster_182	N	72	10	10	155	12
Pocillopora_meandrina_HIv1___Sc0000000:10734393-10734814	Cluster_183	N	0	0	1	71	0
Pocillopora_meandrina_HIv1___Sc0000000:10786268-10787812	Cluster_184	N	397	81	1214	385	149
Pocillopora_meandrina_HIv1___Sc0000000:10788018-10788448	Cluster_185	N	545	9	76	79	36
Pocillopora_meandrina_HIv1___Sc0000000:10789450-10790491	Cluster_186	N	231	43	268	190	92
Pocillopora_meandrina_HIv1___Sc0000000:10790631-10792235	Cluster_187	N	418	155	416	474	175
Pocillopora_meandrina_HIv1___Sc0000000:10804971-10805394	Cluster_188	N	49	6	27	27	3
Pocillopora_meandrina_HIv1___Sc0000000:10806850-10808466	Cluster_189	N	3304	129	17	1010	115
Pocillopora_meandrina_HIv1___Sc0000000:10811914-10812348	Cluster_190	N	234	67	9	2	30
Pocillopora_meandrina_HIv1___Sc0000000:10812967-10813462	Cluster_191	N	688	21	5467	7	9
Pocillopora_meandrina_HIv1___Sc0000000:10856559-10857208	Cluster_192	N	676	15	553	1	2
Pocillopora_meandrina_HIv1___Sc0000000:10906504-10906934	Cluster_193	N	20	385	198	2	4
Pocillopora_meandrina_HIv1___Sc0000000:11008650-11009079	Cluster_194	N	169	31	64	34	25
Pocillopora_meandrina_HIv1___Sc0000000:11039301-11039720	Cluster_195	N	0	102	1	69	0
Pocillopora_meandrina_HIv1___Sc0000000:11041565-11043456	Cluster_196	N	359	101	328	744	80
Pocillopora_meandrina_HIv1___Sc0000000:11043472-11043898	Cluster_197	N	44	19	59	58	15
Pocillopora_meandrina_HIv1___Sc0000000:11044016-11044443	Cluster_198	N	123	46	46	94	13
Pocillopora_meandrina_HIv1___Sc0000000:11044450-11046447	Cluster_199	N	921	519	1188	1015	466
Pocillopora_meandrina_HIv1___Sc0000000:11056292-11056715	Cluster_200	N	78	0	1	0	0
Pocillopora_meandrina_HIv1___Sc0000000:11067582-11068009	Cluster_201	N	1	0	4	144	1
Pocillopora_meandrina_HIv1___Sc0000000:11068926-11069353	Cluster_202	N	157	4	7	43	1
Pocillopora_meandrina_HIv1___Sc0000000:11070468-11070894	Cluster_203	N	28	7	3	115	6
Pocillopora_meandrina_HIv1___Sc0000000:11071238-11071734	Cluster_204	N	123	374	2	0	7
Pocillopora_meandrina_HIv1___Sc0000000:11077717-11078219	Cluster_205	N	111	3	84	14	20
Pocillopora_meandrina_HIv1___Sc0000000:11489850-11490268	Cluster_206	N	3	28	10	36	3
Pocillopora_meandrina_HIv1___Sc0000000:11542819-11544140	Cluster_207	N	526	85	325	340	211
Pocillopora_meandrina_HIv1___Sc0000000:11544360-11545816	Cluster_208	N	208	164	144	711	320
Pocillopora_meandrina_HIv1___Sc0000000:11552655-11555296	Cluster_209	N	1507	534	1849	4854	144
Pocillopora_meandrina_HIv1___Sc0000000:11557735-11558203	Cluster_210	N	12	52	19	148	6
Pocillopora_meandrina_HIv1___Sc0000000:11558679-11559293	Cluster_211	N	236	31	107	147	38
Pocillopora_meandrina_HIv1___Sc0000000:11559941-11560372	Cluster_212	N	214	14	79	58	137
Pocillopora_meandrina_HIv1___Sc0000000:11561257-11561730	Cluster_213	N	237	35	84	88	83
Pocillopora_meandrina_HIv1___Sc0000000:11566070-11566661	Cluster_214	N	192	57	152	183	32
Pocillopora_meandrina_HIv1___Sc0000000:11566681-11567858	Cluster_215	N	731	329	455	1243	258
Pocillopora_meandrina_HIv1___Sc0000000:11568056-11570378	Cluster_216	N	7400	10182	10417	11175	4749
Pocillopora_meandrina_HIv1___Sc0000000:11574178-11574789	Cluster_217	N	197	10	51	456	37
Pocillopora_meandrina_HIv1___Sc0000000:11575547-11575948	Cluster_218	N	48	7	36	167	11
Pocillopora_meandrina_HIv1___Sc0000000:11576454-11577454	Cluster_219	N	432	36	69	452	282
Pocillopora_meandrina_HIv1___Sc0000000:11580662-11581090	Cluster_220	N	0	182	0	1	0
Pocillopora_meandrina_HIv1___Sc0000000:11583909-11584334	Cluster_221	N	5	10	24	30	14
Pocillopora_meandrina_HIv1___Sc0000000:11584630-11585077	Cluster_222	N	69	22	265	22	5
Pocillopora_meandrina_HIv1___Sc0000000:11587332-11587855	Cluster_223	N	447	8	45	53	9
Pocillopora_meandrina_HIv1___Sc0000000:11588495-11588921	Cluster_224	N	120	5	43	141	19
Pocillopora_meandrina_HIv1___Sc0000000:11589851-11590275	Cluster_225	N	179	2	1	20	1
Pocillopora_meandrina_HIv1___Sc0000000:11590457-11591141	Cluster_226	N	1070	28	73	55	54
Pocillopora_meandrina_HIv1___Sc0000000:11594639-11595518	Cluster_227	N	1419	437	1365	897	120
Pocillopora_meandrina_HIv1___Sc0000000:11597439-11597857	Cluster_228	N	110	27	23	60	5
Pocillopora_meandrina_HIv1___Sc0000000:11610279-11610705	Cluster_229	N	36	51	28	103	8
Pocillopora_meandrina_HIv1___Sc0000000:11611076-11611579	Cluster_230	N	167	45	150	154	131
Pocillopora_meandrina_HIv1___Sc0000000:11612226-11612654	Cluster_231	N	30	228	1	11	1
Pocillopora_meandrina_HIv1___Sc0000000:11615893-11616321	Cluster_232	N	51	50	47	91	44
Pocillopora_meandrina_HIv1___Sc0000000:11619880-11620712	Cluster_233	N	743	412	2669	1757	6
Pocillopora_meandrina_HIv1___Sc0000000:11630399-11631228	Cluster_234	N	191	120	61	133	250
Pocillopora_meandrina_HIv1___Sc0000000:11635028-11636324	Cluster_235	N	1763	2702	3	1779	93
Pocillopora_meandrina_HIv1___Sc0000000:11790561-11790980	Cluster_236	N	50	21	51	34	13
Pocillopora_meandrina_HIv1___Sc0000000:11794303-11794869	Cluster_237	N	111	348	459	4	3
Pocillopora_meandrina_HIv1___Sc0000000:11798273-11798686	Cluster_238	N	51	12	12	25	24
Pocillopora_meandrina_HIv1___Sc0000000:11804184-11804611	Cluster_239	N	73	17	58	17	19
Pocillopora_meandrina_HIv1___Sc0000000:11812161-11812606	Cluster_240	N	117	27	62	19	16
Pocillopora_meandrina_HIv1___Sc0000000:11813263-11815282	Cluster_241	N	207	1650	1761	9	578
Pocillopora_meandrina_HIv1___Sc0000000:11816999-11818265	Cluster_242	N	33	28	913	235	186
Pocillopora_meandrina_HIv1___Sc0000000:11818269-11818788	Cluster_243	N	25	18	663	12	211
Pocillopora_meandrina_HIv1___Sc0000000:11819696-11820119	Cluster_244	N	71	11	66	28	29
Pocillopora_meandrina_HIv1___Sc0000000:11820158-11820585	Cluster_245	N	80	12	32	28	19
Pocillopora_meandrina_HIv1___Sc0000000:11822367-11824210	Cluster_246	N	6176	2323	2613	5001	2269
Pocillopora_meandrina_HIv1___Sc0000000:11825210-11826891	Cluster_247	N	729	258	489	413	136
Pocillopora_meandrina_HIv1___Sc0000000:11828733-11829679	Cluster_248	N	128	23	79	62	322
Pocillopora_meandrina_HIv1___Sc0000000:11851345-11852170	Cluster_249	N	555	430	10	765	204
Pocillopora_meandrina_HIv1___Sc0000000:11859861-11860838	Cluster_250	N	1411	23	720	46	718
Pocillopora_meandrina_HIv1___Sc0000000:11860889-11861894	Cluster_251	N	1686	25	1611	190	897
Pocillopora_meandrina_HIv1___Sc0000000:11862228-11862803	Cluster_252	N	213	11	404	2	364
Pocillopora_meandrina_HIv1___Sc0000000:11864344-11866061	Cluster_253	N	515	220	1401	4948	207
Pocillopora_meandrina_HIv1___Sc0000000:11866698-11867901	Cluster_254	N	25542	601	27756	5877	8226
Pocillopora_meandrina_HIv1___Sc0000000:11869197-11869625	Cluster_255	N	343	23	50	2	43
Pocillopora_meandrina_HIv1___Sc0000000:11870083-11871218	Cluster_256	N	1302	78	251	32	260
Pocillopora_meandrina_HIv1___Sc0000000:11871339-11872211	Cluster_257	N	505	81	166	9	148
Pocillopora_meandrina_HIv1___Sc0000000:11872624-11873077	Cluster_258	N	564	54	265	10	71
Pocillopora_meandrina_HIv1___Sc0000000:11879278-11880568	Cluster_259	N	13226	8578	7182	9295	1376
Pocillopora_meandrina_HIv1___Sc0000000:11880663-11881090	Cluster_260	N	83	17	922	113	103
Pocillopora_meandrina_HIv1___Sc0000000:11882086-11882516	Cluster_261	N	155	28	92	57	33
Pocillopora_meandrina_HIv1___Sc0000000:11882808-11883388	Cluster_262	N	168	28	231	98	22
Pocillopora_meandrina_HIv1___Sc0000000:11884721-11885487	Cluster_263	N	638	3	8	35	2
Pocillopora_meandrina_HIv1___Sc0000000:11887649-11888834	Cluster_264	N	702	19	488	1513	17
Pocillopora_meandrina_HIv1___Sc0000000:11894480-11895204	Cluster_265	N	33	171	547	1000	51
