"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","m_chrom","m_source","m_type","m_start","m_end","m_strand","m_attr","gf_chrom","gf_source","gf_type","gf_start","gf_end","gf_strand","gf_attr","overlap","prop.sig.genes"
"11","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0003198","epithelial to mesenchymal transition involved in en...",12,1,0.02,0.00132,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.0833333333333333
"12","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0003214","cardiac left ventricle morphogenesis",15,1,0.02,0.00165,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.0666666666666667
"13","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0003222","ventricular trabecula myocardium morphogenesis",8,1,0.01,0.00088,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.125
"14","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0007221","positive regulation of transcription of Notch recep...",5,1,0.01,0.00055,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.2
"15","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0009912","auditory receptor cell fate commitment",9,1,0.01,0.00099,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.111111111111111
"16","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0009957","epidermal cell fate specification",6,1,0.01,0.00066,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.166666666666667
"17","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0010628","positive regulation of gene expression",742,2,1.24,0.00304,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.00269541778975741
"18","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0021983","pituitary gland development",19,1,0.03,0.00209,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.0526315789473684
"19","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0030216","keratinocyte differentiation",66,1,0.11,0.00724,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.0151515151515152
"20","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0030279","negative regulation of ossification",32,1,0.05,0.00352,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.03125
"21","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0030513","positive regulation of BMP signaling pathway",46,1,0.08,0.00505,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.0217391304347826
"22","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0035019","somatic stem cell population maintenance",27,1,0.04,0.00297,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.037037037037037
"23","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0035912","dorsal aorta morphogenesis",4,1,0.01,0.00044,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.25
"24","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0036302","atrioventricular canal development",10,1,0.02,0.0011,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.1
"25","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0043011","myeloid dendritic cell differentiation",14,1,0.02,0.00154,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.0714285714285714
"26","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0048505","regulation of timing of cell differentiation",19,1,0.03,0.00209,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.0526315789473684
"27","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0048733","sebaceous gland development",3,1,0,0.00033,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.333333333333333
"28","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0048820","hair follicle maturation",7,1,0.01,0.00077,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.142857142857143
"29","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0050679","positive regulation of epithelial cell proliferatio...",125,3,0.21,0.00604,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.024
"30","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0060045","positive regulation of cardiac muscle cell prolifer...",20,1,0.03,0.0022,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.05
"31","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0060379","cardiac muscle cell myoblast differentiation",6,1,0.01,0.00066,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.166666666666667
"32","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0060412","ventricular septum morphogenesis",36,1,0.06,0.00396,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.0277777777777778
"33","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0060486","club cell differentiation",1,1,0,0.00011,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,1
"34","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0060716","labyrinthine layer blood vessel development",5,1,0.01,0.00055,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.2
"35","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0060844","arterial endothelial cell fate commitment",6,1,0.01,0.00066,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.166666666666667
"36","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0061344","regulation of cell adhesion involved in heart morph...",6,1,0.01,0.00066,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.166666666666667
"37","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0072554","blood vessel lumenization",3,1,0,0.00033,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.333333333333333
"38","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0090263","positive regulation of canonical Wnt signaling path...",50,1,0.08,0.00549,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.02
"39","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0097101","blood vessel endothelial cell fate specification",6,1,0.01,0.00066,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.166666666666667
"40","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0120163","negative regulation of cold-induced thermogenesis",20,1,0.03,0.0022,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.05
"41","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:1901186","positive regulation of ERBB signaling pathway",11,1,0.02,0.00121,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.0909090909090909
"42","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:1901189","positive regulation of ephrin receptor signaling pa...",1,1,0,0.00011,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,1
"43","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:2000138","positive regulation of cell proliferation involved ...",5,1,0.01,0.00055,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.2
"44","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:2000647","negative regulation of stem cell proliferation",5,1,0.01,0.00055,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.2
"45","Pocillopora_meandrina_HIv1___RNAseq.g26655.t1","GO:0016567","protein ubiquitination",907,2,1.51,0.00449,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000014","ShortStack","mature_miRNA",9365481,9365502,"-","ID=Cluster_4142.mature;Parent=Cluster_4142","Pocillopora_meandrina_HIv1___Sc0000014","AUGUSTUS","transcript",9359560,9367897,"-","ID=Pocillopora_meandrina_HIv1___RNAseq.g26655.t1",21,0.00220507166482911
"46","Pocillopora_meandrina_HIv1___RNAseq.g26655.t1","GO:0030593","neutrophil chemotaxis",29,1,0.05,0.00319,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000014","ShortStack","mature_miRNA",9365481,9365502,"-","ID=Cluster_4142.mature;Parent=Cluster_4142","Pocillopora_meandrina_HIv1___Sc0000014","AUGUSTUS","transcript",9359560,9367897,"-","ID=Pocillopora_meandrina_HIv1___RNAseq.g26655.t1",21,0.0344827586206897
"47","Pocillopora_meandrina_HIv1___RNAseq.g26655.t1","GO:0033333","fin development",25,1,0.04,0.00275,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000014","ShortStack","mature_miRNA",9365481,9365502,"-","ID=Cluster_4142.mature;Parent=Cluster_4142","Pocillopora_meandrina_HIv1___Sc0000014","AUGUSTUS","transcript",9359560,9367897,"-","ID=Pocillopora_meandrina_HIv1___RNAseq.g26655.t1",21,0.04
"48","Pocillopora_meandrina_HIv1___RNAseq.g26655.t1","GO:0034243","regulation of transcription elongation by RNA polym...",50,1,0.08,0.00549,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000014","ShortStack","mature_miRNA",9365481,9365502,"-","ID=Cluster_4142.mature;Parent=Cluster_4142","Pocillopora_meandrina_HIv1___Sc0000014","AUGUSTUS","transcript",9359560,9367897,"-","ID=Pocillopora_meandrina_HIv1___RNAseq.g26655.t1",21,0.02
"49","Pocillopora_meandrina_HIv1___RNAseq.g26655.t1","GO:0035166","post-embryonic hemopoiesis",16,1,0.03,0.00176,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000014","ShortStack","mature_miRNA",9365481,9365502,"-","ID=Cluster_4142.mature;Parent=Cluster_4142","Pocillopora_meandrina_HIv1___Sc0000014","AUGUSTUS","transcript",9359560,9367897,"-","ID=Pocillopora_meandrina_HIv1___RNAseq.g26655.t1",21,0.0625
"50","Pocillopora_meandrina_HIv1___RNAseq.g26655.t1","GO:0048066","developmental pigmentation",60,1,0.1,0.00659,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000014","ShortStack","mature_miRNA",9365481,9365502,"-","ID=Cluster_4142.mature;Parent=Cluster_4142","Pocillopora_meandrina_HIv1___Sc0000014","AUGUSTUS","transcript",9359560,9367897,"-","ID=Pocillopora_meandrina_HIv1___RNAseq.g26655.t1",21,0.0166666666666667
"51","Pocillopora_meandrina_HIv1___RNAseq.g26655.t1","GO:0048246","macrophage chemotaxis",6,1,0.01,0.00066,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000014","ShortStack","mature_miRNA",9365481,9365502,"-","ID=Cluster_4142.mature;Parent=Cluster_4142","Pocillopora_meandrina_HIv1___Sc0000014","AUGUSTUS","transcript",9359560,9367897,"-","ID=Pocillopora_meandrina_HIv1___RNAseq.g26655.t1",21,0.166666666666667
"52","Pocillopora_meandrina_HIv1___RNAseq.g26655.t1","GO:0060215","primitive hemopoiesis",13,1,0.02,0.00143,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000014","ShortStack","mature_miRNA",9365481,9365502,"-","ID=Cluster_4142.mature;Parent=Cluster_4142","Pocillopora_meandrina_HIv1___Sc0000014","AUGUSTUS","transcript",9359560,9367897,"-","ID=Pocillopora_meandrina_HIv1___RNAseq.g26655.t1",21,0.0769230769230769
"53","Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b","GO:0006897","endocytosis",487,2,0.81,0.00133,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000016","ShortStack","mature_miRNA",7549579,7549600,"+","ID=Cluster_4466.mature;Parent=Cluster_4466","Pocillopora_meandrina_HIv1___Sc0000016","AUGUSTUS","transcript",7536714,7554288,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b",21,0.00410677618069815
"54","Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b","GO:0006897","endocytosis",487,2,0.81,0.00133,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000016","ShortStack","mature_miRNA",7550615,7550635,"+","ID=Cluster_4468.mature;Parent=Cluster_4468","Pocillopora_meandrina_HIv1___Sc0000016","AUGUSTUS","transcript",7536714,7554288,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b",20,0.00410677618069815
"55","Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b","GO:0006897","endocytosis",487,2,0.81,0.00133,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000016","ShortStack","mature_miRNA",7553304,7553325,"+","ID=Cluster_4469.mature;Parent=Cluster_4469","Pocillopora_meandrina_HIv1___Sc0000016","AUGUSTUS","transcript",7536714,7554288,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b",21,0.00410677618069815
"56","Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b","GO:0006897","endocytosis",487,2,0.81,0.00133,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000016","ShortStack","mature_miRNA",7555692,7555713,"+","ID=Cluster_4470.mature;Parent=Cluster_4470","Pocillopora_meandrina_HIv1___Sc0000016","AUGUSTUS","transcript",7536714,7554288,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b",-1404,0.00410677618069815
"57","Pocillopora_meandrina_HIv1___RNAseq.g15123.t1","GO:0043113","receptor clustering",38,1,0.06,0.00418,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000003","ShortStack","mature_miRNA",495117,495138,"+","ID=Cluster_1108.mature;Parent=Cluster_1108","Pocillopora_meandrina_HIv1___Sc0000003","AUGUSTUS","transcript",497120,514074,"-","ID=Pocillopora_meandrina_HIv1___RNAseq.g15123.t1",-1982,0.0263157894736842
