"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","m_chrom","m_source","m_type","m_start","m_end","m_strand","m_attr","gf_chrom","gf_source","gf_type","gf_start","gf_end","gf_strand","gf_attr","overlap","prop.sig.genes"
"11","Peve_00002249","GO:0002495","antigen processing and presentation of peptide anti...",25,1,0.03,0.00239,"Biological Processes","Porites_evermani_scaffold_1128","ShortStack","mature_miRNA",125548,125568,"-","ID=Cluster_9915.mature;Parent=Cluster_9915","Porites_evermani_scaffold_1128","Gmove","mRNA",109237,127279,"-","ID=Peve_00002249;Name=Peve_00002249;start=1;stop=1;cds_size=1119",20,0.04
"12","Peve_00002673","GO:0018242","protein O-linked glycosylation via serine",9,2,0.01,3.2e-07,"Biological Processes","Porites_evermani_scaffold_1159","ShortStack","mature_miRNA",6702,6723,"+","ID=Cluster_9991.mature;Parent=Cluster_9991","Porites_evermani_scaffold_1159","Gmove","mRNA",2148,29843,"+","ID=Peve_00002673;Name=Peve_00002673;start=1;stop=1;cds_size=3507",21,0.222222222222222
"13","Peve_00002673","GO:0018242","protein O-linked glycosylation via serine",9,2,0.01,3.2e-07,"Biological Processes","Porites_evermani_scaffold_1159","ShortStack","mature_miRNA",7428,7449,"+","ID=Cluster_9992.mature;Parent=Cluster_9992","Porites_evermani_scaffold_1159","Gmove","mRNA",2148,29843,"+","ID=Peve_00002673;Name=Peve_00002673;start=1;stop=1;cds_size=3507",21,0.222222222222222
"14","Peve_00002673","GO:0018243","protein O-linked glycosylation via threonine",10,2,0.01,4e-07,"Biological Processes","Porites_evermani_scaffold_1159","ShortStack","mature_miRNA",6702,6723,"+","ID=Cluster_9991.mature;Parent=Cluster_9991","Porites_evermani_scaffold_1159","Gmove","mRNA",2148,29843,"+","ID=Peve_00002673;Name=Peve_00002673;start=1;stop=1;cds_size=3507",21,0.2
"15","Peve_00002673","GO:0018243","protein O-linked glycosylation via threonine",10,2,0.01,4e-07,"Biological Processes","Porites_evermani_scaffold_1159","ShortStack","mature_miRNA",7428,7449,"+","ID=Cluster_9992.mature;Parent=Cluster_9992","Porites_evermani_scaffold_1159","Gmove","mRNA",2148,29843,"+","ID=Peve_00002673;Name=Peve_00002673;start=1;stop=1;cds_size=3507",21,0.2
"16","Peve_00005902","GO:0007099","centriole replication",41,2,0.05,7.2e-06,"Biological Processes","Porites_evermani_scaffold_138","ShortStack","mature_miRNA",127966,127987,"+","ID=Cluster_2770.mature;Parent=Cluster_2770","Porites_evermani_scaffold_138","Gmove","mRNA",114562,186450,"+","ID=Peve_00005902;Name=Peve_00005902;start=1;stop=1;cds_size=8289",21,0.0487804878048781
"17","Peve_00005902","GO:0071539","protein localization to centrosome",33,2,0.04,4.7e-06,"Biological Processes","Porites_evermani_scaffold_138","ShortStack","mature_miRNA",127966,127987,"+","ID=Cluster_2770.mature;Parent=Cluster_2770","Porites_evermani_scaffold_138","Gmove","mRNA",114562,186450,"+","ID=Peve_00005902;Name=Peve_00005902;start=1;stop=1;cds_size=8289",21,0.0606060606060606
"18","Peve_00005902","GO:0090222","centrosome-templated microtubule nucleation",2,1,0,0.00019,"Biological Processes","Porites_evermani_scaffold_138","ShortStack","mature_miRNA",127966,127987,"+","ID=Cluster_2770.mature;Parent=Cluster_2770","Porites_evermani_scaffold_138","Gmove","mRNA",114562,186450,"+","ID=Peve_00005902;Name=Peve_00005902;start=1;stop=1;cds_size=8289",21,0.5
"19","Peve_00005902","GO:0090307","mitotic spindle assembly",58,1,0.07,0.00554,"Biological Processes","Porites_evermani_scaffold_138","ShortStack","mature_miRNA",127966,127987,"+","ID=Cluster_2770.mature;Parent=Cluster_2770","Porites_evermani_scaffold_138","Gmove","mRNA",114562,186450,"+","ID=Peve_00005902;Name=Peve_00005902;start=1;stop=1;cds_size=8289",21,0.0172413793103448
"20","Peve_00006453","GO:0036158","outer dynein arm assembly",47,1,0.05,0.00449,"Biological Processes","Porites_evermani_scaffold_1415","ShortStack","mature_miRNA",72071,72092,"+","ID=Cluster_10850.mature;Parent=Cluster_10850","Porites_evermani_scaffold_1415","Gmove","mRNA",54574,77863,"+","ID=Peve_00006453;Name=Peve_00006453;start=1;stop=1;cds_size=5052",21,0.0212765957446809
"21","Peve_00006602","GO:0006996","organelle organization",3767,9,4.39,0.02132,"Biological Processes","Porites_evermani_scaffold_1429","ShortStack","mature_miRNA",47285,47306,"-","ID=Cluster_10882.mature;Parent=Cluster_10882","Porites_evermani_scaffold_1429","Gmove","mRNA",48,56807,"-","ID=Peve_00006602;Name=Peve_00006602;start=1;stop=0;cds_size=11085",21,0.00238916910007964
"22","Peve_00006602","GO:0007018","microtubule-based movement",644,2,0.75,0.04069,"Biological Processes","Porites_evermani_scaffold_1429","ShortStack","mature_miRNA",47285,47306,"-","ID=Cluster_10882.mature;Parent=Cluster_10882","Porites_evermani_scaffold_1429","Gmove","mRNA",48,56807,"-","ID=Peve_00006602;Name=Peve_00006602;start=1;stop=0;cds_size=11085",21,0.0031055900621118
"23","Peve_00006602","GO:0030030","cell projection organization",2312,7,2.7,0.0028,"Biological Processes","Porites_evermani_scaffold_1429","ShortStack","mature_miRNA",47285,47306,"-","ID=Cluster_10882.mature;Parent=Cluster_10882","Porites_evermani_scaffold_1429","Gmove","mRNA",48,56807,"-","ID=Peve_00006602;Name=Peve_00006602;start=1;stop=0;cds_size=11085",21,0.00302768166089965
"24","Peve_00007217","GO:0017183","peptidyl-diphthamide biosynthetic process from pept...",15,1,0.02,0.00144,"Biological Processes","Porites_evermani_scaffold_148","ShortStack","mature_miRNA",94583,94604,"-","ID=Cluster_2871.mature;Parent=Cluster_2871","Porites_evermani_scaffold_148","Gmove","mRNA",92028,98639,"-","ID=Peve_00007217;Name=Peve_00007217;start=1;stop=1;cds_size=1047",21,0.0666666666666667
"25","Peve_00007592","GO:0007099","centriole replication",41,2,0.05,7.2e-06,"Biological Processes","Porites_evermani_scaffold_1503","ShortStack","mature_miRNA",47580,47601,"+","ID=Cluster_11045.mature;Parent=Cluster_11045","Porites_evermani_scaffold_1503","Gmove","mRNA",42025,72148,"+","ID=Peve_00007592;Name=Peve_00007592;start=1;stop=1;cds_size=4173",21,0.0487804878048781
"26","Peve_00007592","GO:0007099","centriole replication",41,2,0.05,7.2e-06,"Biological Processes","Porites_evermani_scaffold_1503","ShortStack","mature_miRNA",47771,47792,"+","ID=Cluster_11046.mature;Parent=Cluster_11046","Porites_evermani_scaffold_1503","Gmove","mRNA",42025,72148,"+","ID=Peve_00007592;Name=Peve_00007592;start=1;stop=1;cds_size=4173",21,0.0487804878048781
"27","Peve_00007592","GO:0060271","cilium assembly",641,4,0.75,0.03219,"Biological Processes","Porites_evermani_scaffold_1503","ShortStack","mature_miRNA",47580,47601,"+","ID=Cluster_11045.mature;Parent=Cluster_11045","Porites_evermani_scaffold_1503","Gmove","mRNA",42025,72148,"+","ID=Peve_00007592;Name=Peve_00007592;start=1;stop=1;cds_size=4173",21,0.0062402496099844
"28","Peve_00007592","GO:0060271","cilium assembly",641,4,0.75,0.03219,"Biological Processes","Porites_evermani_scaffold_1503","ShortStack","mature_miRNA",47771,47792,"+","ID=Cluster_11046.mature;Parent=Cluster_11046","Porites_evermani_scaffold_1503","Gmove","mRNA",42025,72148,"+","ID=Peve_00007592;Name=Peve_00007592;start=1;stop=1;cds_size=4173",21,0.0062402496099844
"29","Peve_00007592","GO:0061824","cytosolic ciliogenesis",6,1,0.01,0.00057,"Biological Processes","Porites_evermani_scaffold_1503","ShortStack","mature_miRNA",47580,47601,"+","ID=Cluster_11045.mature;Parent=Cluster_11045","Porites_evermani_scaffold_1503","Gmove","mRNA",42025,72148,"+","ID=Peve_00007592;Name=Peve_00007592;start=1;stop=1;cds_size=4173",21,0.166666666666667
"30","Peve_00007592","GO:0061824","cytosolic ciliogenesis",6,1,0.01,0.00057,"Biological Processes","Porites_evermani_scaffold_1503","ShortStack","mature_miRNA",47771,47792,"+","ID=Cluster_11046.mature;Parent=Cluster_11046","Porites_evermani_scaffold_1503","Gmove","mRNA",42025,72148,"+","ID=Peve_00007592;Name=Peve_00007592;start=1;stop=1;cds_size=4173",21,0.166666666666667
"31","Peve_00007592","GO:0071539","protein localization to centrosome",33,2,0.04,4.7e-06,"Biological Processes","Porites_evermani_scaffold_1503","ShortStack","mature_miRNA",47580,47601,"+","ID=Cluster_11045.mature;Parent=Cluster_11045","Porites_evermani_scaffold_1503","Gmove","mRNA",42025,72148,"+","ID=Peve_00007592;Name=Peve_00007592;start=1;stop=1;cds_size=4173",21,0.0606060606060606
"32","Peve_00007592","GO:0071539","protein localization to centrosome",33,2,0.04,4.7e-06,"Biological Processes","Porites_evermani_scaffold_1503","ShortStack","mature_miRNA",47771,47792,"+","ID=Cluster_11046.mature;Parent=Cluster_11046","Porites_evermani_scaffold_1503","Gmove","mRNA",42025,72148,"+","ID=Peve_00007592;Name=Peve_00007592;start=1;stop=1;cds_size=4173",21,0.0606060606060606
"33","Peve_00010404","GO:0006406","mRNA export from nucleus",60,1,0.07,0.00573,"Biological Processes","Porites_evermani_scaffold_1732","ShortStack","mature_miRNA",76504,76525,"+","ID=Cluster_11890.mature;Parent=Cluster_11890","Porites_evermani_scaffold_1732","Gmove","mRNA",72130,79666,"+","ID=Peve_00010404;Name=Peve_00010404;start=1;stop=1;cds_size=774",21,0.0166666666666667
"34","Peve_00018698","GO:0045162","clustering of voltage-gated sodium channels",30,1,0.03,0.00287,"Biological Processes","Porites_evermani_scaffold_253","ShortStack","mature_miRNA",200965,200986,"+","ID=Cluster_4063.mature;Parent=Cluster_4063","Porites_evermani_scaffold_253","Gmove","mRNA",184195,221796,"+","ID=Peve_00018698;Name=Peve_00018698;start=1;stop=1;cds_size=2292",21,0.0333333333333333
"35","Peve_00018698","GO:0045162","clustering of voltage-gated sodium channels",30,1,0.03,0.00287,"Biological Processes","Porites_evermani_scaffold_253","ShortStack","mature_miRNA",202286,202307,"+","ID=Cluster_4064.mature;Parent=Cluster_4064","Porites_evermani_scaffold_253","Gmove","mRNA",184195,221796,"+","ID=Peve_00018698;Name=Peve_00018698;start=1;stop=1;cds_size=2292",21,0.0333333333333333
"36","Peve_00018698","GO:0060271","cilium assembly",641,4,0.75,0.03219,"Biological Processes","Porites_evermani_scaffold_253","ShortStack","mature_miRNA",200965,200986,"+","ID=Cluster_4063.mature;Parent=Cluster_4063","Porites_evermani_scaffold_253","Gmove","mRNA",184195,221796,"+","ID=Peve_00018698;Name=Peve_00018698;start=1;stop=1;cds_size=2292",21,0.0062402496099844
"37","Peve_00018698","GO:0060271","cilium assembly",641,4,0.75,0.03219,"Biological Processes","Porites_evermani_scaffold_253","ShortStack","mature_miRNA",202286,202307,"+","ID=Cluster_4064.mature;Parent=Cluster_4064","Porites_evermani_scaffold_253","Gmove","mRNA",184195,221796,"+","ID=Peve_00018698;Name=Peve_00018698;start=1;stop=1;cds_size=2292",21,0.0062402496099844
"38","Peve_00018966","GO:0001701","in utero embryonic development",369,1,0.43,0.03475,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.002710027100271
"39","Peve_00018966","GO:0001736","establishment of planar polarity",315,1,0.37,0.02974,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.00317460317460317
"40","Peve_00018966","GO:0001889","liver development",184,1,0.21,0.01748,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.00543478260869565
"41","Peve_00018966","GO:0007163","establishment or maintenance of cell polarity",290,2,0.34,0.0204,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.00689655172413793
"42","Peve_00018966","GO:0007368","determination of left/right symmetry",237,1,0.28,0.02246,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.00421940928270042
"43","Peve_00018966","GO:0008589","regulation of smoothened signaling pathway",101,1,0.12,0.00963,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.0099009900990099
"44","Peve_00018966","GO:0021532","neural tube patterning",26,1,0.03,0.00249,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.0384615384615385
"45","Peve_00018966","GO:0021549","cerebellum development",118,1,0.14,0.01124,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.00847457627118644
"46","Peve_00018966","GO:0021670","lateral ventricle development",7,1,0.01,0.00067,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.142857142857143
"47","Peve_00018966","GO:0021772","olfactory bulb development",51,1,0.06,0.00487,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.0196078431372549
"48","Peve_00018966","GO:0022038","corpus callosum development",53,1,0.06,0.00506,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.0188679245283019
"49","Peve_00018966","GO:0035115","embryonic forelimb morphogenesis",12,1,0.01,0.00115,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.0833333333333333
"50","Peve_00018966","GO:0035116","embryonic hindlimb morphogenesis",6,1,0.01,0.00057,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.166666666666667
"51","Peve_00018966","GO:0043584","nose development",13,1,0.02,0.00124,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.0769230769230769
"52","Peve_00018966","GO:0045744","negative regulation of G protein-coupled receptor s...",87,1,0.1,0.0083,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.0114942528735632
"53","Peve_00018966","GO:0046548","retinal rod cell development",13,1,0.02,0.00124,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.0769230769230769
"54","Peve_00018966","GO:0060039","pericardium development",22,1,0.03,0.00211,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.0454545454545455
"55","Peve_00018966","GO:0090102","cochlea development",241,1,0.28,0.02283,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.004149377593361
"56","Peve_00018966","GO:1905515","non-motile cilium assembly",90,1,0.1,0.00859,"Biological Processes","Porites_evermani_scaffold_257","ShortStack","mature_miRNA",110361,110382,"-","ID=Cluster_4097.mature;Parent=Cluster_4097","Porites_evermani_scaffold_257","Gmove","mRNA",62092,117883,"-","ID=Peve_00018966;Name=Peve_00018966;start=1;stop=1;cds_size=4011",21,0.0111111111111111
"57","Peve_00019270","GO:0001188","RNA polymerase I preinitiation complex assembly",2,1,0,0.00019,"Biological Processes","Porites_evermani_scaffold_26","ShortStack","mature_miRNA",382572,382593,"-","ID=Cluster_786.mature;Parent=Cluster_786","Porites_evermani_scaffold_26","Gmove","mRNA",378058,392680,"-","ID=Peve_00019270;Name=Peve_00019270;start=1;stop=1;cds_size=1956",21,0.5
"58","Peve_00019270","GO:0042790","nucleolar large rRNA transcription by RNA polymeras...",34,1,0.04,0.00325,"Biological Processes","Porites_evermani_scaffold_26","ShortStack","mature_miRNA",382572,382593,"-","ID=Cluster_786.mature;Parent=Cluster_786","Porites_evermani_scaffold_26","Gmove","mRNA",378058,392680,"-","ID=Peve_00019270;Name=Peve_00019270;start=1;stop=1;cds_size=1956",21,0.0294117647058824
"59","Peve_00020407","GO:0007268","chemical synaptic transmission",1147,3,1.34,0.0298,"Biological Processes","Porites_evermani_scaffold_2738","ShortStack","mature_miRNA",56885,56906,"+","ID=Cluster_14362.mature;Parent=Cluster_14362","Porites_evermani_scaffold_2738","Gmove","mRNA",52051,60414,"+","ID=Peve_00020407;Name=Peve_00020407;start=1;stop=1;cds_size=792",21,0.002615518744551
"60","Peve_00020407","GO:0035418","protein localization to synapse",72,3,0.08,0.00151,"Biological Processes","Porites_evermani_scaffold_2738","ShortStack","mature_miRNA",56885,56906,"+","ID=Cluster_14362.mature;Parent=Cluster_14362","Porites_evermani_scaffold_2738","Gmove","mRNA",52051,60414,"+","ID=Peve_00020407;Name=Peve_00020407;start=1;stop=1;cds_size=792",21,0.0416666666666667
"61","Peve_00020407","GO:0050804","modulation of chemical synaptic transmission",808,2,0.94,0.00275,"Biological Processes","Porites_evermani_scaffold_2738","ShortStack","mature_miRNA",56885,56906,"+","ID=Cluster_14362.mature;Parent=Cluster_14362","Porites_evermani_scaffold_2738","Gmove","mRNA",52051,60414,"+","ID=Peve_00020407;Name=Peve_00020407;start=1;stop=1;cds_size=792",21,0.00247524752475248
"62","Peve_00020407","GO:0061136","regulation of proteasomal protein catabolic process",168,1,0.2,0.01597,"Biological Processes","Porites_evermani_scaffold_2738","ShortStack","mature_miRNA",56885,56906,"+","ID=Cluster_14362.mature;Parent=Cluster_14362","Porites_evermani_scaffold_2738","Gmove","mRNA",52051,60414,"+","ID=Peve_00020407;Name=Peve_00020407;start=1;stop=1;cds_size=792",21,0.00595238095238095
"63","Peve_00020407","GO:0070842","aggresome assembly",10,1,0.01,0.00096,"Biological Processes","Porites_evermani_scaffold_2738","ShortStack","mature_miRNA",56885,56906,"+","ID=Cluster_14362.mature;Parent=Cluster_14362","Porites_evermani_scaffold_2738","Gmove","mRNA",52051,60414,"+","ID=Peve_00020407;Name=Peve_00020407;start=1;stop=1;cds_size=792",21,0.1
"64","Peve_00023764","GO:0042273","ribosomal large subunit biogenesis",79,1,0.09,0.00754,"Biological Processes","Porites_evermani_scaffold_316","ShortStack","mature_miRNA",88465,88486,"-","ID=Cluster_4617.mature;Parent=Cluster_4617","Porites_evermani_scaffold_316","Gmove","mRNA",75224,97019,"-","ID=Peve_00023764;Name=Peve_00023764;start=1;stop=1;cds_size=2154",21,0.0126582278481013
"65","Peve_00027156","GO:0006890","retrograde vesicle-mediated transport, Golgi to end...",52,1,0.06,0.00497,"Biological Processes","Porites_evermani_scaffold_3707","ShortStack","mature_miRNA",36124,36145,"-","ID=Cluster_15601.mature;Parent=Cluster_15601","Porites_evermani_scaffold_3707","Gmove","mRNA",4140,33741,"-","ID=Peve_00027156;Name=Peve_00027156;start=1;stop=1;cds_size=4080",-2383,0.0192307692307692
"66","Peve_00027156","GO:2000623","negative regulation of nuclear-transcribed mRNA cat...",8,1,0.01,0.00077,"Biological Processes","Porites_evermani_scaffold_3707","ShortStack","mature_miRNA",36124,36145,"-","ID=Cluster_15601.mature;Parent=Cluster_15601","Porites_evermani_scaffold_3707","Gmove","mRNA",4140,33741,"-","ID=Peve_00027156;Name=Peve_00027156;start=1;stop=1;cds_size=4080",-2383,0.125
"67","Peve_00030448","GO:0007268","chemical synaptic transmission",1147,3,1.34,0.0298,"Biological Processes","Porites_evermani_scaffold_430","ShortStack","mature_miRNA",205887,205909,"-","ID=Cluster_5540.mature;Parent=Cluster_5540","Porites_evermani_scaffold_430","Gmove","mRNA",166240,198633,"+","ID=Peve_00030448;Name=Peve_00030448;start=1;stop=0;cds_size=2292",-7254,0.002615518744551
"68","Peve_00030448","GO:0035865","cellular response to potassium ion",10,1,0.01,0.00096,"Biological Processes","Porites_evermani_scaffold_430","ShortStack","mature_miRNA",205887,205909,"-","ID=Cluster_5540.mature;Parent=Cluster_5540","Porites_evermani_scaffold_430","Gmove","mRNA",166240,198633,"+","ID=Peve_00030448;Name=Peve_00030448;start=1;stop=0;cds_size=2292",-7254,0.1
"69","Peve_00030448","GO:0043113","receptor clustering",61,1,0.07,0.00583,"Biological Processes","Porites_evermani_scaffold_430","ShortStack","mature_miRNA",205887,205909,"-","ID=Cluster_5540.mature;Parent=Cluster_5540","Porites_evermani_scaffold_430","Gmove","mRNA",166240,198633,"+","ID=Peve_00030448;Name=Peve_00030448;start=1;stop=0;cds_size=2292",-7254,0.0163934426229508
